model,anchor_day,n,pred_fail_rate,actual_fail_rate
M0,489,7,0.42857142857142855,0.8571428571428571
M0,490,8,0.5,0.75
M0,491,8,0.25,0.75
M0,493,3,0.3333333333333333,0.0
M0,494,2,0.0,0.5
M0,495,6,0.5,0.6666666666666666
M0,496,3,0.3333333333333333,0.3333333333333333
M0,497,6,0.0,0.6666666666666666
M0,498,10,0.5,0.3
M0,499,15,0.2,0.4666666666666667
M0,500,12,0.3333333333333333,0.8333333333333334
M0,501,26,0.3076923076923077,0.5769230769230769
M0,502,21,0.38095238095238093,0.5714285714285714
M0,503,36,0.3611111111111111,0.6388888888888888
M0,504,34,0.3235294117647059,0.8235294117647058
M0,505,11,0.45454545454545453,0.8181818181818182
M0,506,24,0.375,0.7083333333333334
M0,507,9,0.6666666666666666,0.7777777777777778
M0,508,5,0.8,1.0
M0,509,34,0.38235294117647056,0.7352941176470589
M0,510,29,0.4827586206896552,0.8275862068965517
M0,511,3,0.3333333333333333,1.0
M0,512,1,1.0,1.0
M0,513,1,1.0,0.0
M0,514,3,0.6666666666666666,0.6666666666666666
M0,515,1,0.0,1.0
M0,516,14,0.5,0.7857142857142857
M0,518,11,0.2727272727272727,0.5454545454545454
M0,519,1,1.0,1.0
M0,520,2,0.5,1.0
M0,522,3,0.3333333333333333,1.0
M0,523,8,0.625,0.875
M0,524,12,0.5833333333333334,0.6666666666666666
M0,525,41,0.5853658536585366,0.8292682926829268
M0,526,76,0.75,0.75
M0,527,214,0.6542056074766355,0.794392523364486
M0,529,7,0.5714285714285714,0.8571428571428571
M0,530,4,0.5,0.75
M0,531,151,0.5827814569536424,0.7880794701986755
M0,532,97,0.5257731958762887,0.7938144329896907
M0,537,1,1.0,1.0
M0,539,1,0.0,1.0
M0,540,7,0.7142857142857143,0.42857142857142855
M0,541,6,1.0,0.5
M0,542,4,0.75,0.75
M0,543,4,0.5,0.25
M0,544,2,0.5,0.5
M0,545,6,0.6666666666666666,0.8333333333333334
M0,546,16,0.6875,0.875
M0,547,41,0.43902439024390244,0.7317073170731707
M0,548,137,0.44525547445255476,0.7372262773722628
M0,549,52,0.5384615384615384,0.7115384615384616
M0,550,24,0.2916666666666667,0.5416666666666666
M0,551,13,0.23076923076923078,0.46153846153846156
M0,552,64,0.375,0.65625
M0,553,58,0.6206896551724138,0.7758620689655172
M0,554,4,0.5,0.75
M0,555,11,0.5454545454545454,0.8181818181818182
M0,556,94,0.5319148936170213,0.7446808510638298
M0,557,124,0.45161290322580644,0.6129032258064516
M0,558,474,0.34810126582278483,0.5485232067510548
M0,559,313,0.23322683706070288,0.4472843450479233
M0,560,209,0.1722488038277512,0.35406698564593303
M0,561,13,0.0,0.46153846153846156
M0,562,3,0.0,0.0
M0,563,1,0.0,0.0
M0,564,4,0.5,0.75
M0,565,5,0.0,0.4
M0,566,1,0.0,1.0
M0,567,2,0.0,1.0
M0,568,1,0.0,1.0
M0,569,1,0.0,1.0
M0,570,1,0.0,1.0
M0,571,1,0.0,1.0
M0,572,1,0.0,0.0
M0,576,1,0.0,1.0
M0,579,1,0.0,0.0
M0,580,1,0.0,1.0
M0,581,2,0.0,1.0
M0,586,1,1.0,1.0
M0,589,1,1.0,1.0
M0,599,1,0.0,1.0
M0,602,1,0.0,1.0
M0,606,2,1.0,0.5
M0,608,1,0.0,1.0
M0,613,1,0.0,1.0
M0,625,6,0.16666666666666666,1.0
M0,627,2,0.0,1.0
M0,629,1,0.0,0.0
M0,639,1,0.0,1.0
M0,640,2,0.0,0.5
M0,641,3,0.6666666666666666,1.0
M0,642,2,0.5,1.0
M0,643,2,0.5,1.0
M0,644,4,0.75,0.5
M0,645,3,0.0,0.6666666666666666
M0,646,3,0.0,0.6666666666666666
M0,647,7,0.2857142857142857,0.8571428571428571
M0,648,1,0.0,1.0
M0,649,3,0.6666666666666666,1.0
M0,650,6,0.16666666666666666,1.0
M0,652,2,1.0,1.0
M0,653,4,0.0,0.75
M0,654,3,0.3333333333333333,1.0
M0,655,5,0.0,1.0
M0,656,26,0.2692307692307692,0.8846153846153846
M0,657,17,0.47058823529411764,0.9411764705882353
M0,658,30,0.4,0.7333333333333333
M0,659,1,0.0,1.0
M0,660,10,0.8,0.5
M0,661,4,0.5,0.5
M0,662,40,0.175,0.65
M0,663,38,0.42105263157894735,0.7105263157894737
M0,664,4,0.75,1.0
M0,665,26,0.4230769230769231,0.8461538461538461
M0,666,37,0.32432432432432434,0.6486486486486487
M0,667,64,0.40625,0.65625
M0,668,169,0.5029585798816568,0.5857988165680473
M0,669,58,0.5,0.5689655172413793
M0,670,32,0.40625,0.5625
M0,671,1,0.0,0.0
M0,673,1,0.0,1.0
M0,674,1,0.0,1.0
M0,675,2,0.5,1.0
M0,676,7,0.42857142857142855,0.42857142857142855
M0,677,2,1.0,0.5
M0,678,12,0.5833333333333334,0.5
M0,679,21,0.6666666666666666,0.5238095238095238
M0,680,5,0.2,0.8
M0,681,5,0.0,0.4
M0,682,57,0.631578947368421,0.5789473684210527
M0,683,49,0.6122448979591837,0.5918367346938775
M0,684,4,0.75,0.25
M0,685,1,0.0,0.0
M0,689,1,1.0,1.0
M0,696,1,1.0,1.0
M0,697,2,1.0,1.0
M0,698,1,1.0,1.0
M0,700,2,0.5,1.0
M0,701,1,1.0,1.0
M0,703,4,0.5,0.5
M0,705,1,1.0,1.0
M0,708,1,1.0,1.0
M0,709,1,0.0,0.0
M0,712,1,0.0,1.0
M0,713,2,1.0,0.5
M0,715,1,0.0,0.0
M0,717,2,0.5,0.5
M0,718,4,0.25,0.5
M0,719,4,0.5,0.5
M0,720,7,0.5714285714285714,0.42857142857142855
M0,721,16,0.5625,0.6875
M0,722,15,0.5333333333333333,0.4
M0,724,2,0.5,0.5
M0,725,1,0.0,1.0
M0,726,2,1.0,0.0
M0,727,2,1.0,1.0
M0,730,1,0.0,1.0
M0,734,1,1.0,0.0
M0,736,2,0.5,0.5
M0,737,1,0.0,0.0
M0,740,2,1.0,1.0
M0,741,1,0.0,1.0
M0,743,1,0.0,1.0
M0,748,1,0.0,1.0
M0,754,1,0.0,1.0
M0,755,1,1.0,0.0
M0,756,3,0.3333333333333333,0.3333333333333333
M0,765,1,0.0,1.0
M0,766,1,0.0,1.0
M0,771,1,1.0,1.0
M0,772,1,1.0,1.0
M0,773,4,0.5,0.75
M0,775,3,0.6666666666666666,1.0
M0,776,11,0.45454545454545453,0.9090909090909091
M0,777,12,0.5833333333333334,0.8333333333333334
M0,778,1,1.0,1.0
M0,780,1,1.0,1.0
M0,781,2,0.5,1.0
M0,782,2,1.0,1.0
M0,783,1,1.0,1.0
M0,784,3,0.6666666666666666,1.0
M0,785,3,0.6666666666666666,1.0
M0,786,1,1.0,1.0
M0,787,1,1.0,1.0
M0,788,7,0.8571428571428571,0.5714285714285714
M0,789,5,0.6,1.0
M0,790,1,0.0,0.0
M0,791,3,0.6666666666666666,0.6666666666666666
M0,792,2,1.0,0.5
M0,793,2,1.0,1.0
M0,794,6,0.6666666666666666,0.8333333333333334
M0,795,1,1.0,1.0
M0,796,1,0.0,1.0
M0,797,5,0.8,1.0
M0,798,7,0.42857142857142855,0.8571428571428571
M0,799,28,0.75,0.8928571428571429
M0,800,37,0.6216216216216216,0.918918918918919
M0,801,45,0.7555555555555555,0.9333333333333333
M0,802,113,0.6902654867256637,0.8495575221238938
M0,803,28,0.5714285714285714,0.8928571428571429
M0,804,7,0.7142857142857143,0.7142857142857143
M0,805,22,0.5909090909090909,0.9090909090909091
M0,806,18,0.7777777777777778,0.8888888888888888
M0,807,22,0.6818181818181818,0.9090909090909091
M0,808,5,0.8,0.8
M0,809,22,0.5909090909090909,0.9545454545454546
M0,810,7,0.7142857142857143,0.8571428571428571
M0,811,4,0.25,1.0
M0,812,9,0.7777777777777778,0.8888888888888888
M0,813,6,0.5,0.8333333333333334
M0,814,1,0.0,1.0
M0,815,4,0.75,1.0
M0,816,4,1.0,1.0
M0,817,8,0.875,1.0
M0,818,3,0.6666666666666666,1.0
M0,820,6,0.3333333333333333,1.0
M0,821,13,0.8461538461538461,0.7692307692307693
M0,822,8,1.0,0.875
M0,823,9,0.6666666666666666,1.0
M0,824,19,0.6842105263157895,0.7894736842105263
M0,825,10,0.7,1.0
M0,826,6,0.8333333333333334,0.8333333333333334
M0,827,2,1.0,1.0
M0,828,1,1.0,1.0
M0,829,7,0.7142857142857143,0.8571428571428571
M0,830,6,1.0,1.0
M0,831,15,0.8,1.0
M0,832,10,0.8,1.0
M0,833,7,0.8571428571428571,1.0
M0,834,3,0.6666666666666666,1.0
M0,835,2,1.0,1.0
M0,836,4,0.5,1.0
M0,838,2,0.5,1.0
M0,839,5,1.0,0.6
M0,840,15,0.9333333333333333,0.9333333333333333
M0,841,27,0.8518518518518519,0.9629629629629629
M0,842,2,0.5,0.5
M0,843,6,0.8333333333333334,1.0
M0,844,1,1.0,1.0
M0,845,3,0.6666666666666666,1.0
M0,847,1,1.0,1.0
M0,849,1,0.0,1.0
M0,850,1,0.0,1.0
M0,851,1,0.0,0.0
M0,854,2,0.5,1.0
M0,855,1,1.0,1.0
M0,856,6,0.8333333333333334,1.0
M0,857,1,1.0,1.0
M0,858,3,1.0,0.6666666666666666
M0,859,2,0.0,1.0
M0,860,5,0.6,0.8
M0,862,1,1.0,1.0
M0,863,1,0.0,1.0
M0,864,2,0.5,1.0
M0,865,2,1.0,1.0
M0,866,5,0.2,0.8
M0,867,1,0.0,1.0
M0,868,2,0.5,1.0
M0,871,5,0.8,1.0
M0,874,2,0.5,0.5
M0,875,6,0.5,1.0
M0,876,4,1.0,1.0
M0,877,7,0.7142857142857143,0.8571428571428571
M0,878,12,0.4166666666666667,0.75
M0,879,8,0.75,1.0
M0,880,6,1.0,1.0
M0,881,13,0.7692307692307693,0.5384615384615384
M0,882,20,0.6,0.75
M0,883,10,0.5,0.9
M0,884,8,0.625,0.625
M0,885,37,0.6486486486486487,0.6216216216216216
M0,886,14,0.35714285714285715,0.5
M0,887,7,0.7142857142857143,0.8571428571428571
M0,889,2,0.5,1.0
M0,890,2,0.5,1.0
M0,891,1,1.0,1.0
M0,892,2,1.0,1.0
M0,893,1,1.0,1.0
M0,894,2,1.0,1.0
M0,895,10,0.7,1.0
M0,896,2,0.0,0.5
M0,897,1,1.0,1.0
M0,898,3,1.0,0.6666666666666666
M0,899,7,0.7142857142857143,0.7142857142857143
M0,900,5,0.6,0.4
M0,901,4,0.75,1.0
M0,902,7,1.0,1.0
M0,903,9,0.7777777777777778,0.6666666666666666
M0,904,10,0.9,0.9
M0,905,1,1.0,0.0
M0,906,6,0.6666666666666666,1.0
M0,907,1,1.0,1.0
M0,910,7,0.7142857142857143,0.7142857142857143
M0,911,6,0.8333333333333334,0.8333333333333334
M0,912,2,1.0,1.0
M0,913,1,1.0,1.0
M0,914,7,0.7142857142857143,1.0
M0,915,10,0.9,0.7
M0,916,14,0.6428571428571429,0.8571428571428571
M0,917,29,0.8275862068965517,0.7241379310344828
M0,918,12,0.75,0.6666666666666666
M0,919,29,0.896551724137931,0.5517241379310345
M0,920,109,0.8165137614678899,0.6972477064220184
M0,921,6,0.5,0.3333333333333333
M0,922,8,0.75,0.75
M0,923,16,0.5625,0.5625
M0,924,7,0.8571428571428571,0.2857142857142857
M0,925,1,1.0,1.0
M0,928,3,0.6666666666666666,1.0
M0,934,4,0.75,0.75
M0,939,2,1.0,1.0
M0,942,1,1.0,1.0
M0,945,2,1.0,1.0
M0,946,2,1.0,0.5
M0,947,1,1.0,1.0
M0,948,4,0.75,1.0
M0,949,3,0.3333333333333333,0.3333333333333333
M0,950,2,0.5,1.0
M0,951,2,1.0,1.0
M0,952,4,0.75,0.75
M0,953,5,0.6,0.8
M0,954,1,0.0,0.0
M0,955,13,0.6153846153846154,0.6153846153846154
M0,956,3,0.3333333333333333,1.0
M0,957,1,1.0,1.0
M0,958,2,0.0,0.5
M0,959,3,0.6666666666666666,0.6666666666666666
M0,960,23,0.5652173913043478,0.5652173913043478
M0,961,12,0.3333333333333333,0.6666666666666666
M0,962,3,1.0,1.0
M0,963,9,0.5555555555555556,0.6666666666666666
M0,965,8,0.5,0.5
M0,966,12,0.5833333333333334,0.75
M0,967,9,0.5555555555555556,0.5555555555555556
M0,968,3,0.3333333333333333,1.0
M0,971,4,0.75,0.75
M0,972,4,0.25,0.5
M0,973,4,0.25,0.5
M0,974,14,0.42857142857142855,0.5
M0,975,21,0.2857142857142857,0.42857142857142855
M0,976,24,0.2916666666666667,0.5
M0,977,2,1.0,0.5
M0,978,4,0.5,0.5
M0,979,6,0.3333333333333333,0.8333333333333334
M0,980,23,0.34782608695652173,0.34782608695652173
M0,981,32,0.40625,0.46875
M0,982,149,0.35570469798657717,0.4966442953020134
M0,983,6,0.16666666666666666,0.16666666666666666
M0,984,466,0.30686695278969955,0.4184549356223176
M0,985,135,0.2740740740740741,0.45925925925925926
M0,986,96,0.2604166666666667,0.4375
M0,987,5,0.6,0.6
M0,988,3,0.0,0.6666666666666666
M0,989,25,0.16,0.36
M0,990,102,0.30392156862745096,0.4803921568627451
M0,991,536,0.30783582089552236,0.4701492537313433
M0,992,423,0.2364066193853428,0.4444444444444444
M0,993,715,0.22797202797202798,0.4027972027972028
M0,994,562,0.23665480427046262,0.3612099644128114
M0,995,221,0.17194570135746606,0.3076923076923077
M0,996,18,0.05555555555555555,0.2222222222222222
M0,997,10,0.0,0.2
M0,1032,1,0.0,1.0
M0,1033,2,0.0,0.0
M0,1035,1,0.0,1.0
M0,1036,13,0.07692307692307693,0.6923076923076923
M0,1037,116,0.3275862068965517,0.6982758620689655
M0,1038,11,0.36363636363636365,0.5454545454545454
M0,1039,1,0.0,1.0
M0,1040,6,0.3333333333333333,1.0
M0,1041,11,0.6363636363636364,0.6363636363636364
M0,1042,2,0.5,1.0
M0,1043,7,0.14285714285714285,0.42857142857142855
M0,1044,3,0.0,1.0
M0,1045,1,0.0,1.0
M0,1047,2,0.0,1.0
M0,1049,2,0.5,1.0
M0,1050,4,0.0,0.75
M0,1051,4,0.5,1.0
M0,1052,2,0.0,1.0
M0,1053,4,0.0,1.0
M0,1054,1,1.0,1.0
M0,1055,2,0.0,0.5
M0,1057,3,1.0,0.6666666666666666
M0,1058,3,0.6666666666666666,1.0
M0,1059,2,1.0,1.0
M0,1061,1,0.0,0.0
M0,1062,3,0.3333333333333333,1.0
M0,1063,13,0.38461538461538464,0.7692307692307693
M0,1064,4,0.5,1.0
M0,1065,3,0.6666666666666666,0.6666666666666666
M0,1066,7,0.5714285714285714,0.7142857142857143
M0,1067,1,0.0,1.0
M0,1068,11,0.45454545454545453,1.0
M0,1069,32,0.28125,0.75
M0,1070,16,0.4375,0.6875
M0,1071,119,0.453781512605042,0.8403361344537815
M0,1072,5,0.4,1.0
M0,1073,12,0.5833333333333334,0.8333333333333334
M0,1074,1,0.0,1.0
M0,1076,7,0.42857142857142855,1.0
M0,1077,3,0.3333333333333333,1.0
M0,1078,1,1.0,1.0
M0,1079,3,0.0,0.3333333333333333
M0,1080,15,0.5333333333333333,0.9333333333333333
M0,1081,10,0.6,0.9
M0,1082,65,0.38461538461538464,0.8923076923076924
M0,1083,40,0.55,0.925
M0,1084,9,0.7777777777777778,0.8888888888888888
M0,1085,2,0.0,1.0
M0,1086,10,0.5,1.0
M0,1087,10,0.3,0.9
M0,1088,10,0.3,0.9
M0,1089,9,0.4444444444444444,1.0
M0,1090,36,0.5277777777777778,0.9166666666666666
M0,1091,34,0.5882352941176471,0.9411764705882353
M0,1092,43,0.4883720930232558,0.9767441860465116
M0,1093,82,0.573170731707317,0.9146341463414634
M0,1094,17,0.5294117647058824,1.0
M0,1095,6,0.8333333333333334,1.0
M0,1096,1,0.0,1.0
M0,1097,10,0.3,1.0
M0,1098,6,0.6666666666666666,1.0
M0,1099,11,0.5454545454545454,0.9090909090909091
M0,1100,43,0.5813953488372093,0.9069767441860465
M0,1101,1,1.0,1.0
M0,1102,7,0.5714285714285714,1.0
M0,1103,19,0.5263157894736842,1.0
M0,1104,69,0.6811594202898551,0.9420289855072463
M0,1105,55,0.6363636363636364,0.9454545454545454
M0,1106,4,1.0,1.0
M0,1107,7,0.5714285714285714,1.0
M0,1108,9,0.5555555555555556,1.0
M0,1109,3,1.0,1.0
M0,1112,9,0.2222222222222222,1.0
M0,1113,1,1.0,1.0
M0,1114,1,1.0,1.0
M0,1115,10,1.0,0.7
M0,1116,2,1.0,1.0
M0,1117,8,0.375,1.0
M0,1118,4,0.75,0.75
M0,1119,2,0.5,1.0
M0,1120,10,0.6,0.9
M0,1121,7,0.7142857142857143,0.7142857142857143
M0,1122,11,0.8181818181818182,0.9090909090909091
M0,1123,36,0.7777777777777778,0.8611111111111112
M0,1124,17,0.8823529411764706,0.8235294117647058
M0,1125,30,0.8,0.9
M0,1126,31,0.7741935483870968,1.0
M0,1127,23,0.7391304347826086,0.9565217391304348
M0,1128,24,0.75,0.9583333333333334
M0,1129,22,0.7272727272727273,0.8636363636363636
M0,1130,11,0.6363636363636364,1.0
M0,1131,5,1.0,0.8
M0,1132,1,0.0,0.0
M0,1133,3,1.0,1.0
M0,1134,3,0.3333333333333333,1.0
M0,1136,17,0.7058823529411765,0.8235294117647058
M0,1137,19,0.8421052631578947,0.7368421052631579
M0,1138,17,0.8235294117647058,0.7058823529411765
M0,1139,9,0.5555555555555556,0.5555555555555556
M0,1140,1,0.0,0.0
M0,1141,13,0.7692307692307693,0.6153846153846154
M0,1142,39,0.7948717948717948,0.6666666666666666
M0,1143,1,1.0,0.0
M0,1144,6,0.6666666666666666,0.8333333333333334
M0,1145,3,0.6666666666666666,1.0
M0,1146,1,1.0,0.0
M1,243,2,0.5,0.5
M1,244,11,0.7272727272727273,0.8181818181818182
M1,245,28,0.6785714285714286,0.6785714285714286
M1,246,147,0.35374149659863946,0.8027210884353742
M1,247,82,0.2682926829268293,0.6707317073170732
M1,248,56,0.35714285714285715,0.5892857142857143
M1,249,26,0.38461538461538464,0.6153846153846154
M1,250,115,0.6608695652173913,0.6956521739130435
M1,251,24,0.25,0.75
M1,252,1,0.0,1.0
M1,253,2,0.5,0.5
M1,254,3,0.6666666666666666,0.6666666666666666
M1,257,2,0.5,1.0
M1,258,23,0.5652173913043478,0.9565217391304348
M1,259,24,0.3333333333333333,0.8333333333333334
M1,260,16,0.375,0.75
M1,261,17,0.5294117647058824,1.0
M1,262,75,0.38666666666666666,0.7066666666666667
M1,263,48,0.5208333333333334,0.4583333333333333
M1,264,20,0.7,0.5
M1,265,38,0.631578947368421,0.6842105263157895
M1,266,132,0.3939393939393939,0.5227272727272727
M1,267,22,0.5,0.5
M1,268,34,0.35294117647058826,0.29411764705882354
M1,269,7,0.42857142857142855,0.42857142857142855
M1,270,1,1.0,1.0
M1,275,2,0.5,0.5
M1,277,3,0.6666666666666666,0.6666666666666666
M1,283,15,0.2,0.7333333333333333
M1,284,35,0.5142857142857142,0.5428571428571428
M1,285,6,0.16666666666666666,0.6666666666666666
M1,286,3,0.0,1.0
M1,287,3,0.3333333333333333,0.6666666666666666
M1,288,14,0.35714285714285715,0.7857142857142857
M1,289,6,0.5,0.6666666666666666
M1,290,1,1.0,1.0
M1,291,1,1.0,1.0
M1,292,2,1.0,0.5
M1,293,4,0.5,0.75
M1,294,2,0.5,0.5
M1,295,7,0.2857142857142857,0.42857142857142855
M1,296,7,0.2857142857142857,0.2857142857142857
M1,300,3,1.0,0.6666666666666666
M1,306,1,1.0,1.0
M1,307,5,0.8,0.6
M1,308,8,0.75,1.0
M1,309,3,0.6666666666666666,0.6666666666666666
M1,310,10,0.4,0.5
M1,311,2,0.0,0.5
M1,313,2,0.0,1.0
M1,314,1,1.0,0.0
M1,316,2,0.5,1.0
M1,317,1,1.0,1.0
M1,318,1,1.0,1.0
M1,319,4,0.0,0.25
M1,320,3,0.6666666666666666,1.0
M1,321,9,0.6666666666666666,0.3333333333333333
M1,322,6,0.5,0.8333333333333334
M1,323,8,0.75,0.375
M1,324,13,0.9230769230769231,0.6923076923076923
M1,325,4,1.0,0.5
M1,326,5,0.6,0.6
M1,328,1,0.0,0.0
M1,329,1,1.0,1.0
M1,331,3,1.0,1.0
M1,332,3,0.6666666666666666,0.6666666666666666
M1,335,1,1.0,1.0
M1,339,2,0.5,1.0
M1,343,1,1.0,1.0
M1,348,1,1.0,1.0
M1,349,4,0.5,1.0
M1,350,4,0.75,1.0
M1,351,2,1.0,1.0
M1,352,1,0.0,1.0
M1,353,2,0.5,1.0
M1,356,1,1.0,1.0
M1,357,2,1.0,1.0
M1,360,4,1.0,0.5
M1,361,1,0.0,0.0
M1,362,4,0.75,1.0
M1,363,6,0.6666666666666666,0.8333333333333334
M1,364,5,0.8,1.0
M1,365,1,1.0,1.0
M1,366,3,1.0,1.0
M1,367,6,0.8333333333333334,1.0
M1,368,2,1.0,1.0
M1,371,8,0.5,1.0
M1,372,4,0.75,1.0
M1,373,10,0.7,0.9
M1,374,3,1.0,0.6666666666666666
M1,375,2,0.0,1.0
M1,376,4,1.0,1.0
M1,377,8,0.5,0.875
M1,378,42,0.6190476190476191,0.8809523809523809
M1,379,27,0.6666666666666666,0.7037037037037037
M1,380,47,0.425531914893617,0.6382978723404256
M1,381,1,1.0,1.0
M1,382,8,0.375,0.625
M1,383,11,0.09090909090909091,0.2727272727272727
M1,384,2,0.5,0.5
M1,386,3,0.3333333333333333,1.0
M1,387,8,0.5,0.625
M1,388,2,0.5,0.0
M1,390,1,0.0,0.0
M1,392,1,1.0,1.0
M1,394,5,0.0,1.0
