arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A0,600111.SH,2021-09-30,2021-10-25,12,1,43782.60256524003
A0,002466.SZ,2021-09-23,2021-11-09,28,2,20545.878086640034
A0,601919.SH,2021-09-29,2021-11-30,39,2,12082.559413860145
A0,600030.SH,2021-11-17,2021-12-06,13,1,15781.336284420046
A0,000651.SZ,2021-10-28,2021-12-09,30,2,14882.517802080081
A0,601012.SH,2021-12-02,2022-03-01,57,3,11911.362737400108
A0,002594.SZ,2021-12-17,2022-05-05,88,4,-15161.140331099858
A0,000858.SZ,2022-03-04,2022-05-30,56,1,-16906.98683321994
A0,300750.SZ,2021-12-21,2022-06-02,106,3,-97943.60455811996
A0,002415.SZ,2022-05-09,2022-06-06,19,3,21141.421241400065
A0,002241.SZ,2022-06-24,2022-08-05,30,1,5669.915238360059
A0,600036.SH,2022-07-14,2022-08-31,34,3,-9253.682413919945
A0,601888.SH,2022-08-09,2022-09-26,33,2,25997.859993599996
A0,300274.SZ,2022-09-01,2022-10-12,23,1,21345.722282160015
A0,601899.SH,2022-09-27,2022-10-28,18,2,27486.361114739964
A0,002594.SZ,2022-07-13,2022-11-04,76,5,-6528.044203919824
A0,600519.SH,2022-10-13,2022-12-01,35,1,-6637.773531959974
A0,300750.SZ,2022-10-31,2022-12-07,27,1,22683.793246200046
A0,300274.SZ,2022-12-07,2023-01-03,18,2,48201.52225410007
A0,002241.SZ,2022-11-14,2023-01-05,37,2,34076.419577819994
A0,601012.SH,2022-12-23,2023-01-18,17,1,22382.58724128001
A0,300014.SZ,2023-01-12,2023-02-01,9,1,13742.55426942007
A0,300750.SZ,2023-02-20,2023-03-31,29,3,18777.097441440157
A0,300059.SZ,2023-03-08,2023-04-03,18,2,26668.556488800037
A0,000858.SZ,2023-04-11,2023-05-22,26,2,-10014.006498299947
A0,600519.SH,2023-04-13,2023-06-16,43,1,7184.677604219993
A0,600809.SH,2023-05-23,2023-07-25,43,3,36083.205896939966
A0,300418.SZ,2023-06-27,2023-08-14,34,1,-1466.4528931899968
A0,600276.SH,2023-08-01,2023-08-28,19,3,13381.668178560212
A0,002230.SZ,2023-08-17,2023-10-10,32,1,-1200.787438989997
