arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A3,002594.SZ,2023-03-13,2023-04-28,33,1,13198.344043500052
A3,000858.SZ,2023-04-11,2023-05-22,26,1,-8948.597713199997
A3,000651.SZ,2023-05-05,2023-06-09,25,1,5059.302487200068
A3,600519.SH,2023-04-13,2023-06-16,43,1,7184.677604219993
A3,600036.SH,2023-04-28,2023-07-25,57,1,-1305.4052825999388
A3,600809.SH,2023-05-23,2023-07-25,43,1,1962.9344863800507
A3,300059.SZ,2023-05-30,2023-07-25,38,1,249.44285772000512
A3,600570.SH,2023-07-12,2023-08-04,17,1,21855.347100000014
A3,300418.SZ,2023-06-27,2023-08-14,34,1,-21454.011303119943
A3,600276.SH,2023-08-01,2023-08-28,19,1,-5139.077456699975
A3,002475.SZ,2023-09-08,2023-10-11,17,1,13115.952503280016
A3,300760.SZ,2023-08-08,2023-10-30,53,1,9234.742342320009
A3,300014.SZ,2023-02-21,2023-11-06,172,1,-69129.29210615999
A3,300059.SZ,2023-10-24,2023-11-06,9,1,991.6202354000034
A3,603019.SH,2023-08-10,2023-11-07,57,1,-474.5439764399989
A3,000977.SZ,2023-08-21,2023-11-13,54,1,-580.447853109999
A3,601012.SH,2023-11-03,2023-12-28,39,1,-6346.984445999959
A3,600519.SH,2023-10-16,2023-12-29,54,1,-1831.4126027999737
A3,601318.SH,2023-11-10,2024-01-25,53,1,-7737.564225600014
A3,300750.SZ,2023-10-17,2024-02-08,81,1,-2303.342892000004
A3,002230.SZ,2024-01-04,2024-02-08,25,1,1790.5347979200596
A3,000063.SZ,2023-08-08,2024-02-22,129,1,-63090.428338079975
A3,000625.SZ,2024-01-05,2024-02-26,30,1,-2571.98519159999
A3,002456.SZ,2023-12-15,2024-03-01,48,1,-250.9285622799989
A3,002594.SZ,2023-08-15,2024-03-12,137,1,-31838.38304723997
A3,601012.SH,2024-01-30,2024-03-12,24,1,13974.442994160025
A3,601318.SH,2024-03-25,2024-04-29,23,1,8792.969072579988
A3,600519.SH,2024-04-09,2024-05-06,16,1,7018.308338580013
A3,000977.SZ,2024-04-11,2024-05-06,14,1,2334.4170326999993
A3,000628.SZ,2024-04-01,2024-05-21,31,1,-60968.85213275996
A3,000977.SZ,2024-05-29,2024-07-09,28,1,8939.030455080007
A3,000625.SZ,2024-04-17,2024-07-10,56,1,-247.84930533999977
A3,000725.SZ,2024-05-29,2024-07-10,29,1,2633.6984256000433
A3,603019.SH,2024-03-28,2024-07-17,73,1,-19131.195338639896
A3,601919.SH,2024-07-15,2024-09-20,47,1,-7543.930624559958
A3,601138.SH,2024-07-19,2024-09-24,45,1,-36779.420462399925
A3,601899.SH,2024-07-24,2024-09-25,43,1,3835.1746224000526
A3,000100.SZ,2024-05-08,2024-09-27,99,1,-18324.499665779993
A3,600150.SH,2024-09-23,2024-12-18,57,1,17805.307225860015
A3,600418.SH,2024-11-28,2024-12-31,23,1,16133.701312079997
