round,ts_code,entry_date,layer,layer_date,shares,layer_price,layer_cost,holding_days_after_layer,layer_pnl,layer_return_pct,episode_return_pct
9,600745.SH,2020-09-09,1,2020-09-09,1200,123.123,147747.6,57,-9043.109068080039,-6.120647014286552,-6.35
10,601012.SH,2020-11-16,1,2020-11-16,2900,66.757,193594.4,17,19996.30483567904,10.32896862495973,11.57
10,601012.SH,2020-11-16,2,2020-11-18,3000,64.965,194894.7,15,26055.690584480835,13.369111927867117,11.57
11,300122.SZ,2020-11-12,1,2020-11-12,1400,134.925,188894.71,27,28282.892219264137,14.972834453259246,21.59
11,300122.SZ,2020-11-12,2,2020-11-18,1600,120.52,192832.64,23,55341.91415289591,28.69945365727291,21.59
12,002475.SZ,2020-12-15,1,2020-12-15,4000,49.67,198678.48,6,17484.592833599945,8.80044624541115,8.52
13,000651.SZ,2020-12-10,1,2020-12-10,3100,63.073,195526.33,17,6538.458256151724,3.3440295514940233,4.78
13,000651.SZ,2020-12-10,2,2020-12-16,3200,61.061,195395.2,13,13180.91858746808,6.745773994175947,4.78
14,601318.SH,2021-01-29,1,2021-01-29,2400,80.981,194354.16,14,14839.033263770198,7.635047926820912,9.42
14,601318.SH,2021-01-29,2,2021-02-02,2500,79.359,198398.2,12,19507.774170165085,9.832636672190112,9.42
14,601318.SH,2021-01-29,3,2021-02-04,2500,78.078,195195.0,10,22706.67741262456,11.632817138054028,9.42
15,300059.SZ,2021-02-26,1,2021-02-26,6500,30.53,198448.25,25,-10338.70496360005,-5.209773814382364,-5.45
16,300750.SZ,2021-02-01,1,2021-02-01,500,353.353,176676.5,46,-3232.082616252278,-1.8293789022605034,2.68
16,300750.SZ,2021-02-01,2,2021-02-26,600,323.323,193993.8,32,14120.846396432362,7.279019430740758,2.68
17,002475.SZ,2021-01-29,1,2021-01-29,3800,51.501,195705.51,50,-58289.953262001174,-29.784523318735978,-21.91
17,002475.SZ,2021-01-29,2,2021-03-10,4300,45.535,195802.61,27,-40324.58248730371,-20.594507135172364,-21.91
17,002475.SZ,2021-01-29,3,2021-03-12,4600,42.412,195096.9,25,-28782.59686847507,-14.752974992670346,-21.91
18,601166.SH,2021-04-16,1,2021-04-16,9000,20.971,188738.55,15,19708.7397426,10.442349876376607,10.16
19,002352.SZ,2021-04-13,1,2021-04-13,2800,66.066,184984.8,22,1972.585777810661,1.0663501962381023,1.84
19,002352.SZ,2021-04-13,2,2021-04-15,3000,64.775,194324.13,20,5982.527105229339,3.0786331606009707,1.84
20,600031.SH,2021-05-14,1,2021-05-14,7200,27.678,199279.08,12,28384.021222559993,14.243352198615126,13.96
21,002594.SZ,2021-05-06,1,2021-05-06,1200,157.157,188588.4,23,55628.838868363266,29.49748705029751,34.99
21,002594.SZ,2021-05-06,2,2021-05-10,1300,144.094,187322.13,21,77221.90690163658,41.224123867071434,34.99
22,002340.SZ,2021-06-08,1,2021-06-08,20400,9.76,199098.9,19,4904.772469584438,2.463485468570865,5.29
22,002340.SZ,2021-06-08,2,2021-06-10,21000,9.489,199279.08,17,10733.965023855535,5.386398323324022,5.29
22,002340.SZ,2021-06-08,3,2021-06-16,21700,9.189,199405.21,14,17594.79981612004,8.823640975138032,5.29
23,000661.SZ,2021-05-25,1,2021-05-25,400,424.644,169857.69,38,-5092.460259339188,-2.9980745995893314,3.64
23,000661.SZ,2021-05-25,2,2021-05-28,400,416.957,166782.62,35,-2020.8816451846747,-1.2116859929318022,3.64
23,000661.SZ,2021-05-25,3,2021-07-07,500,357.367,178683.5,8,27237.685494223813,15.243537032923474,3.64
24,600031.SH,2021-06-15,1,2021-06-15,7000,28.288,198017.82,35,-2002.021575316796,-1.0110310149444106,4.63
24,600031.SH,2021-06-15,2,2021-06-17,2900,26.947,78146.07,33,3055.3662222106277,3.9098143031513004,4.63
24,600031.SH,2021-06-15,3,2021-07-09,7900,25.185,198962.76,17,22228.280440626128,11.172080866100835,4.63
25,002241.SZ,2021-07-23,1,2021-07-23,5200,38.398,199671.47,9,21080.281685919956,10.557483092561974,10.27
26,002460.SZ,2021-08-17,1,2021-08-17,1200,163.063,195675.48,9,47635.8758172,24.344325521623862,24.03
27,300750.SZ,2021-08-17,1,2021-08-17,400,485.485,194194.0,20,19686.59983623992,10.137594280070402,9.86
28,000858.SZ,2021-07-09,1,2021-07-09,700,269.719,188803.61,54,-36516.455274414395,-19.340973021868805,-5.59
28,000858.SZ,2021-07-09,2,2021-07-27,800,247.247,197797.6,42,-23772.19765822545,-12.018445955979976,-5.59
28,000858.SZ,2021-07-09,3,2021-07-29,800,245.685,196548.35,40,-22523.75851697935,-11.459652811625917,-5.59
28,000858.SZ,2021-07-09,4,2021-08-23,900,206.596,185936.75,23,9808.1807115554,5.275009223058594,-5.59
28,000858.SZ,2021-07-09,5,2021-09-17,1000,196.196,196196.0,4,21288.31406370351,10.850534192187155,-5.59
29,600111.SH,2021-09-30,1,2021-09-30,4600,42.713,196478.28,12,44390.74872915995,22.59320914716881,22.28
30,002466.SZ,2021-09-23,1,2021-09-23,1800,108.348,195026.83,28,-396.18376654410486,-0.2031432119078718,5.28
30,002466.SZ,2021-09-23,2,2021-09-28,2000,97.127,194254.06,25,21977.789617104052,11.313940937504242,5.28
31,601919.SH,2021-09-29,1,2021-09-29,11100,17.918,198888.69,39,-14283.176803356007,-7.181492725079544,3.04
31,601919.SH,2021-09-29,2,2021-11-16,13600,14.615,198758.56,10,27374.99081949584,13.77298709524553,3.04
32,600030.SH,2021-11-17,1,2021-11-17,8300,23.934,198651.45,13,16320.114961579913,8.215452221254822,7.94
33,000651.SZ,2021-10-28,1,2021-10-28,5400,36.506,197134.94,30,2782.791020508726,1.41161735231143,3.77
33,000651.SZ,2021-10-28,2,2021-11-30,5700,34.715,197873.68,7,13135.36669501111,6.638258658256676,3.77
34,601012.SH,2021-12-02,1,2021-12-02,2300,83.383,191781.59,57,-6616.582703567599,-3.450061449364144,2.05
34,601012.SH,2021-12-02,2,2021-12-06,2400,82.082,196996.8,55,-3785.0897649256362,-1.9213965734091298,2.05
34,601012.SH,2021-12-02,3,2022-02-07,2700,71.672,193513.32,16,23819.708041893166,12.309079313968239,2.05
35,002594.SZ,2021-12-17,1,2021-12-17,700,284.284,198998.8,88,-25105.277625397808,-12.615793474833922,-2.22
35,002594.SZ,2021-12-17,2,2021-12-21,700,270.77,189539.35,86,-15654.705273486283,-8.259343125048325,-2.22
35,002594.SZ,2021-12-17,3,2022-02-07,400,241.031,96412.32,58,2938.4497555729254,3.0477948830325055,-2.22
35,002594.SZ,2021-12-17,4,2022-03-08,900,221.301,199170.97,37,24351.190325611125,12.226274906233135,-2.22
36,000858.SZ,2022-03-04,1,2022-03-04,1100,180.16,198175.98,56,-16449.04467638009,-8.300221185423224,-8.53
37,300750.SZ,2021-12-21,1,2021-12-21,300,606.606,181981.8,106,-48956.86408885134,-26.902066079603205,-18.13
37,300750.SZ,2021-12-21,2,2021-12-27,300,574.774,172432.26,102,-39414.65448814924,-22.858051322965455,-18.13
37,300750.SZ,2021-12-21,3,2022-03-08,400,464.444,185777.59,57,-8455.026522879481,-4.551155240456872,-18.13
38,002415.SZ,2022-05-09,1,2022-05-09,5800,34.034,197397.2,19,4271.049593722236,2.163682966993572,3.55
38,002415.SZ,2022-05-09,2,2022-05-11,5800,34.434,199719.52,17,1953.4642948248581,0.9781038402379788,3.55
38,002415.SZ,2022-05-09,3,2022-05-16,6200,32.112,199094.9,14,16469.614827652902,8.272243451566515,3.55
39,002241.SZ,2022-06-24,1,2022-06-24,6200,32.192,199591.39,30,6191.307238839881,3.1019911424234685,2.84
40,600036.SH,2022-07-14,1,2022-07-14,5300,37.207,197198.0,34,-13174.488729492998,-6.680842974823779,-1.57
40,600036.SH,2022-07-14,2,2022-07-18,5600,35.185,197036.84,32,-2608.045732365019,-1.3236335562248254,-1.57
40,600036.SH,2022-07-14,3,2022-08-04,5900,33.363,196843.65,19,7991.566060977986,4.059854641477125,-1.57
41,601888.SH,2022-08-09,1,2022-08-09,1000,190.711,190710.52,33,7739.440519909921,4.058213736667449,7.03
41,601888.SH,2022-08-09,2,2022-09-05,1000,179.179,179179.0,14,19258.836936090058,10.748378401537042,7.03
42,300274.SZ,2022-09-01,1,2022-09-01,1700,112.182,190709.52,23,21881.188767439973,11.473569210095004,11.19
43,601899.SH,2022-09-27,1,2022-09-27,25900,7.718,199888.69,18,13536.551247028348,6.772044604939052,6.91
43,601899.SH,2022-09-27,2,2022-09-29,25800,7.658,197567.37,16,15030.550487031604,7.6078101799055196,6.91
44,002594.SZ,2022-07-13,1,2022-07-13,600,309.309,185585.4,76,-18473.54116234032,-9.954199609635413,-0.69
44,002594.SZ,2022-07-13,2,2022-08-11,600,311.741,187044.86,55,-19931.28898890849,-10.655887036355072,-0.69
44,002594.SZ,2022-07-13,3,2022-09-01,700,285.285,199699.5,40,-4752.397529055523,-2.3797743755269907,-0.69
44,002594.SZ,2022-07-13,4,2022-09-05,700,269.269,188488.3,38,6447.647244505501,3.420714837210321,-0.69
44,002594.SZ,2022-07-13,5,2022-10-31,800,237.737,190190.0,4,32569.24044851857,17.124580918301998,-0.69
45,600519.SH,2022-10-13,1,2022-10-13,100,1722.18,172218.05,35,-6219.829854040021,-3.6116016027588405,-3.85
46,300750.SZ,2022-10-31,1,2022-10-31,500,360.36,180180.0,27,23195.513153799962,12.873522673881652,12.59
47,300274.SZ,2022-12-07,1,2022-12-07,1900,104.204,197987.79,18,21698.501351991265,10.95951490341463,12.35
47,300274.SZ,2022-12-07,2,2022-12-14,1900,101.091,192072.88,13,27606.374845508682,14.372864532207089,12.35
48,002241.SZ,2022-11-14,1,2022-11-14,11800,16.877,199146.95,37,16685.457309680172,8.378464902264469,8.55
48,002241.SZ,2022-11-14,2,2022-12-26,11900,16.737,199166.97,7,18490.979874099765,9.284159855471902,8.55
49,601012.SH,2022-12-23,1,2022-12-23,4900,40.24,197176.98,17,22936.90072911997,11.63264633078363,11.35
50,300014.SZ,2023-01-12,1,2023-01-12,2300,85.555,196777.58,9,14273.841388979963,7.253794557784461,6.98
51,300750.SZ,2023-02-20,1,2023-02-20,400,416.416,166566.4,29,-1045.5857079556592,-0.6277290665798501,3.63
51,300750.SZ,2023-02-20,2,2023-02-22,400,409.409,163763.6,27,1754.2794361685967,1.0712267171511842,3.63
51,300750.SZ,2023-02-20,3,2023-03-20,500,374.915,187457.27,9,19421.789449946766,10.360648829435512,3.63
52,300059.SZ,2023-03-08,1,2023-03-08,9900,20.07,198693.5,18,6737.422748926737,3.3908621816650957,6.7
52,300059.SZ,2023-03-08,2,2023-03-23,10600,18.769,198948.75,7,20989.596792273234,10.550253164331636,6.7
53,000858.SZ,2023-04-11,1,2023-04-11,1000,184.154,184153.97,26,-8502.00669259549,-4.616792509330909,-2.65
53,000858.SZ,2023-04-11,2,2023-04-13,1100,176.176,193793.6,24,-584.8895455046222,-0.30181055798778816,-2.65
54,600519.SH,2023-04-13,1,2023-04-13,100,1691.69,169169.0,43,7629.754515780008,4.510137504968409,4.25
55,600809.SH,2023-05-23,1,2023-05-23,900,221.221,199098.9,43,3044.6291051200697,1.5292043829072235,6.34
55,600809.SH,2023-05-23,2,2023-05-25,900,215.085,193576.38,41,8561.064719914484,4.422577134624836,6.34
55,600809.SH,2023-05-23,3,2023-06-27,900,195.685,176116.94,20,26002.208323625524,14.76417221627035,6.34
56,300418.SZ,2023-06-27,1,2023-06-27,300,44.544,13363.35,34,-1432.3643738100052,-10.718602549585285,-10.97
57,600276.SH,2023-08-01,1,2023-08-01,4500,44.354,199594.4,19,-4831.720934221793,-2.4207697882414503,2.24
57,600276.SH,2023-08-01,2,2023-08-03,4700,41.892,196891.69,17,6518.860251278035,3.310886432676786,2.24
57,600276.SH,2023-08-01,3,2023-08-07,4900,40.701,199433.23,15,12629.094457983434,6.332492563041492,2.24
58,002230.SZ,2023-08-17,1,2023-08-17,300,57.638,17291.27,32,-1174.6283864100042,-6.793187466334191,-6.94
59,002475.SZ,2023-09-08,1,2023-09-08,6700,29.529,197847.65,17,13633.690165639939,6.891004348871436,6.73
60,300014.SZ,2023-02-21,1,2023-02-21,2600,74.474,193633.44,172,-68928.34715413711,-35.59733646943271,-28.57
60,300014.SZ,2023-02-21,2,2023-02-23,2700,74.074,199999.8,170,-70499.74367967634,-35.24990708974526,-28.57
60,300014.SZ,2023-02-21,3,2023-03-20,3200,62.202,199046.85,153,-45575.613633148554,-22.89692785047769,-28.57
60,300014.SZ,2023-02-21,4,2023-04-21,3000,64.765,194294.1,130,-50413.96000112702,-25.947241836539053,-28.57
60,300014.SZ,2023-02-21,5,2023-04-25,3200,62.072,198630.43,128,-45159.73159739108,-22.735555472236094,-28.57
61,600519.SH,2023-10-16,1,2023-10-16,100,1752.731,175273.1,54,-1565.4728193155609,-0.8931620535698638,0.5
61,600519.SH,2023-10-16,2,2023-10-18,100,1720.519,172051.88,52,1654.1020402438096,0.961397248460063,0.5
61,600519.SH,2023-10-16,3,2023-12-06,100,1704.333,170433.26,17,3271.885428891578,1.9197458459056511,0.5
62,601318.SH,2023-11-10,1,2023-11-10,4600,42.943,197537.34,53,-10184.495972487044,-5.155732061840584,-3.89
62,601318.SH,2023-11-10,2,2023-11-14,4600,42.593,195925.73,51,-8575.245772245333,-4.376783882466755,-3.89
62,601318.SH,2023-11-10,3,2023-12-06,1500,39.54,59309.25,35,1781.0935625323932,3.003062022420437,-3.89
63,300750.SZ,2023-10-17,1,2023-10-17,1000,185.696,185695.51,81,-22758.292371272986,-12.255704174685206,-1.63
63,300750.SZ,2023-10-17,2,2023-11-28,1100,170.2,187220.03,51,-7996.8476812471,-4.271363315798582,-1.63
63,300750.SZ,2023-10-17,3,2024-01-30,1300,145.645,189339.15,7,22455.08745606012,11.859717050625884,-1.63
64,002230.SZ,2024-01-04,1,2024-01-04,4600,43.043,197997.8,25,2094.0850686753643,1.0576304730029142,3.59
64,002230.SZ,2024-01-04,2,2024-01-08,4800,40.861,196131.94,23,12653.3211710046,6.451433239789807,3.59
65,601012.SH,2024-01-30,1,2024-01-30,9800,20.29,198844.65,24,20488.056163724723,10.30354910917881,13.32
65,601012.SH,2024-01-30,2,2024-02-01,9200,19.109,175803.63,22,30092.127570315195,17.116897740004113,13.32
66,601318.SH,2024-03-25,1,2024-03-25,4900,40.49,198403.2,23,9119.665828128816,4.596531622538757,8.1
66,601318.SH,2024-03-25,2,2024-04-15,5200,37.818,196652.46,10,23564.46458841124,11.982796751391383,8.1
67,000628.SZ,2024-04-01,1,2024-04-01,2600,76.406,198656.46,31,-60745.247532511756,-30.578037851128403,-22.19
67,000628.SZ,2024-04-01,2,2024-04-03,2700,72.763,196459.26,29,-53248.779198633085,-27.10423484168325,-22.19
67,000628.SZ,2024-04-01,3,2024-04-11,3400,57.958,197056.86,25,-16733.780198235236,-8.491853670171764,-22.19
68,000977.SZ,2024-05-29,1,2024-05-29,5400,36.967,199621.42,28,9252.74640651998,4.635147073154765,4.48
69,000625.SZ,2024-05-07,1,2024-05-07,13300,14.965,199033.83,45,-8391.543184214803,-4.216139127812997,1.76
69,000625.SZ,2024-05-07,2,2024-06-07,15000,13.263,198948.75,22,16052.11100999486,8.068465376130716,1.76
70,603019.SH,2024-03-28,1,2024-03-28,4200,47.347,198858.66,73,-18847.743708528094,-9.477959727038336,-3.17
70,603019.SH,2024-03-28,2,2024-05-27,4800,41.431,198870.67,36,6843.061984048055,3.440960893855315,-3.17
71,601919.SH,2024-07-15,1,2024-07-15,14800,13.443,198962.76,47,-7241.898626684875,-3.639826179876513,-0.08
71,601919.SH,2024-07-15,2,2024-08-09,16000,12.482,199719.52,28,7539.277547244713,3.7749327392959455,-0.08
72,601138.SH,2024-07-19,1,2024-07-19,8000,24.995,199959.76,45,-36512.59069576286,-18.259969253695274,-10.89
72,601138.SH,2024-07-19,2,2024-07-26,8600,23.223,199719.52,40,-24018.49571294855,-12.02611327773497,-10.89
72,601138.SH,2024-07-19,3,2024-09-05,4900,18.879,92506.41,11,7591.337740751316,8.206282938394557,-10.89
73,601899.SH,2024-07-24,1,2024-07-24,12100,16.466,199244.04,43,6119.901345394808,3.0715605572918556,5.92
73,601899.SH,2024-07-24,2,2024-07-26,12800,15.566,199239.04,41,17987.798680287604,9.028250025842127,5.92
73,601899.SH,2024-07-24,3,2024-09-05,100,14.765,1476.47,12,220.58699016761094,14.9401606648026,5.92
74,600150.SH,2024-09-23,1,2024-09-23,5900,33.343,196725.53,57,18749.57764452992,9.530830921909281,6.49
74,600150.SH,2024-09-23,2,2024-11-25,5600,35.195,197092.9,17,7430.574802770009,3.7700875083628125,6.49
75,600418.SH,2024-11-28,1,2024-11-28,5700,34.595,197188.99,23,16455.76640903692,8.345175057206248,8.18
