date,n_positions,cash,candidate_count,k_full,cash_insufficient
2020-11-05,2,593741.7240432706,0,0,0
2020-11-06,2,593741.7240432706,0,0,0
2020-11-09,1,799274.4281207506,0,0,0
2020-11-10,1,799274.4281207506,0,0,0
2020-11-11,1,799274.4281207506,1,0,0
2020-11-12,2,610330.6094971906,0,0,0
2020-11-13,2,610330.6094971906,1,0,0
2020-11-16,3,416685.87395293056,2,1,0
2020-11-17,3,416685.87395293056,2,1,0
2020-11-18,3,28857.724844530545,1,1,0
2020-11-19,3,28857.724844530545,0,1,0
2020-11-20,3,28857.724844530545,0,1,0
2020-11-23,3,28857.724844530545,0,1,0
2020-11-24,3,28857.724844530545,0,1,0
2020-11-25,3,28857.724844530545,0,1,0
2020-11-26,3,28857.724844530545,0,1,0
2020-11-27,3,28857.724844530545,0,1,0
2020-11-30,3,28857.724844530545,0,1,0
2020-12-01,3,28857.724844530545,0,1,0
2020-12-02,3,28857.724844530545,0,1,0
2020-12-03,3,28857.724844530545,0,1,0
2020-12-04,3,28857.724844530545,0,1,0
2020-12-07,2,167252.41953661057,0,0,1
2020-12-08,2,167252.41953661057,0,0,1
2020-12-09,1,600805.9179507106,1,0,0
2020-12-10,2,405228.7501046506,0,0,0
2020-12-11,2,405228.7501046506,0,0,0
2020-12-14,2,405228.7501046506,1,0,0
2020-12-15,3,206498.61369985066,1,1,0
2020-12-16,3,11052.610947850684,1,1,0
2020-12-17,3,11052.610947850684,0,1,0
2020-12-18,3,11052.610947850684,0,1,0
2020-12-21,2,475331.5514636507,0,0,0
2020-12-22,2,475331.5514636507,0,0,0
2020-12-23,1,691003.3022252508,0,0,0
2020-12-24,1,691003.3022252508,0,0,0
2020-12-25,1,691003.3022252508,0,0,0
2020-12-28,1,691003.3022252508,0,0,0
2020-12-29,1,691003.3022252508,0,0,0
2020-12-30,1,691003.3022252508,0,0,0
2020-12-31,1,691003.3022252508,0,0,0
2021-01-04,1,691003.3022252508,0,0,0
2021-01-05,0,1100709.7867840908,0,0,0
2021-01-06,0,1100709.7867840908,0,0,0
2021-01-07,0,1100709.7867840908,0,0,0
2021-01-08,0,1100709.7867840908,0,0,0
2021-01-11,0,1100709.7867840908,0,0,0
2021-01-12,0,1100709.7867840908,0,0,0
2021-01-13,0,1100709.7867840908,0,0,0
2021-01-14,0,1100709.7867840908,0,0,0
2021-01-15,0,1100709.7867840908,0,0,0
2021-01-18,0,1100709.7867840908,0,0,0
2021-01-19,0,1100709.7867840908,0,0,0
2021-01-20,0,1100709.7867840908,0,0,0
2021-01-21,0,1100709.7867840908,0,0,0
2021-01-22,0,1100709.7867840908,0,0,0
2021-01-25,0,1100709.7867840908,0,0,0
2021-01-26,0,1100709.7867840908,0,0,0
2021-01-27,0,1100709.7867840908,0,0,0
2021-01-28,0,1100709.7867840908,2,0,0
2021-01-29,2,710548.7012698909,3,0,0
2021-02-01,3,533826.2653798909,1,1,0
2021-02-02,3,335376.48184789094,1,1,0
2021-02-03,3,335376.48184789094,2,1,0
2021-02-04,3,140130.73114789097,0,1,0
2021-02-05,3,140130.73114789097,0,1,0
2021-02-08,3,140130.73114789097,0,1,0
2021-02-09,3,140130.73114789097,0,1,0
2021-02-10,3,140130.73114789097,0,1,0
2021-02-18,3,140130.73114789097,0,1,0
2021-02-19,3,140130.73114789097,0,1,0
2021-02-22,3,140130.73114789097,2,1,0
2021-02-23,3,140130.73114789097,0,1,0
2021-02-24,3,140130.73114789097,1,1,0
2021-02-25,2,783657.8799877309,3,0,0
2021-02-26,3,391113.79505473084,3,1,0
2021-03-01,3,391113.79505473084,1,1,0
2021-03-02,3,391113.79505473084,0,1,0
2021-03-03,3,391113.79505473084,0,1,0
2021-03-04,3,391113.79505473084,1,1,0
2021-03-05,3,391113.79505473084,1,1,0
2021-03-08,3,391113.79505473084,2,1,0
2021-03-09,3,391113.79505473084,2,1,0
2021-03-10,3,195260.27937691085,0,1,0
2021-03-11,3,195260.27937691085,1,1,0
2021-03-12,3,112.65218239088426,0,1,0
2021-03-15,3,112.65218239088426,0,1,0
2021-03-16,3,112.65218239088426,0,1,0
2021-03-17,3,112.65218239088426,0,1,0
2021-03-18,3,112.65218239088426,1,1,0
2021-03-19,3,112.65218239088426,1,1,0
2021-03-22,3,112.65218239088426,1,1,0
2021-03-23,3,112.65218239088426,1,1,0
2021-03-24,3,112.65218239088426,1,1,0
2021-03-25,3,112.65218239088426,0,1,0
2021-03-26,3,112.65218239088426,0,1,0
2021-03-29,3,112.65218239088426,0,1,0
2021-03-30,3,112.65218239088426,0,1,0
2021-03-31,3,112.65218239088426,0,1,0
2021-04-01,3,112.65218239088426,0,1,0
2021-04-02,2,187797.7606009909,0,0,1
2021-04-06,2,187797.7606009909,0,0,1
2021-04-07,2,187797.7606009909,0,0,1
2021-04-08,2,187797.7606009909,0,0,1
2021-04-09,2,187797.7606009909,0,0,1
2021-04-12,2,187797.7606009909,2,0,1
2021-04-13,3,2764.864552990941,1,1,0
2021-04-14,2,383460.02649481094,0,0,0
2021-04-15,2,189085.372221011,3,0,1
2021-04-16,3,297.7501980110246,2,1,0
2021-04-19,2,458492.46451033105,0,0,0
2021-04-20,2,458492.46451033105,0,0,0
2021-04-21,2,458492.46451033105,0,0,0
2021-04-22,2,458492.46451033105,0,0,0
2021-04-23,2,458492.46451033105,0,0,0
2021-04-26,2,458492.46451033105,0,0,0
2021-04-27,2,458492.46451033105,0,0,0
2021-04-28,2,458492.46451033105,0,0,0
2021-04-29,2,458492.46451033105,0,0,0
2021-04-30,2,458492.46451033105,1,0,0
2021-05-06,3,269855.0315263311,3,1,0
2021-05-07,3,269855.0315263311,2,1,0
2021-05-10,3,82484.19277123112,1,1,0
2021-05-11,3,82484.19277123112,1,1,0
2021-05-12,2,290453.3810056311,0,0,0
2021-05-13,2,290453.3810056311,1,0,0
2021-05-14,3,91122.48844483113,0,1,0
2021-05-17,3,91122.48844483113,0,1,0
2021-05-18,2,477513.7552399911,0,0,0
2021-05-19,2,477513.7552399911,0,0,0
2021-05-20,2,477513.7552399911,0,0,0
2021-05-21,2,477513.7552399911,0,0,0
2021-05-24,2,477513.7552399911,2,0,0
2021-05-25,3,307611.90424111113,1,1,0
2021-05-26,3,307611.90424111113,0,1,0
2021-05-27,3,307611.90424111113,1,1,0
2021-05-28,3,140785.92476095114,1,1,0
2021-05-31,3,140785.92476095114,0,1,0
2021-06-01,2,367935.69097759115,0,0,0
2021-06-02,2,367935.69097759115,0,0,0
2021-06-03,2,367935.69097759115,0,0,0
2021-06-04,2,367935.69097759115,0,0,0
2021-06-07,2,367935.69097759115,1,0,0
2021-06-08,2,676360.9477570913,0,0,0
2021-06-09,2,676360.9477570913,0,0,0
2021-06-10,2,477030.0551962913,0,0,0
2021-06-11,2,477030.0551962913,1,0,0
2021-06-15,3,278960.75056309137,1,1,0
2021-06-16,3,79503.69920953139,0,1,0
2021-06-17,3,1337.3132318513963,0,1,0
2021-06-18,3,1337.3132318513963,0,1,0
2021-06-21,3,1337.3132318513963,1,1,0
2021-06-22,3,1337.3132318513963,2,1,0
2021-06-23,3,1337.3132318513963,1,1,0
2021-06-24,3,1337.3132318513963,0,1,0
2021-06-25,3,1337.3132318513963,0,1,0
2021-06-28,3,1337.3132318513963,0,1,0
2021-06-29,3,1337.3132318513963,0,1,0
2021-06-30,3,1337.3132318513963,0,1,0
2021-07-01,3,1337.3132318513963,0,1,0
2021-07-02,3,1337.3132318513963,0,1,0
2021-07-05,3,1337.3132318513963,1,1,0
2021-07-06,2,630912.0482918514,0,0,0
2021-07-07,2,452182.0855805514,0,0,0
2021-07-08,2,452182.0855805514,2,0,0
2021-07-09,3,64314.88732201149,0,1,0
2021-07-12,3,64314.88732201149,0,1,0
2021-07-13,3,64314.88732201149,1,1,0
2021-07-14,3,64314.88732201149,0,1,0
2021-07-15,3,64314.88732201149,0,1,0
2021-07-16,3,64314.88732201149,1,1,0
2021-07-19,2,598549.4585414515,0,0,0
2021-07-20,2,598549.4585414515,0,0,0
2021-07-21,2,598549.4585414515,0,0,0
2021-07-22,2,598549.4585414515,1,0,0
2021-07-23,3,398826.0719587315,1,1,0
2021-07-26,3,398826.0719587315,2,1,0
2021-07-27,3,200977.04458273153,3,1,0
2021-07-28,3,200977.04458273153,1,1,0
2021-07-29,3,4377.590011211549,1,1,0
2021-07-30,3,4377.590011211549,2,1,0
2021-08-02,3,4377.590011211549,0,1,0
2021-08-03,2,501651.83399521164,0,0,0
2021-08-04,2,501651.83399521164,0,0,0
2021-08-05,1,721893.2397276117,0,0,0
2021-08-06,1,721893.2397276117,0,0,0
2021-08-09,1,721893.2397276117,0,0,0
2021-08-10,1,721893.2397276117,0,0,0
2021-08-11,1,721893.2397276117,0,0,0
2021-08-12,1,721893.2397276117,0,0,0
2021-08-13,1,721893.2397276117,0,0,0
2021-08-16,1,721893.2397276117,2,0,0
2021-08-17,3,331922.3936628117,0,1,0
2021-08-18,3,331922.3936628117,0,1,0
2021-08-19,3,331922.3936628117,0,1,0
2021-08-20,3,331922.3936628117,3,1,0
2021-08-23,3,145937.29910755175,1,1,0
2021-08-24,3,145937.29910755175,0,1,0
2021-08-25,3,145937.29910755175,0,1,0
2021-08-26,3,145937.29910755175,0,1,0
2021-08-27,3,145937.29910755175,0,1,0
2021-08-30,2,388687.7476655517,0,0,0
2021-08-31,2,388687.7476655517,0,0,0
2021-09-01,2,388687.7476655517,0,0,0
2021-09-02,2,388687.7476655517,0,0,0
2021-09-03,2,388687.7476655517,0,0,0
2021-09-06,2,388687.7476655517,0,0,0
2021-09-07,2,388687.7476655517,0,0,0
2021-09-08,2,388687.7476655517,0,0,0
2021-09-09,2,388687.7476655517,0,0,0
2021-09-10,2,388687.7476655517,0,0,0
2021-09-13,2,388687.7476655517,0,0,0
2021-09-14,1,602080.6573893118,0,0,0
2021-09-15,1,602080.6573893118,0,0,0
2021-09-16,1,602080.6573893118,1,0,0
2021-09-17,1,405833.64642931183,0,0,0
2021-09-22,1,405833.64642931183,2,0,0
2021-09-23,2,210756.10745299183,0,0,0
2021-09-24,2,210756.10745299183,0,0,0
2021-09-27,1,1122276.5587288318,1,0,0
2021-09-28,1,927971.9926732319,1,0,0
2021-09-29,2,729031.5916138319,3,0,0
2021-09-30,3,532502.225260512,0,1,0
2021-10-08,3,532502.225260512,1,1,0
2021-10-11,3,532502.225260512,0,1,0
2021-10-12,3,532502.225260512,0,1,0
2021-10-13,3,532502.225260512,0,1,0
2021-10-14,3,532502.225260512,0,1,0
2021-10-15,3,532502.225260512,0,1,0
2021-10-18,3,532502.225260512,0,1,0
2021-10-19,3,532502.225260512,0,1,0
2021-10-20,3,532502.225260512,0,1,0
2021-10-21,3,532502.225260512,0,1,0
2021-10-22,3,532502.225260512,0,1,0
2021-10-25,2,772814.194179072,0,0,0
2021-10-26,2,772814.194179072,0,0,0
2021-10-27,2,772814.194179072,1,0,0
2021-10-28,3,575628.001095192,0,1,0
2021-10-29,3,575628.001095192,0,1,0
2021-11-01,3,575628.001095192,1,1,0
2021-11-02,3,575628.001095192,2,1,0
2021-11-03,3,575628.001095192,0,1,0
2021-11-04,3,575628.001095192,1,1,0
2021-11-05,3,575628.001095192,0,1,0
2021-11-08,3,575628.001095192,0,1,0
2021-11-09,2,985555.9842137521,0,0,0
2021-11-10,2,985555.9842137521,0,0,0
2021-11-11,2,985555.9842137521,0,0,0
2021-11-12,2,985555.9842137521,0,0,0
2021-11-15,2,985555.9842137521,0,0,0
2021-11-16,2,786745.7469881522,2,0,0
2021-11-17,3,588042.6446103721,0,1,0
2021-11-18,3,588042.6446103721,0,1,0
2021-11-19,3,588042.6446103721,0,1,0
2021-11-22,3,588042.6446103721,0,1,0
2021-11-23,3,588042.6446103721,0,1,0
2021-11-24,3,588042.6446103721,0,1,0
2021-11-25,3,588042.6446103721,0,1,0
2021-11-26,3,588042.6446103721,1,1,0
2021-11-29,3,588042.6446103721,0,1,0
2021-11-30,2,799950.7191534722,0,0,0
2021-12-01,2,799950.7191534722,2,0,0
2021-12-02,3,608119.2659400722,1,1,0
2021-12-03,3,608119.2659400722,1,1,0
2021-12-06,2,625555.6854342723,0,0,0
2021-12-07,2,625555.6854342723,0,0,0
2021-12-08,2,625555.6854342723,0,0,0
2021-12-09,1,1035549.5194759923,0,0,0
2021-12-10,1,1035549.5194759923,0,0,0
2021-12-13,1,1035549.5194759923,0,0,0
2021-12-14,1,1035549.5194759923,0,0,0
2021-12-15,1,1035549.5194759923,0,0,0
2021-12-16,1,1035549.5194759923,1,0,0
2021-12-17,2,836498.9797879923,0,0,0
2021-12-20,2,836498.9797879923,5,0,0
2021-12-21,3,464881.23428899236,3,1,0
2021-12-22,3,464881.23428899236,0,1,0
2021-12-23,3,464881.23428899236,0,1,0
2021-12-24,3,464881.23428899236,3,1,0
2021-12-27,3,292404.1419013924,0,1,0
2021-12-28,3,292404.1419013924,0,1,0
2021-12-29,3,292404.1419013924,1,1,0
2021-12-30,3,292404.1419013924,0,1,0
2021-12-31,3,292404.1419013924,0,1,0
2022-01-04,3,292404.1419013924,0,1,0
2022-01-05,3,292404.1419013924,1,1,0
2022-01-06,3,292404.1419013924,1,1,0
2022-01-07,3,292404.1419013924,1,1,0
2022-01-10,3,292404.1419013924,0,1,0
2022-01-11,3,292404.1419013924,0,1,0
2022-01-12,3,292404.1419013924,0,1,0
2022-01-13,3,292404.1419013924,2,1,0
2022-01-14,3,292404.1419013924,1,1,0
2022-01-17,3,292404.1419013924,1,1,0
2022-01-18,3,292404.1419013924,0,1,0
2022-01-19,3,292404.1419013924,1,1,0
2022-01-20,3,292404.1419013924,1,1,0
2022-01-21,3,292404.1419013924,0,1,0
2022-01-24,3,292404.1419013924,1,1,0
2022-01-25,3,292404.1419013924,1,1,0
2022-01-26,3,292404.1419013924,0,1,0
2022-01-27,3,292404.1419013924,1,1,0
2022-01-28,3,292404.1419013924,3,1,0
2022-02-07,3,2403.125236032429,1,1,0
2022-02-08,3,2403.125236032429,2,1,0
2022-02-09,3,2403.125236032429,1,1,0
2022-02-10,3,2403.125236032429,3,1,0
2022-02-11,3,2403.125236032429,3,1,0
2022-02-14,3,2403.125236032429,1,1,0
2022-02-15,3,2403.125236032429,1,1,0
2022-02-16,3,2403.125236032429,1,1,0
2022-02-17,3,2403.125236032429,0,1,0
2022-02-18,3,2403.125236032429,0,1,0
2022-02-21,3,2403.125236032429,0,1,0
2022-02-22,3,2403.125236032429,0,1,0
2022-02-23,3,2403.125236032429,0,1,0
2022-02-24,3,2403.125236032429,1,1,0
2022-02-25,3,2403.125236032429,0,1,0
2022-02-28,3,2403.125236032429,0,1,0
2022-03-01,2,596757.5938180324,0,0,0
2022-03-02,2,596757.5938180324,0,0,0
