sig_date,ts_code,block_reason,wait_days,release_date,ind_return,ind_time_to_breakeven,natural_exit_before_release
2023-07-20,300308.SZ,BLOCKED_K,3.0,2023-07-25,-5.693477162892338,0.0,0.0
2023-07-20,000063.SZ,BLOCKED_K,3.0,2023-07-25,-20.144973123840867,1.0,0.0
2023-07-21,300308.SZ,BLOCKED_K,2.0,2023-07-25,,,
2023-08-07,000063.SZ,BLOCKED_K,15.0,2023-08-28,,,
2023-08-07,300760.SZ,BLOCKED_K,15.0,2023-08-28,,,
2023-08-09,603019.SH,BLOCKED_K,13.0,2023-08-28,,,
2023-08-18,000858.SZ,BLOCKED_K,6.0,2023-08-28,9.240903528696505,10.0,0.0
2023-08-18,000977.SZ,BLOCKED_K,6.0,2023-08-28,7.706372017077919,1.0,0.0
2023-08-21,300274.SZ,BLOCKED_K,5.0,2023-08-28,,,
2023-08-21,600009.SH,BLOCKED_K,5.0,2023-08-28,-11.699228208217027,,0.0
2023-08-21,002594.SZ,BLOCKED_K,5.0,2023-08-28,,,
2023-08-21,601012.SH,BLOCKED_K,5.0,2023-08-28,-11.755699669774852,10.0,0.0
2023-08-22,601012.SH,BLOCKED_K,4.0,2023-08-28,,,
2023-08-23,601012.SH,BLOCKED_K,3.0,2023-08-28,,,
2023-08-25,300308.SZ,BLOCKED_K,1.0,2023-08-28,,,
2023-09-08,300750.SZ,BLOCKED_K,16.0,2023-10-10,-18.00484444688593,,0.0
2023-09-11,300750.SZ,BLOCKED_K,15.0,2023-10-10,,,
2023-09-12,300750.SZ,BLOCKED_K,14.0,2023-10-10,,,
2023-09-13,300750.SZ,BLOCKED_K,13.0,2023-10-10,,,
2023-09-15,300750.SZ,BLOCKED_K,11.0,2023-10-10,,,
2023-09-18,300308.SZ,BLOCKED_K,10.0,2023-10-10,,,
2023-10-19,000977.SZ,BLOCKED_K,12.0,2023-11-06,,,
2023-10-23,300059.SZ,BLOCKED_K,10.0,2023-11-06,6.795375111896212,0.0,1.0
2023-10-24,000063.SZ,BLOCKED_K,9.0,2023-11-06,,,
2023-10-24,601138.SH,BLOCKED_K,9.0,2023-11-06,,,
2023-11-02,601012.SH,BLOCKED_K,2.0,2023-11-06,,,
2023-11-24,002594.SZ,BLOCKED_K,25.0,2023-12-29,,,
2023-11-27,002594.SZ,BLOCKED_K,24.0,2023-12-29,,,
2023-11-29,002594.SZ,BLOCKED_K,22.0,2023-12-29,,,
2023-11-30,002594.SZ,BLOCKED_K,21.0,2023-12-29,,,
2023-12-11,000568.SZ,BLOCKED_K,14.0,2023-12-29,,,
2023-12-13,000858.SZ,BLOCKED_K,12.0,2023-12-29,,,
2023-12-13,000568.SZ,BLOCKED_K,12.0,2023-12-29,,,
2023-12-14,002456.SZ,BLOCKED_K,11.0,2023-12-29,9.13490121758614,,0.0
2023-12-14,000628.SZ,BLOCKED_K,11.0,2023-12-29,44.67924500816973,0.0,0.0
2023-12-20,000651.SZ,BLOCKED_K,7.0,2023-12-29,12.104633410839131,0.0,0.0
2023-12-21,000651.SZ,BLOCKED_K,6.0,2023-12-29,,,
2023-12-25,002555.SZ,BLOCKED_K,4.0,2023-12-29,17.471539089853273,0.0,0.0
2023-12-27,300059.SZ,BLOCKED_K,2.0,2023-12-29,,,
2024-01-04,000625.SZ,BLOCKED_K,15.0,2024-01-25,12.686864654118963,,0.0
2024-01-05,000625.SZ,BLOCKED_K,14.0,2024-01-25,,,
2024-01-08,000063.SZ,BLOCKED_K,13.0,2024-01-25,,,
2024-01-08,000858.SZ,BLOCKED_K,13.0,2024-01-25,,,
2024-01-12,000661.SZ,BLOCKED_K,9.0,2024-01-25,,,
2024-01-16,300033.SZ,BLOCKED_K,7.0,2024-01-25,,,
2024-01-17,600519.SH,BLOCKED_K,6.0,2024-01-25,5.907729356690894,0.0,0.0
2024-01-17,002475.SZ,BLOCKED_K,6.0,2024-01-25,7.219372761109448,0.0,0.0
2024-01-22,301236.SZ,BLOCKED_K,3.0,2024-01-25,15.202767971466354,0.0,0.0
2024-01-30,603259.SH,BLOCKED_K,7.0,2024-02-08,,,
2024-01-30,002594.SZ,BLOCKED_K,7.0,2024-02-08,,,
2024-01-30,002129.SZ,BLOCKED_K,7.0,2024-02-08,-6.5866863796632105,1.0,0.0
2024-01-31,603259.SH,BLOCKED_K,6.0,2024-02-08,,,
2024-01-31,300418.SZ,BLOCKED_K,6.0,2024-02-08,39.428041617887864,0.0,0.0
2024-02-05,603259.SH,BLOCKED_K,3.0,2024-02-08,,,
2024-04-08,600519.SH,BLOCKED_K,15.0,2024-04-29,5.19682233937109,4.0,0.0
2024-04-09,600519.SH,BLOCKED_K,14.0,2024-04-29,,,
2024-04-10,600519.SH,BLOCKED_K,13.0,2024-04-29,,,
2024-04-10,000977.SZ,BLOCKED_K,13.0,2024-04-29,12.570545419631626,0.0,0.0
2024-04-11,600519.SH,BLOCKED_K,12.0,2024-04-29,,,
2024-04-12,600519.SH,BLOCKED_K,11.0,2024-04-29,,,
2024-04-16,000625.SZ,BLOCKED_K,9.0,2024-04-29,-3.58132493313491,0.0,0.0
2024-04-23,002230.SZ,BLOCKED_K,4.0,2024-04-29,,,
2024-04-25,002466.SZ,BLOCKED_K,2.0,2024-04-29,,,
2024-04-26,600919.SH,BLOCKED_K,1.0,2024-04-29,-3.22433989136676,0.0,0.0
2024-05-07,000100.SZ,BLOCKED_K,10.0,2024-05-21,6.430946014868081,0.0,0.0
2024-05-28,000725.SZ,BLOCKED_K,29.0,2024-07-09,4.499483038676097,1.0,0.0
2024-05-31,601138.SH,BLOCKED_K,26.0,2024-07-09,17.235953981802986,0.0,1.0
2024-06-06,601012.SH,BLOCKED_K,22.0,2024-07-09,-12.181185272863992,,0.0
2024-06-07,300750.SZ,BLOCKED_K,21.0,2024-07-09,1.3901215027090492,5.0,0.0
2024-06-07,601012.SH,BLOCKED_K,21.0,2024-07-09,,,
2024-06-11,600519.SH,BLOCKED_K,20.0,2024-07-09,0.5216824393800606,0.0,0.0
2024-06-11,300750.SZ,BLOCKED_K,20.0,2024-07-09,,,
2024-06-11,000858.SZ,BLOCKED_K,20.0,2024-07-09,,,
2024-06-12,600519.SH,BLOCKED_K,19.0,2024-07-09,,,
2024-06-12,300750.SZ,BLOCKED_K,19.0,2024-07-09,,,
2024-06-13,600519.SH,BLOCKED_K,18.0,2024-07-09,,,
2024-06-13,300750.SZ,BLOCKED_K,18.0,2024-07-09,,,
2024-06-13,000858.SZ,BLOCKED_K,18.0,2024-07-09,,,
2024-06-28,300059.SZ,BLOCKED_K,7.0,2024-07-09,,,
2024-07-08,600519.SH,BLOCKED_K,1.0,2024-07-09,,,
2024-07-08,601919.SH,BLOCKED_K,1.0,2024-07-09,1.728554133928233,0.0,0.0
2024-07-25,300308.SZ,BLOCKED_K,39.0,2024-09-20,7.199933708510119,0.0,0.0
