hypothesis_id,mean_regime_excess_v2,hac_t_v2,raw_p_v2,bh_q_v2,boot_p_v2,nullA_p_v2,nullC_p_v2,status_v2,mean_regime_excess_v3,hac_t_v3,raw_p_v3,bh_q_v3,boot_p_v3,nullA_p_v3,nullC_p_v3,status_v3,boot_ci_lo,boot_ci_hi,positive_boot_support,negative_boot_support,nw_lag,excess_delta,rawp_delta,nullA_delta,nullC_delta,bootp_delta,status_changed,bhq_changed_significance
P0014,-0.0027138411304376,-0.5684439685806164,0.5699320054937045,0.7599093406582726,0.6955,0.5704,0.6512,VALID_SAMPLE,-0.0027138411304376657,-0.5684439685806164,0.5699320054937045,0.7599093406582726,0.685,0.5808,0.6444,VALID_SAMPLE,-0.014148093287968306,0.008012506123484931,False,False,6.0,-6.548581121812447e-17,0.0,0.010399999999999965,-0.006800000000000028,-0.010499999999999954,False,False
P0015,-0.0037369112387289,-0.856140796555903,0.3923817047122349,0.6195500600719498,0.814,0.4264,0.5626,VALID_SAMPLE,-0.0037369112387289124,-0.856140796555903,0.3923817047122349,0.6195500600719498,0.8205,0.5196,0.5344,VALID_SAMPLE,-0.012417158929736547,0.004162569809746157,False,False,5.0,-1.2576745200831851e-17,0.0,0.09319999999999995,-0.028200000000000003,0.006500000000000061,False,False
P0016,-0.0076462665886734,-1.1670704834370504,0.2438083114631552,0.5192639470105757,0.868,0.2826,0.4056,VALID_SAMPLE,-0.007646266588673425,-1.1670704834370504,0.24380831146315524,0.5192639470105757,0.88,0.375,0.3932,VALID_SAMPLE,-0.021860665709332486,0.005381839647989883,False,False,5.0,-2.5153490401663703e-17,2.7755575615628914e-17,0.09239999999999998,-0.012400000000000022,0.01200000000000001,False,False
P0017,0.0047363069936035,1.031373186789217,0.3027097812446675,0.5192639470105757,0.1365,0.2376,0.1906,VALID_SAMPLE,0.004736306993603536,1.031373186789217,0.3027097812446675,0.5192639470105757,0.15,0.2234,0.2426,VALID_SAMPLE,-0.004604485289444762,0.01511012958579107,False,False,6.0,3.642919299551295e-17,0.0,-0.014200000000000018,0.05200000000000002,0.013499999999999984,False,False
P0018,0.0058385530947667,0.8278186846394033,0.4080455952406871,0.6277624542164417,0.202,0.3738,0.3586,VALID_SAMPLE,0.005838553094766788,0.8278186846394033,0.4080455952406871,0.6277624542164417,0.225,0.3774,0.4222,VALID_SAMPLE,-0.00941778739348458,0.0231554766748714,False,False,6.0,8.760353553682876e-17,0.0,0.003599999999999992,0.06360000000000005,0.022999999999999993,False,False
P0019,0.0075755280613975,1.5518310518040512,0.1211476385463027,0.296413101630516,0.0635,0.086,0.0632,VALID_SAMPLE,0.0075755280613975014,1.5518310518040512,0.12114763854630278,0.296413101630516,0.0635,0.0958,0.0922,VALID_SAMPLE,-0.0023200760116207928,0.019346490838971043,False,False,6.0,1.734723475976807e-18,8.326672684688674e-17,0.009800000000000003,0.028999999999999998,0.0,False,False
P0020,0.0075177503740506,1.0523587093241953,0.2929925201180045,0.5192639470105757,0.146,0.3154,0.2594,VALID_SAMPLE,0.007517750374050665,1.0523587093241953,0.2929925201180045,0.5192639470105757,0.1705,0.33,0.3198,VALID_SAMPLE,-0.0076377053395342365,0.025443469847578948,False,False,6.0,6.505213034913027e-17,0.0,0.014600000000000002,0.060399999999999954,0.024500000000000022,False,False
P0021,0.005912127048335,1.0728535101912464,0.283739321015224,0.5192639470105757,0.1395,0.174,0.1844,VALID_SAMPLE,0.005912127048335014,1.0728535101912464,0.283739321015224,0.5192639470105757,0.148,0.2392,0.2302,VALID_SAMPLE,-0.006223988756760921,0.01843615668820772,False,False,6.0,1.3877787807814457e-17,0.0,0.06520000000000001,0.04579999999999998,0.00849999999999998,False,False
P0022,0.0075503895650749,0.9520902437604372,0.3414089639809343,0.5536361578069204,0.1695,0.3118,0.282,VALID_SAMPLE,0.00755038956507496,0.9520902437604372,0.3414089639809343,0.5536361578069204,0.1905,0.391,0.3608,VALID_SAMPLE,-0.009910377817896164,0.025815461377108027,False,False,6.0,5.984795992119984e-17,0.0,0.07919999999999999,0.07880000000000004,0.02099999999999999,False,False
P0023,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0024,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0025,0.0101770095686068,2.0969209135408784,0.0363464409589277,0.1557704612525473,0.0055,0.041,0.0072,VALID_SAMPLE,0.010177009568606833,2.0969209135408784,0.03634644095892771,0.15577046125254732,0.013,0.036,0.0138,VALID_SAMPLE,0.0014035069249096093,0.019911311937116538,True,False,6.0,3.2959746043559335e-17,6.938893903907228e-18,-0.0050000000000000044,0.0066,0.0075,False,False
P0026,0.0150846846346591,2.1811354282033593,0.0294940252763122,0.1557704612525473,0.0185,0.0676,0.0202,VALID_SAMPLE,0.015084684634659154,2.1811354282033593,0.029494025276312234,0.15577046125254732,0.024,0.0702,0.036,VALID_SAMPLE,0.00013633747880783278,0.03085850351556712,True,False,6.0,5.377642775528102e-17,3.469446951953614e-17,0.002600000000000005,0.015799999999999998,0.005500000000000001,False,False
P0027,0.0136758651938589,2.715333178360693,0.0067816242169309,0.0581282075736941,0.001,0.0104,0.001,VALID_SAMPLE,0.01367586519385898,2.715333178360693,0.006781624216930989,0.05812820757369419,0.001,0.0156,0.0032,VALID_SAMPLE,0.00453631853625279,0.024268376038270964,True,False,6.0,7.979727989493313e-17,8.847089727481716e-17,0.0052,0.0022,0.0,False,False
P0028,0.018205477083038,2.656030356854286,0.0080838699504259,0.0606290246281945,0.0075,0.015,0.0084,VALID_SAMPLE,0.01820547708303804,2.656030356854286,0.008083869950425938,0.060629024628194535,0.007,0.028,0.016,VALID_SAMPLE,0.0038697577522254774,0.03405452803299961,True,False,6.0,3.8163916471489756e-17,3.8163916471489756e-17,0.013000000000000001,0.007600000000000001,-0.0004999999999999996,False,False
P0029,0.0084994747093834,1.5464179194127432,0.1224956772613651,0.296413101630516,0.065,0.0616,0.0626,VALID_SAMPLE,0.008499474709383493,1.5464179194127432,0.12249567726136515,0.296413101630516,0.069,0.122,0.0952,VALID_SAMPLE,-0.0028398348414435714,0.019997635833501594,False,False,6.0,9.367506770274758e-17,5.551115123125783e-17,0.060399999999999995,0.032600000000000004,0.0040000000000000036,False,False
P0030,0.0131900551759544,1.683005900155869,0.0928593809030884,0.2678498623090108,0.062,0.063,0.0724,VALID_SAMPLE,0.013190055175954458,1.683005900155869,0.09285938090308843,0.26784986230901087,0.07,0.143,0.118,VALID_SAMPLE,-0.00506154729973991,0.031574059632838235,False,False,6.0,5.898059818321144e-17,2.7755575615628914e-17,0.07999999999999999,0.04559999999999999,0.008000000000000007,False,False
P0031,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0032,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0033,-0.0035100151343111,-1.8010015087437516,0.0721180802424733,0.242067018651752,0.967,0.0506,0.1222,VALID_SAMPLE,-0.0035100151343111542,-1.8010015087437516,0.07211808024247339,0.24206701865175206,0.956,0.0408,0.0516,VALID_SAMPLE,-0.008384041640725618,0.0005213061761079792,False,False,6.0,-5.421010862427522e-17,8.326672684688674e-17,-0.009799999999999996,-0.0706,-0.01100000000000001,False,False
P0034,-0.0044735747504163,-1.6122516913445897,0.1073423750128168,0.2927519318531369,0.932,0.1218,0.258,VALID_SAMPLE,-0.004473574750416312,-1.6122516913445895,0.10734237501281689,0.29275193185313697,0.9335,0.1266,0.158,VALID_SAMPLE,-0.011110004872046665,0.0013745286203300183,False,False,6.0,-1.1275702593849246e-17,8.326672684688674e-17,0.004799999999999985,-0.1,0.0014999999999999458,False,False
P0035,-0.0044997437060644,-2.131007884812018,0.0334309431941452,0.1557704612525473,0.9785,0.018,0.0702,VALID_SAMPLE,-0.004499743706064419,-2.131007884812018,0.033430943194145205,0.15577046125254732,0.9775,0.0202,0.0226,VALID_SAMPLE,-0.009600042226625327,-6.456788600553174e-05,False,True,6.0,-1.9081958235744878e-17,6.938893903907228e-18,0.0022000000000000006,-0.0476,-0.0010000000000000009,False,False
P0036,-0.0061153201325997,-2.112078800388246,0.0350278579691858,0.1557704612525473,0.9715,0.0394,0.143,VALID_SAMPLE,-0.006115320132599756,-2.112078800388246,0.03502785796918583,0.15577046125254732,0.978,0.0416,0.0618,VALID_SAMPLE,-0.01301228186739051,-0.0001156679437686714,False,True,6.0,-5.637851296924623e-17,3.469446951953614e-17,0.0022000000000000006,-0.0812,0.00649999999999995,False,False
P0037,-0.0041343611343425,-1.798163143567174,0.0726201055955256,0.242067018651752,0.958,0.032,0.132,VALID_SAMPLE,-0.004134361134342592,-1.798163143567174,0.07262010559552562,0.24206701865175206,0.9595,0.0634,0.066,VALID_SAMPLE,-0.009434978622241245,0.0005559150601528748,False,False,6.0,-9.194034422677078e-17,1.3877787807814457e-17,0.0314,-0.066,0.0015000000000000568,False,False
P0038,-0.0054965724589074,-1.6784383060423036,0.0937474518081538,0.2678498623090108,0.9495,0.1018,0.2112,VALID_SAMPLE,-0.005496572458907428,-1.6784383060423036,0.0937474518081538,0.26784986230901087,0.9435,0.0978,0.123,VALID_SAMPLE,-0.012977360462434346,0.0014957583510841266,False,False,6.0,-2.7755575615628914e-17,0.0,-0.0040000000000000036,-0.0882,-0.006000000000000005,False,False
P0039,-0.0052358390620496,-1.6916263223663712,0.091418915302507,0.2678498623090108,0.955,0.1314,0.2836,VALID_SAMPLE,-0.005235839062049675,-1.6916263223663712,0.091418915302507,0.26784986230901087,0.9595,0.1846,0.1764,VALID_SAMPLE,-0.012409893470924218,0.0006774244006704468,False,False,5.0,-7.546047120499111e-17,0.0,0.0532,-0.10720000000000002,0.0045000000000000595,False,False
P0040,-0.0057690514487558,-1.2762478848907888,0.2025350815752132,0.4673886497889535,0.8795,0.238,0.4272,VALID_SAMPLE,-0.005769051448755887,-1.2762478848907888,0.20253508157521322,0.46738864978895356,0.8955,0.3126,0.3114,VALID_SAMPLE,-0.01664185434670006,0.0030582674512567728,False,False,5.0,-8.760353553682876e-17,2.7755575615628914e-17,0.0746,-0.11580000000000001,0.016000000000000014,False,False
P0041,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0042,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0043,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0044,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0045,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0046,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0047,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0048,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0049,0.0011227281192881,0.2246525035583422,0.8223129161401613,0.8814683612720997,0.4265,0.8106,0.7754,VALID_SAMPLE,0.0011227281192881797,0.22465250355834226,0.8223129161401613,0.8814683612720997,0.4445,0.8164,0.7972,VALID_SAMPLE,-0.011331902229947814,0.011586880154266524,False,False,6.0,7.979727989493313e-17,0.0,0.005800000000000027,0.02180000000000004,0.018000000000000016,False,False
P0050,0.0057163257703757,0.7838129889594735,0.4334058419854437,0.6287141132016045,0.2755,0.546,0.4168,VALID_SAMPLE,0.005716325770375752,0.7838129889594735,0.4334058419854437,0.6287141132016045,0.2895,0.5538,0.4808,VALID_SAMPLE,-0.012994139582963447,0.024613833451318595,False,False,6.0,5.204170427930421e-17,0.0,0.007799999999999918,0.064,0.013999999999999957,False,False
P0051,0.000207817950442,0.0402336255722561,0.9679181646763726,0.984323557298006,0.489,0.9748,0.9616,VALID_SAMPLE,0.00020781795044209645,0.04023362557225615,0.9679181646763726,0.9843235572980061,0.515,0.9754,0.9674,VALID_SAMPLE,-0.012177710083086067,0.01086472624324503,False,False,6.0,9.643978324258562e-17,0.0,0.0006000000000000449,0.005800000000000027,0.026000000000000023,False,False
P0052,0.0057478434492164,0.7917085052861634,0.4287947048633675,0.6287141132016045,0.256,0.569,0.4336,VALID_SAMPLE,0.005747843449216403,0.7917085052861634,0.4287947048633675,0.6287141132016045,0.276,0.5716,0.4834,VALID_SAMPLE,-0.011469043196895654,0.022703191353758638,False,False,6.0,2.6020852139652106e-18,0.0,0.0026000000000000467,0.04980000000000001,0.020000000000000018,False,False
P0053,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0054,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0055,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0056,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0057,-0.0006780518383109,-0.254552643804151,0.799140822582984,0.8814683612720997,0.6135,0.8092,0.8402,VALID_SAMPLE,-0.0006780518383109722,-0.25455264380415105,0.799140822582984,0.8814683612720997,0.617,0.8056,0.8104,VALID_SAMPLE,-0.0055360724302599895,0.004127925598857371,False,False,6.0,-7.22078646875346e-17,0.0,-0.0036000000000000476,-0.029799999999999938,0.0034999999999999476,False,False
P0058,-0.0044224369098546,-1.037771740421964,0.2997223232466147,0.5192639470105757,0.8535,0.354,0.4622,VALID_SAMPLE,-0.004422436909854634,-1.037771740421964,0.2997223232466147,0.5192639470105757,0.844,0.3566,0.409,VALID_SAMPLE,-0.013339461497660316,0.004227556626394566,False,False,6.0,-3.469446951953614e-17,0.0,0.002599999999999991,-0.053200000000000025,-0.009500000000000064,False,False
P0059,0.001130237536183,0.3965280612490441,0.6918344914037392,0.8705331521205908,0.3295,0.7258,0.7468,VALID_SAMPLE,0.0011302375361830074,0.3965280612490441,0.6918344914037392,0.8705331521205908,0.3465,0.7214,0.7268,VALID_SAMPLE,-0.0038144503658005765,0.006574630994635885,False,False,6.0,7.37257477290143e-18,0.0,-0.0043999999999999595,-0.020000000000000018,0.01699999999999996,False,False
P0060,-0.0002953950771354,-0.0657485756984962,0.9475964804818924,0.9802722211881644,0.534,0.959,0.9592,VALID_SAMPLE,-0.0002953950771354295,-0.06574857569849625,0.9475964804818924,0.9802722211881645,0.5345,0.9524,0.9524,VALID_SAMPLE,-0.009153401211717668,0.008891561823123681,False,False,6.0,-2.949029909160572e-17,0.0,-0.006599999999999939,-0.006800000000000028,0.0004999999999999449,False,False
P0061,0.0033851343570764,1.031052265082039,0.3029039690895025,0.5192639470105757,0.1545,0.3436,0.3932,VALID_SAMPLE,0.0033851343570764874,1.031052265082039,0.3029039690895025,0.5192639470105757,0.1355,0.3024,0.3344,VALID_SAMPLE,-0.0025979374463107295,0.010291959331844666,False,False,6.0,8.760353553682876e-17,0.0,-0.041200000000000014,-0.05880000000000002,-0.01899999999999999,False,False
P0062,0.001972315562744,0.3889839246990943,0.6974168157004019,0.8705331521205908,0.353,0.7468,0.7676,VALID_SAMPLE,0.001972315562744017,0.3889839246990943,0.6974168157004019,0.8705331521205908,0.337,0.7472,0.738,VALID_SAMPLE,-0.007673591116766788,0.013296829667733026,False,False,6.0,1.691355389077387e-17,0.0,0.00039999999999995595,-0.02959999999999996,-0.01599999999999996,False,False
P0063,0.0012572240956802,0.2376842491752472,0.8122356410010624,0.8814683612720997,0.409,0.7664,0.882,VALID_SAMPLE,0.0012572240956802982,0.2376842491752472,0.8122356410010624,0.8814683612720997,0.399,0.8072,0.8626,VALID_SAMPLE,-0.009475043686136074,0.011836163347924339,False,False,5.0,9.82287168271867e-17,0.0,0.04080000000000006,-0.019399999999999973,-0.009999999999999953,False,False
P0064,-0.0014066157624191,-0.1755741196599307,0.8607085790996918,0.9060090306312546,0.562,0.8096,0.9012,VALID_SAMPLE,-0.0014066157624191243,-0.1755741196599307,0.8607085790996918,0.9060090306312546,0.5675,0.8494,0.8826,VALID_SAMPLE,-0.01764526895265209,0.014965598618484923,False,False,5.0,-2.42861286636753e-17,0.0,0.03980000000000006,-0.01859999999999995,0.005499999999999949,False,False
P0065,-0.0064177774116438,-1.5420184192982012,0.123505459012715,0.296413101630516,0.929,0.1242,0.1708,VALID_SAMPLE,-0.006417777411643895,-1.5420184192982012,0.123505459012715,0.296413101630516,0.9225,0.1292,0.086,VALID_SAMPLE,-0.016530970843628093,0.00249150898180395,False,False,6.0,-9.454242944073599e-17,0.0,0.0050000000000000044,-0.08480000000000001,-0.006500000000000061,False,False
P0066,-0.0023789229691786,-0.432150010207039,0.6657608872701636,0.8683837660045611,0.649,0.8062,0.7708,VALID_SAMPLE,-0.002378922969178692,-0.432150010207039,0.6657608872701636,0.8683837660045611,0.6445,0.8018,0.7156,VALID_SAMPLE,-0.01477923606120702,0.00915339639386229,False,False,6.0,-9.194034422677078e-17,0.0,-0.0044000000000000705,-0.05520000000000003,-0.0045000000000000595,False,False
P0067,-0.0090615616359584,-1.9806761829196315,0.0480125775913436,0.1920503103653744,0.9805,0.0272,0.0738,VALID_SAMPLE,-0.009061561635958407,-1.9806761829196315,0.048012577591343614,0.19205031036537445,0.9705,0.0322,0.0266,VALID_SAMPLE,-0.021051854219322475,0.00039761706420120773,False,False,6.0,-6.938893903907228e-18,1.3877787807814457e-17,0.005000000000000001,-0.047200000000000006,-0.010000000000000009,False,False
P0068,-0.007131563314885,-1.1229536067906438,0.2618362403450546,0.5192639470105757,0.859,0.3706,0.38,VALID_SAMPLE,-0.007131563314885023,-1.1229536067906438,0.2618362403450546,0.5192639470105757,0.8455,0.3516,0.302,VALID_SAMPLE,-0.02333087662272907,0.0053959084451167165,False,False,6.0,-2.3418766925686896e-17,0.0,-0.01899999999999996,-0.07800000000000001,-0.013499999999999956,False,False
P0069,-0.009272975726201,-1.8712797624408488,0.061760193654261,0.231600726203479,0.9545,0.0364,0.1018,VALID_SAMPLE,-0.009272975726201045,-1.8712797624408488,0.06176019365426109,0.23160072620347907,0.959,0.024,0.0364,VALID_SAMPLE,-0.021146796928880926,0.0013552050634643054,False,False,6.0,-4.5102810375396984e-17,9.020562075079397e-17,-0.012400000000000001,-0.0654,0.0044999999999999485,False,False
P0070,-0.0070729711576873,-1.1051614011182609,0.2695030105948282,0.5192639470105757,0.847,0.2866,0.4402,VALID_SAMPLE,-0.0070729711576873674,-1.1051614011182609,0.2695030105948282,0.5192639470105757,0.8635,0.3342,0.3506,VALID_SAMPLE,-0.020713435203625775,0.006075806767892888,False,False,6.0,-6.765421556309548e-17,0.0,0.047599999999999976,-0.08959999999999996,0.01650000000000007,False,False
P0071,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0072,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0073,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0074,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0075,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0076,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0077,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0078,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0079,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0080,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0081,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0082,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0083,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0084,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0085,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0086,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0087,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0088,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0089,-0.003062057478408,-2.7518050049904765,0.0060748353909314,0.0581282075736941,0.999,0.0,0.0108,VALID_SAMPLE,-0.0030620574784080744,-2.7518050049904765,0.00607483539093145,0.05812820757369419,0.998,0.0,0.0052,VALID_SAMPLE,-0.005838145725579132,-0.0009849126758594195,False,True,6.0,-7.45931094670027e-17,5.0306980803327406e-17,0.0,-0.005600000000000001,-0.0010000000000000009,False,False
P0090,-0.0040022598797885,-2.3423070458481208,0.0194345948149892,0.1166075688899352,0.9765,0.0022,0.0482,VALID_SAMPLE,-0.004002259879788573,-2.3423070458481208,0.0194345948149892,0.1166075688899352,0.9755,0.0034,0.0254,VALID_SAMPLE,-0.008637685464942778,-2.6393623521805364e-05,False,True,6.0,-7.28583859910259e-17,0.0,0.0011999999999999997,-0.0228,-0.0010000000000000009,False,False
