date,equity,cash,stock_val,etf_val,etf_shares,holding
2024-08-19,2353441.73,4405.62,784860.0,1564176.11,827300,601919.SH
2024-08-20,2330473.2,4405.62,766938.0,1559129.58,827300,601919.SH
2024-08-21,2343558.68,4405.62,773736.0,1565417.06,827300,601919.SH
2024-08-22,2330847.25,4405.62,776826.0,1549615.63,827300,601919.SH
2024-08-23,2339169.75,4405.62,764466.0,1570298.13,827300,601919.SH
2024-08-26,2336740.88,4405.62,771882.0,1560453.26,827300,601919.SH
2024-08-27,2338531.95,4405.62,768792.0,1565334.33,827300,601919.SH
2024-08-28,2324565.43,4405.62,765084.0,1555075.81,827300,601919.SH
2024-08-29,2312088.76,4405.62,750870.0,1556813.14,827300,601919.SH
2024-08-30,2346867.88,4405.62,773736.0,1568726.26,827300,601919.SH
2024-09-02,2338454.17,4405.62,767556.0,1566492.55,827300,601919.SH
2024-09-03,2293586.23,4405.62,753960.0,1535220.61,827300,601919.SH
2024-09-04,2287522.9,4405.62,749634.0,1533483.28,827300,601919.SH
2024-09-05,2277770.48,4223.28,938860.0,1334687.2,723800,601919.SH
2024-09-06,2244960.56,4223.28,930225.0,1310512.28,723800,601919.SH
2024-09-09,2243976.06,4223.28,912955.0,1326797.78,723800,601919.SH
2024-09-10,2251236.42,4223.28,911385.0,1335628.14,723800,601919.SH
2024-09-11,2264938.6,4223.28,909815.0,1350900.32,723800,601919.SH
2024-09-12,2292920.84,4223.28,927085.0,1361612.56,723800,601919.SH
2024-09-13,2305536.74,4223.28,935720.0,1365593.46,723800,601919.SH
2024-09-18,2330589.66,4223.28,965550.0,1360816.38,723800,601919.SH
2024-09-19,2384255.04,4223.28,993810.0,1386221.76,723800,601919.SH
2024-09-20,2362877.63,4786.55,0.0,2358091.08,1239600,
2024-09-23,2365232.87,4786.55,0.0,2360446.32,1239600,
2024-09-24,2370439.19,4786.55,0.0,2365652.64,1239600,
2024-09-25,2355687.95,4786.55,0.0,2350901.4,1239600,
2024-09-26,2370439.19,4786.55,0.0,2365652.64,1239600,
2024-09-27,2358910.91,4786.55,0.0,2354124.36,1239600,
2024-09-30,2367959.99,4786.55,0.0,2363173.44,1239600,
2024-10-08,2384322.71,4786.55,0.0,2379536.16,1239600,
2024-10-09,2396594.75,4786.55,0.0,2391808.2,1239600,
2024-10-10,2397958.31,4786.55,0.0,2393171.76,1239600,
2024-10-11,2411841.83,4786.55,0.0,2407055.28,1239600,
2024-10-14,2429939.99,4786.55,0.0,2425153.44,1239600,
2024-10-15,2415064.79,4786.55,0.0,2410278.24,1239600,
2024-10-16,2438493.23,4786.55,0.0,2433706.68,1239600,
2024-10-17,2439113.03,4786.55,0.0,2434326.48,1239600,
