,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27
F11,-0.30570911975477605,-0.32583582557052854,-0.3088055534472782,-0.31617969541241575,-0.20367010154747864,-0.34944079382887244,-0.18579852713146097,-0.01681262599750724,-0.1550857775745332,-0.14471670182436092,1.0,0.6334562825407699,0.06267451521140466,0.07134347956425648,-0.19175784626006567,-0.32382050108136234,-0.12766896372988065,0.09346297119186539,0.07134347956425648,0.09560000099117301,-0.013984169811313368,-0.21308585339349628,-0.21084209928961145,-0.13175374027710343,0.5082969832190833,0.4575779907240877,0.05848559518512734
F12,-0.07879739927327993,-0.355329578204549,0.07221001881286294,-0.1404206445102439,-0.049501989784543926,-0.09906739788699079,-0.023748558623138162,-0.031519089702935786,-0.14793738652833363,-0.17189785044380831,0.6334562825407699,1.0,-0.26663150029633903,-0.09024835293724252,-0.18390230459195978,-0.3165861368718087,-0.1460307514773543,0.026398720353267926,-0.09024835293724252,-0.06696269001760817,0.0786455256925995,-0.17418324740602167,-0.1715982270631053,-0.007016253614497712,0.08296639438223251,0.07332950200309188,-0.3166687510085576
F13,-0.015429896786903763,0.07220440488687618,-0.12050012690469254,0.05218223024183709,-0.07376768839721574,0.0727617714077485,-0.09887576125446483,-0.13179939191144116,0.23401063134354383,0.28878499785938266,0.06267451521140466,-0.26663150029633903,1.0,0.5263464236825545,0.2524450576130982,0.35963473672156315,0.30493586777024007,0.43799137199995347,0.5263464236825545,0.5403647012318704,-0.4023737412548694,0.31389556054735046,0.31163138571782706,0.25697299146232866,0.18687810080481418,0.06604815059927568,0.056104237137028605
F14,-0.25598243671681686,-0.11145092065007825,-0.18061930898374343,-0.24945390431318756,-0.3713328092236427,-0.09105815386601508,-0.34203764490519717,-0.7454519107592303,0.6562440041536233,0.5963543321160342,0.07134347956425648,-0.09024835293724252,0.5263464236825545,1.0,-0.011930632629385991,0.03916152658044758,0.05749951743798409,0.7737584554489061,1.0,0.9605507825629515,-0.9239741345308862,0.6930219844526809,0.6933595831671072,0.6611916873901713,0.13995699840174938,0.12896351781213458,0.08262001244047733
F15,0.3263773647730528,0.0028241597314331147,0.25621477986728464,0.46543654806178586,0.4523209684909114,0.2668493727914072,0.4465237341004307,0.04819603551372734,-0.27012655376637623,-0.1751315521809249,-0.19175784626006567,-0.18390230459195978,0.2524450576130982,-0.011930632629385991,1.0,0.7575486508101064,0.9083311910515461,-0.10700213372177408,-0.011930632629385991,-0.029418835436370742,0.016494347451152223,-0.14036152569134205,-0.1403285971012734,-0.11115997177138673,-0.18821388334607325,-0.3379618367813381,-0.15379586753907776
F16,0.44696888526504164,0.181414561413288,0.34694945735971267,0.5771144406244264,0.4447407167614312,0.4558617815319218,0.4125519709592694,0.03287168929718328,-0.19306729308639448,-0.13974255714078734,-0.32382050108136234,-0.3165861368718087,0.35963473672156315,0.03916152658044758,0.7575486508101064,1.0,0.6735298871385634,-0.043086550402029924,0.03916152658044758,0.01512722549814506,-0.035337918311805126,-0.06822166603482317,-0.06709450357414133,-0.07877209872994022,-0.22879329386902794,-0.5212533080355415,-0.13688378117388642
F17,0.377990645777583,-0.012476120352258476,0.16739736838024727,0.44448152292159904,0.5064481171322488,0.327544874834964,0.520886259988135,0.001407485649575131,-0.2921635504133729,-0.19394226627268032,-0.12766896372988065,-0.1460307514773543,0.30493586777024007,0.05749951743798409,0.9083311910515461,0.6735298871385634,1.0,-0.051741492816850566,0.05749951743798409,0.033194154793817626,-0.04449056196750445,-0.12663808302257018,-0.12892123136661063,-0.12066687436453975,-0.10192775415944723,-0.2835791774259502,-0.15731363002100596
F18,-0.27786752101093587,-0.16585111304965683,-0.09359712144754274,-0.24724871828700914,-0.4027724069954634,-0.14107159034769653,-0.37113907192069195,-0.5069524865663929,0.5762682415799187,0.546481378219058,0.09346297119186539,0.026398720353267926,0.43799137199995347,0.7737584554489061,-0.10700213372177408,-0.043086550402029924,-0.051741492816850566,1.0,0.7737584554489061,0.856791609185691,-0.6571393972802315,0.5749406679025693,0.5818883801289025,0.5737812019826729,0.061978134775186676,0.056516933545190585,0.018717714307995795
F19,-0.25598243671681686,-0.11145092065007825,-0.18061930898374343,-0.24945390431318756,-0.3713328092236427,-0.09105815386601508,-0.34203764490519717,-0.7454519107592303,0.6562440041536233,0.5963543321160342,0.07134347956425648,-0.09024835293724252,0.5263464236825545,1.0,-0.011930632629385991,0.03916152658044758,0.05749951743798409,0.7737584554489061,1.0,0.9605507825629515,-0.9239741345308862,0.6930219844526809,0.6933595831671072,0.6611916873901713,0.13995699840174938,0.12896351781213458,0.08262001244047733
F20,-0.28169297480674477,-0.12243767373749175,-0.16792266615268253,-0.2702651657390693,-0.39184848087123836,-0.12105907445337231,-0.3611639265527522,-0.6441075120298537,0.6303362826005998,0.5906369601173243,0.09560000099117301,-0.06696269001760817,0.5403647012318704,0.9605507825629515,-0.029418835436370742,0.01512722549814506,0.033194154793817626,0.856791609185691,0.9605507825629515,1.0,-0.8356110017069005,0.6594248571295229,0.6614644235420258,0.6317132368346565,0.1282346399652245,0.1244892797787855,0.07884307454209229
F21,0.21687043220203397,0.10163272673753303,0.13934238817458774,0.20547879651370046,0.32757756057302956,0.046022170943945645,0.302118577222495,0.9044242961700192,-0.6866344672916495,-0.5732524254540939,-0.013984169811313368,0.0786455256925995,-0.4023737412548694,-0.9239741345308862,0.016494347451152223,-0.035337918311805126,-0.04449056196750445,-0.6571393972802315,-0.9239741345308862,-0.8356110017069005,1.0,-0.7042963932654432,-0.7049736625727128,-0.6853343594298249,-0.09804847038832461,-0.08747796466322323,-0.048857438493345846
F22,-0.2999961199840874,-0.038930778124480626,-0.12665898514590815,-0.3124633416516588,-0.5515958772140893,-0.10680093279493372,-0.5389201230024376,-0.6151823720511346,0.9083619931886178,0.9214558510166998,-0.21308585339349628,-0.17418324740602167,0.31389556054735046,0.6930219844526809,-0.14036152569134205,-0.06822166603482317,-0.12663808302257018,0.5749406679025693,0.6930219844526809,0.6594248571295229,-0.7042963932654432,1.0,0.9981394890799793,0.9142118681076765,-0.07131353675392442,0.0212645591135467,0.08188810450055353
F23,-0.29977781678318366,-0.03237074382744721,-0.11186715533277478,-0.307667841732201,-0.5533892650042613,-0.10686153756038988,-0.5422762926009548,-0.6172404413660554,0.9099647568971814,0.9212638670409671,-0.21084209928961145,-0.1715982270631053,0.31163138571782706,0.6933595831671072,-0.1403285971012734,-0.06709450357414133,-0.12892123136661063,0.5818883801289025,0.6933595831671072,0.6614644235420258,-0.7049736625727128,0.9981394890799793,1.0,0.9176859780158654,-0.07541435887737029,0.017768168897568937,0.08335200569348714
F24,-0.22602143400530395,0.07290861279654627,-0.030661485013191096,-0.2346074327538593,-0.46630365327491696,-0.039748633179534365,-0.4612008217470164,-0.6238972700850667,0.8251433521759997,0.802360659895877,-0.13175374027710343,-0.007016253614497712,0.25697299146232866,0.6611916873901713,-0.11115997177138673,-0.07877209872994022,-0.12066687436453975,0.5737812019826729,0.6611916873901713,0.6317132368346565,-0.6853343594298249,0.9142118681076765,0.9176859780158654,1.0,-0.134001322324977,-0.02447630379676267,0.04673130409770488
F25,-0.3791921126689245,-0.3399584944808838,-0.3552068066047982,-0.3812283940360964,-0.2603189027104734,-0.3947971130651956,-0.2460379642330388,-0.025177582570128584,0.0006598367330894181,-0.014815206193566952,0.5082969832190833,0.08296639438223251,0.18687810080481418,0.13995699840174938,-0.18821388334607325,-0.22879329386902794,-0.10192775415944723,0.061978134775186676,0.13995699840174938,0.1282346399652245,-0.09804847038832461,-0.07131353675392442,-0.07541435887737029,-0.134001322324977,1.0,0.7224013281094014,0.3455598369275546
F26,-0.5546761785904587,-0.25199037798508966,-0.37191113865276004,-0.5755650785830869,-0.4120206861019079,-0.583169381821218,-0.40563262218905577,-0.04018636273337269,0.11871861612469758,0.07879480169117031,0.4575779907240877,0.07332950200309188,0.06604815059927568,0.12896351781213458,-0.3379618367813381,-0.5212533080355415,-0.2835791774259502,0.056516933545190585,0.12896351781213458,0.1244892797787855,-0.08747796466322323,0.0212645591135467,0.017768168897568937,-0.02447630379676267,0.7224013281094014,1.0,0.48481453463045904
F27,-0.33308972988270535,0.11339903162335069,-0.24399100394391207,-0.35154304943256803,-0.26438722839269413,-0.29423907551169015,-0.25962648895234486,0.001131654507577981,0.1150715488688813,0.08109920989365435,0.05848559518512734,-0.3166687510085576,0.056104237137028605,0.08262001244047733,-0.15379586753907776,-0.13688378117388642,-0.15731363002100596,0.018717714307995795,0.08262001244047733,0.07884307454209229,-0.048857438493345846,0.08188810450055353,0.08335200569348714,0.04673130409770488,0.3455598369275546,0.48481453463045904,1.0
