round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
65,000858.SZ,,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,4100,-73545.97703093977,-7.63,54
66,002594.SZ,,2021-09-30,2021-10-15,TAKE_PROFIT_DYN,1,800,32606.085863519984,17.09,6
67,601318.SH,,2021-03-19,2021-10-21,TAKE_PROFIT_DYN,5,13200,-277035.67723391997,-28.12,142
68,000651.SZ,,2021-05-26,2021-10-22,TAKE_PROFIT_DYN,5,19900,-188493.1262310599,-19.03,99
69,000333.SZ,,2021-07-06,2021-10-22,TAKE_PROFIT_DYN,3,8900,65783.48757155996,11.18,71
70,600111.SH,,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,4600,43782.60256524003,22.28,12
71,600089.SH,,2021-10-11,2021-10-27,TAKE_PROFIT_DYN,1,9100,43335.28991610001,21.76,12
72,002466.SZ,,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,3800,20545.878086640034,5.28,28
73,000858.SZ,,2021-11-02,2021-11-24,TAKE_PROFIT_DYN,1,900,14287.168380420073,7.77,16
74,603259.SH,,2021-11-05,2021-11-26,TAKE_PROFIT_DYN,2,3100,40099.36268682015,10.33,15
75,601919.SH,,2021-09-29,2021-11-30,TAKE_PROFIT_DYN,2,24700,12082.559413860145,3.04,39
76,600030.SH,,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,1,8300,15781.336284420046,7.94,13
77,000651.SZ,,2021-10-28,2021-12-09,TAKE_PROFIT_DYN,2,11100,14882.517802080081,3.77,30
78,600036.SH,,2021-11-29,2021-12-09,TAKE_PROFIT_DYN,2,8000,30929.633064000052,7.78,8
79,600036.SH,,2021-12-30,2022-01-20,TAKE_PROFIT_DYN,1,4100,10844.932317120023,5.52,14
80,002129.SZ,,2021-12-02,2022-01-26,TAKE_PROFIT_DYN,3,14800,42891.95134584,7.21,38
81,600030.SH,,2022-01-17,2022-01-28,TAKE_PROFIT_DYN,1,8000,2013.4344672000443,1.01,9
82,601888.SH,,2021-11-03,2022-02-10,TAKE_PROFIT_DYN,5,4500,71805.56258934003,7.8,65
83,600111.SH,,2021-12-27,2022-02-16,TAKE_PROFIT_DYN,2,9600,43252.805117700074,10.93,31
84,000792.SZ,,2022-01-21,2022-02-16,TAKE_PROFIT_DYN,1,7400,37543.62380832003,18.8,13
85,002460.SZ,,2021-12-21,2022-02-17,TAKE_PROFIT_DYN,2,2900,28668.882786120113,7.33,36
86,002466.SZ,,2021-12-21,2022-02-17,TAKE_PROFIT_DYN,3,6400,10697.190696720034,1.84,36
87,000661.SZ,,2022-01-25,2022-02-24,TAKE_PROFIT_DYN,1,1100,21896.216056440026,11.9,17
88,601012.SH,,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,4,10300,50289.191366400104,6.47,57
89,603259.SH,,2021-12-21,2022-03-17,TAKE_PROFIT_DYN,3,6100,71663.80359636014,12.25,56
90,000002.SZ,,2022-03-07,2022-03-31,TAKE_PROFIT_DYN,4,46700,118627.14947778033,14.89,18
91,300059.SZ,,2022-01-06,2022-04-14,TAKE_PROFIT_DYN,5,34900,-57074.44591007987,-5.75,63
92,600519.SH,,2022-01-10,2022-04-14,TAKE_PROFIT_DYN,5,500,8971.456175820087,1.0,61
93,601888.SH,,2022-03-15,2022-04-14,TAKE_PROFIT_DYN,1,1100,14420.200827780034,7.81,20
94,002594.SZ,,2021-12-17,2022-05-05,TAKE_PROFIT_DYN,4,3100,-12466.942904699943,-1.6,88
95,000625.SZ,,2021-11-17,2022-05-06,TAKE_PROFIT_DYN,5,65100,-221496.35840387992,-22.23,111
96,002475.SZ,,2022-02-09,2022-05-11,TAKE_PROFIT_DYN,5,26200,-169472.39013575972,-17.15,60
97,002466.SZ,,2022-04-26,2022-05-11,TAKE_PROFIT_DYN,1,3300,83032.22228994002,41.85,8
98,300274.SZ,,2021-12-22,2022-05-20,TAKE_PROFIT_DYN,5,8700,-247993.46052066004,-25.59,96
99,002460.SZ,,2022-03-09,2022-05-23,TAKE_PROFIT_DYN,4,7200,136520.06503770011,17.71,48
100,000858.SZ,,2022-02-07,2022-05-30,TAKE_PROFIT_DYN,5,5200,-82787.54210063978,-8.81,75
101,300014.SZ,,2022-03-04,2022-06-01,TAKE_PROFIT_DYN,5,14400,259437.19381722016,26.32,58
102,300750.SZ,,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,5,1700,-124803.23993621976,-14.23,106
103,601012.SH,,2022-03-30,2022-06-06,TAKE_PROFIT_DYN,4,11800,-100857.61691999983,-12.75,42
104,002415.SZ,,2022-05-09,2022-06-06,TAKE_PROFIT_DYN,3,17800,21141.421241400065,3.55,19
105,600276.SH,,2022-01-14,2022-06-07,TAKE_PROFIT_DYN,5,22700,-293266.1605310999,-29.56,91
106,601318.SH,,2022-03-16,2022-06-09,TAKE_PROFIT_DYN,3,13200,-2292.045022079954,-0.39,55
107,600036.SH,,2022-03-08,2022-06-15,TAKE_PROFIT_DYN,5,22900,-61795.41725699976,-6.25,65
108,300122.SZ,,2022-04-15,2022-06-16,TAKE_PROFIT_DYN,5,9500,-64502.7872147999,-6.65,40
109,002241.SZ,,2022-06-24,2022-08-05,TAKE_PROFIT_DYN,1,6200,5669.915238360059,2.84,30
110,002466.SZ,,2022-08-22,2022-08-24,TAKE_PROFIT_DYN,1,1800,26249.789718000015,13.39,2
111,600036.SH,,2022-07-14,2022-08-31,TAKE_PROFIT_DYN,3,16800,-9253.682413919945,-1.57,34
112,601888.SH,,2022-08-09,2022-09-26,TAKE_PROFIT_DYN,2,2100,27874.478903040057,7.19,33
113,000858.SZ,,2022-08-01,2022-09-27,TAKE_PROFIT_DYN,4,4500,-19054.20275801979,-2.47,40
114,300274.SZ,,2022-09-01,2022-10-12,TAKE_PROFIT_DYN,2,3500,50975.92231200007,13.22,23
