ts_code,entry_date,side,pnl,ret_pct,exit_type,levels,pnl_b0,pnl_b1,pnl_diff,ret_b0,ret_b1,levels_b0,levels_b1,exit_b0,exit_b1
600031.SH,2021-05-14,B0_ONLY,27818.873655840027,13.96,TAKE_PROFIT_DYN,1.0,,,,,,,,,
600111.SH,2021-09-30,B0_ONLY,43782.60256524003,22.28,TAKE_PROFIT_DYN,1.0,,,,,,,,,
600519.SH,2022-10-13,B0_ONLY,-6637.773531959974,-3.85,TAKE_PROFIT_DYN,1.0,,,,,,,,,
601166.SH,2021-04-16,B0_ONLY,19181.56621140003,10.16,TAKE_PROFIT_DYN,1.0,,,,,,,,,
000625.SZ,2021-11-17,B1_ONLY,-130012.21746683982,-21.58,TAKE_PROFIT_DYN,4.0,,,,,,,,,
000651.SZ,2021-05-26,B1_ONLY,-124836.79956141987,-15.57,TAKE_PROFIT_DYN,5.0,,,,,,,,,
000858.SZ,2021-09-17,B1_ONLY,4156.333583040003,10.59,TAKE_PROFIT_DYN,1.0,,,,,,,,,
002371.SZ,2022-10-13,B1_ONLY,19113.42458592003,10.6,TAKE_PROFIT_DYN,1.0,,,,,,,,,
002466.SZ,2021-09-28,B1_ONLY,21447.004006800038,11.04,TAKE_PROFIT_DYN,1.0,,,,,,,,,
002594.SZ,2021-02-26,B1_ONLY,137850.37866180006,24.07,TAKE_PROFIT_DYN,3.0,,,,,,,,,
002714.SZ,2021-05-25,B1_ONLY,-132078.3917091799,-31.9,TAKE_PROFIT_DYN,3.0,,,,,,,,,
300014.SZ,2022-03-04,B1_ONLY,21515.561460000055,11.05,TAKE_PROFIT_DYN,1.0,,,,,,,,,
300274.SZ,2022-12-14,B1_ONLY,27058.984565220017,14.08,TAKE_PROFIT_DYN,1.0,,,,,,,,,
300750.SZ,2023-09-11,B1_ONLY,-105621.63759030995,-23.61,TAKE_PROFIT_DYN,5.0,,,,,,,,,
600276.SH,2021-04-16,B1_ONLY,5889.597156000091,2.98,TAKE_PROFIT_DYN,1.0,,,,,,,,,
600519.SH,2021-05-07,B1_ONLY,19214.45237826006,9.77,TAKE_PROFIT_DYN,1.0,,,,,,,,,
000063.SZ,2020-05-26,COMMON,,,,,16543.11587328001,16543.11587328001,0.0,8.36,8.36,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
000625.SZ,2024-05-07,COMMON,,,,,7022.001232619979,-5240.465192159987,-12262.466424779966,1.76,-2.16,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
000628.SZ,2024-04-01,COMMON,,,,,-131429.80281221983,-128931.63685181987,2498.165960399958,-22.19,-22.89,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
000651.SZ,2020-12-10,COMMON,,,,,18683.3139607801,18683.3139607801,0.0,4.78,4.78,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
000651.SZ,2021-10-28,COMMON,,,,,14882.517802080081,14882.517802080081,0.0,3.77,3.77,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
000725.SZ,2020-03-17,COMMON,,,,,27272.019758470036,27484.63819670005,212.61843823001254,13.06,13.46,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
000858.SZ,2023-04-11,COMMON,,,,,-10014.006498299947,-10014.006498299947,0.0,-2.65,-2.65,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
000977.SZ,2024-05-29,COMMON,,,,,8939.030455080007,8939.030455080007,0.0,4.48,4.48,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002230.SZ,2024-01-04,COMMON,,,,,14136.106295520032,1556.9867808000417,-12579.11951471999,3.59,0.9,2.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002241.SZ,2022-06-24,COMMON,,,,,5669.915238360059,5669.915238360059,0.0,2.84,2.84,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002241.SZ,2022-11-14,COMMON,,,,,34076.419577819994,34076.419577819994,0.0,8.55,8.55,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002415.SZ,2020-05-26,COMMON,,,,,14247.334767060034,14247.334767060034,0.0,7.16,7.16,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002415.SZ,2022-05-09,COMMON,,,,,21141.421241400065,21141.421241400065,0.0,3.55,3.55,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002456.SZ,2020-09-02,COMMON,,,,,-11994.304891459877,-11994.304891459877,0.0,-1.99,-1.99,4.0,4.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002460.SZ,2021-08-17,COMMON,,,,,47024.09293319998,47024.09293319998,0.0,24.03,24.03,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002475.SZ,2020-12-15,COMMON,,,,,16941.61435680004,16941.61435680004,0.0,8.52,8.52,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002475.SZ,2021-01-29,COMMON,,,,,-128562.82199261995,-129638.38504219992,-1075.5630495799705,-21.91,-21.65,3.0,4.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002475.SZ,2023-09-08,COMMON,,,,,13314.679056360037,13314.679056360037,0.0,6.73,6.73,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002594.SZ,2021-12-17,COMMON,,,,,-15161.140331099858,-30172.663339739956,-15011.523008640099,-2.22,-11.92,4.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002594.SZ,2022-07-13,COMMON,,,,,-6528.044203919824,7883.4998705401085,14411.544074459933,-0.69,1.37,5.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
002714.SZ,2020-05-12,COMMON,,,,,-73422.30253895996,-73422.30253895996,0.0,-37.35,-37.35,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300014.SZ,2023-01-12,COMMON,,,,,13742.55426942007,13742.55426942007,0.0,6.98,6.98,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300014.SZ,2023-02-21,COMMON,,,,,-281648.9383369199,-197335.28914719995,84313.64918971993,-28.57,-31.64,5.0,5.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300059.SZ,2023-03-08,COMMON,,,,,26668.556488800037,6597.6817183000385,-20070.8747705,6.7,3.26,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300122.SZ,2020-11-12,COMMON,,,,,82452.34540584008,82452.34540584008,0.0,21.59,21.59,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300136.SZ,2020-10-13,COMMON,,,,,3092.143930660037,3092.143930660037,0.0,1.53,1.53,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300274.SZ,2022-09-01,COMMON,,,,,21345.722282160015,21345.722282160015,0.0,11.19,11.19,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300750.SZ,2020-03-02,COMMON,,,,,-17564.68204523984,-5868.628322039847,11696.053723199992,-4.33,-1.02,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300750.SZ,2021-02-01,COMMON,,,,,9928.487663820037,9928.487663820037,0.0,2.68,2.68,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300750.SZ,2022-10-31,COMMON,,,,,22683.793246200046,22683.793246200046,0.0,12.59,12.59,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
300750.SZ,2023-02-20,COMMON,,,,,18777.097441440157,18777.097441440157,0.0,3.63,3.63,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600030.SH,2020-09-08,COMMON,,,,,6613.851740760059,6613.851740760059,0.0,3.34,3.34,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600031.SH,2021-06-15,COMMON,,,,,22024.05905448011,5031.051867560076,-16993.007186920033,4.63,1.26,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600036.SH,2022-07-14,COMMON,,,,,-9253.682413919945,-10904.126119740075,-1650.4437058201293,-1.57,-1.99,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600150.SH,2024-09-23,COMMON,,,,,25549.931969100027,24925.18434714002,-624.7476219600067,6.49,6.44,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600276.SH,2023-08-01,COMMON,,,,,13381.668178560212,12627.893357640132,-753.77482092008,2.24,2.16,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600418.SH,2024-11-28,COMMON,,,,,16133.701312079997,16133.701312079997,0.0,8.18,8.18,1.0,1.0,FINAL_SETTLE,FINAL_SETTLE
600519.SH,2023-04-13,COMMON,,,,,7184.677604219993,7184.677604219993,0.0,4.25,4.25,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600519.SH,2023-10-16,COMMON,,,,,2568.911065380147,-1831.4126027999737,-4400.323668180121,0.5,-1.04,3.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600745.SH,2020-09-09,COMMON,,,,,-9391.319683919952,-10173.929657579982,-782.6099736600299,-6.35,-6.35,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
600809.SH,2023-05-23,COMMON,,,,,36083.205896939966,35189.014145220164,-894.1917517198017,6.34,6.43,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601012.SH,2020-11-16,COMMON,,,,,44963.39024784003,44963.39024784003,0.0,11.57,11.57,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601012.SH,2021-12-02,COMMON,,,,,11911.362737400108,-11384.066660399898,-23295.429397800006,2.05,-2.93,3.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601012.SH,2022-12-23,COMMON,,,,,22382.58724128001,22382.58724128001,0.0,11.35,11.35,1.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601012.SH,2024-01-30,COMMON,,,,,49915.919160360005,52828.81618805998,2912.8970276999753,13.32,13.48,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601138.SH,2024-07-19,COMMON,,,,,-53626.77789083985,-61076.113781759865,-7449.335890920018,-10.89,-15.28,3.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601318.SH,2020-03-02,COMMON,,,,,-17726.73409781989,-17812.313913239923,-85.57981542003108,-3.03,-4.24,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601318.SH,2021-01-29,COMMON,,,,,55426.922526240116,55426.922526240116,0.0,9.42,9.42,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601318.SH,2023-11-10,COMMON,,,,,-17632.113424199924,-18874.543244200002,-1242.4298200000776,-3.89,-4.61,3.0,3.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601318.SH,2024-03-25,COMMON,,,,,32025.780640259967,8792.969072579988,-23232.81156767998,8.1,4.43,2.0,1.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601888.SH,2022-08-09,COMMON,,,,,25997.859993599996,24121.24108416005,-1876.6189094399451,7.03,6.85,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601899.SH,2022-09-27,COMMON,,,,,27486.361114739964,25913.46953321999,-1572.8915815199725,6.91,6.89,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601899.SH,2024-07-24,COMMON,,,,,23685.022253150004,8699.816846160043,-14985.20540698996,5.92,3.75,3.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601919.SH,2021-09-29,COMMON,,,,,12082.559413860145,16604.97251454013,4522.413100679987,3.04,4.93,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
601919.SH,2024-07-15,COMMON,,,,,-320.17370615992695,-7503.470082069951,-7183.296375910024,-0.08,-3.75,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
603019.SH,2024-03-28,COMMON,,,,,-12591.667527119862,-12591.667527119862,0.0,-3.17,-3.17,2.0,2.0,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN
