date,action,shares,price,nav,premium_pct,amount,fee,cash_after
2021-05-28,SELL_ETF,65500,2.537,2.535,0.08,166173.5,41.54,203432.99
2021-07-05,SELL_ETF,75500,2.659,2.6593,-0.01,200754.5,50.19,204085.3
2021-07-06,SELL_ETF,66600,2.664,2.6497,0.54,177422.4,44.36,203637.12
2021-07-19,BUY_ETF,302400,2.646,2.6015,1.71,800150.4,200.04,4935.85
2021-07-22,SELL_ETF,74500,2.671,2.6657,0.2,198989.5,49.75,203875.6
2021-08-05,BUY_ETF,81600,2.694,2.7045,-0.39,219830.4,54.96,4995.57
2021-08-16,SELL_ETF,73000,2.725,2.7372,-0.45,198925.0,49.73,203870.84
2021-09-14,BUY_ETF,81100,2.728,2.707,0.78,221240.8,55.31,4966.27
2021-09-16,SELL_ETF,73200,2.721,2.7188,0.08,199177.2,49.79,204093.67
2021-09-22,SELL_ETF,73500,2.68,2.6854,-0.2,196980.0,49.24,203973.21
2021-09-27,BUY_ETF,161300,2.735,2.7143,0.76,441155.5,110.29,5127.44
2021-09-28,SELL_ETF,73400,2.709,2.6557,2.01,198840.6,49.71,203918.33
2021-09-29,SELL_ETF,74400,2.668,2.6622,0.22,198499.2,49.62,204045.35
2021-11-15,SELL_ETF,70100,2.832,2.8269,0.18,198523.2,49.63,203987.31
2021-11-30,BUY_ETF,219900,2.789,2.7538,1.28,613301.1,153.33,5018.62
2021-12-01,SELL_ETF,71600,2.778,2.717,2.25,198904.8,49.73,203873.69
2021-12-02,SELL_ETF,70600,2.74,2.7571,-0.62,193444.0,48.36,203881.06
2021-12-03,SELL_ETF,72400,2.758,2.7347,0.85,199679.2,49.92,203946.47
2022-01-28,SELL_ETF,76000,2.597,2.6701,-2.74,197372.0,49.34,203841.81
2022-02-10,SELL_ETF,71400,2.754,2.7076,1.71,196635.6,49.16,204069.21
2022-03-01,BUY_ETF,389700,2.605,2.566,1.52,1015168.5,253.79,4958.55
2022-03-03,SELL_ETF,76200,2.612,2.5995,0.48,199034.4,49.76,203943.19
2022-03-04,SELL_ETF,70300,2.588,2.5905,-0.1,181936.4,45.48,203716.76
2022-03-07,SELL_ETF,76100,2.554,2.5213,1.3,194359.4,48.59,203970.13
2022-03-08,SELL_ETF,80600,2.473,2.4908,-0.71,199323.8,49.83,203992.31
2022-03-09,SELL_ETF,79800,2.5,2.5549,-2.15,199500.0,49.88,203890.56
2022-04-14,BUY_ETF,732800,1.347,1.3189,2.13,987081.6,246.77,4864.45
2022-04-18,SELL_ETF,150400,1.324,1.3231,0.07,199129.6,49.78,203944.27
2022-04-19,SELL_ETF,149700,1.334,1.3435,-0.71,199699.8,49.92,203948.25
2022-04-20,SELL_ETF,146100,1.355,1.3484,0.49,197965.5,49.49,203942.82
2022-04-21,SELL_ETF,143800,1.372,1.3307,3.1,197293.6,49.32,203855.8
2022-04-25,SELL_ETF,151400,1.31,1.3175,-0.57,198334.0,49.58,203944.7
2022-06-15,BUY_ETF,816800,1.192,1.21,-1.49,973625.6,243.41,4851.47
2022-06-23,SELL_ETF,167300,1.19,1.2036,-1.13,199087.0,49.77,203888.7
2022-08-01,BUY_ETF,154700,1.31,1.3132,-0.24,202657.0,50.66,5024.11
2022-08-02,SELL_ETF,152300,1.306,1.3044,0.12,198903.8,49.73,203878.19
2022-08-03,SELL_ETF,153000,1.306,1.3314,-1.91,199818.0,49.95,203938.32
2022-09-19,SELL_ETF,157500,1.267,1.2788,-0.92,199552.5,49.89,203889.06
2022-09-20,SELL_ETF,155100,1.284,1.2653,1.48,199148.4,49.79,203879.92
2022-09-21,SELL_ETF,156900,1.267,1.2446,1.8,198792.3,49.7,203883.86
2022-11-15,BUY_ETF,715400,1.326,1.3275,-0.11,948620.4,237.16,4854.03
2022-11-23,SELL_ETF,147400,1.351,1.356,-0.37,199137.4,49.78,203941.64
2022-11-25,SELL_ETF,143100,1.367,1.3567,0.76,195617.7,48.9,203919.6
2023-01-03,SELL_ETF,154300,1.25,1.2565,-0.52,192875.0,48.22,203811.23
2023-01-04,SELL_ETF,157000,1.245,1.2594,-1.14,195465.0,48.87,203891.59
2023-01-06,BUY_ETF,709400,1.238,1.2692,-2.46,878237.2,219.56,4872.48
2023-01-11,SELL_ETF,158500,1.256,1.2662,-0.81,199076.0,49.77,203898.71
2023-02-01,BUY_ETF,169500,1.29,1.3075,-1.34,218655.0,54.66,5070.28
2023-02-17,SELL_ETF,151100,1.316,1.3183,-0.17,198847.6,49.71,203868.17
2023-02-20,SELL_ETF,127300,1.317,1.3179,-0.07,167654.1,41.91,203360.66
2023-02-21,SELL_ETF,128100,1.313,1.2899,1.79,168195.3,42.05,203282.18
2023-02-22,SELL_ETF,128000,1.298,1.2916,0.5,166144.0,41.54,203337.48
2023-03-17,SELL_ETF,127800,1.281,1.2738,0.57,163711.8,40.93,203177.77
2023-03-31,BUY_ETF,668700,1.308,1.3299,-1.65,874659.6,218.66,4875.2
2023-04-10,SELL_ETF,150300,1.325,1.3309,-0.44,199147.5,49.79,203972.92
2023-04-11,SELL_ETF,138400,1.332,1.3331,-0.08,184348.8,46.09,203577.62
2023-04-12,SELL_ETF,149600,1.33,1.327,0.23,198968.0,49.74,203861.25
2023-05-22,BUY_ETF,409800,1.388,1.3862,0.13,568802.4,142.2,4938.63
2023-05-23,SELL_ETF,142800,1.394,1.3739,1.46,199063.2,49.77,203952.06
2023-05-24,SELL_ETF,139300,1.381,1.3683,0.93,192373.3,48.09,203825.24
2023-06-26,SELL_ETF,130900,1.482,1.4693,0.86,193993.8,48.5,203860.14
2023-06-27,SELL_ETF,132800,1.474,1.4869,-0.87,195747.2,48.94,203907.55
2023-06-29,SELL_ETF,128300,1.496,1.4953,0.05,191936.8,47.98,203856.47
2023-07-25,BUY_ETF,709300,1.538,1.5366,0.09,1090903.4,272.73,4752.32
2023-07-31,SELL_ETF,129500,1.539,1.5414,-0.16,199300.5,49.83,204003.0
2023-08-01,SELL_ETF,126600,1.549,1.5368,0.79,196103.4,49.03,203854.37
2023-08-02,SELL_ETF,130000,1.537,1.5173,1.3,199810.0,49.95,204014.54
2023-08-03,SELL_ETF,130500,1.523,1.516,0.46,198751.5,49.69,203948.68
2023-08-04,SELL_ETF,130200,1.526,1.5064,1.3,198685.2,49.67,203863.56
2023-08-28,BUY_ETF,659000,1.515,1.5011,0.93,998385.0,249.6,4814.14
2023-09-07,SELL_ETF,129800,1.535,1.5107,1.61,199243.0,49.81,204007.33
2023-09-08,SELL_ETF,128000,1.544,1.5163,1.83,197632.0,49.41,203934.55
2023-10-11,BUY_ETF,282200,1.499,1.4813,1.19,423017.8,105.75,4898.81
2023-10-13,SELL_ETF,133000,1.497,1.4641,2.25,199101.0,49.78,203950.03
2023-10-16,SELL_ETF,116800,1.496,1.48,1.08,174732.8,43.68,203493.62
2023-10-17,SELL_ETF,114800,1.507,1.4797,1.84,173003.6,43.25,203419.0
2023-10-19,SELL_ETF,116300,1.485,1.4476,2.58,172705.5,43.18,203436.44
2023-10-20,SELL_ETF,111000,1.467,1.4293,2.64,162837.0,40.71,203190.35
2023-11-01,BUY_ETF,658600,1.446,1.4335,0.87,952335.6,238.08,4865.5
2023-11-02,SELL_ETF,136100,1.463,1.461,0.14,199114.3,49.78,203930.03
2023-11-27,SELL_ETF,130100,1.534,1.5269,0.46,199573.4,49.89,203952.68
2023-11-29,SELL_ETF,130000,1.532,1.5243,0.51,199160.0,49.79,203994.14
2023-11-30,SELL_ETF,130400,1.531,1.5302,0.05,199642.4,49.91,203956.74
2023-12-28,BUY_ETF,502300,1.605,1.6021,0.18,806191.5,201.55,4836.32
2024-01-03,SELL_ETF,124900,1.595,1.576,1.21,199215.5,49.8,204002.01
2024-01-04,SELL_ETF,125300,1.589,1.5707,1.17,199101.7,49.78,203914.18
2024-01-05,SELL_ETF,123900,1.582,1.5742,0.5,196009.8,49.0,203834.02
2024-01-08,SELL_ETF,124200,1.584,1.5958,-0.74,196732.8,49.18,203954.54
2024-02-08,BUY_ETF,475200,1.745,1.676,4.12,829224.0,207.31,4814.36
2024-03-22,SELL_ETF,108400,1.837,1.7551,4.67,199130.8,49.78,203895.37
2024-03-25,SELL_ETF,109000,1.825,1.7493,4.33,198925.0,49.73,203974.97
2024-04-12,SELL_ETF,110000,1.802,1.717,4.95,198220.0,49.56,203937.89
2024-04-29,BUY_ETF,362800,1.754,1.716,2.21,636351.2,159.09,4872.15
2024-05-06,SELL_ETF,113200,1.759,1.7355,1.35,199118.8,49.78,203941.17
2024-05-07,SELL_ETF,112300,1.777,1.738,2.24,199557.1,49.89,204001.54
2024-06-06,SELL_ETF,106600,1.873,1.797,4.23,199661.8,49.92,204013.54
2024-07-10,BUY_ETF,305000,1.985,1.899,4.53,605425.0,151.36,4876.24
2024-07-12,SELL_ETF,100900,1.974,1.8917,4.35,199176.6,49.79,204003.05
2024-07-15,SELL_ETF,98400,2.024,1.8971,6.69,199161.6,49.79,204025.11
2024-08-08,SELL_ETF,110900,1.799,1.7936,0.3,199509.1,49.88,203928.46
2024-08-09,SELL_ETF,109000,1.835,1.8017,1.85,200015.0,50.0,203879.47
2024-09-05,SELL_ETF,103500,1.929,1.844,4.61,199651.5,49.91,204007.21
2024-09-20,BUY_ETF,515800,1.97,1.9023,3.56,1016126.0,254.03,4786.55
2024-11-27,SELL_ETF,91400,2.18,2.0395,6.89,199252.0,49.81,203988.74
2024-11-28,SELL_ETF,91300,2.178,2.037,6.92,198851.4,49.71,203865.72
2025-01-22,BUY_ETF,215600,2.218,2.0609,7.62,478200.8,119.55,4907.46
2025-03-03,SELL_ETF,96200,2.07,1.982,4.44,199134.0,49.78,203991.68
2025-04-08,SELL_ETF,111900,1.776,1.6943,4.82,198734.4,49.68,203854.71
2025-05-07,BUY_ETF,206900,1.922,1.9145,0.39,397661.8,99.42,4934.48
2025-05-09,SELL_ETF,102500,1.942,1.927,0.78,199055.0,49.76,203939.71
2025-05-15,SELL_ETF,98800,1.999,2.0116,-0.63,197501.2,49.38,203931.21
2025-06-23,BUY_ETF,195000,2.025,2.0416,-0.81,394875.0,98.72,4930.67
2025-10-14,SELL_ETF,88000,2.263,2.2307,1.45,199144.0,49.79,204024.88
2025-10-15,SELL_ETF,75400,2.289,2.2393,2.22,172590.6,43.15,203477.34
2025-10-24,BUY_ETF,212400,2.36,2.2766,3.66,501264.0,125.32,5069.34
2025-11-21,SELL_ETF,84500,2.355,2.2129,6.42,198997.5,49.75,204017.09
2026-01-13,SELL_ETF,75100,2.46,2.3072,6.62,184746.0,46.19,203668.81
2026-01-14,SELL_ETF,73200,2.452,2.295,6.84,179486.4,44.87,203563.66
2026-01-15,SELL_ETF,72400,2.445,2.2989,6.36,177018.0,44.25,203501.39
2026-01-16,SELL_ETF,72100,2.455,2.2978,6.84,177005.5,44.25,203541.65
2026-02-06,BUY_ETF,405100,2.326,2.2783,2.09,942262.6,235.57,4829.56
2026-03-16,SELL_ETF,87400,2.279,2.1852,4.29,199184.6,49.8,203964.37
2026-03-19,SELL_ETF,87700,2.259,2.1525,4.95,198114.3,49.53,203902.64
2026-03-20,SELL_ETF,87900,2.244,2.1176,5.97,197247.6,49.31,203897.67
2026-03-23,SELL_ETF,92900,2.149,2.1469,0.1,199642.1,49.91,204043.02
2026-04-15,BUY_ETF,373600,2.337,2.2756,2.7,873103.2,218.28,4816.01
2026-07-06,SELL_ETF,79300,2.511,2.4264,3.49,199122.3,49.78,203888.52
2026-07-07,SELL_ETF,77000,2.528,2.415,4.68,194656.0,48.66,203865.27
2026-07-08,SELL_ETF,77600,2.503,2.4093,3.89,194232.8,48.56,203863.04
2026-08-18,BUY_ETF,180700,2.688,2.4683,8.9,485721.6,121.43,5083.61
2026-08-20,SELL_ETF,74400,2.675,2.4498,9.19,199020.0,49.76,204053.85
2026-08-21,SELL_ETF,74100,2.672,2.4611,8.57,197995.2,49.5,203948.07
2026-08-24,SELL_ETF,73300,2.672,2.4549,8.84,195857.6,48.96,203971.82
2026-08-25,SELL_ETF,72900,2.695,2.4632,9.41,196465.5,49.12,203945.14
2026-08-25,FINAL_ETF,1011600,2.695,2.4632,9.41,2726262.0,681.57,2729566.6
