round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days,sig_date,capital_used,MAE_intraday,blocked_future_opportunities,blocked_days,top10_oversold_days,slot_days
13,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,18683.3139607801,4.78,17,2020-12-09,785930.15,-6.9491054890197805,1,4,3,17
14,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,55426.922526240116,9.42,14,2021-01-28,2020392.38,-7.015110970611582,4,13,6,14
15,300059.SZ,,2021-02-26,2021-04-02,TAKE_PROFIT_DYN,1,6500,-10814.738126399956,-5.45,25,2021-02-25,596090.5,,13,25,12,25
16,300750.SZ,,2021-02-01,2021-04-14,TAKE_PROFIT_DYN,2,1100,9928.487663820037,2.68,46,2021-01-29,2771257.48,-20.74497740220118,17,39,20,46
17,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,3,12700,-128562.82199261995,-21.91,50,2021-01-28,983131.15,-38.059996369034266,19,40,23,50
18,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9000,19181.56621140003,10.16,15,2021-04-15,188738.55,,7,5,6,15
19,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,5800,6983.716473360022,1.84,22,2021-04-12,379308.93,,7,8,9,22
20,600031.SH,,2021-05-14,2021-06-01,TAKE_PROFIT_DYN,1,7200,27818.873655840027,13.96,12,2021-05-13,674405.73,,1,7,4,12
21,002594.SZ,,2021-05-06,2021-06-08,TAKE_PROFIT_DYN,2,2500,131567.65075440012,34.99,23,2021-04-30,2011040.03,,6,11,10,23
22,002340.SZ,,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,63100,31636.125431640074,5.29,19,2021-06-07,597783.19,-11.268218960526644,6,15,6,19
23,000661.SZ,,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,1300,18776.778029100038,3.64,38,2021-05-24,515323.81,-16.869232318763217,9,26,13,38
24,600031.SH,,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,17800,22024.05905448011,4.63,35,2021-06-11,674405.73,-15.123800474118932,13,28,15,35
25,002241.SZ,,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,5200,20518.01914968004,10.27,9,2021-07-22,797576.78,-7.886690994094536,5,7,6,9
26,002460.SZ,,2021-08-17,2021-08-30,TAKE_PROFIT_DYN,1,1200,47024.09293319998,24.03,9,2021-08-16,195675.48,-2.178852455095548,2,9,2,9
27,300750.SZ,,2021-08-17,2021-09-14,TAKE_PROFIT_DYN,1,400,19148.41928376007,9.86,20,2021-08-16,2771257.48,,2,9,2,20
28,000858.SZ,,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,4200,-54012.840126839816,-5.59,54,2021-07-08,1541405.86,,9,22,14,54
29,600111.SH,,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,4600,43782.60256524003,22.28,12,2021-09-29,196478.28,-3.635150881459759,1,12,1,12
30,002466.SZ,,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,3800,20545.878086640034,5.28,28,2021-09-22,389280.89,-18.180489133925924,5,20,8,28
31,601919.SH,,2021-09-29,2021-11-30,TAKE_PROFIT_DYN,2,24700,12082.559413860145,3.04,39,2021-09-28,796329.53,-19.41019873980766,6,29,8,39
32,600030.SH,,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,1,8300,15781.336284420046,7.94,13,2021-11-16,396519.12,-1.3115700694119603,1,11,4,13
33,000651.SZ,,2021-10-28,2021-12-09,TAKE_PROFIT_DYN,2,11100,14882.517802080081,3.77,30,2021-10-27,785930.15,-6.591900011148688,5,19,8,30
34,601012.SH,,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,3,7400,11911.362737400108,2.05,57,2021-12-01,1542606.07,-23.79769090453363,28,46,28,57
35,002594.SZ,,2021-12-17,2022-05-05,TAKE_PROFIT_DYN,4,2700,-15161.140331099858,-2.22,88,2021-12-16,2011040.03,-26.330711541979145,57,83,44,88
36,000858.SZ,,2022-03-04,2022-05-30,TAKE_PROFIT_DYN,1,1100,-16906.98683321994,-8.53,56,2022-03-03,1541405.86,,29,54,21,56
37,300750.SZ,,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,3,1000,-97943.60455811996,-18.13,106,2021-12-20,2771257.48,-41.8073675499418,57,98,46,106
38,002415.SZ,,2022-05-09,2022-06-06,TAKE_PROFIT_DYN,3,17800,21141.421241400065,3.55,19,2022-05-06,795281.49,-8.562026209085028,0,15,2,19
39,002241.SZ,,2022-06-24,2022-08-05,TAKE_PROFIT_DYN,1,6200,5669.915238360059,2.84,30,2022-06-23,797576.78,-5.007927395987089,5,16,9,30
40,600036.SH,,2022-07-14,2022-08-31,TAKE_PROFIT_DYN,3,16800,-9253.682413919945,-1.57,34,2022-07-13,591078.49,-12.409355508629105,15,32,16,34
41,601888.SH,,2022-08-09,2022-09-26,TAKE_PROFIT_DYN,2,2000,25997.859993599996,7.03,33,2022-08-08,369889.52,-8.13301751785901,26,32,19,33
42,300274.SZ,,2022-09-01,2022-10-12,TAKE_PROFIT_DYN,1,1700,21345.722282160015,11.19,23,2022-08-31,580770.19,-6.8032886182257,23,22,15,23
43,601899.SH,,2022-09-27,2022-10-28,TAKE_PROFIT_DYN,2,51700,27486.361114739964,6.91,18,2022-09-26,797415.61,-3.339202950097886,21,17,12,18
44,002594.SZ,,2022-07-13,2022-11-04,TAKE_PROFIT_DYN,5,3400,-6528.044203919824,-0.69,76,2022-07-12,2011040.03,-23.76232182057424,54,69,44,76
45,600519.SH,,2022-10-13,2022-12-01,TAKE_PROFIT_DYN,1,100,-6637.773531959974,-3.85,35,2022-10-12,859145.29,,19,28,13,35
46,300750.SZ,,2022-10-31,2022-12-07,TAKE_PROFIT_DYN,1,500,22683.793246200046,12.59,27,2022-10-28,2771257.48,,5,17,6,27
47,300274.SZ,,2022-12-07,2023-01-03,TAKE_PROFIT_DYN,2,3800,48201.52225410007,12.35,18,2022-12-06,580770.19,,2,6,6,18
48,002241.SZ,,2022-11-14,2023-01-05,TAKE_PROFIT_DYN,2,23700,34076.419577819994,8.55,37,2022-11-11,797576.78,,5,19,9,37
49,601012.SH,,2022-12-23,2023-01-18,TAKE_PROFIT_DYN,1,4900,22382.58724128001,11.35,17,2022-12-22,1542606.07,-1.83945407826005,2,6,4,17
50,300014.SZ,,2023-01-12,2023-02-01,TAKE_PROFIT_DYN,1,2300,13742.55426942007,6.98,9,2023-01-11,1182382.2,,0,0,0,9
51,300750.SZ,,2023-02-20,2023-03-31,TAKE_PROFIT_DYN,3,1300,18777.097441440157,3.63,29,2023-02-17,2771257.48,-11.62683470375777,8,17,11,29
52,300059.SZ,,2023-03-08,2023-04-03,TAKE_PROFIT_DYN,2,20500,26668.556488800037,6.7,18,2023-03-07,596090.5,,8,17,7,18
53,000858.SZ,,2023-04-11,2023-05-22,TAKE_PROFIT_DYN,2,2100,-10014.006498299947,-2.65,26,2023-04-10,1541405.86,,4,24,5,26
54,600519.SH,,2023-04-13,2023-06-16,TAKE_PROFIT_DYN,1,100,7184.677604219993,4.25,43,2023-04-12,859145.29,-4.355999030555235,10,42,12,43
55,600809.SH,,2023-05-23,2023-07-25,TAKE_PROFIT_DYN,3,2700,36083.205896939966,6.34,43,2023-05-22,568792.22,,11,38,14,43
56,300418.SZ,,2023-06-27,2023-08-14,TAKE_PROFIT_DYN,1,300,-1466.4528931899968,-10.97,34,2023-06-26,13363.35,-22.324866145090848,8,29,11,34
57,600276.SH,,2023-08-01,2023-08-28,TAKE_PROFIT_DYN,3,14100,13381.668178560212,2.24,19,2023-07-31,595919.3200000001,-16.35536659233341,12,16,11,19
58,002230.SZ,,2023-08-17,2023-10-10,TAKE_PROFIT_DYN,1,300,-1200.787438989997,-6.94,32,2023-08-16,411421.01,-19.948061663935224,15,23,12,32
59,002475.SZ,,2023-09-08,2023-10-11,TAKE_PROFIT_DYN,1,6700,13314.679056360037,6.73,17,2023-09-07,983131.15,-4.434548502345104,6,16,6,17
60,300014.SZ,,2023-02-21,2023-11-06,TAKE_PROFIT_DYN,5,14700,-281648.9383369199,-28.57,172,2023-02-20,1182382.2,,46,125,57,172
61,600519.SH,,2023-10-16,2023-12-29,TAKE_PROFIT_DYN,3,300,2568.911065380147,0.5,54,2023-10-13,859145.29,-7.786761434433009,18,49,23,54
62,601318.SH,,2023-11-10,2024-01-25,TAKE_PROFIT_DYN,3,10700,-17632.113424199924,-3.89,53,2023-11-09,2020392.38,,22,50,24,53
63,300750.SZ,,2023-10-17,2024-02-08,TAKE_PROFIT_DYN,3,3400,-9141.909842339926,-1.63,81,2023-10-16,2771257.48,,33,71,35,81
64,002230.SZ,,2024-01-04,2024-02-08,TAKE_PROFIT_DYN,2,9400,14136.106295520032,3.59,25,2024-01-03,411421.01,-13.110145668285188,15,22,12,25
65,601012.SH,,2024-01-30,2024-03-12,TAKE_PROFIT_DYN,2,19000,49915.919160360005,13.32,24,2024-01-29,1542606.07,-13.258916712296063,6,7,4,24
66,601318.SH,,2024-03-25,2024-04-29,TAKE_PROFIT_DYN,2,10100,32025.780640259967,8.1,23,2024-03-22,2020392.38,-6.96571660724935,10,18,11,23
67,000628.SZ,,2024-04-01,2024-05-21,TAKE_PROFIT_DYN,3,8700,-131429.80281221983,-22.19,31,2024-03-29,592172.58,-52.386143922892245,11,28,11,31
68,000977.SZ,,2024-05-29,2024-07-09,TAKE_PROFIT_DYN,1,5400,8939.030455080007,4.48,28,2024-05-28,199621.42,-6.5380868792729085,15,28,8,28
69,000625.SZ,,2024-05-07,2024-07-10,TAKE_PROFIT_DYN,2,28300,7022.001232619979,1.76,45,2024-05-06,397982.57999999996,,16,38,10,45
70,603019.SH,,2024-03-28,2024-07-17,TAKE_PROFIT_DYN,2,9000,-12591.667527119862,-3.17,73,2024-03-27,397729.33,-19.720871095078273,26,56,22,73
71,601919.SH,,2024-07-15,2024-09-20,TAKE_PROFIT_DYN,2,30800,-320.17370615992695,-0.08,47,2024-07-12,796329.53,,28,40,22,47
72,601138.SH,,2024-07-19,2024-09-24,TAKE_PROFIT_DYN,3,21500,-53626.77789083985,-10.89,45,2024-07-18,492185.69,-27.58543018855392,28,41,22,45
73,601899.SH,,2024-07-24,2024-09-25,TAKE_PROFIT_DYN,3,25000,23685.022253150004,5.92,43,2024-07-23,797415.61,-15.343015646967007,28,41,21,43
74,600150.SH,,2024-09-23,2024-12-18,TAKE_PROFIT_DYN,2,11500,25549.931969100027,6.49,57,2024-09-20,393818.43,,0,1,2,57
75,600418.SH,,2024-11-28,2024-12-31,FINAL_SETTLE,1,5700,16133.701312079997,8.18,23,2024-11-27,197188.99,-4.031154031154028,0,0,1,23
