feature_id,name,quintile,n_days,mean_Y20,median_Y20,bad_rate
F14,DOWN_VOL_SHARE,5,113,6.259504870065468,6.3345444873868395,1.7699115044247788
F19,DROP5_SHARE,1,96,5.280589338601613,5.282761783939719,1.0416666666666665
F19,DROP5_SHARE,2,104,5.162080920397364,5.1290726285938275,4.807692307692308
F19,DROP5_SHARE,3,119,5.03478544057677,5.12340386360971,2.5210084033613445
F19,DROP5_SHARE,4,114,5.570722282580904,5.651596333356364,0.8771929824561403
F19,DROP5_SHARE,5,113,6.259504870065468,6.3345444873868395,1.7699115044247788
F20,DROP7_SHARE,1,109,5.05315292583034,4.829285345752906,2.7522935779816518
F20,DROP7_SHARE,2,82,5.076434167586884,5.298451618827661,4.878048780487805
F20,DROP7_SHARE,3,135,5.33101254767751,5.426028750830086,1.4814814814814816
F20,DROP7_SHARE,4,109,5.479490614175957,5.558686518033298,0.9174311926605505
F20,DROP7_SHARE,5,111,6.318075753586151,6.397934759865619,1.8018018018018018
F10,BREADTH_BELOW_BB,1,75,5.109491527832869,5.484094305630336,1.3333333333333335
F10,BREADTH_BELOW_BB,2,112,5.167290666280495,5.653250201091192,5.357142857142857
F10,BREADTH_BELOW_BB,3,110,5.029098572679079,4.87062179103392,2.727272727272727
F10,BREADTH_BELOW_BB,4,115,5.44860934220345,5.66360927566739,0.0
F10,BREADTH_BELOW_BB,5,134,6.295369504689262,6.267063287923118,1.4925373134328357
F25,MRH_20_REALIZED,1,70,5.15608220446179,5.094397275287305,2.857142857142857
F25,MRH_20_REALIZED,2,131,4.404666423726333,4.0263148781413705,6.870229007633588
F25,MRH_20_REALIZED,3,102,5.079000870468104,5.319983238538416,0.9803921568627451
F25,MRH_20_REALIZED,4,158,5.762001562473466,5.823112500573409,0.0
F25,MRH_20_REALIZED,5,83,7.405126992294062,7.53946810654726,0.0
F04,CSI1000_RET20,1,140,7.016420538721814,7.557962012202223,0.0
F04,CSI1000_RET20,2,112,4.527082290645009,4.584728458867582,4.464285714285714
F04,CSI1000_RET20,3,94,5.168386956596029,5.392238075968288,1.0638297872340425
F04,CSI1000_RET20,4,111,4.864107759162531,5.158692678258137,5.405405405405405
F04,CSI1000_RET20,5,88,5.320097894147301,5.753432480169896,0.0
F22,N_OVERSOLD_SIGNALS,1,83,5.448258481073729,5.828279476299956,1.2048192771084338
F22,N_OVERSOLD_SIGNALS,2,111,5.174259386179901,5.155540282132531,3.6036036036036037
F22,N_OVERSOLD_SIGNALS,3,91,5.070386089694683,4.699250536734407,3.296703296703297
F22,N_OVERSOLD_SIGNALS,4,133,5.437137476748735,5.536595081654183,1.5037593984962405
F22,N_OVERSOLD_SIGNALS,5,128,6.0486420767379006,6.131886026819705,1.5625
F11,ALL_A_RV20,1,113,4.784842476640352,4.6770883179289475,4.424778761061947
F11,ALL_A_RV20,2,141,4.028534610318852,3.7178163136262756,4.964539007092199
F11,ALL_A_RV20,3,129,5.803533592511356,5.842233849691064,0.0
F11,ALL_A_RV20,4,92,6.608303610390366,6.368122578510154,0.0
F11,ALL_A_RV20,5,71,7.323781756086492,7.0656349740189714,0.0
F27,MRH_WIN20_REALIZED,1,94,6.302965264003815,6.2749760146970495,0.0
F27,MRH_WIN20_REALIZED,2,91,5.36158733782812,5.66360927566739,0.0
F27,MRH_WIN20_REALIZED,3,139,5.788296051212778,5.609386058570114,0.0
F27,MRH_WIN20_REALIZED,4,183,4.904363075342951,4.512932310027546,2.185792349726776
F27,MRH_WIN20_REALIZED,5,37,5.366544739848181,6.456821340834906,21.62162162162162
F23,OVERSOLD_SIGNAL_SHARE,1,86,5.51730850587879,5.824050822491177,1.1627906976744187
F23,OVERSOLD_SIGNAL_SHARE,2,115,5.137108379670376,5.149578743797378,4.3478260869565215
F23,OVERSOLD_SIGNAL_SHARE,3,98,5.137451145622657,4.7094216266038735,2.0408163265306123
F23,OVERSOLD_SIGNAL_SHARE,4,127,5.5049704033988025,5.551956825195292,1.574803149606299
F23,OVERSOLD_SIGNAL_SHARE,5,120,5.978845012641669,6.062388260963161,1.6666666666666667
F13,CROSS_SECTION_RET_STD,1,78,5.497970048499743,5.2266619956374205,0.0
F13,CROSS_SECTION_RET_STD,2,106,4.851811458490126,4.68429937604715,3.7735849056603774
F13,CROSS_SECTION_RET_STD,3,122,5.021050564639996,4.573710034603472,3.278688524590164
F13,CROSS_SECTION_RET_STD,4,127,5.626448698312103,5.68014377425618,1.574803149606299
F13,CROSS_SECTION_RET_STD,5,113,6.327947064006081,6.391904405919619,1.7699115044247788
F26,MRH_60_REALIZED,1,42,5.606446734708202,5.8586400882623835,0.0
F26,MRH_60_REALIZED,2,126,4.950463523890846,5.260861115004156,7.142857142857142
F26,MRH_60_REALIZED,3,171,4.604054167421283,4.258353275045489,1.7543859649122806
F26,MRH_60_REALIZED,4,169,6.472296214801613,6.24648104200917,0.0
F26,MRH_60_REALIZED,5,36,6.685456723359252,7.17469295292819,0.0
F12,ALL_A_RV60,1,178,5.099368853122556,5.096062341621382,0.0
F12,ALL_A_RV60,2,117,3.947182578074257,4.326564278220093,10.256410256410255
F12,ALL_A_RV60,3,76,5.897698531800995,5.892940543694336,0.0
F12,ALL_A_RV60,4,69,6.698234181580571,5.937213574702757,0.0
F12,ALL_A_RV60,5,77,7.819743621061254,6.730411911292086,0.0
F03,CSI300_RET20,1,169,6.259373768222939,5.852840396643718,0.0
F03,CSI300_RET20,2,153,5.456565658148957,5.508174800751553,0.6535947712418301
F03,CSI300_RET20,3,88,4.610512538992308,4.675897887368391,5.681818181818182
F03,CSI300_RET20,4,73,3.831397579872321,3.8891839081881625,8.21917808219178
F03,CSI300_RET20,5,62,6.534503267046055,6.565262545932823,0.0
F17,MEDIAN_STOCK_AMOUNT_RATIO20,1,90,6.546605324998206,6.490854362909587,0.0
F17,MEDIAN_STOCK_AMOUNT_RATIO20,2,120,5.440037639388927,4.962519884495789,0.8333333333333334
F17,MEDIAN_STOCK_AMOUNT_RATIO20,3,112,4.869572302519062,4.996971066250502,8.035714285714286
F17,MEDIAN_STOCK_AMOUNT_RATIO20,4,101,5.0762763439681,5.158692678258137,1.9801980198019802
F17,MEDIAN_STOCK_AMOUNT_RATIO20,5,123,5.570925573885485,5.87804494744635,0.0
F24,N_OVERSOLD_Z60,1,107,5.4163334475677445,5.471095294260242,0.9345794392523363
F24,N_OVERSOLD_Z60,2,109,5.828070895197126,6.391904405919619,5.5045871559633035
F24,N_OVERSOLD_Z60,3,88,5.4272366779618215,5.526733477801319,1.1363636363636365
F24,N_OVERSOLD_Z60,4,79,5.9265064388492315,6.080186036766184,2.5316455696202533
F24,N_OVERSOLD_Z60,5,103,6.112356925021504,6.263229848185459,1.9417475728155338
F16,MARKET_AMOUNT_Z60,1,115,6.1742023363359335,5.6230488924565485,0.8695652173913043
F16,MARKET_AMOUNT_Z60,2,73,5.684629515502116,5.516871873948455,2.73972602739726
F16,MARKET_AMOUNT_Z60,3,107,4.783633262190336,5.3282361656916715,5.607476635514018
F16,MARKET_AMOUNT_Z60,4,111,5.254999620626,5.756317799965269,2.7027027027027026
F16,MARKET_AMOUNT_Z60,5,110,5.976512541648656,6.3896058756278435,0.0
F15,MARKET_AMOUNT_RATIO20,1,90,6.62980057901973,6.291626726139985,1.1111111111111112
F15,MARKET_AMOUNT_RATIO20,2,123,5.480735697282888,5.429636967401342,3.2520325203252036
F15,MARKET_AMOUNT_RATIO20,3,113,4.700739097275127,4.42079102010902,3.5398230088495577
F15,MARKET_AMOUNT_RATIO20,4,117,5.0529979123489115,5.3282361656916715,2.564102564102564
F15,MARKET_AMOUNT_RATIO20,5,102,5.784786521870999,6.25167160142081,0.0
