feature_id,quintile,n_days,n_episodes,equal_day_mean_return_pct,positive_day_fraction,equal_day_mean_episode_win_rate_pct,episode_weighted_mean_return_pct,episode_weighted_win_rate_pct
F05,1,534,6733,4.719901736683649,0.7846441947565543,68.64404491116282,6.206504881720188,75.43442744690331
F05,2,534,6935,4.517385350942616,0.8146067415730337,73.75477024811025,5.720025745652393,78.58687815428983
F05,3,534,6944,5.205663105881759,0.8426966292134831,77.15270460474046,5.907333364835733,81.20679723502305
F05,4,534,6935,4.612917015919995,0.848314606741573,77.5747757252244,5.2854068358827835,82.22062004325883
F05,5,534,7145,3.7058214856921667,0.8576779026217228,78.29120446815635,4.349139526476072,81.80545836249125
F06,1,533,6729,5.164533368801745,0.8255159474671669,74.39056678908213,6.641159192503197,79.50661316688958
F06,2,533,6930,4.409075523317715,0.8236397748592871,73.57876629367848,5.830693985655799,79.84126984126985
F06,3,533,6938,4.519415804646604,0.8180112570356473,75.36803392004609,5.42494176957403,80.1671951571058
F06,4,533,6931,4.2776094419732855,0.8086303939962477,75.07049279815648,4.967718676887887,80.19044870870005
F06,5,533,7140,4.163271580243027,0.8536585365853658,76.75820870974039,4.585512618840409,79.71988795518207
F07,1,534,6733,5.112996159508568,0.797752808988764,71.126548662125,6.4615505408220395,76.94935392841231
F07,2,534,6935,5.246493293934581,0.8127340823970037,73.86035702062209,6.206038580927238,78.94736842105263
F07,3,534,6944,4.560194543275433,0.8220973782771536,75.476051357129,5.581429713842055,80.24193548387096
F07,4,534,6935,4.002817741152539,0.8220973782771536,76.37689336838265,5.088595881696973,81.26892573900506
F07,5,534,7145,3.678350707236771,0.8651685393258427,78.56650660591276,4.1448340659323195,81.88943317004899
F08,1,534,6733,3.44587249976794,0.8314606741573034,78.67968354330446,4.111629828676865,82.47437991979801
F08,2,534,6935,4.281802078741197,0.8426966292134831,77.67106430997697,5.274169857090392,82.43691420331652
F08,3,534,6944,4.72457888589571,0.850187265917603,76.16790127125378,5.650474149363995,80.25633640552995
F08,4,534,6935,4.693253638071378,0.8164794007490637,73.57776244979637,6.043704786838439,78.80317231434752
F08,5,534,7145,5.263430885974504,0.8164794007490637,71.17482817240548,6.269592769537856,75.67529741077676
F09,1,534,6733,3.4328976989974893,0.8314606741573034,78.35102036707009,3.933776780689791,82.2367443932868
F09,2,534,6935,4.363432446726868,0.8352059925093633,78.11703017279152,5.213079600140617,82.13410237923576
F09,3,534,6944,4.364542138657557,0.8239700374531835,76.02605269954644,5.578299956741528,80.24193548387096
F09,4,534,6935,4.777364295258764,0.8164794007490637,73.17891939064666,6.107038021430827,78.83201153568854
F09,5,534,7145,5.4477533919748735,0.8127340823970037,71.03038603096017,6.505157096440004,76.17914625612316
F10,1,534,6733,4.868160607674849,0.848314606741573,80.48343367473933,5.454944797076882,84.12297638496955
F10,2,534,6935,4.073275934953375,0.8277153558052435,77.64245918243299,5.58632830421933,82.45133381398702
F10,3,534,6944,4.766141174570786,0.8352059925093633,75.0468665792799,5.701034046640791,80.32834101382488
F10,4,534,6935,4.395189628670969,0.797752808988764,72.68231979458864,5.634841327705148,78.15428983417448
F10,5,534,7145,4.526394514940612,0.8052434456928839,71.77245780599485,5.048462139632019,74.66759972008397
F11,1,534,6733,4.4724889442174405,0.8146067415730337,74.79490533162986,5.799924708607603,79.90494578939551
F11,2,534,6935,4.437847865562613,0.8164794007490637,74.73830480079228,5.552002638192319,79.8846431146359
F11,3,534,6944,4.643124310261835,0.8333333333333334,77.11961490994379,5.413827040553158,80.5155529953917
F11,4,534,6935,4.231580731349643,0.8089887640449438,73.93175040190712,5.30911659145793,79.94232155731795
F11,5,534,7145,4.762600573459756,0.8295880149812734,75.32811609890472,5.351970221606542,79.21623512946117
F12,1,530,7163,4.73126708523569,0.8226415094339623,76.24467048358855,5.670818535910717,80.55284098841268
F12,2,533,6507,4.588939703966384,0.8048780487804879,73.51042723750707,5.4025278437899935,78.65375749193177
F12,3,533,6934,4.260487935749298,0.8180112570356473,74.25267357217983,5.408417418124462,79.82405537929044
