hypothesis_id,regime_dimension,regime_bin,oversold_bin,forward_horizon,n_stock_events,n_event_days,n_non_tradable_t1,status,mean_raw_return,benchmark,mean_regime_excess,median_regime_excess,stock_event_win_rate,daily_raw_positive_rate,daily_excess_positive_rate,hac_effect,hac_se,hac_t,raw_p,ci_lo,ci_hi,boot_p,nullA_p,nullC_p,nullB_p,nullB_note,nw_lag,bh_q
P0001,TREND,UP,B1,5D,41199,269,17,VALID_SAMPLE,-0.0030632688105218546,-0.0005549212477501823,-0.0025083475627716723,0.00089420800257041,0.488288550692978,0.5055762081784386,0.5204460966542751,-0.003981591000294776,0.005154498946209425,-0.7724496681142606,0.44009987924112315,-0.009758950432264036,0.0038441768110875517,0.8025,0.4288,0.4378,0.55,STRUCTURAL_INVARIANT,6.0,0.6287141132016045
P0002,TREND,UP,B1,10D,41190,269,17,VALID_SAMPLE,-0.0039920066840739505,-0.001027659277095657,-0.0029643474069782935,0.0016401596531044455,0.4570526826899733,0.5092936802973977,0.516728624535316,-0.004705416080509218,0.007905075874257796,-0.5952398377138926,0.551868907754526,-0.014544575826609325,0.007505820327388752,0.7395,0.5726,0.6086,0.75,STRUCTURAL_INVARIANT,6.0,0.7525485105743537
P0003,TREND,UP,B2,5D,11905,262,4,VALID_SAMPLE,-0.006949397811931705,-0.002610906515525874,-0.004338491296405832,-0.0013088369094144746,0.4896262074758505,0.44274809160305345,0.4847328244274809,-0.006858856528464201,0.005683652682263487,-1.2067691169567905,0.22792242007141383,-0.012931756231086338,0.002955734695131144,0.8895,0.214,0.2216,0.55,STRUCTURAL_INVARIANT,6.0,0.506494266825364
P0004,TREND,UP,B2,10D,11898,262,4,VALID_SAMPLE,-0.007703081959638041,-0.004230534650693526,-0.0034725473089445152,0.003782958106461524,0.4623466128761136,0.49236641221374045,0.5305343511450382,-0.005489858605936667,0.008341735164224548,-0.6581195036592854,0.5106743720194117,-0.014897081134889675,0.007538675848906304,0.7645,0.5626,0.5606,0.75,STRUCTURAL_INVARIANT,6.0,0.7125688911898768
P0005,TREND,UP,B3,5D,2366,228,0,VALID_SAMPLE,-0.010975994943294197,-0.006917841206622212,-0.004058153736671986,-0.00180429539995146,0.46787827557058326,0.4298245614035088,0.4824561403508772,-0.006277000384060976,0.006320950413755856,-0.9930469269938846,0.32106063119297984,-0.01297838421177105,0.0036514508325708054,0.8475,0.2812,0.2858,1.0,STRUCTURAL_INVARIANT,6.0,0.5351010519882997
P0006,TREND,UP,B3,10D,2368,228,0,VALID_SAMPLE,-0.010892610929479608,-0.00878817028122094,-0.002104440648258668,-0.0007750804822899936,0.45396959459459457,0.4298245614035088,0.4956140350877193,-0.003255070067450451,0.010006132764723799,-0.3253075033069783,0.745054175144661,-0.01593376420269507,0.01138662564683526,0.639,0.789,0.7492,1.0,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
P0007,TREND,UP,B4,5D,410,128,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0008,TREND,UP,B4,10D,410,128,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0009,TREND,SIDEWAYS,B1,5D,95562,279,48,VALID_SAMPLE,-0.0011751845361711618,-0.0005549212477501823,-0.0006202632884209795,0.00028905286379175696,0.48217910885079845,0.4910394265232975,0.5017921146953405,-0.0010065433274152903,0.004146376552110606,-0.2427525128905467,0.8082657835739221,-0.005865995027789167,0.004514382270310202,0.5865,0.7892,0.8356,0.75,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
P0010,TREND,SIDEWAYS,B1,10D,95506,279,48,VALID_SAMPLE,-0.001915442615755492,-0.001027659277095657,-0.000887783338659835,0.0025969578260480507,0.4661068414549871,0.5125448028673835,0.5161290322580645,-0.0014406662660841445,0.006427244260616142,-0.22414991677102317,0.8227038038539597,-0.009922629512091453,0.007566224663869913,0.5665,0.8664,0.8596,0.7,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
P0011,TREND,SIDEWAYS,B2,5D,39081,275,32,VALID_SAMPLE,-0.0033258454942445364,-0.002610906515525874,-0.0007149389787186626,0.000697433109548773,0.5091732555461733,0.4581818181818182,0.509090909090909,-0.0011638161913844894,0.004551004193878935,-0.2557273388035575,0.7982353471803181,-0.006583993369907474,0.005048260673451997,0.5845,0.8102,0.8314,1.0,STRUCTURAL_INVARIANT,6.0,0.8814683612720997
P0012,TREND,SIDEWAYS,B2,10D,39072,275,32,VALID_SAMPLE,-0.005733504363018817,-0.004230534650693526,-0.0015029697123252906,0.003376026283722037,0.5106726044226044,0.49454545454545457,0.509090909090909,-0.002446615079652808,0.006599126061256723,-0.3707483471208125,0.7109354075651492,-0.011207227983917973,0.007153210540359862,0.624,0.705,0.7892,0.6,STRUCTURAL_INVARIANT,6.0,0.8705331521205908
P0013,TREND,SIDEWAYS,B3,5D,10640,260,22,VALID_SAMPLE,-0.0069291677244198435,-0.006917841206622212,-1.13265177976319e-05,0.002380073092000148,0.5456766917293233,0.47692307692307695,0.5269230769230769,-1.897559475188366e-05,0.005437532596554753,-0.0034897436318646973,0.9972166754687959,-0.007199264520876267,0.007166650148276261,0.503,0.9962,0.998,1.0,STRUCTURAL_INVARIANT,6.0,0.9972166754687959
P0014,TREND,SIDEWAYS,B3,10D,10641,260,22,VALID_SAMPLE,-0.011502011411658606,-0.00878817028122094,-0.0027138411304376657,0.00011337784940813889,0.5538953105911099,0.4461538461538462,0.5038461538461538,-0.004546565010733224,0.00799826414217364,-0.5684439685806164,0.5699320054937045,-0.014271624478786587,0.008222168417646957,0.6955,0.5704,0.6512,1.0,STRUCTURAL_INVARIANT,6.0,0.7599093406582726
P0015,TREND,SIDEWAYS,B4,5D,2110,202,6,VALID_SAMPLE,-0.017709133149297302,-0.01397222191056839,-0.0037369112387289124,0.004143242501991483,0.566824644549763,0.41089108910891087,0.5495049504950495,-0.006830583657676618,0.007978341512464772,-0.856140796555903,0.3923817047122349,-0.012745187103976985,0.004927559913479312,0.814,0.4264,0.5626,1.0,STRUCTURAL_INVARIANT,5.0,0.6195500600719498
P0016,TREND,SIDEWAYS,B4,10D,2113,202,6,VALID_SAMPLE,-0.023710505233849242,-0.016064238645175817,-0.007646266588673425,0.008980493612436193,0.5944155229531471,0.4603960396039604,0.5544554455445545,-0.01397637253503421,0.011975602787822599,-1.1670704834370504,0.24380831146315524,-0.02240060046614434,0.005772183057721812,0.868,0.2826,0.4056,1.0,STRUCTURAL_INVARIANT,5.0,0.5192639470105757
P0017,TREND,DOWN,B1,5D,109883,179,32,VALID_SAMPLE,0.004181385745853354,-0.0005549212477501823,0.004736306993603536,0.008043887732626933,0.5475915291719374,0.5418994413407822,0.5418994413407822,0.0062833853729010476,0.006092252012544506,1.031373186789217,0.3027097812446675,-0.004528047497542281,0.014659435524023625,0.1365,0.2376,0.1906,1.0,STRUCTURAL_INVARIANT,6.0,0.5192639470105757
P0018,TREND,DOWN,B1,10D,109822,179,32,VALID_SAMPLE,0.0048108938176711314,-0.001027659277095657,0.005838553094766788,0.006745563318319584,0.5557356449527417,0.547486033519553,0.5642458100558659,0.007745671715137705,0.009356724919191343,0.8278186846394033,0.4080455952406871,-0.010034417455648485,0.02275440278084998,0.202,0.3738,0.3586,1.0,STRUCTURAL_INVARIANT,6.0,0.6277624542164417
P0019,TREND,DOWN,B2,5D,50350,176,10,VALID_SAMPLE,0.004964621545871628,-0.002610906515525874,0.0075755280613975014,0.003667440821563011,0.5902681231380338,0.5056818181818182,0.5227272727272727,0.010058382696045491,0.006481622264454828,1.5518310518040512,0.12114763854630278,-0.002475172491666269,0.018892103446715266,0.0635,0.086,0.0632,1.0,STRUCTURAL_INVARIANT,6.0,0.296413101630516
P0020,TREND,DOWN,B2,10D,50338,176,10,VALID_SAMPLE,0.0032872157233571385,-0.004230534650693526,0.007517750374050665,0.007844382223867255,0.6034407405935873,0.5340909090909091,0.5681818181818182,0.00998166855995928,0.009485043903299205,1.0523587093241953,0.2929925201180045,-0.008574231367968201,0.024784986502114616,0.146,0.3154,0.2594,1.0,STRUCTURAL_INVARIANT,6.0,0.5192639470105757
P0021,TREND,DOWN,B3,5D,16161,157,7,VALID_SAMPLE,-0.001005714158287198,-0.006917841206622212,0.005912127048335014,0.008314614900398618,0.6266938927046594,0.5031847133757962,0.535031847133758,0.007814184315934601,0.007283551987019782,1.0728535101912464,0.283739321015224,-0.005395180382328548,0.01821751972784148,0.1395,0.174,0.1844,0.85,STRUCTURAL_INVARIANT,6.0,0.5192639470105757
P0022,TREND,DOWN,B3,10D,16164,157,7,VALID_SAMPLE,-0.00123778071614598,-0.00878817028122094,0.00755038956507496,0.013705941444991642,0.652746844840386,0.5159235668789809,0.5668789808917197,0.00997951079810113,0.010481685810249887,0.9520902437604372,0.3414089639809343,-0.009272240371726677,0.026191039574370047,0.1695,0.3118,0.282,0.9,STRUCTURAL_INVARIANT,6.0,0.5536361578069204
P0023,TREND,DOWN,B4,5D,5685,116,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0024,TREND,DOWN,B4,10D,5685,116,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0025,BREADTH,LOW,B1,5D,132157,172,51,VALID_SAMPLE,0.00962208832085665,-0.0005549212477501823,0.010177009568606833,0.010924383841284357,0.5445038855300892,0.5755813953488372,0.5755813953488372,0.013330965687166104,0.006357400320193918,2.0969209135408784,0.03634644095892771,0.002106328687001483,0.019367129565911696,0.0055,0.041,0.0072,0.7,STRUCTURAL_INVARIANT,6.0,0.15577046125254732
P0026,BREADTH,LOW,B1,10D,132071,172,51,VALID_SAMPLE,0.014057025357563497,-0.001027659277095657,0.015084684634659154,0.019288711129152158,0.5445252932134989,0.6104651162790697,0.622093023255814,0.019759577890805825,0.009059308117828404,2.1811354282033593,0.029494025276312234,0.0008162850309953358,0.0307242858572794,0.0185,0.0676,0.0202,0.55,STRUCTURAL_INVARIANT,6.0,0.15577046125254732
P0027,BREADTH,LOW,B2,5D,63799,169,28,VALID_SAMPLE,0.011064958678333106,-0.002610906515525874,0.01367586519385898,0.015091441944493038,0.5775639116600574,0.5739644970414202,0.591715976331361,0.017924433608862957,0.006601191246697886,2.715333178360693,0.006781624216930989,0.004680978571570948,0.02448083310414953,0.001,0.0104,0.001,1.0,STRUCTURAL_INVARIANT,6.0,0.05812820757369419
P0028,BREADTH,LOW,B2,10D,63785,169,28,VALID_SAMPLE,0.013974942432344515,-0.004230534650693526,0.01820547708303804,0.019420408068414906,0.588445559300776,0.5976331360946746,0.6331360946745562,0.023861222720967135,0.008983791416159705,2.656030356854286,0.008083869950425938,0.0036957931191421473,0.0337072289551903,0.0075,0.015,0.0084,1.0,STRUCTURAL_INVARIANT,6.0,0.060629024628194535
P0029,BREADTH,LOW,B3,5D,20334,163,14,VALID_SAMPLE,0.0015816335027612806,-0.006917841206622212,0.008499474709383493,0.012936655877776827,0.617733844791974,0.5398773006134969,0.5828220858895705,0.011373778397411535,0.007354918909456741,1.5464179194127432,0.12249567726136515,-0.0027027331081652148,0.019867801670374212,0.065,0.0616,0.0626,0.8,STRUCTURAL_INVARIANT,6.0,0.296413101630516
P0030,BREADTH,LOW,B3,10D,20339,163,14,VALID_SAMPLE,0.004401884894733518,-0.00878817028122094,0.013190055175954458,0.0173560163982737,0.6378386351344707,0.558282208588957,0.6073619631901841,0.01765059250724199,0.010487540480759639,1.683005900155869,0.09285938090308843,-0.003441079696298885,0.031042064535770547,0.062,0.063,0.0724,1.0,STRUCTURAL_INVARIANT,6.0,0.26784986230901087
P0031,BREADTH,LOW,B4,5D,6527,131,6,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0032,BREADTH,LOW,B4,10D,6527,131,6,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
