stop_pct,sample,stratum,n,mean_delta,trig_rate
-20.0,SECONDARY,gt20,5251,-5.139705066505392,12.96895829365835
-22.5,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-22.5,PRIMARY,-30to-20,7,12.277977957553455,100.0
-22.5,PRIMARY,-20to-10,16,1.1997375941348212,100.0
-22.5,PRIMARY,-10to0,48,-4.240048543296203,45.83333333333333
-22.5,PRIMARY,0to5,75,-1.737717914734115,12.0
-22.5,PRIMARY,5to10,74,-1.254303668682717,6.756756756756757
-22.5,PRIMARY,10to20,58,-1.7671497419827598,6.896551724137931
-22.5,PRIMARY,gt20,20,-6.375726464267072,15.0
-22.5,SECONDARY,lt-30,623,19.663625259715694,100.0
-22.5,SECONDARY,-30to-20,1228,7.126413981882715,100.0
-22.5,SECONDARY,-20to-10,3589,-1.4421393552122486,93.006408470326
-22.5,SECONDARY,-10to0,14455,-3.0529502713624006,33.310273261847115
-22.5,SECONDARY,0to5,22345,-1.272338073226876,7.957037368538823
-22.5,SECONDARY,5to10,22828,-1.1536932086178506,5.550201506921325
-22.5,SECONDARY,10to20,18727,-1.7902854377951647,6.498638329684413
-22.5,SECONDARY,gt20,5251,-4.520796337112994,11.007427156732051
-25.0,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-25.0,PRIMARY,-30to-20,7,10.066092340072705,100.0
-25.0,PRIMARY,-20to-10,16,0.020001135625877242,81.25
-25.0,PRIMARY,-10to0,48,-3.0189932515380113,31.25
-25.0,PRIMARY,0to5,75,-1.2715023437199264,8.0
-25.0,PRIMARY,5to10,74,-0.842904202257641,4.054054054054054
-25.0,PRIMARY,10to20,58,-1.4583792354546046,5.172413793103448
-25.0,PRIMARY,gt20,20,-6.60927754074738,15.0
-25.0,SECONDARY,lt-30,623,17.40993615967226,100.0
-25.0,SECONDARY,-30to-20,1228,4.990874980198821,99.51140065146579
-25.0,SECONDARY,-20to-10,3589,-2.8548803186808294,85.09334076344386
-25.0,SECONDARY,-10to0,14455,-2.73706801582661,25.34763057765479
-25.0,SECONDARY,0to5,22345,-1.0379649229051238,5.791004699037816
-25.0,SECONDARY,5to10,22828,-0.980934635590872,4.297354126511302
-25.0,SECONDARY,10to20,18727,-1.4360840656777976,4.90735301970417
-25.0,SECONDARY,gt20,5251,-3.8897172740010517,9.045896019805753
-27.5,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-27.5,PRIMARY,-30to-20,7,7.404694914731453,100.0
-27.5,PRIMARY,-20to-10,16,-0.4928104269565672,68.75
