sig_date,ts_code,release_date,wait_days,signal_close_adj,signal_bb_lower,in_pit,valid,oversold,is_limit,in_top10,one_lot,amount_rank,release_close_adj,release_bb_lower,release_bb_upper,release_open_raw,release_return_from_signal_pct,release_distance_to_lbb_pct,still_below_lower_band,ind_cov,ind_return,ind_win,ind_mae,ind_hold,ind_exit_date,expired_tp_before_release,state,retrigger_count,retrigger_ge1,days_to_first_retrigger,natural_capture_count,natural_captured
2021-11-02,601888.SH,2021-11-09,5,487.21567999999996,518.0995933012223,True,True,False,False,False,True,107,497.57732,474.73549607654513,631.3761319234547,231.66,2.126704953338132,4.811484313313685,0,1,7.8045788936873635,1.0,-16.20794715778706,65.0,2022-02-10,0.0,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
2021-11-02,000858.SZ,2021-11-09,5,3568.3970000000004,3580.8786302483786,True,True,False,False,False,True,26,3700.4482500000004,3450.740682738687,4251.055417261314,209.68,3.700576197099137,7.236346924311121,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2021-11-04,603259.SH,2021-11-09,3,300.91971,302.3960769411235,True,True,False,False,False,True,16,302.08542,289.71594712011483,360.09600787988506,123.2,0.3873824017708971,4.269517436938619,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,2.0,0,0
2021-11-16,000625.SZ,2021-11-30,10,201.97485,202.98168172894765,True,True,False,False,False,True,97,192.02535,177.51340510302896,245.616719896971,17.46,-4.926108374384242,8.175126204439763,0,1,-22.229994518631575,0.0,-50.56884067272256,111.0,2022-05-06,0.0,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2021-11-26,600036.SH,2021-11-30,2,259.9689,260.095360883434,True,True,True,False,False,True,26,256.80361,257.62790834064543,276.9636276593546,49.48,-1.217564870259491,-0.31995692778575835,1,1,7.780249533285357,1.0,-0.681881397028028,8.0,2021-12-09,0.0,Q2_OVERSOLD_NOT_TOP10,2,1,1.0,0,0
2021-12-01,002129.SZ,2021-12-06,3,178.59011999999998,182.05277096352035,True,True,False,False,False,True,99,173.80569999999997,172.97364096237033,210.22452903762968,41.42,-2.6789947842579487,0.4810322734726258,0,1,7.212021342950852,1.0,-9.586816061636206,38.0,2022-01-26,0.0,Q3_NO_LONGER_OVERSOLD,2,1,1.0,0,0
2021-12-20,603259.SH,2022-03-01,45,272.11001999999996,283.57286804048954,True,True,False,False,False,True,56,251.57925,199.983344437744,264.49499456225595,104.66,-7.545025354082869,25.800101357099827,0,1,12.254494786218984,1.0,-27.774575294157543,56.0,2022-03-17,0.0,Q3_NO_LONGER_OVERSOLD,4,1,30.0,3,1
2021-12-20,002460.SZ,2022-03-01,45,1321.07653,1386.8271041409914,True,True,False,False,True,True,8,1399.9940000000001,1195.9324906894526,1503.9079933105477,152.0,5.973724323147289,17.062962240695256,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,1.0,0,0
2021-12-20,002466.SZ,2022-03-01,45,770.3598999999999,794.8702406778182,True,True,False,False,True,True,4,744.384,593.6041932587732,815.0339707412268,100.0,-3.371917463512819,25.400731405463063,0,1,1.837573601773871,1.0,-17.30144534985063,36.0,2022-02-17,1.0,Q0_EXPIRED_TP,4,1,1.0,3,1
2021-12-21,002466.SZ,2022-03-01,44,763.84654,774.543885902837,True,True,False,False,True,True,4,744.384,593.6041932587732,815.0339707412268,100.0,-2.547964673637193,25.400731405463063,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,3,1,3.0,2,1
2021-12-21,300274.SZ,2022-03-01,44,918.0108799999999,933.7041674886652,True,True,False,False,False,True,22,833.34656,627.2845012803873,862.3258667196126,124.88,-9.222583505764115,32.8498565322445,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,4,1,26.0,1,1
2021-12-24,600111.SH,2022-03-01,41,870.5190000000001,878.6654131239204,True,True,False,False,True,True,5,928.4223000000001,739.1959266650013,1013.4621233349988,49.21,6.651583710407238,25.59894697860734,0,1,10.927469701064592,1.0,-15.909311426630868,31.0,2022-02-16,1.0,Q0_EXPIRED_TP,1,1,24.0,0,0
2021-12-24,002466.SZ,2022-03-01,41,707.4749599999999,711.4795789655524,True,True,False,False,True,True,4,744.384,593.6041932587732,815.0339707412268,100.0,5.217010083296825,25.400731405463063,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,17.0,1,1
2021-12-29,600036.SH,2022-03-01,38,247.10018,250.37965021038892,True,True,False,False,False,True,52,260.69536,255.40027169457252,273.78432630542756,50.0,5.501889962200757,2.0732508506333014,0,1,5.516341863497587,1.0,0.1712841345332671,14.0,2022-01-20,1.0,Q0_EXPIRED_TP,0,0,,0,0
2022-01-05,300059.SZ,2022-03-01,34,1959.08034,1978.6852075994454,True,True,False,False,True,True,3,1532.85328,1310.2888765919834,1920.2105834080166,26.9,-21.7564870259481,16.985903443437532,0,1,-5.7513210082683415,0.0,-34.29215555403974,63.0,2022-04-14,0.0,Q3_NO_LONGER_OVERSOLD,6,1,1.0,4,1
2022-01-06,300059.SZ,2022-03-01,33,1897.0735200000001,1946.0777870098225,True,True,False,False,True,True,3,1532.85328,1310.2888765919834,1920.2105834080166,26.9,-19.199057714958776,16.985903443437532,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,5,1,1.0,3,1
2022-01-07,600519.SH,2022-03-01,32,14514.508,14618.312157388704,True,True,False,False,True,True,1,13890.27952,13179.502727511317,14700.505356488677,1802.0,-4.300720906282185,5.393047121610928,0,1,0.9984159395398547,1.0,-16.94033737384134,61.0,2022-04-14,0.0,Q3_NO_LONGER_OVERSOLD,2,1,4.0,2,1
2022-01-13,600519.SH,2022-03-01,28,14031.612860000001,14080.83511452728,True,True,False,False,True,True,1,13890.27952,13179.502727511317,14700.505356488677,1802.0,-1.0072494260649156,5.393047121610928,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,25.0,1,1
2022-01-13,600276.SH,2022-03-01,28,3047.1714399999996,3114.1350722204097,True,True,False,False,False,True,38,2635.1486800000002,2535.6808664345463,2712.7317955654535,40.08,-13.521482729570323,3.9227260371024864,0,1,-29.55698724716474,0.0,-41.037685718536785,91.0,2022-06-07,0.0,Q3_NO_LONGER_OVERSOLD,5,1,1.0,0,0
2022-01-14,600030.SH,2022-03-01,27,141.69483,143.09198880138632,True,True,False,False,False,True,64,140.31348,138.2019816218633,155.5267843781367,23.38,-0.9748767827308824,1.52783509567469,0,1,1.0102995428563415,1.0,-3.031052548737423,9.0,2022-01-28,1.0,Q0_EXPIRED_TP,0,0,,0,0
2022-01-17,601888.SH,2022-03-01,26,416.27998,428.6431658388692,True,True,False,False,False,True,48,455.23449999999997,432.62043858389575,502.8454714161044,202.05,9.357769259045302,5.227229090268426,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,1.0,0,0
2022-01-19,002466.SZ,2022-03-01,24,647.14884,649.4632770535333,True,True,False,False,True,True,4,744.384,593.6041932587732,815.0339707412268,100.0,15.02516175413373,25.400731405463063,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
2022-01-20,000792.SZ,2022-03-01,23,198.59455,205.21978293767705,True,True,False,False,True,True,10,243.54544999999996,204.6460587524864,263.56546324751355,34.45,22.634508348794036,19.008131153193265,0,1,18.801769360068377,1.0,1.1233664294888923,13.0,2022-02-16,1.0,Q0_EXPIRED_TP,0,0,,0,0
2022-01-24,000661.SZ,2022-03-01,21,1274.8818,1418.503971861842,True,True,False,False,False,True,132,1360.57375,1169.8834434041578,1420.9691115958422,180.56,6.7215603830880655,16.299940619807952,0,1,11.89884859958246,1.0,-2.210549804516748,17.0,2022-02-24,1.0,Q0_EXPIRED_TP,1,1,1.0,1,1
2022-01-25,000661.SZ,2022-03-01,20,1221.79895,1299.2799385600538,True,True,False,False,False,True,132,1360.57375,1169.8834434041578,1420.9691115958422,180.56,11.358235329961609,16.299940619807952,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-01-27,300274.SZ,2022-03-01,18,753.024,760.7492425440853,True,True,False,False,False,True,22,833.34656,627.2845012803873,862.3258667196126,124.88,10.666666666666668,32.8498565322445,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,3,1,3.0,0,0
2022-01-28,000858.SZ,2022-03-01,17,3516.2855000000004,3535.52563672926,True,True,False,False,False,True,15,3424.29275,3313.7997592227343,3637.165340777265,190.1,-2.61619114830125,3.3343291328858715,0,1,-8.807756178930596,0.0,-25.48451548451548,75.0,2022-05-30,0.0,Q3_NO_LONGER_OVERSOLD,2,1,1.0,2,1
2022-02-07,000858.SZ,2022-03-01,16,3467.3645,3488.2878398230487,True,True,False,False,False,True,15,3424.29275,3313.7997592227343,3637.165340777265,190.1,-1.2422042735916627,3.3343291328858715,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2022-02-08,000858.SZ,2022-03-01,15,3367.7500000000005,3425.868249331415,True,True,False,False,False,True,15,3424.29275,3313.7997592227343,3637.165340777265,190.1,1.6789473684210465,3.3343291328858715,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-02-08,002475.SZ,2022-03-01,15,1462.32575,1501.7976850138384,True,True,False,False,False,True,95,1453.873,1362.6351614981788,1606.917346501821,42.93,-0.578034682080919,6.69569089950004,0,1,-17.15409169654668,0.0,-39.759314759314755,60.0,2022-05-11,0.0,Q3_NO_LONGER_OVERSOLD,2,1,1.0,0,0
2022-02-09,603259.SH,2022-03-01,14,220.60467,226.38815796425746,True,True,False,False,False,True,56,251.57925,199.983344437744,264.49499456225595,104.66,14.040763506955688,25.800101357099827,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,1.0,2,1
2022-02-10,603259.SH,2022-03-01,13,204.26094,215.5369478160446,True,True,False,False,False,True,56,251.57925,199.983344437744,264.49499456225595,104.66,23.165618448637314,25.800101357099827,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2022-02-11,603259.SH,2022-03-01,12,197.62353,204.76357441994253,True,True,False,False,False,True,56,251.57925,199.983344437744,264.49499456225595,104.66,27.302275189599136,25.800101357099827,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-02-14,300059.SZ,2022-03-01,11,1535.64638,1658.1907064281154,True,True,False,False,True,True,3,1532.85328,1310.2888765919834,1920.2105834080166,26.9,-0.18188432157146828,16.985903443437532,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,1.0,2,1
2022-02-15,300059.SZ,2022-03-01,10,1528.3843200000001,1599.132635155857,True,True,False,False,True,True,3,1532.85328,1310.2888765919834,1920.2105834080166,26.9,0.29239766081869956,16.985903443437532,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2022-02-16,300059.SZ,2022-03-01,9,1534.52914,1555.7408536355626,True,True,False,False,True,True,3,1532.85328,1310.2888765919834,1920.2105834080166,26.9,-0.10921004732435957,16.985903443437532,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-02-24,600519.SH,2022-03-01,3,13184.958139999999,13277.79383771756,True,True,False,False,True,True,1,13890.27952,13179.502727511317,14700.505356488677,1802.0,5.349439660792132,5.393047121610928,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-03-03,300014.SZ,2022-05-05,40,1415.43702,1431.021243032847,True,True,False,False,False,True,35,1172.79576,966.695862424525,1477.073687575475,65.1,-17.142497799018997,21.320035140997227,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,8,1,1.0,0,0
2022-03-04,000002.SZ,2022-05-05,39,3044.80927,3047.127574675467,True,True,False,False,False,True,15,3161.97991,2946.8686795528615,3581.651549447138,19.52,3.848209513629075,7.29965444132985,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,6,1,2.0,0,0
2022-03-07,600519.SH,2022-05-05,38,12758.118,12949.651496330629,True,True,False,False,True,True,5,13729.738000000001,12807.55073603724,13834.927375962761,1830.0,7.61570005858232,7.200340509820968,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,6.0,1,1
2022-03-07,600036.SH,2022-05-05,38,242.63764,248.38308705606292,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-16.039349871685204,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,11,1,1.0,9,1
2022-03-08,002460.SZ,2022-05-05,37,1189.036,1208.10718189,True,True,False,False,False,True,13,1040.2147200000002,871.8348423556486,1272.4861046443516,109.0,-12.51612903225805,19.31327694926699,0,1,17.706849570514894,1.0,-26.80924668847757,48.0,2022-05-23,0.0,Q3_NO_LONGER_OVERSOLD,7,1,1.0,1,1
2022-03-09,600036.SH,2022-05-05,36,230.33971,236.60897402327123,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-11.556656904708273,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,9,1,1.0,8,1
2022-03-14,300059.SZ,2022-05-05,33,1312.757,1317.0268758086133,True,True,False,False,True,True,6,1506.2163199999998,1354.2819257296846,1532.8382912703155,22.31,14.73687209437844,11.218815771203117,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2022-03-14,600036.SH,2022-05-05,33,218.71635,222.20781502826358,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-6.856465005931211,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,7,1,1.0,7,1
2022-03-14,601888.SH,2022-05-05,33,373.806,380.2230739294186,True,True,False,False,False,True,31,392.91164000000003,349.5251762294482,416.9213997705517,179.0,5.111111111111133,12.412972432655467,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
2022-03-15,600519.SH,2022-05-05,32,11980.822,12334.024852754359,True,True,False,False,True,True,5,13729.738000000001,12807.55073603724,13834.927375962761,1830.0,14.597629444791016,7.200340509820968,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-03-15,300059.SZ,2022-05-05,32,1275.32946,1287.5756154228582,True,True,False,False,True,True,6,1506.2163199999998,1354.2819257296846,1532.8382912703155,22.31,18.104095235124575,11.218815771203117,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-03-15,601318.SH,2022-05-05,32,109.22664999999999,112.16525711715059,True,True,False,False,False,True,41,115.29622,109.70055617916185,129.55830782083814,44.79,5.556858147713961,5.100852735604522,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,4,1,23.0,0,0
2022-03-15,600036.SH,2022-05-05,32,204.70605,212.89716000739253,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-0.4816223067173775,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,6,1,22.0,6,1
2022-03-29,601012.SH,2022-05-05,22,1017.5659200000001,1020.8681467674776,True,True,False,False,True,True,7,945.56704,789.8295398681302,1013.0306281318698,68.32,-7.075598601022337,19.717862180474,0,1,-12.752364240157288,0.0,-24.27229974096604,42.0,2022-06-06,0.0,Q3_NO_LONGER_OVERSOLD,4,1,2.0,3,1
2022-03-29,002475.SZ,2022-05-05,22,1039.68825,1044.1496225858803,True,True,False,False,False,True,39,1009.2583500000001,895.40657309433,1067.52484290567,31.5,-2.9268292682926744,12.715092822272123,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,7.0,0,0
2022-03-31,601012.SH,2022-05-05,20,988.13672,998.3944373265695,True,True,False,False,True,True,7,945.56704,789.8295398681302,1013.0306281318698,68.32,-4.308075910790965,19.717862180474,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,3,1,2.0,2,1
2022-04-06,601012.SH,2022-05-05,18,938.9968,962.7887017841994,True,True,False,False,True,True,7,945.56704,789.8295398681302,1013.0306281318698,68.32,0.6997084548104882,19.717862180474,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,1.0,1,1
2022-04-11,002460.SZ,2022-05-05,15,1073.968,1135.817400411865,True,True,False,False,False,True,13,1040.2147200000002,871.8348423556486,1272.4861046443516,109.0,-3.142857142857136,19.31327694926699,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,5,1,1.0,0,0
2022-04-14,300122.SZ,2022-05-05,12,490.09999999999997,525.4509767316438,True,True,False,False,False,True,42,414.04999999999995,337.3826993382403,629.6310756617595,93.5,-15.517241379310354,22.72413517709677,0,1,-6.645958234266682,0.0,-26.858083500229743,40.0,2022-06-16,0.0,Q3_NO_LONGER_OVERSOLD,5,1,1.0,0,0
2022-04-14,300274.SZ,2022-05-05,12,597.6704,603.6685544417986,True,True,False,False,False,True,26,431.59808,311.37749856716925,786.2940534328308,63.0,-27.786606129398407,38.60927073601537,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,4,1,1.0,2,1
2022-04-18,600036.SH,2022-05-05,10,225.15071,228.15960043670518,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-9.51832219405394,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,5,1,1.0,5,1
2022-04-19,600036.SH,2022-05-05,9,218.45690000000002,223.80907454767222,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-6.745843230403814,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,4,1,1.0,4,1
2022-04-20,600036.SH,2022-05-05,8,213.2679,219.16836454423532,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-4.476885644768858,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,3,1,1.0,3,1
2022-04-21,300274.SZ,2022-05-05,7,437.43232,481.30688923066486,True,True,False,False,False,True,26,431.59808,311.37749856716925,786.2940534328308,63.0,-1.333746898263033,38.60927073601537,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,1.0,1,1
2022-04-21,600036.SH,2022-05-05,7,214.20192,215.4291845969187,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,-4.8934108527131865,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,2.0,2,1
2022-04-22,300274.SZ,2022-05-05,6,441.97760000000005,447.5196648997801,True,True,False,False,False,True,26,431.59808,311.37749856716925,786.2940534328308,63.0,-2.3484267075978615,38.60927073601537,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
2022-04-25,600036.SH,2022-05-05,5,201.48887,207.20353852501586,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,1.1073911923770163,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2022-04-25,601012.SH,2022-05-05,5,774.87768,802.9064811341182,True,True,False,False,True,True,7,945.56704,789.8295398681302,1013.0306281318698,68.32,22.027910263204365,19.717862180474,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-04-25,002466.SZ,2022-05-05,5,464.46459999999996,481.8014044065004,True,True,False,False,True,True,2,606.59542,461.93636921867125,661.6957707813286,78.3,30.60100166944908,31.315795945231173,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
2022-04-26,600036.SH,2022-05-05,4,199.30948999999998,201.45670832288468,True,True,False,False,False,True,12,203.72014,188.6333408562544,259.1410361437456,39.66,2.2129653736006283,7.997949394981174,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-07-27,603259.SH,2022-08-05,7,230.377488,230.73981745325722,True,True,False,False,False,True,27,228.89519199999998,214.3291573393683,264.3257382606317,95.88,-0.6434205064342113,6.796105038367628,0,1,-6.553924195303395,0.0,-28.309548483894677,51.0,2022-10-17,0.0,Q3_NO_LONGER_OVERSOLD,1,1,2.0,0,0
2022-07-29,000858.SZ,2022-08-05,5,3210.70048,3250.6714617949297,True,True,False,False,False,True,36,3224.738296,3127.802213066383,3545.4515637336162,177.45,0.43721973094170696,3.099175597762116,0,1,-2.4673011477159523,0.0,-11.069322834028704,40.0,2022-09-27,0.0,Q3_NO_LONGER_OVERSOLD,3,1,1.0,0,0
2022-08-02,300059.SZ,2022-08-05,3,1428.22008,1434.5270977413295,True,True,False,False,True,True,10,1464.53076,1414.24128526667,1611.6487147333303,21.34,2.5423728813559254,3.555933153503399,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
2022-08-03,601012.SH,2022-08-05,2,1093.230162,1103.106376470481,True,True,False,False,False,True,13,1090.730691,1081.9117213845063,1222.5620872154939,56.19,-0.22863172704890022,0.8151283918255592,0,1,-1.5712301907594528,0.0,-19.391196211456485,54.0,2022-10-27,0.0,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2022-08-04,601012.SH,2022-08-05,1,1072.080792,1090.9332261410552,True,True,False,False,False,True,13,1090.730691,1081.9117213845063,1222.5620872154939,56.19,1.739598278335719,0.8151283918255592,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-08-19,002466.SZ,2022-08-31,8,846.7368,849.9239739724753,True,True,False,False,True,True,2,885.8169599999999,856.6362336299181,948.0219723700819,115.25,4.615384615384599,3.4064314845090093,0,1,13.385590477234006,1.0,9.375047340307896,2.0,2022-08-24,1.0,Q0_EXPIRED_TP,0,0,,0,0
2022-08-19,688599.SH,2022-08-31,8,73.612143,74.44041960538244,True,True,False,False,False,True,88,72.898353,67.2923396844445,91.4239653155555,73.5,-0.969663388280928,8.33083429977901,0,1,4.900961296612725,1.0,-10.65050057855813,42.0,2022-10-27,0.0,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
2022-08-19,002459.SZ,2022-08-31,8,128.70503799999997,129.6387480015799,True,True,False,False,False,True,133,122.18313799999999,116.97082321504972,148.4928675849503,66.77,-5.06732300564644,4.4560811334699135,0,1,5.627000867343111,1.0,-8.526124331595442,42.0,2022-10-27,0.0,Q3_NO_LONGER_OVERSOLD,2,1,1.0,0,0
2022-08-22,601012.SH,2022-08-31,7,1026.898047,1041.101207978354,True,True,False,False,True,True,9,984.40704,961.6208349526657,1197.845202247334,52.45,-4.137801909754712,2.3695623284260448,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-08-23,002271.SZ,2022-08-31,6,1074.14508,1137.9698256148274,True,True,False,False,False,True,140,1027.44312,969.495710836694,1412.270407163306,29.96,-4.34782608695653,5.97706709948167,0,1,-5.965240206705305,0.0,-27.211616337282265,44.0,2022-11-02,0.0,Q3_NO_LONGER_OVERSOLD,2,1,1.0,0,0
2022-08-24,000625.SZ,2022-08-31,5,220.351835,222.52123539866602,True,True,False,False,False,True,19,210.91026,208.6534620354336,274.1160559645663,15.02,-4.284772577455509,1.0816010156510902,0,1,2.31475867645841,1.0,-25.9440493846272,63.0,2022-11-30,0.0,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2022-08-25,002460.SZ,2022-08-31,4,1157.238,1162.6470433232462,True,True,True,False,False,True,12,1152.665,1161.8435067966973,1276.3590432033022,88.8,-0.3951650395165096,-0.7899951020084672,1,1,2.226213115920718,1.0,-16.296158903140224,41.0,2022-11-01,0.0,Q2_OVERSOLD_NOT_TOP10,1,1,4.0,0,0
2022-08-29,000858.SZ,2022-08-31,2,2975.83702,2984.446236159851,True,True,False,False,False,True,11,3008.9518679999996,2941.3494367225608,3283.522099277439,162.9,1.1127910492893855,2.2983475010968313,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2022-08-29,601166.SH,2022-08-31,2,80.00948700000001,80.68607363065144,True,True,False,False,False,True,55,80.860149,80.03110311248413,85.91887538751585,16.73,1.0632014176019,1.0359046111742876,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,0,0
