hypothesis_id,family,regime_dimension,regime_variable,regime_formula,regime_bin,oversold_feature,oversold_bin,oversold_range,forward_horizon,outcome_type,benchmark,test,fdr_family
P0011,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0012,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0013,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0014,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0015,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0016,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0017,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0018,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0019,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0020,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0021,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0022,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0023,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0024,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,DOWN,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0025,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0026,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0027,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0028,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0029,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0030,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0031,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0032,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,LOW,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0033,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0034,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0035,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0036,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0037,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0038,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0039,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0040,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,MID,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0041,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0042,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0043,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0044,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0045,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0046,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0047,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0048,PRIMARY,BREADTH,ma20_above_ratio,ratio=n_above除以denom; denom=|universe[T]|(PIT eligible且非ST); n_above=count(close_adj>MA20); LOW<0.30; MID 0.30-0.70; HIGH>0.70; 信息集=T日收盘含T,HIGH,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0049,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0050,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0051,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0052,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0053,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0054,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0055,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0056,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",LOW,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0057,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0058,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0059,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0060,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0061,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0062,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0063,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0064,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",NORMAL,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0065,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0066,PRIMARY,VOLATILITY,rv20_pctile,"rv20=std(mkt_ret[T-19..T])乘以sqrt(245); pctile=mean(rv20[T-252..T-1]小于rv20[T]); min_periods=100否则WARMUP; LOW<=0.20; NORMAL 0.20-0.60; HIGH 0.60-0.90; EXTREME>0.90; 信息集=T日收盘含T, 仅用T前历史",HIGH,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
