ts_code,entry_date,match,frozen_exit,v2a_exit,frozen_type,v2a_type,frozen_ret,v2a_ret,ok
000568.SZ,2023-12-12,MATCH,2024-02-21,2024-02-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.11,1.1120117479146117,True
000625.SZ,2021-11-17,MATCH,2022-05-06,2022-05-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-22.23,-22.229994518631575,True
000625.SZ,2022-08-25,MATCH,2022-11-30,2022-11-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.31,2.31475867645841,True
000625.SZ,2022-12-29,MATCH,2023-01-30,2023-01-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,15.4,15.403895272762636,True
000625.SZ,2024-01-05,MATCH,2024-02-26,2024-02-26,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.69,12.686864654118965,True
000625.SZ,2024-04-17,MATCH,2024-07-10,2024-07-10,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-3.58,-3.5813249331349106,True
000628.SZ,2023-12-15,MATCH,2024-02-23,2024-02-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,44.68,44.67924500816973,True
000628.SZ,2024-04-01,MATCH,2024-05-21,2024-05-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-22.19,-22.18874094507154,True
000651.SZ,2020-03-20,MATCH,2020-04-13,2020-04-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.77,8.76502998612771,True
000651.SZ,2020-09-29,MATCH,2020-10-14,2020-10-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.19,7.18749636223901,True
000651.SZ,2020-12-10,MATCH,2021-01-05,2021-01-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.78,4.778058019478602,True
000651.SZ,2021-05-26,MATCH,2021-10-22,2021-10-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-19.03,-19.03127753582529,True
000651.SZ,2021-10-28,MATCH,2021-12-09,2021-12-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.77,3.7666645298140864,True
000651.SZ,2022-11-01,MATCH,2022-11-14,2022-11-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.09,11.08646263720554,True
000651.SZ,2023-05-05,MATCH,2023-06-09,2023-06-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.14,6.144996620188443,True
000651.SZ,2023-12-21,MATCH,2024-01-29,2024-01-29,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.1,12.104633410839133,True
000661.SZ,2020-09-17,MATCH,2020-12-01,2020-12-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,10.37,10.365131138225253,True
000661.SZ,2021-05-25,MATCH,2021-07-19,2021-07-19,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.54,3.543179209088439,True
000661.SZ,2022-01-25,MATCH,2022-02-24,2022-02-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.9,11.89884859958246,True
000661.SZ,2024-01-15,MATCH,2024-02-28,2024-02-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.32,5.324721980411358,True
000725.SZ,2020-03-17,MATCH,2020-05-11,2020-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.61,4.611959703094805,True
000725.SZ,2024-05-29,MATCH,2024-07-10,2024-07-10,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.5,4.499483038676097,True
000792.SZ,2022-01-21,MATCH,2022-02-16,2022-02-16,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,18.8,18.801769360068377,True
000858.SZ,2020-03-18,MATCH,2020-04-28,2020-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,26.83,26.82736619482785,True
000858.SZ,2021-03-09,MATCH,2021-04-02,2021-04-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,16.23,16.23467230378328,True
000858.SZ,2021-07-09,MATCH,2021-09-27,2021-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-7.63,-7.6342909419297795,True
000858.SZ,2021-11-02,MATCH,2021-11-24,2021-11-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.77,7.772649549904674,True
000858.SZ,2022-02-07,MATCH,2022-05-30,2022-05-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-8.81,-8.807756178930596,True
000858.SZ,2022-08-01,MATCH,2022-09-27,2022-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.47,-2.4673011477159523,True
000858.SZ,2022-10-25,MATCH,2022-11-30,2022-11-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,13.01,13.014502136358589,True
000858.SZ,2023-04-11,MATCH,2023-05-22,2023-05-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.65,-2.6488868636941545,True
000858.SZ,2023-08-21,MATCH,2023-11-01,2023-11-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.24,9.240903528696505,True
000858.SZ,2023-12-14,MATCH,2024-02-06,2024-02-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.81,2.808164916171326,True
000858.SZ,2024-06-12,MATCH,2024-07-17,2024-07-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-4.86,-4.863606074584775,True
000858.SZ,2024-08-23,MATCH,2024-09-26,2024-09-26,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.45,9.447704740723928,True
000858.SZ,2025-01-07,MATCH,2025-02-17,2025-02-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.2,1.2030252662316376,True
000858.SZ,2025-06-16,MATCH,2025-07-09,2025-07-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.94,2.9441509741563254,True
000977.SZ,2023-08-21,MATCH,2023-11-13,2023-11-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.71,7.706372017077919,True
000977.SZ,2024-04-11,MATCH,2024-05-06,2024-05-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.57,12.570545419631626,True
000977.SZ,2024-05-29,MATCH,2024-07-09,2024-07-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.48,4.476827597833199,True
002050.SZ,2022-10-12,MATCH,2022-11-04,2022-11-04,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.65,8.648758708124946,True
002129.SZ,2021-12-02,MATCH,2022-01-26,2022-01-26,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.21,7.212021342950852,True
002129.SZ,2024-01-31,MATCH,2024-05-22,2024-05-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-6.59,-6.5866863796632105,True
002230.SZ,2023-08-17,MATCH,2023-10-10,2023-10-10,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-4.04,-4.04018826584394,True
002230.SZ,2024-01-04,MATCH,2024-02-08,2024-02-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.59,3.585730933845497,True
002230.SZ,2024-04-24,MATCH,2024-06-18,2024-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.34,5.3407176576942215,True
002241.SZ,2020-11-17,MATCH,2020-12-25,2020-12-25,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.76,2.7641560070263713,True
002241.SZ,2021-02-01,MATCH,2021-04-13,2021-04-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.38,-2.3809753380773024,True
002241.SZ,2021-07-23,MATCH,2021-08-05,2021-08-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,10.27,10.273218124699701,True
002241.SZ,2022-06-24,MATCH,2022-08-05,2022-08-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.84,2.8400230023871615,True
002241.SZ,2022-11-14,MATCH,2023-01-05,2023-01-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.55,8.552942953591648,True
002261.SZ,2025-03-25,MATCH,2025-04-28,2025-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.67,2.6716085217561965,True
002271.SZ,2022-08-24,MATCH,2022-11-02,2022-11-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-5.97,-5.965240206705305,True
002340.SZ,2021-06-08,MATCH,2021-07-06,2021-07-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.29,5.290865136021748,True
002352.SZ,2021-04-13,MATCH,2021-05-18,2021-05-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.81,1.806031845385725,True
002371.SZ,2022-10-13,MATCH,2022-12-14,2022-12-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,10.6,10.597667780822029,True
002384.SZ,2026-07-30,MATCH,2026-08-25,2026-08-25,FINAL_SETTLE,FINAL_SETTLE,6.86,6.860142611567042,True
002415.SZ,2020-05-26,MATCH,2020-06-18,2020-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.16,7.15509150196319,True
002415.SZ,2022-05-09,MATCH,2022-06-06,2022-06-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.55,3.5450375895839463,True
002415.SZ,2023-06-12,MATCH,2023-07-27,2023-07-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.25,9.253968396028046,True
002456.SZ,2020-09-02,MATCH,2020-10-28,2020-10-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,0.33,0.3287151054327302,True
002456.SZ,2023-12-15,MATCH,2024-03-01,2024-03-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.13,9.13490121758614,True
002459.SZ,2022-08-22,MATCH,2022-10-27,2022-10-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.63,5.627000867343111,True
002460.SZ,2021-08-17,MATCH,2021-08-30,2021-08-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,24.03,24.025427124052413,True
002460.SZ,2021-12-21,MATCH,2022-02-17,2022-02-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.33,7.327370162653349,True
002460.SZ,2022-03-09,MATCH,2022-05-23,2022-05-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.71,17.706849570514894,True
002460.SZ,2022-08-26,MATCH,2022-11-01,2022-11-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.23,2.226213115920718,True
002460.SZ,2025-11-25,MATCH,2025-12-22,2025-12-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,9.61,9.614217661278927,True
002466.SZ,2021-09-23,MATCH,2021-11-09,2021-11-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.28,5.276533723848393,True
002466.SZ,2021-12-21,MATCH,2022-02-17,2022-02-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.84,1.837573601773871,True
002466.SZ,2022-04-26,MATCH,2022-05-11,2022-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,41.85,41.854779546894,True
002466.SZ,2022-08-22,MATCH,2022-08-24,2022-08-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,13.39,13.385590477234006,True
002466.SZ,2022-09-02,MATCH,2022-11-04,2022-11-04,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,0.42,0.41755742217796255,True
002466.SZ,2024-04-26,MATCH,2024-09-11,2024-09-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-13.21,-13.212317215788726,True
002475.SZ,2020-03-18,MATCH,2020-04-28,2020-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,14.92,14.92275528149982,True
002475.SZ,2020-11-17,MATCH,2020-12-23,2020-12-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.92,4.922943424348968,True
002475.SZ,2021-01-29,MATCH,2021-04-19,2021-04-19,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-17.8,-17.795635461958412,True
002475.SZ,2022-02-09,MATCH,2022-05-11,2022-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-17.15,-17.15409169654668,True
002475.SZ,2023-09-08,MATCH,2023-10-11,2023-10-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.73,6.728014277472455,True
002475.SZ,2024-01-18,MATCH,2024-03-19,2024-03-19,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.22,7.219372761109448,True
002475.SZ,2024-08-06,MATCH,2024-08-30,2024-08-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.54,8.544910470004318,True
002475.SZ,2025-04-03,MATCH,2025-05-07,2025-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.66,3.6625597634810965,True
002475.SZ,2026-01-09,MATCH,2026-04-08,2026-04-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.54,1.540552873571203,True
002475.SZ,2026-08-04,MATCH,2026-08-25,2026-08-25,FINAL_SETTLE,FINAL_SETTLE,1.29,1.2862198685484683,True
002506.SZ,2020-03-27,MATCH,2020-05-21,2020-05-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-6.52,-6.524016348081019,True
002555.SZ,2023-12-26,MATCH,2024-02-28,2024-02-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.47,17.471539089853273,True
002594.SZ,2021-02-25,MATCH,2021-06-08,2021-06-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,16.16,16.160298578230066,True
002594.SZ,2021-07-19,MATCH,2021-08-02,2021-08-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,25.78,25.77910857036041,True
002594.SZ,2021-09-30,MATCH,2021-10-15,2021-10-15,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.09,17.089129638620165,True
002594.SZ,2021-12-17,MATCH,2022-05-05,2022-05-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-1.6,-1.5968178542206901,True
002594.SZ,2022-07-13,MATCH,2022-11-04,2022-11-04,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.23,-2.227087712436274,True
002594.SZ,2023-03-13,MATCH,2023-04-28,2023-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.84,7.839512102970262,True
002594.SZ,2023-08-15,MATCH,2024-03-12,2024-03-12,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-16.28,-16.277210987224258,True
002594.SZ,2024-08-05,MATCH,2024-08-30,2024-08-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.38,6.379967880191982,True
002594.SZ,2025-04-09,MATCH,2025-05-13,2025-05-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.22,17.218917139643203,True
002709.SZ,2023-01-03,MATCH,2023-01-30,2023-01-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,15.54,15.538268097973235,True
002714.SZ,2020-05-12,MATCH,2020-06-18,2020-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-37.35,-37.346517858183255,True
002714.SZ,2021-05-25,MATCH,2021-09-27,2021-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-18.72,-18.715268930191936,True
002714.SZ,2022-10-27,MATCH,2022-12-06,2022-12-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.23,5.23244617556544,True
002812.SZ,2022-11-24,MATCH,2023-01-06,2023-01-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.27,12.272962184274384,True
300014.SZ,2021-03-24,MATCH,2021-04-20,2021-04-20,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,20.34,20.343646524893185,True
300014.SZ,2022-03-04,MATCH,2022-06-01,2022-06-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,26.32,26.31764601662993,True
300014.SZ,2023-01-12,MATCH,2023-02-01,2023-02-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.98,6.981985480381129,True
300014.SZ,2023-02-21,MATCH,2023-11-06,2023-11-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-28.57,-28.568832058383776,True
300033.SZ,2024-01-17,MATCH,2024-02-28,2024-02-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.48,11.478914185701258,True
300033.SZ,2025-01-03,MATCH,2025-02-07,2025-02-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,23.22,23.218740081380986,True
300059.SZ,2020-09-10,MATCH,2020-10-12,2020-10-12,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.05,4.052671012057143,True
300059.SZ,2021-02-23,MATCH,2021-04-02,2021-04-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-9.76,-9.75617275607125,True
300059.SZ,2022-01-06,MATCH,2022-04-14,2022-04-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-5.75,-5.7513210082683415,True
300059.SZ,2022-08-03,MATCH,2022-11-15,2022-11-15,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.31,1.3148602142200303,True
300059.SZ,2023-03-08,MATCH,2023-04-03,2023-04-03,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.7,6.704927557794763,True
300059.SZ,2023-05-30,MATCH,2023-07-25,2023-07-25,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.24,3.238668828858134,True
300059.SZ,2023-10-24,MATCH,2023-11-06,2023-11-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.8,6.795375111896212,True
300059.SZ,2023-12-28,MATCH,2024-02-21,2024-02-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.9,5.900250298765934,True
300059.SZ,2024-07-01,MATCH,2024-07-31,2024-07-31,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.93,3.9349979609446946,True
300059.SZ,2025-01-03,MATCH,2025-02-07,2025-02-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.57,5.568619214325684,True
300059.SZ,2025-04-02,MATCH,2025-05-07,2025-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.16,5.1627907747067665,True
300059.SZ,2026-03-23,MATCH,2026-05-11,2026-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.42,8.424165896338625,True
300122.SZ,2020-11-12,MATCH,2020-12-21,2020-12-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,21.59,21.594186068179752,True
300122.SZ,2022-04-15,MATCH,2022-06-16,2022-06-16,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-6.65,-6.645958234266682,True
300136.SZ,2020-10-13,MATCH,2020-11-09,2020-11-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.75,3.7523403888601528,True
300274.SZ,2021-12-22,MATCH,2022-05-20,2022-05-20,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-25.59,-25.58857835409347,True
300274.SZ,2022-09-01,MATCH,2022-10-12,2022-10-12,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,13.22,13.216110132265186,True
300274.SZ,2022-12-07,MATCH,2023-01-03,2023-01-03,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.35,12.35423017458993,True
300274.SZ,2023-03-15,MATCH,2023-04-18,2023-04-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.87,3.872684453553771,True
300274.SZ,2023-08-22,MATCH,2023-11-09,2023-11-09,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.06,2.059040269174881,True
300274.SZ,2025-12-17,MATCH,2026-03-11,2026-03-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-0.04,-0.04130443998742119,True
300274.SZ,2026-04-02,MATCH,2026-05-11,2026-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,13.08,13.077001683310016,True
300274.SZ,2026-07-02,MATCH,2026-08-11,2026-08-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-8.36,-8.358514552822074,True
300308.SZ,2023-07-21,MATCH,2023-11-13,2023-11-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-5.69,-5.693477162892338,True
300308.SZ,2024-07-26,MATCH,2024-09-24,2024-09-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.2,7.199933708510119,True
300308.SZ,2025-01-13,MATCH,2025-05-08,2025-05-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,0.77,0.7734206644023827,True
300308.SZ,2025-10-15,MATCH,2025-10-24,2025-10-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,37.31,37.312191378736536,True
300308.SZ,2026-02-09,MATCH,2026-03-18,2026-03-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.44,3.437565472561077,True
300308.SZ,2026-07-20,MATCH,2026-08-25,2026-08-25,FINAL_SETTLE,FINAL_SETTLE,-11.74,-11.744158826402947,True
300418.SZ,2023-06-27,MATCH,2023-08-14,2023-08-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-7.11,-7.109717403112448,True
300418.SZ,2024-02-01,MATCH,2024-02-19,2024-02-19,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,39.43,39.428041617887864,True
300502.SZ,2024-07-26,MATCH,2024-09-13,2024-09-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,13.96,13.964744747831642,True
300502.SZ,2025-03-03,MATCH,2025-05-08,2025-05-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,28.73,28.725713357688992,True
300502.SZ,2026-01-13,MATCH,2026-02-02,2026-02-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,18.33,18.325572753597463,True
300502.SZ,2026-07-29,MATCH,2026-08-25,2026-08-25,FINAL_SETTLE,FINAL_SETTLE,-3.13,-3.1289001702402826,True
300750.SZ,2020-03-02,MATCH,2020-04-15,2020-04-15,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-1.02,-1.0193924653390611,True
300750.SZ,2021-02-01,MATCH,2021-04-14,2021-04-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.68,2.6778263400166544,True
300750.SZ,2021-07-28,MATCH,2021-09-14,2021-09-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.63,8.626053858905106,True
300750.SZ,2021-12-21,MATCH,2022-06-02,2022-06-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-14.23,-14.232912370394569,True
300750.SZ,2022-09-02,MATCH,2022-12-07,2022-12-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-1.4,-1.3981718838619202,True
300750.SZ,2023-02-20,MATCH,2023-03-31,2023-03-31,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.63,3.6254689430868456,True
300750.SZ,2023-06-08,MATCH,2023-07-31,2023-07-31,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.02,8.015096907867838,True
300750.SZ,2023-09-11,MATCH,2024-02-08,2024-02-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-18.0,-18.00484444688593,True
300750.SZ,2024-06-11,MATCH,2024-07-22,2024-07-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.39,1.3901215027090492,True
300750.SZ,2025-01-08,MATCH,2025-02-14,2025-02-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.72,8.716235937905914,True
300750.SZ,2025-04-02,MATCH,2025-05-08,2025-05-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.82,7.81936272756536,True
300750.SZ,2025-11-24,MATCH,2026-02-06,2026-02-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.78,1.7797735978262685,True
300760.SZ,2021-08-23,MATCH,2021-09-17,2021-09-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,25.24,25.243095200327115,True
300760.SZ,2022-09-22,MATCH,2022-10-14,2022-10-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,26.1,26.10435256088347,True
300760.SZ,2023-08-08,MATCH,2023-10-30,2023-10-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.53,6.5338873044717865,True
300782.SZ,2021-07-14,MATCH,2021-08-24,2021-08-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.7,4.700284102162052,True
300846.SZ,2025-03-26,MATCH,2025-05-07,2025-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-3.78,-3.7770156011244347,True
301236.SZ,2024-01-23,MATCH,2024-02-26,2024-02-26,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,15.2,15.202767971466354,True
600009.SH,2021-02-04,MATCH,2021-06-03,2021-06-03,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-1.14,-1.1354409255495685,True
600009.SH,2023-08-22,MATCH,2024-01-16,2024-01-16,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-11.7,-11.699228208217027,True
600030.SH,2020-03-17,MATCH,2020-04-14,2020-04-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.22,1.2152522266729697,True
600030.SH,2020-09-08,MATCH,2020-10-12,2020-10-12,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.34,3.3416942678344705,True
600030.SH,2020-10-27,MATCH,2020-11-23,2020-11-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.22,5.218510332201447,True
600030.SH,2021-03-02,MATCH,2021-04-06,2021-04-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-1.77,-1.7719464410848904,True
600030.SH,2021-11-17,MATCH,2021-12-06,2021-12-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.94,7.942169042945349,True
600030.SH,2022-01-17,MATCH,2022-01-28,2022-01-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.01,1.0102995428563417,True
