ts_code,signal_date,entry_date,exit_date,exit_type,levels_used,hold_days,total_cost,proceeds,pnl,return_pct
002475.SZ,2020-11-16,2020-11-17,2020-12-23,TAKE_PROFIT_DYN,3,26,596102.2983115199,625448.0772086399,29345.778897120035,4.922943424348968
002241.SZ,2020-11-16,2020-11-17,2020-12-25,TAKE_PROFIT_DYN,1,28,199252.79426051996,204760.45234224002,5507.658081720059,2.7641560070263713
000651.SZ,2020-12-09,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,17,391023.17059805995,409706.48455884005,18683.3139607801,4.778058019478602
688981.SH,2020-12-16,2020-12-17,2021-01-11,TAKE_PROFIT_DYN,2,16,394675.76802653994,459880.89704172005,65205.12901518011,16.521188858697652
601318.SH,2021-01-28,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,14,588100.2263135999,643527.14883984,55426.922526240116,9.42474089385644
300059.SZ,2021-02-22,2021-02-23,2021-04-02,TAKE_PROFIT_DYN,2,28,396753.38306604,358045.43759856,-38707.94546747999,-9.75617275607125
000333.SZ,2021-02-22,2021-02-23,2021-04-02,TAKE_PROFIT_DYN,2,28,389600.3797686,393983.0800425,4382.700273900002,1.124921971714471
000858.SZ,2021-03-08,2021-03-09,2021-04-02,TAKE_PROFIT_DYN,1,18,193843.98633599997,225313.92229824,31469.935962240037,16.23467230378328
600030.SH,2021-03-01,2021-03-02,2021-04-06,TAKE_PROFIT_DYN,3,24,595980.1445597999,585419.6955987,-10560.448961099959,-1.7719464410848904
601012.SH,2021-03-04,2021-03-05,2021-04-06,TAKE_PROFIT_DYN,2,21,391618.92045275995,402643.4741793,11024.553726540064,2.8151228530517156
002241.SZ,2021-01-29,2021-02-01,2021-04-13,TAKE_PROFIT_DYN,3,45,595738.8408371399,581554.44595746,-14184.394879679894,-2.3809753380773024
300750.SZ,2021-01-29,2021-02-01,2021-04-14,TAKE_PROFIT_DYN,2,46,370766.67427799996,380695.16194182,9928.487663820037,2.6778263400166544
002475.SZ,2021-01-28,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,50,789994.34514,649409.8313088,-140584.51383119996,-17.795635461958412
600438.SH,2021-03-05,2021-03-08,2021-04-20,TAKE_PROFIT_DYN,2,30,396349.87518125994,388097.40434976004,-8252.4708314999,-2.082117681436346
300014.SZ,2021-03-23,2021-03-24,2021-04-20,TAKE_PROFIT_DYN,1,18,196577.4268458,236568.44371104002,39991.01686524003,20.343646524893185
601899.SH,2021-03-24,2021-03-25,2021-04-20,TAKE_PROFIT_DYN,1,17,199646.28954269996,226944.23151707998,27297.941974380024,13.67315267261283
601166.SH,2021-04-15,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,15,199275.8232465,219523.0320252,20247.208778700005,10.16039399503804
600276.SH,2021-04-15,2021-04-16,2021-05-17,TAKE_PROFIT_DYN,1,18,197889.07778639995,203778.67494240004,5889.597156000091,2.9762113310555116
002352.SZ,2021-04-12,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,22,392624.1857537999,399715.10358119995,7090.91782740003,1.806031845385725
600519.SH,2021-05-06,2021-05-07,2021-05-25,TAKE_PROFIT_DYN,2,12,384584.0658659999,431924.18693652004,47340.12107052014,12.309433820124724
600031.SH,2021-03-09,2021-03-10,2021-06-01,TAKE_PROFIT_DYN,4,55,794684.24819784,810798.4710788401,16114.22288100014,2.027751640672817
600009.SH,2021-02-03,2021-02-04,2021-06-03,TAKE_PROFIT_DYN,5,76,989362.2843304198,978128.6600521802,-11233.624278239673,-1.1354409255495685
002594.SZ,2021-02-24,2021-02-25,2021-06-08,TAKE_PROFIT_DYN,4,69,751573.9864432798,873030.5866888202,121456.60024554038,16.160298578230066
002340.SZ,2021-06-07,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,19,597938.6096283599,629574.73506,31636.125431640074,5.290865136021748
000661.SZ,2021-05-24,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,38,515953.41701904,534234.57121944,18281.154200399993,3.543179209088439
002594.SZ,2021-07-16,2021-07-19,2021-08-02,TAKE_PROFIT_DYN,1,10,198249.53147999998,249356.49344046,51106.96196046003,25.77910857036041
600031.SH,2021-06-11,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,35,596542.8528259199,622989.642744,26446.78991808009,4.433342850860986
002241.SZ,2021-07-22,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,9,199723.38658271998,220241.40573240002,20518.01914968004,10.273218124699701
600036.SH,2021-07-08,2021-07-09,2021-08-18,TAKE_PROFIT_DYN,2,28,395996.43030948,430591.20461316,34594.774303679995,8.736132867824947
300782.SZ,2021-07-13,2021-07-14,2021-08-24,TAKE_PROFIT_DYN,2,29,331649.43844031997,347237.90427024005,15588.465829920082,4.700284102162052
601919.SH,2021-07-23,2021-07-26,2021-08-30,TAKE_PROFIT_DYN,2,25,398609.71958807996,486064.6209279,87454.90133982006,21.9399821535198
002460.SZ,2021-08-16,2021-08-17,2021-08-30,TAKE_PROFIT_DYN,1,9,195726.3556248,242750.44855799997,47024.09293319998,24.025427124052413
300750.SZ,2021-07-27,2021-07-28,2021-09-14,TAKE_PROFIT_DYN,2,34,392894.5260239999,426785.8194475201,33891.29342352017,8.626053858905106
300760.SZ,2021-08-20,2021-08-23,2021-09-17,TAKE_PROFIT_DYN,1,19,199828.51891001998,250271.42217588,50442.90326586002,25.243095200327115
600519.SH,2021-07-26,2021-07-27,2021-09-24,TAKE_PROFIT_DYN,3,41,501118.7450068799,511598.81525382004,10480.07024694013,2.091334708861519
002714.SZ,2021-05-24,2021-05-25,2021-09-27,TAKE_PROFIT_DYN,5,86,987765.2742157198,802902.3467472,-184862.92746851977,-18.715268930191936
000858.SZ,2021-07-08,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,54,963363.5604192598,889817.58338832,-73545.97703093977,-7.6342909419297795
002594.SZ,2021-09-29,2021-09-30,2021-10-15,TAKE_PROFIT_DYN,1,6,190800.15514559997,223406.24100911996,32606.085863519984,17.089129638620165
601318.SH,2021-03-18,2021-03-19,2021-10-21,TAKE_PROFIT_DYN,5,142,985328.2067428799,708292.52950896,-277035.67723391997,-28.116081051784203
000651.SZ,2021-05-25,2021-05-26,2021-10-22,TAKE_PROFIT_DYN,5,99,990438.6391099199,801945.51287886,-188493.1262310599,-19.03127753582529
000333.SZ,2021-07-05,2021-07-06,2021-10-22,TAKE_PROFIT_DYN,3,71,588664.93710024,654448.4246718,65783.48757155996,11.175030722164129
600111.SH,2021-09-29,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,12,196529.36635332,240311.96891856001,43782.60256524003,22.277893313169177
600089.SH,2021-10-08,2021-10-11,2021-10-27,TAKE_PROFIT_DYN,1,12,199176.69848075998,242511.98839686,43335.28991610001,21.757208672823793
002466.SZ,2021-09-22,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,28,389382.10503192,409927.98311856005,20545.878086640034,5.276533723848393
000858.SZ,2021-11-01,2021-11-02,2021-11-24,TAKE_PROFIT_DYN,1,16,183813.36105131995,198100.52943174003,14287.168380420073,7.772649549904674
603259.SH,2021-11-04,2021-11-05,2021-11-26,TAKE_PROFIT_DYN,2,15,388033.4074616999,428132.77014852007,40099.36268682015,10.333997515607747
601919.SH,2021-09-28,2021-09-29,2021-11-30,TAKE_PROFIT_DYN,2,39,397750.6382849999,409833.19769886,12082.559413860145,3.0377221934720415
600030.SH,2021-11-16,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,1,13,198703.10237778,214484.43866220003,15781.336284420046,7.942169042945349
000651.SZ,2021-10-27,2021-10-28,2021-12-09,TAKE_PROFIT_DYN,2,30,395111.31623963994,409993.83404172,14882.517802080081,3.7666645298140864
600036.SH,2021-11-26,2021-11-29,2021-12-09,TAKE_PROFIT_DYN,2,8,397540.37363039993,428470.0066944,30929.633064000052,7.780249533285357
600036.SH,2021-12-29,2021-12-30,2022-01-20,TAKE_PROFIT_DYN,1,14,196596.45079074,207441.38310786002,10844.932317120023,5.516341863497587
002129.SZ,2021-12-01,2021-12-02,2022-01-26,TAKE_PROFIT_DYN,3,38,594728.5692348,637620.52058064,42891.95134584,7.212021342950852
600030.SH,2022-01-14,2022-01-17,2022-01-28,TAKE_PROFIT_DYN,1,9,199290.84215039996,201304.2766176,2013.4344672000443,1.0102995428563417
601888.SH,2021-11-02,2021-11-03,2022-02-10,TAKE_PROFIT_DYN,5,65,920044.0352703598,991849.5978596999,71805.56258934003,7.8045788936873635
600111.SH,2021-12-24,2021-12-27,2022-02-16,TAKE_PROFIT_DYN,2,31,395817.20472294,439070.00984064006,43252.805117700074,10.927469701064592
000792.SZ,2022-01-20,2022-01-21,2022-02-16,TAKE_PROFIT_DYN,1,13,199681.33365179997,237224.95746012,37543.62380832003,18.801769360068377
002460.SZ,2021-12-20,2021-12-21,2022-02-17,TAKE_PROFIT_DYN,2,36,391257.4654988999,419926.34828502004,28668.882786120113,7.327370162653349
002466.SZ,2021-12-20,2021-12-21,2022-02-17,TAKE_PROFIT_DYN,3,36,582136.72020504,592833.91090176,10697.190696720034,1.837573601773871
000661.SZ,2022-01-24,2022-01-25,2022-02-24,TAKE_PROFIT_DYN,1,17,184019.62066487997,205915.83672132,21896.216056440026,11.89884859958246
601012.SH,2021-12-01,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,4,57,776987.9743625999,827277.165729,50289.191366400104,6.472325573333965
603259.SH,2021-12-20,2021-12-21,2022-03-17,TAKE_PROFIT_DYN,3,56,584796.0674555999,656459.87105196,71663.80359636014,12.254494786218984
000002.SZ,2022-03-04,2022-03-07,2022-03-31,TAKE_PROFIT_DYN,4,18,796955.1064675199,915582.2559453002,118627.14947778033,14.88504791739044
300059.SZ,2022-01-05,2022-01-06,2022-04-14,TAKE_PROFIT_DYN,5,63,992371.0714117199,935296.62550164,-57074.44591007987,-5.7513210082683415
600519.SH,2022-01-07,2022-01-10,2022-04-14,TAKE_PROFIT_DYN,5,61,898569.00521388,907540.4613897001,8971.456175820087,0.9984159395398549
601888.SH,2022-03-14,2022-03-15,2022-04-14,TAKE_PROFIT_DYN,1,20,184570.31380787998,198990.51463566002,14420.200827780034,7.812849493656972
002594.SZ,2021-12-16,2021-12-17,2022-05-05,TAKE_PROFIT_DYN,4,88,780736.6927760399,768269.74987134,-12466.942904699943,-1.5968178542206901
000625.SZ,2021-11-16,2021-11-17,2022-05-06,TAKE_PROFIT_DYN,5,111,996385.1237940599,774888.7653901799,-221496.35840387992,-22.229994518631575
002475.SZ,2022-02-08,2022-02-09,2022-05-11,TAKE_PROFIT_DYN,5,60,987941.4960214798,818469.1058857201,-169472.39013575972,-17.15409169654668
002466.SZ,2022-04-25,2022-04-26,2022-05-11,TAKE_PROFIT_DYN,1,8,198381.69783432,281413.92012426,83032.22228994002,41.854779546894
300274.SZ,2021-12-21,2021-12-22,2022-05-20,TAKE_PROFIT_DYN,5,96,969156.85228362,721163.39176296,-247993.46052066004,-25.58857835409347
002460.SZ,2022-03-08,2022-03-09,2022-05-23,TAKE_PROFIT_DYN,4,48,771001.4392680599,907521.50430576,136520.06503770011,17.706849570514894
000858.SZ,2022-01-28,2022-02-07,2022-05-30,TAKE_PROFIT_DYN,5,75,939939.0766365598,857151.53453592,-82787.54210063978,-8.807756178930596
300014.SZ,2022-03-03,2022-03-04,2022-06-01,TAKE_PROFIT_DYN,5,58,985791.7902432599,1245228.98406048,259437.19381722016,26.31764601662993
