ts_code,signal_date,threshold,anchor_i,entry_i,entry_adj,cur_mae,recover_close,recover_touch,t_close,t_touch,final_return,future_min,future_max,exit_i,exit_date,shares,total_cost,anchor_close_raw,sell_i,sell_price,oracle_exit_return,exit_delay,executable,natural_remaining_hold,capital_days_saved,final_profit,r01,r05,layer_count,anchor_close_return,o1c_delta,o1_delta,o2_delta,o3_delta,o1_oracle_return,o2_oracle_return,o3_oracle_return
002460.SZ,2023-04-25,0.3,919,803,829.6177772351645,-0.3044861060859977,False,False,,,-23.925712317890973,-0.3774812927508192,-0.24269560244353372,969,2023-12-29,17400.0,986120.1875,45.40999984741211,920,45.36,-20.103502069250567,1,True,50,49.0,False,-7.180327486752802,0.0024469820554649,5.0,-20.015433006082585,3.910279311808388,3.822210248640406,3.822210248640406,3.822210248640406,-20.103502069250567,-20.103502069250567,-20.103502069250567
002690.SZ,2023-07-24,0.2,915,862,134.12407286170958,-0.21376392485843476,False,False,,,-15.917899924522635,-0.29250681979138116,-0.2010378096192067,969,2023-12-29,42700.0,995637.171875,19.940000534057617,916,20.01,-14.33386760376974,1,True,54,53.0,False,-5.063301075111171,0.0012247397428046,5.0,-14.633546939955933,1.284352984566702,1.584032320752895,1.584032320752895,1.584032320752895,-14.33386760376974,-14.33386760376974,-14.33386760376974
688006.SH,2023-07-27,0.2,920,865,41.453411224842064,-0.22456852702876984,False,False,,,-12.18534375028388,-0.261210429253552,-0.12156808708532829,969,2023-12-29,37200.0,994177.328125,22.6200008392334,921,22.82,-14.76263336991997,1,True,49,48.0,False,-9.11153253337622,0.0026508972267536,5.0,-15.509671134686453,-3.3243273844025722,-2.5772896196360886,-2.5772896196360886,-2.5772896196360886,-14.76263336991997,-14.76263336991997,-14.76263336991997
600875.SH,2023-08-08,0.2,920,873,58.46710866544246,-0.2101820599501768,False,False,,,-13.78437405326633,-0.2714467957862503,-0.14229417202394135,969,2023-12-29,58700.0,995012.40625,14.420000076293945,921,14.5,-14.608841303178474,1,True,49,48.0,False,-9.11153253337622,0.0026508972267536,5.0,-15.079964488069317,-1.2955904348029872,-0.8244672499121446,-0.8244672499121446,-0.8244672499121446,-14.608841303178474,-14.608841303178474,-14.608841303178474
000807.SZ,2023-10-13,0.2,956,915,98.86246586585997,-0.21023968710084173,False,False,,,-6.125044056457767,-0.2264435464228064,-0.13485669950844692,969,2023-12-29,76900.0,995999.640625,11.470000267028809,957,11.44,-11.828448784550986,1,True,13,12.0,False,1.042894209507006,0.0002031694433157,5.0,-11.597227623641215,-5.472183567183448,-5.7034047280932185,-5.7034047280932185,-5.7034047280932185,-11.828448784550986,-11.828448784550986,-11.828448784550986
002634.SZ,2023-10-23,0.2,966,921,53.36691389249801,-0.20705926922867535,False,False,,,-3.3350515828024174,-0.21879689877770214,-0.06620796339272872,969,2023-12-29,111600.0,798663.25,6.139999866485596,967,6.13,-14.49406369429418,1,True,3,2.0,False,-2.5266014391716607,0.0016233766233766,4.0,-14.354577895471532,-11.019526312669115,-11.159012111491762,-11.159012111491762,-11.159012111491762,-14.49406369429418,-14.49406369429418,-14.49406369429418
000695.SZ,2023-04-17,0.2,897,797,37.369331301212306,-0.20161806709239272,False,False,,,-16.376595347921672,-0.31557515346871756,-0.17500531213404813,970,2024-01-02,73800.0,997264.234375,11.800000190734863,898,11.8,-12.830726955408348,1,True,73,72.0,False,-2.2005810010945592,0.0002044571662236,5.0,-12.830725546406732,3.5458698015149395,3.5458683925133236,3.5458683925133236,3.5458683925133236,-12.830726955408348,-12.830726955408348,-12.830726955408348
000695.SZ,2023-04-17,0.3,921,797,37.369331301212306,-0.3032923334761568,False,False,,,-16.376595347921672,-0.31557515346871756,-0.200253280392503,970,2024-01-02,73800.0,997264.234375,10.579999923706055,922,10.66,-21.252165198699426,1,True,49,48.0,False,-6.862686245592043,0.0008156606851549,5.0,-21.843143884636305,-5.466548536714633,-4.8755698507777545,-4.8755698507777545,-4.8755698507777545,-21.252165198699426,-21.252165198699426,-21.252165198699426
000016.SZ,2023-06-26,0.2,966,842,102.80395124999998,-0.20341094943603477,False,False,,,-1.766382316130644,-0.20341094943603477,-0.053234368108456054,970,2024-01-02,226100.0,999458.984375,3.6600000858306885,967,3.7,-16.44496816290875,1,True,4,3.0,False,-2.5266014391716607,0.0016233766233766,5.0,-17.348263866124373,-15.58188154999373,-14.678585846778107,-14.678585846778107,-14.678585846778107,-16.44496816290875,-16.44496816290875,-16.44496816290875
002534.SZ,2023-07-05,0.2,899,849,36.69265422821044,-0.20079918889018078,False,False,,,-15.229942065692246,-0.2844655320837304,-0.16146351740910447,970,2024-01-02,66500.0,995313.765625,12.920000076293945,900,13.0,-13.295769954703824,1,True,71,70.0,False,-3.6987647489464592,0.0,5.0,-13.829333938443508,1.4006081272487378,1.9341721109884222,1.9341721109884222,1.9341721109884222,-13.295769954703824,-13.295769954703824,-13.295769954703824
000888.SZ,2023-07-13,0.2,920,855,71.93121992193223,-0.21456638604061373,False,False,,,-5.070535547087125,-0.25427930644751573,-0.14396559189351854,970,2024-01-02,57500.0,598319.078125,8.949999809265137,921,8.97,-13.94764987229195,1,True,50,49.0,False,-9.11153253337622,0.0026508972267536,3.0,-14.139518703477854,-9.068983156390729,-8.877114325204825,-8.877114325204825,-8.877114325204825,-13.94764987229195,-13.94764987229195,-13.94764987229195
601222.SH,2023-07-21,0.2,953,861,39.85637688594818,-0.20569120617862224,False,False,,,-11.51978694431338,-0.24045025910076623,-0.17093215325647815,970,2024-01-02,137400.0,998301.53125,6.210000038146973,954,6.22,-14.542402517497893,1,True,17,16.0,False,-0.1253265213044585,0.0030481609428977,5.0,-14.67979362921435,-3.1600066849009707,-3.0226155731845132,-3.0226155731845132,-3.0226155731845132,-14.542402517497893,-14.542402517497893,-14.542402517497893
603339.SH,2023-07-21,0.2,916,861,23.971667306674714,-0.20508158188489878,False,False,,,-3.8104706287840218,-0.2693174155854897,-0.16894892941660167,970,2024-01-02,61700.0,796745.84375,12.09000015258789,917,11.91,-7.9312137593162095,1,True,54,53.0,False,-4.95250386488395,0.0010206164523372,4.0,-6.539744777628141,-2.7292741488441195,-4.120743130532188,-4.120743130532188,-4.120743130532188,-7.9312137593162095,-7.9312137593162095,-7.9312137593162095
603067.SH,2023-07-27,0.2,918,865,24.907323174643516,-0.20062785210449452,False,False,,,-7.313675812424046,-0.2477505570783255,-0.08410632417468455,970,2024-01-02,90100.0,997556.609375,9.359999656677246,919,9.32,-15.969208965342588,1,True,52,51.0,False,-7.338633605725253,0.0040791352233326,5.0,-15.608564888979526,-8.29488907655548,-8.655533152918542,-8.655533152918542,-8.655533152918542,-15.969208965342588,-15.969208965342588,-15.969208965342588
