threshold,feature,n_episodes,n_anchor_days,corr,day_corr,hac_p,beta
0.3,F_REB3,6130,155,0.1952429742984813,0.18574906452165016,0.06041384321174217,1.676471093884078
0.3,F_REB5,6130,155,0.1952429742984813,0.18574906452165016,0.06041384321174217,1.676471093884078
0.3,F_NLOW10,6130,155,0.17203172710155581,0.1876224047923284,0.22332814654478006,0.009090482147345468
0.3,F_DAYS_SINCE_LOW,6130,155,,,,0.0
0.3,F_AMT_RATIO20,6130,155,-0.029313333916262063,0.0486101014272369,0.3490688399812857,0.005376811053136633
0.3,F_ATR20_PCT,6130,155,0.32712227760574175,0.32684643284808845,0.046124075234764125,3.4153679445530796
0.3,F_INTRADAY_RANGE,6130,155,0.30065817443649373,0.36362281129656704,0.048114700306076744,1.8153371186589595
0.3,F_RV20,6130,155,0.28510875223585774,0.3011624408289742,0.06823325831141003,0.054259773420508806
0.3,F_DAYS_UNDERWATER,6130,155,-0.3381164312918959,-0.30861953679110926,0.13875174870086646,-0.002127059817773607
0.3,F_DIST_AVGCOST,6130,155,0.09278735325306038,0.0014771407364789454,0.3244674729570006,0.4797977509991793
0.3,F_R01_RET60,6122,155,-0.30695955687085585,-0.3906456349944375,0.10195851992786366,-0.003549322254233366
0.3,F_R05_LDS,6130,155,0.19873486421774314,0.18844347678487752,4.4266322831022575e-05,0.7338296973572045
0.3,F_LAYER_COUNT,6130,155,-0.2064049979173643,-0.02116894727103912,0.15240643597933828,-0.02985470095913531
0.1,F_CUR_MAE,26914,652,-0.019601282285435975,-0.10538171624130299,0.05355852580242509,-5.589304860961553
0.1,F_DAYS_SINCE_ENTRY,26914,652,-0.23433589561840001,-0.372822007290243,2.1880346294807838e-09,-0.012324694459569355
0.1,F_DAYS_SINCE_FIRST_D10,26914,652,,,,0.0
0.1,F_DIST_MA20,26914,652,-0.21077113099011152,-0.29446723244294887,9.177832448833133e-06,-2.371745582171796
0.1,F_DIST_LBB,26914,652,-0.08206443646492642,-0.02419473060386514,0.27539179091190813,-0.7064690223306738
0.1,F_RET3,26914,652,-0.15025688949885516,-0.14434771203477828,0.006065259828607091,-1.9408303669277103
0.1,F_RET5,26914,652,-0.17770868425264608,-0.27383141783336024,2.697160763019957e-05,-2.4166082570491554
0.1,F_RET20,26914,652,-0.17533496936399673,-0.2593352121870597,0.0003780211830039282,-1.6252335656894747
0.1,F_REB3,26914,652,0.13240989216484536,0.27758636846512863,9.871759882459086e-20,5.31567888052512
0.1,F_REB5,26914,652,0.13243315805921474,0.2809343852522968,2.290406774869702e-20,5.398765389468426
0.1,F_NLOW10,26914,652,0.033043383033164245,0.08189817814556213,0.12442507273548425,0.02195802271533093
0.1,F_DAYS_SINCE_LOW,26914,652,0.006289306078466909,0.09832855595443656,0.0021938962284584465,0.2795292704960544
0.1,F_AMT_RATIO20,26914,652,-0.08134474995736986,-0.22068063562758833,0.001096151862027189,-0.08355597278666647
0.1,F_ATR20_PCT,26914,652,0.26968803193219276,0.35127580386626195,5.596694269064541e-07,6.524950965246044
0.1,F_INTRADAY_RANGE,26914,652,0.22932878265509457,0.3065353778146661,2.3646814025492334e-08,5.6097955581763514
0.1,F_RV20,26914,652,0.24398390372829024,0.3470359129021105,9.60749954982276e-07,0.1292386402059996
0.1,F_DAYS_UNDERWATER,26914,652,-0.28031316445452537,-0.41112957083461565,1.9029956212659516e-09,-0.015354380781765282
0.1,F_DIST_AVGCOST,26914,652,0.027437558840376526,0.14230233858817606,6.827475252889328e-05,2.3674990111126215
0.1,F_R01_RET60,26319,640,-0.2065334879900178,-0.1247483756004068,0.049498481259829016,-0.005173855005563987
0.1,F_R05_LDS,26914,652,0.1782339630381786,0.1703656381449207,1.3456682650351958e-17,3.5929058548750645
0.1,F_LAYER_COUNT,26914,652,-0.17855022473330243,-0.23686041714275224,2.209701301072824e-05,-0.11914271349209171
