ts_code,stock_name,entry_date,exit_date,date,pstar_adj,adjT,pstar_raw,executable_threshold,daily_open,daily_high,daily_low,daily_close,limit_down_px,limit_up_px,high_ge_threshold,high_ge_threshold_exact,legal_exit_hit,gap_to_threshold,eod_bb_upper,eod_upper_touch
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-11,5404.457,17.725,304.906,304.91,245.97,251.12,241.97,246.2,224.01,273.79,False,False,False,-53.79,295.988,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-12,5325.084,17.725,300.428,300.43,245.0,248.6,237.15,237.92,221.58,270.82,False,False,False,-51.83,291.858,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-13,5247.787,17.725,296.067,296.07,237.0,243.0,236.0,240.8,214.13,261.71,False,False,False,-53.07,287.917,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-16,5143.305,17.725,290.172,290.18,240.0,244.37,238.4,240.7,216.72,264.88,False,False,False,-45.81,282.688,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-17,5013.054,17.725,282.824,282.83,239.41,242.0,229.78,229.95,216.63,264.77,False,False,False,-40.83,276.184,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-18,4861.254,17.725,274.26,274.26,228.0,232.5,223.9,229.0,206.96,252.95,False,False,False,-41.76,268.595,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-19,4671.177,17.725,263.536,263.54,228.9,231.29,222.0,222.65,206.1,251.9,False,False,False,-32.25,259.532,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-20,4502.672,17.725,254.029,254.03,211.52,216.68,205.39,206.38,200.39,244.92,False,False,False,-37.35,253.913,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-23,4524.902,17.725,255.284,255.29,206.39,211.77,204.9,206.04,185.74,227.02,False,False,False,-43.52,253.662,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-24,4573.053,17.725,258.0,258.01,208.0,212.65,204.0,210.0,185.44,226.64,False,False,False,-45.36,254.529,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-25,4584.746,17.725,258.66,258.66,210.88,218.93,210.66,217.5,189.0,231.0,False,False,False,-39.73,253.995,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-26,4578.233,17.725,258.292,258.3,217.37,217.37,206.0,207.17,195.75,239.25,False,False,False,-40.93,254.294,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-27,4600.179,17.725,259.531,259.54,207.16,210.0,204.5,205.68,186.45,227.89,False,False,False,-49.54,255.192,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-30,4608.109,17.725,259.978,259.98,208.5,209.99,199.46,207.0,185.11,226.25,False,False,False,-49.99,254.955,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-08-31,4589.118,17.725,258.906,258.91,206.5,208.0,199.4,201.69,186.3,227.7,False,False,False,-50.91,254.081,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-01,4588.369,17.725,258.864,258.87,201.7,211.06,197.0,207.71,181.52,221.86,False,False,False,-47.81,253.109,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-02,4585.239,17.725,258.688,258.69,207.94,208.1,200.2,201.23,186.94,228.48,False,False,False,-50.59,253.132,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-03,4590.022,17.725,258.958,258.96,199.8,206.55,196.77,205.89,181.11,221.35,False,False,False,-52.41,252.74,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-06,4575.165,17.725,258.119,258.12,204.5,215.3,202.55,211.46,185.3,226.48,False,False,False,-42.82,251.683,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-07,4477.66,17.725,252.618,252.62,210.5,214.12,209.06,211.97,190.31,232.61,False,False,False,-38.5,246.782,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-08,4377.797,17.725,246.984,246.99,212.0,212.71,206.0,207.72,190.77,233.17,False,False,False,-34.28,241.787,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-09,4307.961,17.725,243.044,243.05,207.73,209.21,205.0,207.33,186.95,228.49,False,False,False,-33.84,238.234,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-10,4205.714,17.725,237.276,237.28,207.33,214.4,206.5,213.7,186.6,228.06,False,False,False,-22.88,233.331,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-13,4079.707,17.725,230.167,230.17,212.0,214.7,206.99,207.79,192.33,235.07,False,False,False,-15.47,226.977,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-14,4002.616,17.725,225.818,225.82,207.72,209.81,205.24,205.73,187.01,228.57,False,False,False,-16.01,223.161,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-15,3908.983,17.725,220.535,220.54,203.0,204.55,196.7,198.5,185.16,226.3,False,False,False,-15.99,219.095,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-16,3856.865,17.725,217.595,217.6,196.0,199.58,192.43,197.0,178.65,218.35,False,False,False,-18.02,216.606,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-17,3873.052,17.725,218.508,218.51,196.0,205.0,194.07,201.95,177.3,216.7,False,False,False,-13.51,216.63,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-22,3874.408,17.725,218.584,218.59,197.0,198.5,193.45,193.93,181.76,222.14,False,False,False,-20.09,217.537,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-23,3888.271,17.725,219.366,219.37,194.82,196.88,192.64,194.42,174.54,213.32,False,False,False,-22.49,217.703,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-24,3860.049,17.725,217.774,217.78,193.9,204.0,193.06,200.52,174.98,213.86,False,False,False,-13.78,215.593,False
000858.SZ,五粮液,2021-07-09,2021-09-27,2021-09-27,3855.464,17.725,217.516,217.52,207.62,220.57,207.62,220.57,180.47,220.57,True,True,True,3.05,218.366,True
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-03,1655.497,9.8706,167.72,167.73,127.8,131.46,126.1,126.16,102.27,153.41,False,False,False,-36.27,166.904,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-06,1677.853,9.8706,169.985,169.99,126.0,131.9,126.0,128.18,100.93,151.39,False,False,False,-38.09,167.532,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-07,1692.6,9.8706,171.479,171.48,127.45,131.68,126.35,127.53,102.54,153.82,False,False,False,-39.8,168.39,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-08,1698.766,9.8706,172.104,172.11,127.0,130.13,124.01,124.49,102.02,153.04,False,False,False,-41.98,168.787,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-09,1712.277,9.8706,173.472,173.48,124.0,124.6,118.06,124.01,99.59,149.39,False,False,False,-48.88,169.559,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2026-07-10,1720.72,9.8706,174.328,174.33,123.17,123.8,114.0,114.79,99.21,148.81,False,False,False,-50.53,170.996,False
