date,expanding_rank01,panic80,breadth_pct,prior_trading_days
2021-03-15,0.640495867768595,0,0.0075520833333333,288
2021-03-16,0.32510288065843623,0,0.0018219677251431,289
2021-03-17,0.0,0,0.000260078023407,290
2021-03-18,0.363265306122449,0,0.0020795425006498,291
2021-03-19,0.3861788617886179,0,0.0023388773388773,292
2021-03-22,0.21862348178137653,0,0.0010368066355624,293
2021-03-23,0.5766129032258065,0,0.0056980056980056,294
2021-03-24,0.8473895582329317,1,0.0209627329192546,295
2021-03-25,0.676,0,0.008533747090768,296
2021-03-26,0.16733067729083664,0,0.0007749935417204,297
2021-03-29,0.44047619047619047,0,0.0033548387096774,298
2021-03-30,0.83399209486166,1,0.0183036865171435,299
2021-03-31,0.5118110236220472,0,0.0048994326972666,300
2021-04-01,0.43137254901960786,0,0.0033462033462033,301
2021-04-02,0.35546875,0,0.0020570840833119,302
2021-04-06,0.16342412451361868,0,0.000770811921891,303
2021-04-07,0.36046511627906974,0,0.0020570840833119,304
2021-04-08,0.5019305019305019,0,0.0043668122270742,305
2021-04-09,0.6192307692307693,0,0.0064151911726969,306
2021-04-12,0.9310344827586207,1,0.0343766033863519,307
2021-04-13,0.9465648854961832,1,0.0382051282051282,308
2021-04-14,0.5703422053231939,0,0.0056381342901076,309
2021-04-15,0.7689393939393939,0,0.0125576627370579,310
2021-04-16,0.4075471698113208,0,0.0025595085743537,311
2021-04-19,0.3458646616541353,0,0.0020465592223074,312
2021-04-20,0.31086142322097376,0,0.0017902813299232,313
2021-04-21,0.4962686567164179,0,0.0043433827286663,314
2021-04-22,0.516728624535316,0,0.0048518896833503,315
2021-04-23,0.8481481481481481,1,0.0207002300025555,316
2021-04-26,0.8560885608856088,1,0.0214614205416453,317
2021-04-27,0.9522058823529411,1,0.0471311475409836,318
2021-04-28,0.8754578754578755,1,0.0261203585147247,319
2021-04-29,0.7992700729927007,0,0.0159178433889602,320
2021-04-30,0.9563636363636364,1,0.0500645161290322,321
2021-05-06,0.822463768115942,1,0.0188338493292053,322
2021-05-07,0.8231046931407943,1,0.019339865910263,323
2021-05-10,0.8561151079136691,1,0.0229263266357547,324
2021-05-11,0.6021505376344086,0,0.0064333504889346,325
2021-05-12,0.40714285714285714,0,0.0028277634961439,326
2021-05-13,0.6120996441281139,0,0.0066717988196048,327
2021-05-14,0.14893617021276595,0,0.000769033581133,328
2021-05-17,0.49469964664310956,0,0.0046047582501918,329
2021-05-18,0.5985915492957746,0,0.0063889598773319,330
2021-05-19,0.631578947368421,0,0.0071446797652462,331
2021-05-20,0.6783216783216783,0,0.0086624203821656,332
2021-05-21,0.43205574912891986,0,0.0035668789808917,333
2021-05-24,0.3993055555555556,0,0.0028025477707006,334
2021-05-25,0.32525951557093424,0,0.0020356234096692,335
2021-05-26,0.0,0,0.0002540650406504,336
2021-05-27,0.08934707903780069,0,0.0005076142131979,337
2021-05-28,0.4178082191780822,0,0.0032978183663115,338
2021-05-31,0.32764505119453924,0,0.0020278833967046,339
2021-06-01,0.23129251700680273,0,0.0012671059300557,340
2021-06-02,0.5830508474576271,0,0.0060790273556231,341
2021-06-03,0.543918918918919,0,0.0053151100987091,342
2021-06-04,0.6734006734006734,0,0.0083459787556904,343
2021-06-07,0.5805369127516778,0,0.0060682680151706,344
2021-06-08,0.5785953177257525,0,0.0060652009097801,345
2021-06-09,0.5366666666666666,0,0.005304369790351,346
2021-06-10,0.6013289036544851,0,0.0063115374905326,347
2021-06-11,0.8443708609271523,1,0.0206861755802219,348
2021-06-15,0.9603960396039604,1,0.0565371024734982,349
2021-06-16,0.9473684210526315,1,0.045947992931078,350
2021-06-17,0.7704918032786885,0,0.013363590519415,351
2021-06-18,0.7026143790849673,0,0.0093316519546027,352
2021-06-21,0.48534201954397393,0,0.0047907211296016,353
2021-06-22,0.31493506493506496,0,0.0020135917442738,354
2021-06-23,0.313915857605178,0,0.0020125786163522,355
2021-06-24,0.6193548387096774,0,0.0065375911491073,356
2021-06-25,0.38263665594855306,0,0.0027610441767068,357
2021-06-28,0.3685897435897436,0,0.0025068939583855,358
2021-06-29,0.8146964856230032,1,0.0172759138708062,359
2021-06-30,0.5445859872611465,0,0.0055068836045056,360
2021-07-01,0.9079365079365079,1,0.0300150075037518,361
2021-07-02,0.9145569620253164,1,0.0327663831915958,362
2021-07-05,0.6971608832807571,0,0.0092453773113443,363
2021-07-06,0.6289308176100629,0,0.0069912609238451,364
2021-07-07,0.3761755485893417,0,0.0027458811782326,365
2021-07-08,0.8,1,0.0167040638244826,366
2021-07-09,0.6542056074766355,0,0.007719123505976,367
2021-07-12,0.35403726708074534,0,0.002488800398208,368
2021-07-13,0.42105263157894735,0,0.0034851879512073,369
2021-07-14,0.6851851851851852,0,0.0087064676616915,370
2021-07-15,0.9138461538461539,1,0.0325951729285892,371
2021-07-16,0.754601226993865,0,0.0124254473161033,372
2021-07-19,0.8532110091743119,1,0.022100819468587,373
2021-07-20,0.6890243902439024,0,0.0089263575502107,374
2021-07-21,0.3434650455927052,0,0.0024789291026276,375
2021-07-22,0.5484848484848485,0,0.0057015369360436,376
2021-07-23,0.8912386706948641,1,0.0280049566294919,377
2021-07-26,0.9759036144578314,1,0.0641406636948984,378
2021-07-27,0.9519519519519519,1,0.049233052944087,379
2021-07-28,0.9940119760479041,1,0.1075135936727632,380
2021-07-29,0.3880597014925373,0,0.0032106693010619,381
2021-07-30,0.49702380952380953,0,0.0051826258637709,382
