ts_code,name,entry_date,exit_date,levels_used,pnl,return_pct,hold_days,exit_date_bad20,levels_used_bad20,pnl_bad20,return_pct_bad20,hold_days_bad20,exit_date_madd,levels_used_madd,pnl_madd,return_pct_madd,hold_days_madd,exit_date_mcombined,levels_used_mcombined,pnl_mcombined,return_pct_mcombined,hold_days_mcombined
601318.SH,中国平安,2021-01-29,2021-02-25,3.0,45828.651605040184,7.79,14.0,2021-02-25,3.0,45828.651605040184,7.79,14.0,2021-02-25,3.0,45828.651605040184,7.79,14.0,2021-02-25,3.0,45828.651605040184,7.79,14.0
300750.SZ,宁德时代,2021-02-01,2021-02-09,1.0,28413.16716600003,16.08,6.0,2021-02-09,1.0,28413.16716600003,16.08,6.0,2021-02-09,1.0,28413.16716600003,16.08,6.0,2021-02-09,1.0,28413.16716600003,16.08,6.0
300059.SZ,东方财富,2021-02-23,2021-04-02,2.0,-42172.103122199944,-10.63,28.0,2021-04-02,2.0,-42172.103122199944,-10.63,28.0,2021-04-02,2.0,-42172.103122199944,-10.63,28.0,2021-04-02,2.0,-42172.103122199944,-10.63,28.0
300750.SZ,宁德时代,2021-02-26,2021-04-14,1.0,10488.728946960007,5.41,32.0,2021-04-14,1.0,10488.728946960007,5.41,32.0,2021-04-14,1.0,10488.728946960007,5.41,32.0,2021-04-14,1.0,10488.728946960007,5.41,32.0
002352.SZ,顺丰控股,2021-04-13,2021-05-17,2.0,1988.5031334001105,0.51,21.0,2021-05-17,2.0,1988.5031334001105,0.51,21.0,2021-05-17,2.0,1988.5031334001105,0.51,21.0,2021-05-17,2.0,1988.5031334001105,0.51,21.0
601166.SH,兴业银行,2021-04-16,2021-05-12,1.0,16929.719089199993,8.5,15.0,2021-05-12,1.0,16929.719089199993,8.5,15.0,2021-05-12,1.0,16929.719089199993,8.5,15.0,2021-05-12,1.0,16929.719089199993,8.5,15.0
002594.SZ,比亚迪,2021-05-06,2021-05-26,2.0,78437.92865940009,20.86,14.0,2021-05-26,2.0,78437.92865940009,20.86,14.0,2021-05-26,2.0,78437.92865940009,20.86,14.0,2021-05-26,2.0,78437.92865940009,20.86,14.0
600031.SH,三一重工,2021-05-14,2021-06-01,1.0,24370.67986127999,12.23,12.0,2021-06-01,1.0,24370.67986127999,12.23,12.0,2021-06-01,1.0,24370.67986127999,12.23,12.0,2021-06-01,1.0,24370.67986127999,12.23,12.0
000661.SZ,长春高新,2021-05-25,2021-07-19,3.0,10265.300917560002,1.99,38.0,2021-07-19,3.0,10265.300917560002,1.99,38.0,2021-07-19,3.0,10265.300917560002,1.99,38.0,2021-07-19,3.0,10265.300917560002,1.99,38.0
002340.SZ,格林美,2021-06-08,2021-07-05,3.0,19172.255995380157,3.21,18.0,2021-07-05,3.0,19172.255995380157,3.21,18.0,2021-07-05,3.0,19172.255995380157,3.21,18.0,2021-07-05,3.0,19172.255995380157,3.21,18.0
600031.SH,三一重工,2021-06-15,2021-08-02,3.0,11759.596936740214,1.97,34.0,2021-08-02,3.0,11759.596936740214,1.97,34.0,2021-08-02,3.0,11759.596936740214,1.97,34.0,2021-08-02,3.0,11759.596936740214,1.97,34.0
000333.SZ,美的集团,2021-07-06,2021-08-16,2.0,52727.32608498004,13.5,29.0,2021-08-16,2.0,52727.32608498004,13.5,29.0,2021-08-16,2.0,52727.32608498004,13.5,29.0,2021-08-16,2.0,52727.32608498004,13.5,29.0
002241.SZ,歌尔股份,2021-07-23,2021-08-05,1.0,17197.536236400047,8.61,9.0,2021-08-05,1.0,17197.536236400047,8.61,9.0,2021-08-05,1.0,17197.536236400047,8.61,9.0,2021-08-05,1.0,17197.536236400047,8.61,9.0
002460.SZ,赣锋锂业,2021-08-17,2021-08-24,1.0,41767.99197552001,21.34,5.0,2021-08-24,1.0,41767.99197552001,21.34,5.0,2021-08-24,1.0,41767.99197552001,21.34,5.0,2021-08-24,1.0,41767.99197552001,21.34,5.0
300750.SZ,宁德时代,2021-08-17,2021-09-14,1.0,15947.665321680019,8.21,20.0,2021-09-14,1.0,15947.665321680019,8.21,20.0,2021-09-14,1.0,15947.665321680019,8.21,20.0,2021-09-14,1.0,15947.665321680019,8.21,20.0
