date,equity
2020-07-23,1146920.2956293556
2020-07-24,1125124.6956293557
2020-07-27,1126187.8956293555
2020-07-28,1132567.0956293556
2020-07-29,1129909.0956293556
2020-07-30,1134161.8956293557
2020-07-31,1139477.8956293555
2020-08-03,1140541.0956293556
2020-08-04,1150109.8956293555
2020-08-05,1153831.0956293556
2020-08-06,1161805.0956293556
2020-08-07,1174031.8956293555
2020-08-10,1181474.2956293556
2020-08-11,1177221.4956293555
2020-08-12,1167652.6956293555
2020-08-13,1180942.6956293557
2020-08-14,1180942.6956293557
2020-08-17,1180942.6956293557
2020-08-18,1179347.8956293557
2020-08-19,1186258.6956293555
2020-08-20,1172437.0956293556
2020-08-21,1177753.0956293556
2020-08-24,1188916.6956293555
2020-08-25,1219217.8956293555
2020-08-26,1205927.8956293555
2020-08-27,1221875.8956293557
2020-08-28,1230913.0956293556
2020-08-31,1241545.0956293556
2020-09-01,1225065.4956293555
2020-09-02,1238944.0540002156
2020-09-03,1298891.0540002156
2020-09-04,1228766.1194115756
2020-09-07,1174710.3194115756
2020-09-08,1175430.4066437057
2020-09-09,1123889.4813618306
2020-09-10,1104333.8393827006
2020-09-11,1137053.8393827006
2020-09-14,1147035.8393827006
2020-09-15,1147215.8393827006
2020-09-16,1134248.8393827006
2020-09-17,1144185.8393827006
2020-09-18,1171941.8393827006
2020-09-21,1166558.8393827006
2020-09-22,1141974.8393827006
2020-09-23,1147523.8393827006
2020-09-24,1115366.8393827006
2020-09-25,1110417.8393827006
2020-09-28,1119981.8393827006
2020-09-29,1123815.8393827006
2020-09-30,1111806.8393827006
2020-10-09,1158003.8393827006
2020-10-12,1181976.2700488158
2020-10-13,1187871.4542716157
2020-10-14,1176025.2542716158
2020-10-15,1155636.2542716158
2020-10-16,1146166.353839566
2020-10-19,1146571.258958136
2020-10-20,1136551.2589581357
2020-10-21,1110046.873327976
2020-10-22,1105636.073327976
2020-10-23,1095949.273327976
2020-10-26,1096773.289557726
2020-10-27,1112299.889557726
2020-10-28,1125932.289557726
2020-10-29,1111546.089557726
2020-10-30,1105135.089557726
2020-11-02,1112271.089557726
2020-11-03,1124022.289557726
2020-11-04,1125563.889557726
2020-11-05,1149377.689557726
2020-11-06,1131734.289557726
2020-11-09,1210011.392250286
2020-11-10,1195679.392250286
2020-11-11,1158321.809894036
2020-11-12,1167568.521270476
2020-11-13,1174447.721270476
2020-11-16,1169122.721270476
2020-11-17,1136413.521270476
2020-11-18,1129880.1097907762
2020-11-19,1143309.809790776
2020-11-20,1137704.1097907762
2020-11-23,1156079.209790776
2020-11-24,1145860.1097907762
2020-11-25,1118823.209790776
2020-11-26,1102298.209790776
2020-11-27,1123059.409790776
2020-11-30,1158598.9419628761
2020-12-01,1177440.541962876
2020-12-02,1186454.141962876
2020-12-03,1205850.7419628762
2020-12-04,1231114.341962876
2020-12-07,1269056.797430356
2020-12-08,1268539.797430356
2020-12-09,1270607.797430356
2020-12-10,1268459.429584296
2020-12-11,1271569.8295842959
2020-12-14,1269069.629584296
2020-12-15,1263600.244851596
2020-12-16,1278775.958666796
2020-12-17,1291083.2553662362
2020-12-18,1288146.4553662362
2020-12-21,1281760.913874356
2020-12-22,1274404.413874356
2020-12-23,1281006.413874356
2020-12-24,1272333.413874356
2020-12-25,1264055.413874356
2020-12-28,1264995.913874356
2020-12-29,1274935.413874356
2020-12-30,1302939.913874356
2020-12-31,1317160.413874356
2021-01-04,1324309.413874356
2021-01-05,1327158.0826368313
2021-01-06,1341743.2826368313
2021-01-07,1345632.4826368312
2021-01-08,1376783.4826368312
2021-01-11,1376030.9045049313
2021-01-12,1378406.9045049313
2021-01-13,1374842.9045049313
2021-01-14,1383752.9045049313
2021-01-15,1371872.9045049313
2021-01-18,1367714.9045049313
2021-01-19,1377812.9045049313
2021-01-20,1375436.9045049313
2021-01-21,1399196.9045049313
2021-01-22,1392068.9045049313
2021-01-25,1399790.9045049313
2021-01-26,1387316.9045049313
2021-01-27,1393850.9045049313
2021-01-28,1357616.9045049313
2021-01-29,1362800.6968748313
2021-02-01,1354765.3605997064
2021-02-02,1371800.6297460063
2021-02-03,1368482.4297460066
2021-02-04,1380885.5219533816
2021-02-05,1382874.2219533816
2021-02-08,1383505.5219533816
2021-02-09,1395021.3250093814
2021-02-10,1412204.6087963814
2021-02-18,1426001.5087963815
2021-02-19,1436621.4087963817
2021-02-22,1421327.0087963815
2021-02-23,1429182.9422664915
2021-02-24,1413107.2422664915
2021-02-25,1425205.5842496315
2021-02-26,1396783.6561166316
2021-03-01,1430879.7561166314
2021-03-02,1441187.9561166316
2021-03-03,1454006.6561166313
2021-03-04,1394738.9561166316
2021-03-05,1397483.0561166315
2021-03-08,1373324.7561166314
2021-03-09,1354093.3561166315
2021-03-10,1352868.9325808117
2021-03-11,1369771.1325808116
2021-03-12,1354436.7410245468
2021-03-15,1294426.7410245466
2021-03-16,1304330.8273500067
2021-03-17,1315060.8273500067
2021-03-18,1327411.6273500067
2021-03-19,1252053.6273500067
2021-03-22,1242817.6273500067
2021-03-23,1218025.0273500066
2021-03-24,1172358.6273500067
2021-03-25,1184787.2273500068
2021-03-26,1246205.0273500066
2021-03-29,1220406.2273500068
2021-03-30,1230448.6273500067
2021-03-31,1221989.8273500067
2021-04-01,1261622.8273500067
2021-04-02,1280423.7072938469
2021-04-06,1265537.3850570968
2021-04-07,1250392.1850570966
2021-04-08,1244455.1850570966
2021-04-09,1229621.6850570966
2021-04-12,1221919.7850570967
2021-04-13,1248155.0793607468
2021-04-14,1258165.622495707
2021-04-15,1245353.9682219068
2021-04-16,1237029.9279984569
2021-04-19,1285090.2142600566
2021-04-20,1285790.2142600566
2021-04-21,1289166.7142600566
2021-04-22,1282829.2142600566
2021-04-23,1298927.7142600566
2021-04-26,1299760.2142600566
2021-04-27,1293711.3512194569
2021-04-28,1294014.151219457
2021-04-29,1295321.4512194567
2021-04-30,1292476.4512194567
2021-05-06,1277820.0855904568
2021-05-07,1266189.185590457
2021-05-10,1274009.8730369569
2021-05-11,1273466.173036957
2021-05-12,1290018.888233032
2021-05-13,1274175.288233032
2021-05-14,1300424.209149482
2021-05-17,1339735.8980366818
2021-05-18,1335651.623931432
2021-05-19,1359676.523931432
2021-05-20,1359443.2239314318
2021-05-21,1363248.423931432
2021-05-24,1370887.8239314319
2021-05-25,1386659.386840127
2021-05-26,1398504.601264127
2021-05-27,1391787.001264127
2021-05-28,1379630.6504453418
2021-05-31,1384961.1504453418
2021-06-01,1408065.4934927218
2021-06-02,1418224.1934927218
2021-06-03,1409317.3934927217
2021-06-04,1407216.1934927218
2021-06-07,1411663.3934927217
2021-06-08,1396144.109262372
2021-06-09,1395187.609262372
2021-06-10,1403879.861582572
2021-06-11,1391217.861582572
2021-06-15,1379157.522846172
2021-06-16,1354240.638508912
2021-06-17,1350454.830575632
2021-06-18,1377754.874275632
2021-06-21,1356952.874275632
2021-06-22,1387268.874275632
2021-06-23,1404724.874275632
2021-06-24,1386782.874275632
2021-06-25,1413662.874275632
2021-06-28,1418348.874275632
2021-06-29,1381025.874275632
2021-06-30,1401752.874275632
2021-07-01,1374790.874275632
2021-07-02,1358066.874275632
2021-07-05,1361320.2974216721
2021-07-06,1371136.1211654323
2021-07-07,1380414.9211654323
2021-07-08,1383290.5211654324
2021-07-09,1393219.7525915923
2021-07-12,1403206.8525915921
2021-07-13,1410258.4525915922
2021-07-14,1409632.6525915922
2021-07-15,1410679.7525915923
2021-07-16,1378211.5525915923
2021-07-19,1417802.870528192
2021-07-20,1430549.045689492
2021-07-21,1425581.045689492
2021-07-22,1471416.045689492
2021-07-23,1465569.971979147
2021-07-26,1443753.9719791473
2021-07-27,1387803.7543235472
2021-07-28,1397844.4543235472
2021-07-29,1409467.854323547
2021-07-30,1391744.1543235471
2021-08-02,1461258.0040862071
2021-08-03,1487355.7040862073
2021-08-04,1495248.1407237074
2021-08-05,1497803.6623934275
2021-08-06,1506072.6623934275
2021-08-09,1521387.6623934275
2021-08-10,1522426.6623934275
2021-08-11,1518602.6623934275
2021-08-12,1513445.6623934275
2021-08-13,1524734.6623934275
2021-08-16,1541213.6019697725
2021-08-17,1539049.0512049724
2021-08-18,1551395.8512049727
2021-08-19,1548773.4512049723
2021-08-20,1554634.4512049723
2021-08-23,1589069.3760705674
2021-08-24,1615663.0285937376
2021-08-25,1618493.0285937376
2021-08-26,1608695.0285937376
2021-08-27,1604298.0285937376
2021-08-30,1606891.0285937376
2021-08-31,1609843.0285937376
2021-09-01,1613330.0285937376
2021-09-02,1607275.0285937376
2021-09-03,1613367.0285937376
2021-09-06,1625102.0285937376
2021-09-07,1624099.0285937376
2021-09-08,1610255.0285937376
2021-09-09,1607983.0285937376
2021-09-10,1609243.0285937376
2021-09-13,1601766.8620882477
2021-09-14,1610065.3364041278
2021-09-15,1600064.2364041274
2021-09-16,1605947.2364041277
2021-09-17,1619195.1900386778
2021-09-22,1582273.5900386777
2021-09-23,1588128.8484023577
2021-09-24,1603857.7484023576
2021-09-27,1622004.5781929325
2021-09-28,1603561.2121373327
2021-09-29,1572735.8643569327
2021-09-30,1613629.9233285128
2021-10-08,1588761.778528513
2021-10-11,1583511.9785285126
2021-10-12,1547423.8785285128
2021-10-13,1576297.0785285127
2021-10-14,1572415.278528513
2021-10-15,1588871.4785285126
2021-10-18,1615547.4785285126
2021-10-19,1629455.8785285128
2021-10-20,1631462.9785285126
2021-10-21,1637191.9785285126
2021-10-22,1613881.5785285127
2021-10-25,1639020.2902456927
2021-10-26,1655555.990245693
2021-10-27,1644281.3902456928
2021-10-28,1613963.9294749878
2021-10-29,1634167.4294749878
2021-11-01,1621933.4294749876
2021-11-02,1624698.4294749878
2021-11-03,1636924.9294749878
2021-11-04,1639935.4294749878
2021-11-05,1651210.4294749878
2021-11-08,1685166.9294749878
2021-11-09,1694134.4189652978
2021-11-10,1681066.4189652978
2021-11-11,1685183.4189652978
2021-11-12,1678525.4189652978
2021-11-15,1684635.4189652978
2021-11-16,1699630.7695120978
2021-11-17,1704380.861905318
2021-11-18,1695597.861905318
2021-11-19,1707130.661905318
2021-11-22,1709408.261905318
2021-11-23,1698093.2619053181
2021-11-24,1694100.261905318
2021-11-25,1700055.661905318
2021-11-26,1678557.8619053178
2021-11-29,1706150.4832796478
2021-11-30,1697819.107823888
2021-12-01,1704134.507823888
2021-12-02,1688109.4669077632
2021-12-03,1693793.866907763
2021-12-06,1699878.430015823
2021-12-07,1728570.6320958883
2021-12-08,1749996.1320958883
2021-12-09,1753944.1320958883
2021-12-10,1756243.6320958883
2021-12-13,1775612.6320958883
2021-12-14,1754497.1320958883
2021-12-15,1741506.6320958883
2021-12-16,1770525.1320958883
2021-12-17,1728045.780180288
2021-12-20,1697158.780180288
2021-12-21,1709757.0115684883
2021-12-22,1717995.9115684882
2021-12-23,1731214.9115684882
2021-12-24,1697100.7115684883
2021-12-27,1696608.0192499133
2021-12-28,1728382.6192499134
2021-12-29,1723554.219249913
2021-12-30,1725728.6192499131
2021-12-31,1747580.819249913
2022-01-04,1737651.6192499131
2022-01-05,1681727.0192499133
2022-01-06,1654648.6192499134
2022-01-07,1651271.4192499132
2022-01-10,1643392.0192499133
2022-01-11,1621654.819249913
2022-01-12,1679538.0192499133
2022-01-13,1672601.819249913
2022-01-14,1671290.6192499131
2022-01-17,1714229.819249913
2022-01-18,1692248.219249913
2022-01-19,1649797.819249913
2022-01-20,1641990.819249913
2022-01-21,1619502.4192499132
2022-01-24,1623569.219249913
2022-01-25,1582003.4192499132
2022-01-26,1620591.0192499133
2022-01-27,1577672.6192499134
2022-01-28,1562693.2444886332
2022-02-07,1623056.3316042384
2022-02-08,1590780.7316042383
2022-02-09,1619353.2677237384
2022-02-10,1584870.4677237384
2022-02-11,1531577.4719721384
2022-02-14,1544421.4719721384
2022-02-15,1594148.4719721384
2022-02-16,1593445.4719721384
2022-02-17,1614584.4719721384
2022-02-18,1602658.4719721384
2022-02-21,1598184.4719721384
2022-02-22,1585296.4719721384
2022-02-23,1651726.4719721384
2022-02-24,1632249.4719721384
2022-02-25,1657306.4719721384
2022-02-28,1684124.5316841386
2022-03-01,1700798.3785441387
2022-03-02,1693217.3785441387
2022-03-03,1679670.3785441387
2022-03-04,1665324.8487393586
2022-03-07,1625564.8408810787
2022-03-08,1593657.400350069
2022-03-09,1560549.9783638287
2022-03-10,1624095.304930989
2022-03-11,1625679.350831939
2022-03-14,1560423.350831939
2022-03-15,1483481.350831939
2022-03-16,1578937.350831939
2022-03-17,1635839.350831939
2022-03-18,1667717.350831939
2022-03-21,1645977.350831939
2022-03-22,1648443.350831939
2022-03-23,1659289.350831939
2022-03-24,1618783.350831939
2022-03-25,1580831.350831939
2022-03-28,1544625.350831939
2022-03-29,1528919.350831939
2022-03-30,1638093.350831939
2022-03-31,1623771.0638901389
2022-04-01,1656412.524202139
2022-04-06,1634395.499123364
2022-04-07,1613427.119336664
2022-04-08,1613334.519336664
2022-04-11,1539562.9193366638
2022-04-12,1603954.119336664
2022-04-13,1593779.9193366638
2022-04-14,1641045.3176126638
2022-04-15,1623529.5948198638
2022-04-18,1658439.5948198638
2022-04-19,1649301.5948198638
2022-04-20,1579574.3948198638
2022-04-21,1523051.994819864
2022-04-22,1503635.768516834
2022-04-25,1383258.568516834
2022-04-26,1354709.8155428988
2022-04-27,1480736.8155428988
2022-04-28,1530350.8155428988
2022-04-29,1602308.8155428988
2022-05-05,1612786.8155428988
2022-05-06,1571563.8155428988
2022-05-09,1597427.8155428988
2022-05-10,1683466.8155428988
2022-05-11,1753490.8155428988
2022-05-12,1753270.8155428988
2022-05-13,1751002.8155428988
2022-05-16,1752326.8155428988
2022-05-17,1822605.8155428988
2022-05-18,1844729.8155428988
2022-05-19,1919816.437671599
2022-05-20,1927333.565487599
2022-05-23,1924619.565487599
2022-05-24,1876357.565487599
2022-05-25,1866799.565487599
2022-05-26,1884145.565487599
2022-05-27,1875177.565487599
2022-05-30,1914707.565487599
2022-05-31,1930991.5654875992
2022-06-01,1987008.1876087592
