episode_id,ts_code,pnl,signal_date,entry_date,exit_date,exit_type,levels_used,total_cost,simple_return_pct,hold_days,MAE_close_pct,MAE_intraday_pct,MFE_close_pct,MFE_intraday_pct,final_price_path_return_pct,time_to_MAE_days,time_to_MFE_days,time_to_break_even_days,max_underwater_duration_days,first_recovery_after_MAE_days,economic_MAE_pct,economic_MFE_pct,economic_exit_nav,economic_max_underwater_days,giveback_intraday_pct,giveback_close_pct,capture_ratio_close,capture_ratio_intraday,n_path_days,post_ret_1d,post_mfe_1d,post_mae_1d,post_ret_3d,post_mfe_3d,post_mae_3d,post_ret_5d,post_mfe_5d,post_mae_5d,post_ret_10d,post_mfe_10d,post_mae_10d,post_ret_20d,post_mfe_20d,post_mae_20d,post_ret_40d,post_mfe_40d,post_mae_40d,post_ret_60d,post_mfe_60d,post_mae_60d,post_peak_retrace60
83,601888.SH,71805.56258934003,2021-11-02,2021-11-03,2022-02-10,TAKE_PROFIT_DYN,5,920044.0352703598,7.8045788936873635,65,-16.20794715778706,-17.762777954880406,3.9515447199545584,5.128773752039506,-1.961658938713362,54,9,0.0,36,,-15.929024282183512,3.9515447199545806,-1.7592532223649537,37,-2.6758051416478574,-3.853034173732805,1.1911275441414768,1.116890509472933,66,2.1482303452336593,2.1482303452336593,2.1482303452336593,0.9746335897257152,3.086201497319152,0.9746335897257152,-0.0720878408624559,3.086201497319152,-0.0720878408624559,-7.566794534337873,3.086201497319152,-7.566794534337873,-15.369627016904186,3.086201497319152,-15.369627016904186,-29.262475095619813,3.086201497319152,-29.26700635722409,-22.084956714443837,3.086201497319152,-29.26700635722409,31.384615384615383
84,600111.SH,43252.805117700074,2021-12-24,2021-12-27,2022-02-16,TAKE_PROFIT_DYN,2,395817.20472294,10.927469701064592,31,-15.909311426630868,-16.158100446078706,4.536622535264145,6.979278362570196,3.5734923894308324,23,1,1.0,24,,-15.909311426630834,10.068450536877126,10.068450536877126,20,-3.9481913384943956,-6.390847165800446,1.3125730122043353,1.1706412541864308,32,5.013390353704494,5.013390353704494,5.013390353704494,2.8078689509754007,5.013390353704494,2.8078689509754007,4.445632368843522,5.013390353704494,2.8078689509754007,2.5239899585449255,7.459117057720888,1.4103108343945792,-10.556280538828544,7.459117057720888,-14.181196903710013,-24.182472175491387,7.459117057720888,-24.182472175491387,-26.43166726936361,7.459117057720888,-38.92234293630455,43.161958951432645
85,000792.SZ,37543.62380832003,2022-01-20,2022-01-21,2022-02-16,TAKE_PROFIT_DYN,1,199681.33365179997,18.801769360068377,13,1.1233664294888923,-2.101608966172952,15.246534541525293,20.510287486168764,18.982575865692763,0,13,0.0,0,0.0,0.0,18.832657820101993,18.832657820101993,0,1.7085181261003868,-3.5552348185430844,1.2517306875015637,0.9244416261280265,14,2.810560326900191,2.810560326900191,2.810560326900191,2.6859414658978897,2.810560326900191,2.1563113066380923,8.387254356753271,8.387254356753271,2.1563113066380923,3.1221074794059556,8.387254356753271,2.1563113066380923,-8.592065454810548,8.387254356753271,-10.585967230847404,-10.95982381385432,8.387254356753271,-10.95982381385432,-9.962872925835898,8.387254356753271,-19.24697807050748,25.495832135671172
86,002460.SZ,28668.882786120113,2021-12-20,2021-12-21,2022-02-17,TAKE_PROFIT_DYN,2,391257.4654988999,7.327370162653349,36,-12.044477261868547,-13.695000651522381,7.971738406521034,9.832196788718539,4.956543456543483,21,36,0.0,16,,-11.241026307879476,5.781841067286297,5.781841067286297,15,2.5048266260651904,0.6443682438676852,0.9678076887987724,0.8935348490857252,37,0.6380872707614227,0.6380872707614227,0.6380872707614227,3.948777551754201,3.948777551754201,0.4587582138743107,1.382992583984799,4.755758307746172,0.4587582138743107,-0.9413878841288748,4.755758307746172,-0.9413878841288748,-11.880460354242473,4.755758307746172,-14.473834407686814,-20.48825508482368,4.755758307746172,-22.75056011016874,-16.867187589987843,4.755758307746172,-36.400260247845175,39.28759547010798
87,002466.SZ,10697.190696720034,2021-12-20,2021-12-21,2022-02-17,TAKE_PROFIT_DYN,3,582136.72020504,1.837573601773871,36,-17.30144534985063,-19.98566503745459,9.622712432680647,12.58355017969417,-4.979483648338112,31,8,0.0,25,,-17.43570218729875,11.034075670465683,-5.25327603683775,21,10.745976577920299,7.785138830906776,0.7108493088701974,0.6700572455837933,37,3.1621884702453418,3.1621884702453418,3.1621884702453418,8.736483144066076,8.736483144066076,3.1621884702453418,3.9384925640849833,8.898213163615987,3.1621884702453418,0.9626602043663501,8.898213163615987,0.9626602043663501,-8.148130896946071,8.898213163615987,-12.169817383087544,-20.159280348853812,8.898213163615987,-24.202530837601934,-1.3446880745459078,8.898213163615987,-35.94413025692648,41.17821782178218
88,000661.SZ,21896.216056440026,2022-01-24,2022-01-25,2022-02-24,TAKE_PROFIT_DYN,1,184019.62066487997,11.89884859958246,17,-2.210549804516748,-4.775617009277521,12.025872140787165,15.32637819446534,12.06914942849826,9,17,1.0,6,,-2.2105498045167593,11.927942300218298,11.927942300218298,6,3.4275295948828806,0.12702354120470538,0.9910775655784348,0.8294930647359475,18,1.2738567370269793,1.2738567370269793,1.2738567370269793,-2.4981702734607536,1.2738567370269793,-2.8716382943011154,-4.408192437187219,1.2738567370269793,-4.408192437187219,-5.8913940056675385,1.2738567370269793,-14.449146940352565,-6.926433949139421,1.8500645406092753,-14.449146940352565,-27.88866043316528,1.8500645406092753,-27.88866043316528,-19.421606874970053,1.8500645406092753,-27.88866043316528,29.198533263488745
89,601012.SH,50289.191366400104,2021-12-01,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,4,776987.9743625999,6.472325573333965,57,-21.866848637556902,-23.79769090453363,5.152950291005531,7.011835703312319,-3.5544287645127848,45,7,3.0,35,,-22.06160602072995,4.867093196808403,-3.9160508272311545,35,0.5395101299783542,-1.3193752823284335,1.0488299445090885,0.9824888536313647,58,-0.4594656768569849,-0.4594656768569849,-0.4594656768569849,-3.2572945616423876,-0.4594656768569849,-3.2572945616423876,-3.331903331903341,-0.4594656768569849,-4.500774065991465,-3.7546863633820093,1.642014685492943,-4.500774065991465,-7.559733646690159,2.6989722641896696,-7.559733646690159,-19.696093609137087,2.6989722641896696,-29.60662525879917,-1.5164232555536894,2.6989722641896696,-29.60662525879917,31.45659280784599
90,603259.SH,71663.80359636014,2021-12-20,2021-12-21,2022-03-17,TAKE_PROFIT_DYN,3,584796.0674555999,12.254494786218984,56,-27.774575294157543,-28.861391002383176,4.343002515326289,6.7861642274174905,-6.314625322458223,32,7,0.0,37,,-28.741848918355007,4.343002515326244,-7.685762411598773,37,-5.468330558801494,-7.911492270892696,1.2463290450426354,1.1533998761920725,57,-3.8348565513408817,-3.8348565513408817,-3.8348565513408817,-4.48449562115425,-1.9045004581811464,-4.48449562115425,8.582530240234675,8.582530240234675,-4.48449562115425,4.29491237946642,8.582530240234675,-4.48449562115425,-0.6052223185544214,8.582530240234675,-5.542479249136023,-10.990166877428143,8.582530240234675,-13.10613413339169,-10.906641854166422,8.582530240234675,-18.238282784917313,24.70085470085471
91,000002.SZ,118627.14947778033,2022-03-04,2022-03-07,2022-03-31,TAKE_PROFIT_DYN,4,796955.1064675199,14.88504791739044,18,-20.252347436813444,-22.246038750893106,3.1869963908798926,8.575351293797894,5.77529266849659,6,18,17.0,17,11.0,-25.48494239283149,0.0,-1.2896224523043065,19,-6.309696623592545,-11.698051526510547,1.4990776027053037,1.2047181069524602,19,5.245194303718459,5.245194303718459,5.245194303718459,6.518732472930933,8.097919802754383,5.245194303718459,5.652726517866435,9.473341025503856,5.245194303718459,4.582954455727983,9.473341025503856,2.7490594920620337,-1.0206134888068874,9.473341025503856,-7.133596701026745,-9.78255609298867,9.473341025503856,-9.78255609298867,3.9207146077374855,9.473341025503856,-11.92210021726563,19.54397394136808
92,300059.SZ,-57074.44591007987,2022-01-05,2022-01-06,2022-04-14,TAKE_PROFIT_DYN,5,992371.0714117199,-5.7513210082683415,63,-34.29215555403974,-34.896564110047244,-2.258502085641234,-0.04233738028034395,-22.770574283106694,43,0,,64,,-33.61946612812753,0.0,-22.078237013631796,64,5.7089836279879975,3.4928189226271074,0.8909640785721552,0.836203979728166,64,0.24916949712183722,0.24916949712183722,0.24916949712183722,-3.3284960313999745,0.24916949712183722,-3.3284960313999745,-22.893854390503677,0.24916949712183722,-23.191993184547165,-21.552229817308,0.24916949712183722,-23.191993184547165,-16.18573152452527,0.24916949712183722,-23.191993184547165,-5.713606383747861,0.24916949712183722,-23.191993184547165,-14.32236406175349,0.24916949712183722,-23.191993184547165,23.382899628252783
93,600519.SH,8971.456175820087,2022-01-07,2022-01-10,2022-04-14,TAKE_PROFIT_DYN,5,898569.00521388,0.9984159395398549,61,-16.94033737384134,-17.458488731459298,2.8525263358070374,4.190911292534216,-5.8326847503252015,41,9,0.0,48,,-17.149487158086608,2.1498017633837074,-5.643601098236239,48,3.1924953529943614,1.8541103962671825,0.9063242983195319,0.8525365437630513,62,-0.6262238799796815,-0.6262238799796815,-0.6262238799796815,-1.4895589744835958,-0.6262238799796815,-1.4895589744835958,-2.0574122680005025,-0.6262238799796815,-2.0574122680005025,0.9700381398774605,0.9700381398774605,-6.0180789411930835,-2.71660630446684,1.0800872277683338,-6.0180789411930835,3.1765223520894947,4.5796482226981405,-6.0180789411930835,7.787028889277692,12.52519236841929,-6.0180789411930835,4.723227383863074
94,601888.SH,14420.200827780034,2022-03-14,2022-03-15,2022-04-14,TAKE_PROFIT_DYN,1,184570.31380787998,7.812849493656972,20,-6.943515966072356,-8.43981176956472,8.245972907627053,10.344363835233871,7.9769317685536745,10,20,1.0,6,,-6.943515966072367,7.840880834525321,7.840880834525321,6,2.531514341576899,0.4331234139700806,0.9714853200412797,0.8652315441019302,21,0.6135471967472439,0.6135471967472439,0.6135471967472439,-1.3795108880873652,0.6135471967472439,-1.3795108880873652,-3.2952758615987343,0.6245890697934131,-3.2952758615987343,0.24916538622345996,1.579711088287561,-4.217272260954353,-3.4277783381528426,1.579711088287561,-11.66501563059944,0.4700028471469553,5.759060036264829,-11.66501563059944,13.510454914679727,28.59917443227795,-11.66501563059944,12.617524578199468
95,002594.SZ,-12466.942904699943,2021-12-16,2021-12-17,2022-05-05,TAKE_PROFIT_DYN,4,780736.6927760399,-1.5968178542206901,88,-25.145277257953314,-26.330711541979145,-1.5104613696162894,0.5614104205653447,-12.713480181790038,56,4,,89,,-23.852380006409557,0.40402452647307907,-11.31774047148072,84,2.158228274786035,0.08635648460440071,0.9963462171648643,0.9197449618222011,89,-2.442802720591686,-2.442802720591686,-2.442802720591686,-5.969015031376646,-2.442802720591686,-6.2108124469733355,2.397175548268593,2.397175548268593,-6.2108124469733355,14.656304519020402,14.656304519020402,-6.2108124469733355,21.309763404855776,21.309763404855776,-6.2108124469733355,32.666182024046655,42.458977355712314,-6.2108124469733355,29.103700100922204,42.458977355712314,-6.2108124469733355,12.588401697312584
96,000625.SZ,-221496.35840387992,2021-11-16,2021-11-17,2022-05-06,TAKE_PROFIT_DYN,5,996385.1237940599,-22.229994518631575,111,-50.56884067272256,-53.29984395047269,0.8832610800899587,1.866422260080003,-34.903423531088904,106,3,3.0,108,,-51.78291568267145,0.8832610800899587,-36.582262838524805,108,24.09641677871158,23.113255598721533,0.5507811185291747,0.5632037758955273,112,-4.514741061262429,-4.514741061262429,-4.514741061262429,2.6172861881160303,2.6172861881160303,-5.353803090601083,10.420563060965415,10.420563060965415,-5.353803090601083,13.189467757782936,15.874466251666597,-5.353803090601083,31.397113794431487,31.397113794431487,-5.353803090601083,50.10819704868321,87.5303635571867,-5.353803090601083,68.65146789706725,87.5303635571867,-5.353803090601083,25.950782997762868
97,002475.SZ,-169472.39013575972,2022-02-08,2022-02-09,2022-05-11,TAKE_PROFIT_DYN,5,987941.4960214798,-17.15409169654668,60,-39.759314759314755,-40.77681577681578,4.918229918229899,5.912605912605895,-27.66795704295705,52,4,0.0,47,,-38.84524398579604,4.988065186062318,-26.662937575119948,47,23.066697609152573,22.072321614776577,0.5059638622918701,0.5059545230053952,61,-3.0010527934513864,-3.0010527934513864,-3.0010527934513864,-4.887321048291993,-3.0010527934513864,-4.887321048291993,-3.0330234418385227,-2.55346371603159,-4.887321048291993,-6.421912170874167,-0.9229606482880293,-7.093295787003873,7.48531987752683,14.454921225920891,-7.093295787003873,3.4570181807486167,14.454921225920891,-7.093295787003873,10.5545021226912,14.934480951727846,-7.093295787003873,6.342141863699585
98,002466.SZ,83032.22228994002,2022-04-25,2022-04-26,2022-05-11,TAKE_PROFIT_DYN,1,198381.69783432,41.854779546894,8,-1.1481523140417171,-3.4110459826648953,36.4391770787507,42.47910650309053,42.07067083482807,0,8,1.0,1,1.0,-1.1481523140417171,41.89166178957622,41.89166178957622,1,0.6243269561965263,-5.415602468143298,1.1440805334039446,0.9863951867148334,9,-6.2710774422486075,-6.2710774422486075,-6.2710774422486075,-5.017923035941063,-5.017923035941063,-6.2710774422486075,1.7865882730747629,1.7865882730747629,-6.2710774422486075,14.212726825339427,15.992908785701587,-6.2710774422486075,28.817245934363058,28.817245934363058,-6.2710774422486075,69.6560255118814,72.36143362269488,-6.2710774422486075,32.810943621754454,73.33350666684,-6.2710774422486075,25.810810810810803
99,300274.SZ,-247993.46052066004,2021-12-21,2021-12-22,2022-05-20,TAKE_PROFIT_DYN,5,969156.85228362,-25.58857835409347,96,-57.545774278841996,-58.71768780135314,7.462258856681192,11.294932012063509,-38.82691014165117,81,7,0.0,89,,-58.36314975855766,7.462258856681192,-40.08027589710055,89,36.88351036615698,33.05083721077466,0.4915884142829994,0.4731876843853095,97,-0.7794506109383481,-0.7794506109383481,-0.7794506109383481,-4.586820812145809,-0.7794506109383481,-6.4905059127495335,-6.333873594345441,-0.7794506109383481,-6.4905059127495335,10.967973269369512,10.967973269369512,-8.044780456913347,12.281275015988546,14.570516592663928,-8.044780456913347,52.487586286334476,52.487586286334476,-8.044780456913347,57.81308511207401,57.81308511207401,-8.044780456913347,
100,002460.SZ,136520.06503770011,2022-03-08,2022-03-09,2022-05-23,TAKE_PROFIT_DYN,4,771001.4392680599,17.706849570514894,48,-26.80924668847757,-28.64278578564292,3.194120356046315,6.202394459187732,0.17288448084571417,31,9,1.0,29,,-26.49656895166671,3.1941203560462927,0.4413973159062001,28,-11.504455111327161,-14.512729214468578,1.483703352124854,1.3301591505767538,49,-5.153312894941964,-5.153312894941964,-5.153312894941964,-3.9647579186881,-3.9647579186881,-5.715895583702125,-5.525726787501506,-3.9647579186881,-5.715895583702125,0.7339960874354956,0.7339960874354956,-7.546270247133058,8.277358336726671,12.11242906010579,-7.546270247133058,-22.189267554580628,24.37831641504562,-22.189267554580628,-26.777089762920525,24.37831641504562,-31.032116577909342,44.54991399630502
101,000858.SZ,-82787.54210063978,2022-01-28,2022-02-07,2022-05-30,TAKE_PROFIT_DYN,5,939939.0766365598,-8.807756178930596,75,-25.48451548451548,-25.51948051948051,-0.19980019980019303,1.8781218781218856,-17.56004495504495,36,6,,76,,-23.810944311904734,3.6148411516027767,-15.814702427251614,59,10.68587805705248,8.607955979130402,0.6595589120857553,0.6099703214180662,76,3.850597162140046,3.850597162140046,3.850597162140046,2.850868543017926,3.850597162140046,2.850868543017926,5.498634643359535,5.498634643359535,2.850868543017926,5.304747880863125,7.928278135892675,2.850868543017926,20.967162913776317,20.967162913776317,2.850868543017926,15.720102403717195,22.996914958660607,2.850868543017926,1.7905503106156795,22.996914958660607,1.7905503106156795,17.241379310344822
102,300014.SZ,259437.19381722016,2022-03-03,2022-03-04,2022-06-01,TAKE_PROFIT_DYN,5,985791.7902432599,26.31764601662993,58,-30.595314419411103,-32.62491655188066,11.152830710500794,13.683410584529287,11.2213362052632,35,58,0.0,25,,-35.639168517787766,4.544242865896653,3.008581652018094,39,-12.634235432100642,-15.164815306129135,1.36324524739816,1.2728285864199782,59,-0.14244081395345942,-0.14244081395345942,-0.14244081395345942,3.772862512910957,4.881620977155765,-0.14244081395345942,5.574595017308748,11.996154456059838,-0.14244081395345942,10.298368057685003,16.431188313039,-0.14244081395345942,12.608281524861642,23.926857514027233,-0.14244081395345942,11.083738636525077,23.94995664869899,-0.14244081395345942,21.097213516735835,36.146299755391695,-0.14244081395345942,11.053613844587712
103,300750.SZ,-124803.23993621976,2021-12-20,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,5,876863.6852975998,-14.232912370394569,106,-39.25216697493924,-41.8073675499418,2.549265915602583,3.9884208201039995,-26.97952047952047,88,2,1.0,88,,-40.025745281857226,2.5492659156026054,-28.00021595730977,88,18.22133319049857,16.78217828599715,0.5985262435873494,0.6021177090944718,107,5.202295147941194,5.202295147941194,5.202295147941194,3.8499876994204874,5.202295147941194,3.6242268565956692,2.4954226424715342,5.202295147941194,-2.618060447510806,9.733315263435482,9.733315263435482,-2.618060447510806,17.991646893967662,27.216234931790105,-2.618060447510806,14.821964660707089,27.216234931790105,-2.618060447510806,14.41107992676589,27.216234931790105,-2.618060447510806,11.109139307897077
104,601012.SH,-100857.61691999983,2022-03-29,2022-03-30,2022-06-06,TAKE_PROFIT_DYN,4,790893.4768534799,-12.752364240157288,42,-24.27229974096604,-24.820760385838035,6.989957016737969,7.24412170582498,-21.675285079141528,16,41,0.0,30,,-22.458545032177657,9.94733849649656,-19.611675941413942,30,19.99648594598227,19.742321256895256,0.3684934069249456,0.37637425614668246,43,3.55006089522385,3.55006089522385,3.55006089522385,4.147826379527464,4.147826379527464,2.8327423140595,3.7379300474335464,4.284458490225429,2.8327423140595,3.7891670889453,4.284458490225429,-0.08776905210960972,9.937612070353929,15.454133539784443,-0.08776905210960972,4.54064369778413,15.454133539784443,-0.08776905210960972,-8.780987095267934,15.454133539784443,-10.027755105386904,22.071005917159752
105,002415.SZ,21141.421241400065,2022-05-06,2022-05-09,2022-06-06,TAKE_PROFIT_DYN,3,596366.6310201599,3.5450375895839463,19,-6.0057589469354244,-8.562026209085028,4.101780572368807,6.070400188047254,2.060380795674921,13,2,0.0,15,,-3.116421892556809,7.000784674149374,5.695492805613567,4,2.5253625984633072,0.5567429827848609,0.9449180503601745,0.8274132717347387,20,0.4455706785301272,0.4455706785301272,0.4455706785301272,-0.33173812293744165,2.7487078680636268,-0.33173812293744165,-1.425728287965844,2.7487078680636268,-1.425728287965844,1.395614769212683,2.7487078680636268,-1.425728287965844,2.460815719371956,5.454894065765514,-1.425728287965844,-8.479085930912223,5.454894065765514,-9.5154976662023,-13.776301466839291,5.454894065765514,-15.244551425166897,19.628719628719633
