total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,sim_id,seed
62.105,10.151,0.5681,-37.67,82,74.39,1.6239,0.559,32.3,176,218
98.919,14.756,0.7815,-27.233,85,80.0,2.0729,0.5182,31.4,177,219
-20.769,-4.552,-0.0835,-56.328,74,62.16,0.8292,0.5047,34.3,178,220
-34.893,-8.23,-0.2245,-53.387,80,61.25,0.7228,0.4573,33.7,179,221
-29.225,-6.684,-0.1058,-63.827,87,63.22,0.8041,0.4678,30.2,180,222
84.102,12.992,0.7187,-27.095,96,71.88,2.0772,0.8128,27.7,181,223
-12.403,-2.616,-0.0088,-38.612,75,61.33,0.8708,0.549,36.5,182,224
36.879,6.484,0.3986,-34.511,85,72.94,1.3444,0.4987,31.4,183,225
13.233,2.518,0.2267,-29.932,80,71.25,1.1121,0.4488,32.2,184,226
121.677,17.271,0.8494,-28.973,93,70.97,2.3971,0.9806,27.0,185,227
-64.206,-18.586,-0.6234,-70.991,65,47.69,0.4365,0.4787,41.2,186,228
-52.983,-14.018,-0.4781,-58.898,55,54.55,0.6154,0.5128,38.3,187,229
-62.727,-17.923,-0.6109,-71.299,57,56.14,0.9416,0.7356,31.5,188,230
-21.515,-4.733,-0.0595,-58.564,77,66.23,0.8096,0.4127,35.2,189,231
-74.557,-23.962,-0.6394,-76.696,38,63.16,0.7854,0.4581,37.2,190,232
-29.363,-6.72,-0.1192,-59.6,74,58.11,0.7332,0.5286,33.9,191,233
-17.07,-3.677,-0.0414,-46.948,84,66.67,0.8886,0.4443,31.2,192,234
-27.459,-6.223,-0.1538,-45.903,55,61.82,0.9021,0.5572,34.7,193,235
-39.662,-9.617,-0.2602,-52.064,75,66.67,0.6453,0.3226,34.3,194,236
41.701,7.225,0.4145,-29.107,82,65.85,1.4083,0.7302,33.0,195,237
-40.582,-9.894,-0.2607,-62.744,79,59.49,0.6569,0.4473,34.6,196,238
43.407,7.482,0.462,-25.298,82,67.07,1.5131,0.7428,32.3,197,239
60.615,9.948,0.5697,-28.939,86,70.93,1.6163,0.6624,30.8,198,240
17.053,3.201,0.2563,-49.711,89,67.42,1.1513,0.5564,29.4,199,241
