ts_code,category,years_with_data,min_rows_per_year
002005.SZ,other_incomplete,5,242
002011.SZ,suspended_or_missing_days,5,237
002013.SZ,mid_year_IPO_or_delisted,4,21
002016.SZ,suspended_or_missing_days,5,238
002021.SZ,suspended_or_missing_days,5,240
002022.SZ,suspended_or_missing_days,5,236
002024.SZ,suspended_or_missing_days,5,227
002045.SZ,suspended_or_missing_days,5,238
002047.SZ,suspended_or_missing_days,5,238
002049.SZ,other_incomplete,5,242
002052.SZ,suspended_or_missing_days,5,232
002058.SZ,suspended_or_missing_days,5,241
002060.SZ,suspended_or_missing_days,5,232
002062.SZ,suspended_or_missing_days,5,241
002064.SZ,suspended_or_missing_days,5,238
002066.SZ,suspended_or_missing_days,5,233
002069.SZ,suspended_or_missing_days,5,241
002071.SZ,mid_year_IPO_or_delisted,2,49
002072.SZ,suspended_or_missing_days,5,241
002074.SZ,suspended_or_missing_days,5,236
002075.SZ,suspended_or_missing_days,5,239
002076.SZ,suspended_or_missing_days,5,240
002077.SZ,other_incomplete,5,242
002079.SZ,suspended_or_missing_days,5,232
002080.SZ,suspended_or_missing_days,5,233
002087.SZ,suspended_or_missing_days,5,92
002088.SZ,suspended_or_missing_days,5,238
002089.SZ,suspended_or_missing_days,5,40
002090.SZ,suspended_or_missing_days,5,238
002092.SZ,suspended_or_missing_days,5,232
002096.SZ,suspended_or_missing_days,5,233
002102.SZ,suspended_or_missing_days,5,241
002113.SZ,mid_year_IPO_or_delisted,4,105
002115.SZ,suspended_or_missing_days,5,236
002118.SZ,mid_year_IPO_or_delisted,4,108
002121.SZ,suspended_or_missing_days,5,237
002122.SZ,suspended_or_missing_days,5,240
002124.SZ,suspended_or_missing_days,5,241
002136.SZ,suspended_or_missing_days,5,240
002141.SZ,suspended_or_missing_days,5,241
002142.SZ,suspended_or_missing_days,5,237
002146.SZ,suspended_or_missing_days,5,232
002147.SZ,mid_year_IPO_or_delisted,3,92
002150.SZ,suspended_or_missing_days,5,238
002157.SZ,suspended_or_missing_days,5,240
002159.SZ,suspended_or_missing_days,5,237
002160.SZ,suspended_or_missing_days,5,239
002168.SZ,suspended_or_missing_days,5,238
002175.SZ,suspended_or_missing_days,5,241
