ts_code,entry_date,g0_exit_date,ctrl_exit_date,g0_pnl,ctrl_pnl,pnl_diff,g0_return_pct,ctrl_return_pct,match
002475.SZ,2023-09-08,2023-10-11,2023-10-11,13313.77,13314.68,-0.91,6.73,6.73,diff
002594.SZ,2021-05-06,2021-06-08,2021-06-08,131563.83,131567.65,-3.83,34.99,34.99,diff
002594.SZ,2021-12-17,2022-05-05,2022-05-05,-12470.5,-15161.14,2690.64,-1.6,-2.22,diff
002594.SZ,2022-07-13,2022-11-04,2022-11-04,-36069.36,-6528.04,-29541.31,-4.59,-0.69,diff
002714.SZ,2020-05-12,2020-07-06,2020-06-18,-49309.44,-73422.3,24112.86,-25.08,-37.35,diff
300014.SZ,2023-01-12,2023-02-01,2023-02-01,13723.87,13742.55,-18.69,6.97,6.98,diff
300014.SZ,2023-02-21,2023-11-06,2023-11-06,-281657.11,-281648.94,-8.18,-28.57,-28.57,diff
300059.SZ,2021-02-26,2021-04-02,2021-04-02,-10855.76,-10814.74,-41.02,-5.47,-5.45,diff
300059.SZ,2023-03-08,2023-04-03,2023-04-03,26491.37,26668.56,-177.19,6.66,6.7,diff
300122.SZ,2020-11-12,2020-12-21,2020-12-21,82422.94,82452.35,-29.41,21.59,21.59,diff
300136.SZ,2020-10-13,2020-11-09,2020-11-09,3058.05,3092.14,-34.09,1.51,1.53,diff
300274.SZ,2022-09-01,2022-10-12,2022-10-12,50964.72,21345.72,29619.0,13.21,11.19,diff
300274.SZ,2022-12-07,2023-01-03,2023-01-03,48187.49,48201.52,-14.03,12.35,12.35,diff
300418.SZ,2023-06-27,2023-08-14,2023-08-14,-26223.66,-1466.45,-24757.2,-7.72,-10.97,diff
300750.SZ,2020-03-02,2020-04-15,2020-04-15,-17564.68,-17564.68,0.0,-4.33,-4.33,exact
300750.SZ,2021-02-01,2021-04-14,2021-04-14,9919.59,9928.49,-8.9,2.68,2.68,diff
300750.SZ,2021-08-17,2021-09-14,2021-09-14,19147.81,19148.42,-0.61,9.86,9.86,diff
300750.SZ,2021-12-21,2022-06-02,2022-06-02,-97947.83,-97943.6,-4.22,-18.13,-18.13,diff
300750.SZ,2023-02-20,2023-03-31,2023-03-31,18766.13,18777.1,-10.97,3.62,3.63,diff
600030.SH,2020-09-08,2020-10-12,2020-10-12,6581.74,6613.85,-32.11,3.33,3.34,diff
600030.SH,2021-11-17,2021-12-06,2021-12-06,15779.61,15781.34,-1.73,7.94,7.94,diff
600031.SH,2021-05-14,2021-06-01,2021-06-01,27764.98,27818.87,-53.9,13.93,13.96,diff
600031.SH,2021-06-15,2021-08-03,2021-08-03,26446.79,22024.06,4422.73,4.43,4.63,diff
600036.SH,2022-07-14,2022-08-31,2022-08-31,-9378.93,-9253.68,-125.25,-1.59,-1.57,diff
600111.SH,2021-09-30,2021-10-25,2021-10-25,43779.27,43782.6,-3.34,22.28,22.28,diff
600150.SH,2024-09-23,2024-12-18,2024-12-18,25436.35,25549.93,-113.58,6.46,6.49,diff
600276.SH,2023-08-01,2023-08-28,2023-08-28,13322.02,13381.67,-59.65,2.23,2.24,diff
600418.SH,2024-11-28,2025-01-22,2024-12-31,38042.76,16133.7,21909.06,19.29,8.18,diff
600519.SH,2022-10-13,2022-12-01,2022-12-01,23055.76,-6637.77,29693.54,4.87,-3.85,diff
600519.SH,2023-04-13,2023-06-16,2023-06-16,21583.12,7184.68,14398.45,6.52,4.25,diff
600519.SH,2023-10-16,2024-02-06,2023-12-29,-13597.68,2568.91,-16166.59,-3.91,0.5,diff
600745.SH,2020-09-09,2020-12-07,2020-12-07,-12521.76,-9391.32,-3130.44,-6.35,-6.35,diff
600809.SH,2023-05-23,2023-07-25,2023-07-25,38903.73,36083.21,2820.52,6.61,6.34,diff
601012.SH,2020-11-16,2020-12-09,2020-12-09,44935.57,44963.39,-27.82,11.56,11.57,diff
601012.SH,2021-12-02,2022-03-01,2022-03-01,35732.08,11911.36,23820.72,5.08,2.05,diff
601012.SH,2022-12-23,2023-01-18,2023-01-18,22335.07,22382.59,-47.52,11.32,11.35,diff
601012.SH,2024-01-30,2024-03-12,2024-03-12,53420.63,49915.92,3504.71,13.5,13.32,diff
601138.SH,2024-07-19,2024-09-24,2024-09-24,-45172.13,-53626.78,8454.64,-7.55,-10.89,diff
601166.SH,2021-04-16,2021-05-12,2021-05-12,20172.18,19181.57,990.61,10.12,10.16,diff
601318.SH,2020-03-02,2020-04-17,2020-04-17,-17758.33,-17726.73,-31.6,-3.04,-3.03,diff
601318.SH,2021-01-29,2021-02-25,2021-02-25,55420.04,55426.92,-6.88,9.42,9.42,diff
601318.SH,2023-11-10,2024-01-25,2024-01-25,-18765.82,-17632.11,-1133.7,-4.54,-3.89,diff
601318.SH,2024-03-25,2024-04-29,2024-04-29,32003.39,32025.78,-22.39,8.1,8.1,diff
601888.SH,2022-08-09,2022-09-26,2022-09-26,27874.46,25997.86,1876.6,7.19,7.03,diff
601899.SH,2022-09-27,2022-10-27,2022-10-28,33980.61,27486.36,6494.25,8.5,6.91,diff
601899.SH,2024-07-24,2024-09-25,2024-09-25,34330.48,23685.02,10645.46,7.24,5.92,diff
601919.SH,2021-09-29,2021-11-30,2021-11-30,12082.56,12082.56,0.0,3.04,3.04,exact
601919.SH,2024-07-15,2024-09-20,2024-09-20,-259.29,-320.17,60.88,-0.06,-0.08,diff
603019.SH,2024-03-28,2024-07-17,2024-07-17,-12609.9,-12591.67,-18.23,-3.17,-3.17,diff
000858.SZ,2022-10-28,,,,,,,,MISSING_IN_CONTROL
002594.SZ,2023-08-15,,,,,,,,MISSING_IN_CONTROL
002230.SZ,2023-08-17,,,,,,,,EXTRA_IN_CONTROL
002230.SZ,2024-01-04,,,,,,,,EXTRA_IN_CONTROL
300750.SZ,2022-10-31,,,,,,,,EXTRA_IN_CONTROL
300750.SZ,2023-10-17,,,,,,,,EXTRA_IN_CONTROL
