total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,avg_exposure_pct,sim_id,seed
29.555,3.974,0.2892,-37.87,112,67.86,1.1637,0.5512,31.4,59.56,88,130
-29.082,-5.04,-0.0953,-48.708,80,57.5,0.8816,0.6516,34.3,72.25,89,131
-16.53,-2.683,0.0183,-52.808,112,66.07,0.8368,0.4297,31.4,63.94,90,132
37.303,4.887,0.3204,-40.307,110,70.91,1.2369,0.5074,30.9,65.38,91,133
197.737,17.844,0.9186,-30.269,125,83.2,2.1851,0.4412,28.7,46.43,92,134
17.631,2.474,0.2282,-51.541,109,67.89,1.0546,0.4988,32.1,66.75,93,135
-30.728,-5.375,-0.081,-54.714,99,66.67,0.7773,0.3887,37.3,73.93,94,136
82.877,9.51,0.4671,-51.849,116,77.59,2.0306,0.5866,30.4,56.92,95,137
-30.739,-5.377,-0.0734,-64.77,103,68.93,0.8865,0.3995,33.3,70.85,96,138
-51.724,-10.38,-0.3109,-65.719,76,59.21,0.9008,0.6206,32.8,74.54,97,139
191.917,17.495,0.8408,-36.131,116,77.59,2.4056,0.6949,30.6,46.97,98,140
-32.854,-5.818,-0.1368,-55.403,93,61.29,0.8767,0.5537,32.3,71.08,99,141
21.865,3.021,0.2525,-46.741,105,75.24,1.1282,0.3713,31.7,60.24,100,142
54.114,6.726,0.3897,-39.556,114,66.67,1.4359,0.7179,30.9,57.04,101,143
-24.718,-4.183,-0.0525,-45.837,96,66.67,0.8699,0.435,29.2,70.08,102,144
13.214,1.885,0.2058,-50.366,107,69.16,1.0777,0.4806,33.0,62.82,103,145
12.683,1.813,0.2034,-59.552,109,60.55,0.893,0.5818,32.7,68.23,104,146
-9.783,-1.538,0.083,-51.025,110,64.55,1.0389,0.5706,32.4,69.41,105,147
115.408,12.242,0.6933,-30.732,118,70.34,1.6921,0.7135,30.1,47.01,106,148
104.625,11.377,0.5683,-38.209,116,79.31,1.6201,0.4226,30.4,53.58,107,149
10.76,1.55,0.1906,-45.8,109,66.06,1.052,0.5406,32.1,64.2,108,150
65.187,7.846,0.4419,-45.218,116,74.14,1.47,0.5128,30.1,62.39,109,151
107.753,11.632,0.6438,-36.376,116,74.14,1.5726,0.5486,29.4,53.14,110,152
113.965,12.128,0.6084,-31.907,118,77.12,1.8473,0.5481,29.5,48.33,111,153
21.833,3.017,0.2496,-49.993,115,66.96,1.1668,0.5758,30.9,65.37,112,154
67.203,8.043,0.4574,-42.355,107,68.22,1.2253,0.5707,32.7,59.29,113,155
46.343,5.898,0.3557,-37.004,114,70.18,1.1828,0.5027,31.9,61.56,114,156
-28.21,-4.865,-0.0279,-67.292,106,61.32,0.7002,0.4417,33.7,73.6,115,157
9.701,1.403,0.1885,-49.062,98,70.41,0.8858,0.3723,37.5,64.4,116,158
44.193,5.662,0.3557,-50.207,125,72.0,1.211,0.471,26.6,62.67,117,159
-20.138,-3.328,0.0124,-65.515,116,70.69,0.8251,0.3421,30.8,67.67,118,160
20.533,2.85,0.243,-32.713,97,74.23,2.0508,0.7121,30.2,63.7,119,161
-8.282,-1.293,0.0751,-54.616,107,56.07,0.7565,0.5926,33.8,68.59,120,162
85.236,9.721,0.5092,-44.048,111,69.37,1.515,0.669,33.2,58.19,121,163
120.909,12.668,0.6449,-35.377,128,79.69,2.0467,0.5217,28.7,57.3,122,164
-77.054,-19.871,-0.4123,-77.761,93,59.14,0.5279,0.3648,32.1,77.56,123,165
9.464,1.37,0.1908,-50.628,107,60.75,1.083,0.6998,33.4,70.17,124,166
52.531,6.56,0.3947,-37.828,115,72.17,1.2997,0.5011,31.8,59.98,125,167
37.203,4.875,0.3195,-42.41,115,73.04,1.3519,0.4989,31.6,64.88,126,168
-77.297,-19.999,-0.5627,-79.443,97,54.64,0.3933,0.3265,35.4,77.04,127,169
40.051,5.2,0.337,-37.813,114,70.18,1.3156,0.5591,31.5,61.72,128,170
147.735,14.629,0.7043,-37.831,121,76.86,2.1804,0.6565,29.3,54.42,129,171
-21.548,-3.586,-0.0363,-44.008,87,62.07,0.9243,0.5648,31.4,68.7,130,172
8.818,1.28,0.1778,-41.157,108,70.37,1.2441,0.5239,33.2,65.27,131,173
132.017,13.503,0.7227,-25.052,123,79.67,1.8205,0.4644,28.2,48.58,132,174
160.428,15.494,0.7388,-39.976,122,75.41,2.0786,0.6778,28.6,54.77,133,175
54.925,6.81,0.3939,-44.81,117,70.09,1.1598,0.495,31.0,63.77,134,176
151.872,14.915,0.7576,-36.559,117,76.07,1.8101,0.5695,30.6,47.76,135,177
141.553,14.193,0.7869,-31.726,96,77.08,2.009,0.5973,29.4,44.79,136,178
70.584,8.369,0.4969,-35.991,95,78.95,1.6089,0.429,29.7,51.65,137,179
35.663,4.697,0.3115,-52.736,116,68.97,1.1491,0.5171,29.8,61.88,138,180
7.961,1.159,0.1724,-41.659,102,63.73,1.125,0.6404,32.6,66.76,139,181
3.297,0.489,0.1538,-48.027,102,57.84,0.9143,0.6664,34.4,68.23,140,182
