hit_mid_20d,hit_mid_40d,hit_mid_60d,hit_mid_120d,hit_upper_20d,hit_upper_40d,hit_upper_60d,hit_upper_120d,days_to_mid,days_to_upper,ret_20d,ret_40d,mfe,mae,ts_code,entry_date,selected
False,False,False,False,False,False,False,False,,,3.2938353512516283,-3.6370328236356775,13.618438977290669,-18.35915280891357,601166.SH,2021-04-16,Amount
False,False,False,False,False,False,False,False,,,-0.0845756483123905,6.520262985978609,17.46192141958367,-16.6503078145968,002352.SZ,2021-04-13,Amount
False,False,False,False,False,False,False,False,,,-3.5328932236148636,-10.124240021147235,13.529082601247566,-26.156317908895222,600031.SH,2021-05-14,Amount
True,True,True,True,False,True,True,True,8.0,24.0,27.741553612469104,68.3099509186466,124.8156920044579,-4.922244916843876,002594.SZ,2021-05-06,Amount
False,False,False,False,False,False,False,False,,,6.7862178973290055,18.194562639007074,43.78625489736601,-10.994355438799886,002340.SZ,2021-06-08,Amount
False,False,False,False,False,False,False,False,,,-10.811665398821358,-13.00900933928456,6.5448313154735205,-47.144598520745305,000661.SZ,2021-05-25,Amount
False,False,False,False,False,False,False,False,,,-8.412860655986554,12.405684040995201,19.52591547381708,-22.617180214864728,600031.SH,2021-06-15,Amount
False,False,False,False,False,False,False,False,,,4.472186852049576,14.70858152780352,48.415022556899025,-10.158491394189317,002241.SZ,2021-07-23,Amount
False,False,False,False,False,False,False,False,,,18.92233979612621,1.7126077805689421,36.02901952416515,-27.730036953337923,002460.SZ,2021-08-17,Amount
True,True,True,True,True,True,True,True,3.0,19.0,7.868864805601783,23.484030254285535,42.086712563960084,-3.1880274943537845,300750.SZ,2021-08-17,Amount
False,False,False,False,False,False,False,False,,,-14.896214896214898,-21.75972175972175,5.809005809005829,-28.800828800828793,000858.SZ,2021-07-09,Amount
False,False,False,False,False,False,False,False,,,0.8984498013392406,17.110784067116903,24.446485515353665,-19.54601991534426,600111.SH,2021-09-30,Amount
False,False,False,False,False,False,False,False,,,-10.556768459504006,13.270088574039951,18.517500736345728,-27.66541968669628,002466.SZ,2021-09-23,Amount
False,False,False,False,False,False,False,False,,,-4.284506054417547,3.318510398156449,17.75834784684345,-14.893366220799841,601919.SH,2021-09-29,Amount
False,False,False,False,False,False,False,False,,,10.930735930735946,4.187479187479193,13.511488511488512,-25.033300033300023,600030.SH,2021-11-17,Amount
False,False,False,False,False,False,False,False,,,-3.8232252811589373,-2.5364879023415443,12.548454559964583,-18.826035570349077,000651.SZ,2021-10-28,Amount
False,False,False,False,False,False,False,False,,,4.002277915321417,-11.65838991925947,7.658042440651158,-32.193410454280006,601012.SH,2021-12-02,Amount
True,True,True,True,False,False,False,True,20.0,91.0,-4.804574789891558,-15.047528126352038,28.389320095082372,-25.07224180038705,002594.SZ,2021-12-17,Amount
False,False,False,False,False,False,False,False,,,-8.263902525021594,-11.262338808967199,17.52952929423519,-14.51303359481263,000858.SZ,2022-03-04,Amount
True,True,True,True,False,True,True,True,17.0,27.0,-6.609487752720334,-16.68974914704218,3.5101560725739445,-42.07500777803011,300750.SZ,2021-12-21,Amount
False,False,False,False,False,False,False,False,,,4.252472673525287,2.090891564575781,9.510372668267397,-21.715711189395403,002415.SZ,2022-05-09,Amount
False,False,False,False,False,False,False,False,,,-7.90832079614896,11.582927812044751,14.742059849458421,-50.04995004995004,002241.SZ,2022-06-24,Amount
False,False,False,False,False,False,False,False,,,-2.1775944852867823,-1.807594115286404,11.768573307034869,-25.146078992232823,600036.SH,2022-07-14,Amount
False,False,False,False,False,False,False,False,,,-6.480288159677472,-8.412198488534361,22.010305216412096,-20.43071432384409,601888.SH,2022-08-09,Amount
False,False,False,False,False,False,False,False,,,-0.6038209578032361,18.51864949210085,27.306321996587492,-19.850061442981794,300274.SZ,2022-09-01,Amount
False,False,False,False,False,False,False,False,,,6.063602207561081,26.223391004882025,61.66352927278378,-1.769181974837497,601899.SH,2022-09-27,Amount
True,True,True,True,False,False,False,False,1.0,,1.8760463258860716,-10.011971777534567,13.15284695880985,-23.740110202186536,002594.SZ,2022-07-13,Amount
