ts_code,entry_date,exit_date,entry_close_adj,return_pct,hold_days,levels_used,hit_mid,hit_upper,first_mid_date,first_upper_date,mae_pct,mfe_pct
600809.SH,2023-05-23,2023-07-25,1332.2983,6.61,43,3,True,True,2023-06-15,2023-07-25,-11.99,7.0
300418.SZ,2023-06-27,2023-08-14,174.2102,-7.72,34,2,True,True,2023-07-25,2023-08-14,-18.84,0.0
600276.SH,2023-08-01,2023-08-28,2804.7773,2.23,19,3,True,True,2023-08-25,2023-08-28,-10.79,0.0
002475.SZ,2023-09-08,2023-10-11,1000.1893,6.73,17,1,True,True,2023-09-25,2023-10-11,-2.9,8.42
300014.SZ,2023-02-21,2023-11-06,1337.7399,-28.57,172,5,True,True,2023-03-24,2023-04-18,-43.34,0.0
601318.SH,2023-11-10,2024-01-25,120.4349,-4.54,53,3,True,True,2023-12-28,2023-12-29,-10.7,2.38
600519.SH,2023-10-16,2024-02-06,13437.8632,-3.91,80,2,True,True,2023-11-01,2023-11-01,-7.79,4.75
002594.SZ,2023-08-15,2024-03-12,250.6535,-13.94,137,5,True,True,2023-08-30,2024-01-11,-31.71,3.23
601012.SH,2024-01-30,2024-03-12,394.2827,13.5,24,2,True,True,2024-02-21,2024-03-04,-10.18,10.33
601318.SH,2024-03-25,2024-04-29,115.0033,8.1,23,2,True,True,2024-04-18,2024-04-29,-6.58,4.06
000625.SZ,2024-05-07,2024-07-10,213.6176,1.74,45,2,True,True,2024-06-17,2024-07-10,-6.61,4.08
603019.SH,2024-03-28,2024-07-17,197.6792,-3.17,73,2,True,True,2024-04-18,2024-06-19,-20.91,0.04
601919.SH,2024-07-15,2024-09-20,28.0788,-0.06,47,3,True,True,2024-08-19,2024-09-20,-14.02,0.0
601138.SH,2024-07-19,2024-09-24,27.8658,-7.55,45,3,True,True,2024-08-30,2024-09-24,-23.47,1.01
601899.SH,2024-07-24,2024-09-25,34.961,7.24,43,3,True,True,2024-08-16,2024-09-25,-13.83,3.04
600418.SH,2024-11-28,2025-01-22,214.0961,19.29,38,1,True,False,2024-12-10,,0.0,17.63
