episode_id,ts_code,entry_date,exit_date,exit_type,hold_days,total_cost,pnl,simple_return_pct,adj_ret_pct,delta_pp,factor_ratio,crossed,adj_pnl
32856,600818.SH,2022-12-06,2023-11-07,TAKE_PROFIT_DYN,222,994382.60327406,-510504.36143849994,-51.338826700873085,-51.329792787701436,0.009033913171649033,1.0001856493084562,True,-510414.52977752616
49355,300551.SZ,2023-12-15,2024-07-22,TAKE_PROFIT_DYN,143,994755.0720907798,-506411.69933573983,-50.90817966591133,-50.90817966591133,0.0,1.0,False,-506411.6993357399
54003,300280.SZ,2024-04-09,2024-06-28,TAKE_PROFIT_DYN,54,394628.70879431994,-200331.12726791995,-50.764458541289834,-50.764458541289834,0.0,1.0,False,-200331.12726791992
19030,688788.SH,2021-12-20,2022-06-01,TAKE_PROFIT_DYN,106,967383.62036316,-490513.1851461599,-50.70513649611094,-50.70513649611094,0.0,1.0,False,-490513.18514615996
49900,688435.SH,2023-12-21,2024-09-20,TAKE_PROFIT_DYN,181,990273.43116702,-501729.41201921983,-50.665745058709746,-50.665745058709746,0.0,1.0,False,-501729.41201921995
8073,600340.SH,2020-12-14,2021-06-02,TAKE_PROFIT_DYN,112,998240.4590558398,-505238.54314715974,-50.61290980181536,-50.61250561575772,0.00040418605764358517,1.0000081840427535,True,-505234.50839840254
40647,300382.SZ,2023-06-07,2024-09-03,TAKE_PROFIT_DYN,303,996655.4640642598,-525196.3355238598,-52.69587680602909,-50.52226322170055,2.1736135843285425,1.0459497700742837,True,-503532.8969680064
46577,600770.SH,2023-10-19,2024-07-31,TAKE_PROFIT_DYN,191,999306.80123274,-502245.7919206199,-50.2594189593278,-50.2594189593278,0.0,1.0,False,-502245.79192061996
53614,300376.SZ,2024-03-28,2024-09-27,TAKE_PROFIT_DYN,123,999175.63613868,-511383.2922831599,-51.1805205999021,-50.18009912546676,1.000421474435342,1.0204922601946742,True,-501387.3246519027
43836,688184.SH,2023-08-16,2024-09-25,TAKE_PROFIT_DYN,269,994742.0557074,-491982.0898964399,-49.458257753722116,-49.45825775372212,-7.105427357601002e-15,1.0,False,-491982.08989644
37992,600070.SH,2023-03-28,2023-08-03,TAKE_PROFIT_DYN,86,200009.74701707996,-98501.54670719996,-49.248373229924816,-49.248373229924816,0.0,1.0,False,-98501.54670719996
44986,688529.SH,2023-08-25,2024-08-30,TAKE_PROFIT_DYN,246,994870.21702068,-491181.88730292,-49.371453572492456,-48.92297235413856,0.44848121835389776,1.0088582677165354,True,-486720.08123258554
43733,688779.SH,2023-08-15,2024-07-31,TAKE_PROFIT_DYN,232,997934.07341628,-480769.4934385199,-48.17647841131193,-48.17647841131194,-7.105427357601002e-15,1.0,False,-480769.49343852
18544,688023.SH,2021-11-30,2022-06-02,TAKE_PROFIT_DYN,121,939257.2183995,-451643.10529482,-48.08513540778772,-48.08513540778772,0.0,1.0,False,-451643.10529482
24573,002751.SZ,2022-04-18,2022-07-01,TAKE_PROFIT_DYN,50,598835.73882132,-287141.36919731996,-47.9499386196449,-47.9499386196449,0.0,1.0,False,-287141.36919731996
10573,600701.SH,2021-03-17,2021-04-26,TAKE_PROFIT_DYN,27,200029.77222227995,-95730.88960817996,-47.85832056130149,-47.85832056130148,7.105427357601002e-15,1.0,False,-95730.88960817993
42151,300332.SZ,2023-07-18,2024-07-31,TAKE_PROFIT_DYN,252,998696.03247414,-483753.5364281399,-48.438515894541325,-47.850015670032974,0.5885002245083513,1.0114135625596945,True,-477876.2080348736
11965,600466.SH,2021-05-06,2021-12-09,TAKE_PROFIT_DYN,147,999050.4786061796,-475784.0770579197,-47.6236273588205,-47.6236273588205,0.0,1.0,False,-475784.07705791964
55824,000609.SZ,2024-04-18,2024-06-25,TAKE_PROFIT_DYN,44,199895.60334743996,-94924.59798887996,-47.487086458770605,-47.48621545340418,0.0008710053664273687,1.0000165864985902,True,-94922.85688744756
49265,688622.SH,2023-12-11,2024-08-01,TAKE_PROFIT_DYN,155,992980.83891006,-471322.17903077987,-47.46538508720109,-47.465385087201085,7.105427357601002e-15,1.0,False,-471322.1790307798
54102,301391.SZ,2024-04-10,2024-09-26,TAKE_PROFIT_DYN,115,967320.54096678,-607542.5921736599,-62.806749825291305,-47.46360984268285,15.343139982608456,1.4125248508946322,True,-459125.2474926016
18587,688029.SH,2021-12-03,2022-06-01,TAKE_PROFIT_DYN,117,955966.24961838,-449961.7696093798,-47.0687924169921,-47.06879241699211,-7.105427357601002e-15,1.0,False,-449961.76960937993
17950,688266.SH,2021-10-28,2022-06-01,TAKE_PROFIT_DYN,143,985352.23698912,-461137.98124386,-46.799303227131325,-46.799303227131325,0.0,1.0,False,-461137.98124386
44504,002410.SZ,2023-08-23,2024-05-07,TAKE_PROFIT_DYN,166,996990.88625136,-465707.1889641599,-46.71127844660623,-46.71127844660623,0.0,1.0,False,-465707.1889641599
51026,688275.SH,2024-01-17,2024-09-12,TAKE_PROFIT_DYN,159,985106.92822542,-459614.02558697993,-46.65625755114042,-46.65625755114042,0.0,1.0,False,-459614.02558697993
47967,300767.SZ,2023-12-01,2024-07-30,TAKE_PROFIT_DYN,159,996366.09984912,-461766.2467572,-46.34503791599547,-46.34503791599547,0.0,1.0,False,-461766.24675719993
47609,301267.SZ,2023-10-26,2024-09-26,TAKE_PROFIT_DYN,225,993116.00904516,-462832.54899947986,-46.604076944089776,-46.317078286655885,0.28699865743389097,1.0053749170537492,True,-459982.3193867593
4195,300770.SZ,2020-08-28,2021-05-20,TAKE_PROFIT_DYN,173,976811.48697132,-449505.23106131994,-46.0176028903024,-46.00267000036887,0.014932889933525928,1.0002766251728907,True,-449359.3648771125
6318,300038.SZ,2020-10-30,2021-03-05,TAKE_PROFIT_DYN,84,998613.92913282,-458980.5799555199,-45.96176425799419,-45.9666965540641,-0.00493229606991008,0.9999087258123402,True,-459029.83455110004
49190,603429.SH,2023-12-11,2024-07-31,TAKE_PROFIT_DYN,154,998674.00474842,-477537.4247866198,-47.81714778957506,-45.91965415810879,1.8974936314662685,1.0363623978201635,True,-458587.6491474094
52389,603185.SH,2024-01-23,2024-09-25,TAKE_PROFIT_DYN,162,993485.4740811,-450474.44434542,-45.34283148549054,-45.277305560245104,0.06552592524543854,1.0011988532707845,True,-449823.4537963493
48550,688502.SH,2023-12-06,2024-05-17,TAKE_PROFIT_DYN,105,939590.63806608,-427461.18448176,-45.49440651745801,-45.07596876091207,0.4184377565459414,1.0076769690927219,True,-423529.5824951206
53946,002197.SZ,2024-04-08,2024-07-23,TAKE_PROFIT_DYN,72,598830.7325200199,-267524.6066836199,-44.67449517125044,-44.67449517125044,0.0,1.0,False,-267524.6066836199
48521,688221.SH,2023-12-06,2024-08-02,TAKE_PROFIT_DYN,159,997424.43194394,-445397.29166393983,-44.65474048955053,-44.65474048955053,0.0,1.0,False,-445397.2916639399
19474,300454.SZ,2021-12-30,2022-05-30,TAKE_PROFIT_DYN,96,955679.8891840198,-426094.7922361797,-44.585514151604535,-44.585514151604535,0.0,1.0,False,-426094.79223617964
42799,300745.SZ,2023-08-02,2024-05-29,TAKE_PROFIT_DYN,197,993419.39090394,-442740.87389069994,-44.567367815101505,-44.56736781510151,-7.105427357601002e-15,1.0,False,-442740.87389070005
19607,603960.SH,2022-01-06,2022-06-02,TAKE_PROFIT_DYN,95,990823.1230497598,-439321.6415847598,-44.33905824003431,-44.13526937335504,0.20378886667927532,1.0036612543775867,True,-437302.4543715005
45945,300887.SZ,2023-10-11,2024-03-21,TAKE_PROFIT_DYN,109,997616.67391386,-438708.6600751799,-43.97567437942207,-43.97567437942207,0.0,1.0,False,-438708.66007517994
34828,600530.SH,2022-12-26,2023-08-09,TAKE_PROFIT_DYN,150,999170.62983738,-438899.0026969799,-43.92633145836291,-43.92633145836291,0.0,1.0,False,-438899.00269697985
36358,600823.SH,2023-03-08,2023-07-10,TAKE_PROFIT_DYN,82,999623.1994749,-438144.3054098999,-43.83094606448272,-43.830946064482724,-7.105427357601002e-15,1.0,False,-438144.3054099
48541,688388.SH,2023-12-06,2024-09-25,TAKE_PROFIT_DYN,195,993248.17539948,-435169.6996323599,-43.8127862109927,-43.75864849639903,0.05413771459366501,1.0009635237439778,True,-434631.9777699554
4212,300609.SZ,2020-08-31,2021-01-22,TAKE_PROFIT_DYN,97,990485.69834214,-431425.3290913801,-43.55694684067557,-43.13655561761512,0.42039122306044874,1.0074480595844768,True,-427261.41414988076
19498,300331.SZ,2022-01-04,2022-05-31,TAKE_PROFIT_DYN,95,988857.64915938,-424985.1738116401,-42.97738649975723,-42.97738649975723,0.0,1.0,False,-424985.17381164007
49777,300212.SZ,2023-12-21,2024-09-19,TAKE_PROFIT_DYN,180,994314.51757638,-426802.6666272599,-42.924312084629136,-42.924312084629136,0.0,1.0,False,-426802.66662726
54111,000070.SZ,2024-04-11,2024-07-22,TAKE_PROFIT_DYN,68,199895.60334743996,-85543.13132639996,-42.79390336450614,-42.79390336450615,-7.105427357601002e-15,1.0,False,-85543.13132639999
44086,688269.SH,2023-08-17,2024-03-18,TAKE_PROFIT_DYN,139,990445.64793174,-422843.95531421993,-42.69229272673443,-42.69229272673443,0.0,1.0,False,-422843.95531422
6825,300051.SZ,2020-11-12,2021-06-09,TAKE_PROFIT_DYN,139,998188.3935223198,-425859.06325481983,-42.6631952463488,-42.66045827538343,0.0027369709653726204,1.0000477349754164,True,-425831.7431283094
50692,002030.SZ,2024-01-09,2024-08-01,TAKE_PROFIT_DYN,135,997616.67391386,-425944.1554770599,-42.696174454060746,-42.59834962981627,0.09782482424447636,1.0017071255420122,True,-424968.23871917016
19020,688006.SH,2021-12-20,2022-05-17,TAKE_PROFIT_DYN,95,974804.9614102796,-414414.6030599397,-42.5125660481245,-42.5125660481245,0.0,1.0,False,-414414.6030599397
24547,002177.SZ,2022-04-18,2022-07-12,TAKE_PROFIT_DYN,57,399321.6156329399,-170665.26011369991,-42.73879836011106,-42.49392072440706,0.24487763570400034,1.0042765018667268,True,-169687.41078248297
42878,300682.SZ,2023-08-04,2024-05-28,TAKE_PROFIT_DYN,194,996233.9334947998,-423292.6510520398,-42.48928256911752,-42.48928256911753,-7.105427357601002e-15,1.0,False,-423292.6510520399
1686,600978.SH,2020-03-19,2020-08-06,TAKE_PROFIT_DYN,94,399831.25710527995,-169726.18127651993,-42.449452928045886,-42.44945292804589,-7.105427357601002e-15,1.0,False,-169726.18127651996
22951,000004.SZ,2022-03-10,2022-07-06,TAKE_PROFIT_DYN,78,996313.0330553398,-420396.8229581398,-42.19525480550338,-42.19525480550338,0.0,1.0,False,-420396.82295813976
46596,601908.SH,2023-10-19,2024-08-02,TAKE_PROFIT_DYN,193,998781.13959624,-422365.9793086798,-42.288141271812805,-42.045676860720235,0.24246441109256978,1.0042012927054478,True,-419944.29050045414
52865,603608.SH,2024-02-01,2024-07-23,TAKE_PROFIT_DYN,111,999513.0608463,-419837.64623657987,-42.004218122082186,-42.00421812208219,-7.105427357601002e-15,1.0,False,-419837.6462365799
38305,300167.SZ,2023-04-07,2023-08-15,TAKE_PROFIT_DYN,87,998658.9858445196,-418232.9852521196,-41.87945947318937,-41.87945947318937,0.0,1.0,False,-418232.98525211954
52798,002607.SZ,2024-02-01,2024-07-31,TAKE_PROFIT_DYN,117,999549.10621566,-418011.9725885398,-41.82005366111055,-41.82005366111055,0.0,1.0,False,-418011.9725885399
46677,688309.SH,2023-10-19,2024-08-01,TAKE_PROFIT_DYN,192,996536.31409332,-420106.18019436,-42.15663536321662,-41.75414674248354,0.4024886207330809,1.0069582504970178,True,-416095.2349286616
48050,688371.SH,2023-12-04,2024-08-16,TAKE_PROFIT_DYN,171,996880.74762276,-412927.8713564401,-41.421992785108976,-41.421992785108976,0.0,1.0,False,-412927.8713564401
19478,301051.SZ,2021-12-30,2022-06-01,TAKE_PROFIT_DYN,98,970508.5536346198,-411668.68520231976,-42.41783172962184,-41.38135270075502,1.0364790288668146,1.018,True,-401609.5675705382
44687,300769.SZ,2023-08-24,2024-03-11,TAKE_PROFIT_DYN,129,980068.5865971,-404957.12874209986,-41.31926421069704,-41.31926421069705,-7.105427357601002e-15,1.0,False,-404957.1287421
38192,603559.SH,2023-03-31,2023-06-28,TAKE_PROFIT_DYN,57,997504.5327647398,-411566.0117108398,-41.25956305883846,-41.25956305883847,-7.105427357601002e-15,1.0,False,-411566.01171083987
1426,002256.SZ,2020-03-18,2020-06-18,TAKE_PROFIT_DYN,62,399995.46378792,-164809.88946323996,-41.20293962899119,-41.20293962899119,0.0,1.0,False,-164809.88946324
53166,688276.SH,2024-03-21,2024-09-27,TAKE_PROFIT_DYN,128,991419.8741647198,-410485.6779566398,-41.403817762124014,-41.170366836873505,0.2334509252505086,1.00398406374502,True,-408171.19908728485
38326,603555.SH,2023-04-07,2023-06-08,TAKE_PROFIT_DYN,41,599648.7621524399,-245191.20212483988,-40.88913670808321,-40.88913670808321,0.0,1.0,False,-245191.20212483988
5162,300559.SZ,2020-09-11,2021-06-02,TAKE_PROFIT_DYN,172,995613.1521336,-419724.87879167974,-42.15742609388084,-40.880409442316136,1.2770166515647006,1.0220774520448788,True,-407010.7330537655
44632,002497.SZ,2023-08-24,2024-09-05,TAKE_PROFIT_DYN,251,998112.2977425598,-409649.3697225598,-41.04241282760144,-40.84617697044442,0.19623585715702063,1.0033284241531664,True,-407690.7154996951
20543,300602.SZ,2022-01-24,2022-05-23,TAKE_PROFIT_DYN,75,994493.74316292,-405531.06834996,-40.77763898847627,-40.77763898847626,7.105427357601002e-15,1.0,False,-405531.06834995985
50234,600545.SH,2023-12-26,2024-08-02,TAKE_PROFIT_DYN,145,999540.0948733198,-405481.0291527598,-40.5667597760698,-40.5667597760698,0.0,1.0,False,-405481.0291527598
18724,688578.SH,2021-12-07,2022-05-30,TAKE_PROFIT_DYN,113,992735.53014636,-402711.2586327599,-40.56581500345695,-40.56581500345695,0.0,1.0,False,-402711.25863276
4899,688258.SH,2020-09-10,2021-04-06,TAKE_PROFIT_DYN,135,978559.68738528,-397021.20528798,-40.57199682411037,-40.54232732676844,0.029669497341934914,1.000499251123315,True,-396730.87154754216
49094,600370.SH,2023-12-11,2024-09-11,TAKE_PROFIT_DYN,184,999748.3570074,-405039.43655207986,-40.51413875432674,-40.514138754326744,-7.105427357601002e-15,1.0,False,-405039.4365520799
21326,300659.SZ,2022-01-26,2022-06-01,TAKE_PROFIT_DYN,80,993920.02103394,-404728.8634724398,-40.72046592354731,-40.40188109549726,0.3185848280500494,1.0053742802303265,True,-401562.3850824738
38425,000615.SZ,2023-04-12,2023-06-14,TAKE_PROFIT_DYN,42,799634.4789232799,-322408.8478177199,-40.31952802383514,-40.31952802383514,0.0,1.0,False,-322408.84781772
22413,300526.SZ,2022-03-08,2022-07-20,TAKE_PROFIT_DYN,90,997026.93162072,-401629.8234220199,-40.28274569967227,-40.282745699672276,-7.105427357601002e-15,1.0,False,-401629.82342202
7184,600593.SH,2020-12-02,2021-01-15,TAKE_PROFIT_DYN,31,197855.03493756,-79570.81308203997,-40.21672387925397,-40.204272920986604,0.012450958267365309,1.0002082682495053,True,-79546.17823421002
3683,688080.SH,2020-07-27,2021-04-16,TAKE_PROFIT_DYN,176,982419.54568758,-394308.9419106599,-40.13651231202748,-40.14248611580834,-0.005973803780861431,0.9999002095599242,True,-394367.6297266242
49781,300369.SZ,2023-12-21,2024-07-31,TAKE_PROFIT_DYN,146,998185.3897415398,-399276.87040889973,-40.00027194470203,-40.00027194470203,0.0,1.0,False,-399276.8704088998
56620,300573.SZ,2024-06-04,2024-09-27,TAKE_PROFIT_DYN,80,968074.48994256,-386826.8461358398,-39.95837615334663,-39.9873957878786,-0.029019634531969984,0.999516674722088,True,-387107.7778148185
18693,603160.SH,2021-12-07,2022-06-06,TAKE_PROFIT_DYN,117,970580.64437334,-387185.36579118005,-39.8921375607246,-39.892137560724606,-7.105427357601002e-15,1.0,False,-387185.36579118005
35836,688560.SH,2023-03-01,2023-11-15,TAKE_PROFIT_DYN,173,992954.8061433,-399983.8228511398,-40.28217803836437,-39.86399425699777,0.4181837813666007,1.007002662984515,True,-395831.4468955485
49256,688485.SH,2023-12-11,2024-09-10,TAKE_PROFIT_DYN,183,996628.43003724,-401077.99262124,-40.24348298053802,-39.85853019498151,0.38495278555650714,1.0064420218037662,True,-397241.44371816353
19452,688408.SH,2021-12-28,2022-05-19,TAKE_PROFIT_DYN,91,964133.5295592,-383822.2692116999,-39.810073754740465,-39.81007375474046,7.105427357601002e-15,1.0,False,-383822.26921169995
19506,300151.SZ,2022-01-05,2022-05-23,TAKE_PROFIT_DYN,88,995374.85219172,-401255.8505470799,-40.312034171202235,-39.636266273446196,0.6757678977560388,1.011321677466683,True,-394529.4268336317
1329,603555.SH,2020-03-17,2020-07-08,TAKE_PROFIT_DYN,75,599805.9600132599,-237725.65675925987,-39.63376035043141,-39.6337603504314,7.105427357601002e-15,1.0,False,-237725.65675925981
35093,000023.SZ,2023-01-10,2023-06-28,TAKE_PROFIT_DYN,110,996118.7885649,-394568.61001577985,-39.610598107905545,-39.610598107905545,0.0,1.0,False,-394568.61001577997
3792,002869.SZ,2020-08-13,2021-04-06,TAKE_PROFIT_DYN,155,984680.3913546598,-389671.4045060999,-39.57338928726052,-39.57722321979733,-0.0038339325368141886,0.9999365522492227,True,-389709.1564880077
48671,300912.SZ,2023-12-08,2024-07-09,TAKE_PROFIT_DYN,139,995507.01854604,-393775.4743441199,-39.55526852228905,-39.555268522289055,-7.105427357601002e-15,1.0,False,-393775.47434412
3845,603138.SH,2020-08-13,2021-05-26,TAKE_PROFIT_DYN,188,993764.82569364,-392356.32640344,-39.48180859888841,-39.372428960414915,0.10937963847349863,1.0018073844564939,True,-391269.3500298195
20255,300552.SZ,2022-01-21,2022-06-01,TAKE_PROFIT_DYN,83,995270.72112468,-393441.17502275994,-39.53107096109106,-39.371100249347904,0.15997071174315636,1.0026455026455028,True,-391849.0333664056
49684,600624.SH,2023-12-20,2024-07-18,TAKE_PROFIT_DYN,138,999528.0797502,-393016.95878939994,-39.32025190203981,-39.32025190203981,0.0,1.0,False,-393016.9587894
42183,688499.SH,2023-07-18,2024-04-02,TAKE_PROFIT_DYN,172,988149.75815556,-388075.2936152399,-39.272922996976234,-39.272922996976234,0.0,1.0,False,-388075.2936152399
18705,605288.SH,2021-12-07,2022-05-24,TAKE_PROFIT_DYN,109,989026.86214332,-388018.45709838,-39.23234766925392,-39.23234766925392,0.0,1.0,False,-388018.45709837996
50197,300385.SZ,2023-12-26,2024-07-31,TAKE_PROFIT_DYN,143,998627.94677646,-391775.42747574,-39.23137027562456,-39.231370275624556,7.105427357601002e-15,1.0,False,-391775.42747573997
1642,600122.SH,2020-03-19,2020-06-05,TAKE_PROFIT_DYN,52,199931.64871679997,-78350.88973823999,-39.18883790590993,-39.18883790590992,7.105427357601002e-15,1.0,False,-78350.88973823997
56400,603863.SH,2024-05-30,2024-07-23,TAKE_PROFIT_DYN,37,199848.54411521996,-77992.29630125995,-39.025701511387815,-39.02570151138782,-7.105427357601002e-15,1.0,False,-77992.29630125995
51256,600691.SH,2024-01-18,2024-09-13,TAKE_PROFIT_DYN,159,999606.17805048,-390102.3312911998,-39.02560226788631,-39.02560226788631,0.0,1.0,False,-390102.3312911998
36594,000620.SZ,2023-03-13,2023-06-05,TAKE_PROFIT_DYN,56,799729.5986479798,-311858.0682982198,-38.99543906158357,-38.99543906158357,0.0,1.0,False,-311858.0682982198
48921,300013.SZ,2023-12-11,2024-07-22,TAKE_PROFIT_DYN,147,999734.33936376,-389628.55342619994,-38.973208990116625,-38.973208990116625,0.0,1.0,False,-389628.55342619994
20011,002529.SZ,2022-01-18,2022-05-19,TAKE_PROFIT_DYN,77,994918.27751316,-386767.0427878798,-38.87425244157946,-38.87425244157946,0.0,1.0,False,-386767.04278787994
4197,600185.SH,2020-08-28,2021-04-09,TAKE_PROFIT_DYN,147,997728.8150629798,-387721.7815940998,-38.860437399477696,-38.862991870569466,-0.002554471091769983,0.9999582190159185,True,-387747.2682882549
19742,688208.SH,2022-01-10,2022-06-02,TAKE_PROFIT_DYN,93,986623.8375193198,-382491.5045893197,-38.76771369633868,-38.76771369633868,0.0,1.0,False,-382491.5045893197
43220,002841.SZ,2023-08-10,2024-05-17,TAKE_PROFIT_DYN,183,990398.58869952,-383597.9779183198,-38.73167654873354,-38.73167654873354,0.0,1.0,False,-383597.9779183199
18178,603915.SH,2021-10-29,2022-05-26,TAKE_PROFIT_DYN,138,993907.00465056,-384119.4742588799,-38.64742601285213,-38.64742601285214,-7.105427357601002e-15,1.0,False,-384119.47425888
49509,300311.SZ,2023-12-19,2024-07-02,TAKE_PROFIT_DYN,127,999119.5655641198,-385815.4162315199,-38.61554007439359,-38.61554007439359,0.0,1.0,False,-385815.4162315199
51327,688659.SH,2024-01-18,2024-08-30,TAKE_PROFIT_DYN,149,998622.94047516,-384944.4508575599,-38.54752732541849,-38.547527325418486,7.105427357601002e-15,1.0,False,-384944.4508575599
21759,688216.SH,2022-01-26,2022-06-01,TAKE_PROFIT_DYN,80,991054.41416982,-381448.4726874599,-38.48915531111268,-38.489155311112675,7.105427357601002e-15,1.0,False,-381448.4726874599
20253,300538.SZ,2022-01-21,2022-05-23,TAKE_PROFIT_DYN,76,996221.9183716798,-383372.32005305984,-38.482622494361514,-38.48262249436152,-7.105427357601002e-15,1.0,False,-383372.32005305996
48512,688186.SH,2023-12-06,2024-09-02,TAKE_PROFIT_DYN,180,996541.32039462,-387055.44196901994,-38.83987889390779,-38.45286374596893,0.38701514793885394,1.006327900287632,True,-383198.6761036229
51022,601011.SH,2024-01-17,2024-08-02,TAKE_PROFIT_DYN,130,999942.6014978398,-383808.4396106397,-38.38304709047531,-38.38304709047531,0.0,1.0,False,-383808.43961063976
47782,301268.SZ,2023-11-27,2024-07-25,TAKE_PROFIT_DYN,160,991452.9157532998,-389717.3785883398,-39.30770411747036,-38.34528911834203,0.9624149991283275,1.0158572844400398,True,-380175.48701783485
32857,688185.SH,2022-12-06,2023-07-26,TAKE_PROFIT_DYN,154,972940.61480616,-372503.9155031999,-38.286397939859285,-38.298676810145835,-0.012278870286550614,0.9998010346199759,True,-372623.3816192571
52676,688496.SH,2024-01-30,2024-09-30,TAKE_PROFIT_DYN,160,996057.71168904,-380925.7835248799,-38.24334464304629,-38.243344643046285,7.105427357601002e-15,1.0,False,-380925.7835248799
20434,688718.SH,2022-01-21,2022-06-01,TAKE_PROFIT_DYN,83,995529.04627176,-380379.65434884,-38.20879519019114,-38.20879519019114,0.0,1.0,False,-380379.65434883995
38668,000996.SZ,2023-04-20,2023-07-05,TAKE_PROFIT_DYN,49,599239.2467061,-228853.74520385993,-38.19071371940738,-38.19071371940738,0.0,1.0,False,-228853.74520385993
