round,ts_code,entry_date,exit_date,exit_type,hold_days,pnl,return_pct,adj_ret_pct,delta_pp,factor_ratio,crossed,adj_pnl,year
12,002475.SZ,2020-12-15,2020-12-23,TAKE_PROFIT_DYN,6,16940.15663319704,8.52,8.519999999999994,-5.329070518200751e-15,1.0,False,16940.156633197028,2020
48,002241.SZ,2022-11-14,2023-01-05,TAKE_PROFIT_DYN,37,33962.24660051975,8.52,8.519999999999994,-5.329070518200751e-15,1.0,False,33962.24660051973,2022
38,002415.SZ,2022-05-09,2022-06-08,TAKE_PROFIT_DYN,21,35178.48131254548,5.9,8.921880133289516,3.0218801332895158,1.0285352231660956,True,53196.30399011797,2022
14,601318.SH,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,14,55420.04416531348,9.42,9.420000000000005,5.329070518200751e-15,1.0,False,55420.044165313506,2021
4,002415.SZ,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,17,13731.510913992446,6.9,9.600718208085436,2.7007182080854353,1.0252639682702098,True,19106.140124129153,2020
83,002460.SZ,2025-11-25,2025-12-22,TAKE_PROFIT_DYN,19,18739.979480501643,9.61,9.610000000000007,7.105427357601002e-15,1.0,False,18739.979480501654,2025
27,300750.SZ,2021-08-17,2021-09-14,TAKE_PROFIT_DYN,20,19147.808062755328,9.86,9.860000000000003,3.552713678800501e-15,1.0,False,19147.808062755335,2021
18,601166.SH,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,15,20172.175433354016,10.12,10.119999999999996,-3.552713678800501e-15,1.0,False,20172.17543335401,2021
25,002241.SZ,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,9,20482.876943132957,10.26,10.260000000000002,1.7763568394002505e-15,1.0,False,20482.87694313296,2021
49,601012.SH,2022-12-23,2023-01-18,TAKE_PROFIT_DYN,17,22335.06655099726,11.32,11.319999999999997,-3.552713678800501e-15,1.0,False,22335.066550997253,2022
10,601012.SH,2020-11-16,2020-12-09,TAKE_PROFIT_DYN,17,44935.56679612567,11.56,11.559999999999992,-8.881784197001252e-15,1.0,False,44935.56679612563,2020
47,300274.SZ,2022-12-07,2023-01-03,TAKE_PROFIT_DYN,18,48187.494608550915,12.35,12.349999999999994,-5.329070518200751e-15,1.0,False,48187.49460855089,2022
