ts_code,date,level,avg_cost,entry_date,adjT,pstar_raw,threshold,eff_threshold,early_exit_pct,high_raw,close_raw,gap_raw,gap_legal,gap_eff,pct_legal,pct_eff,triggered,hold_days,float_pnl,adj_changed,pstar_old
300014.SZ,2023-06-20,5,67.0654,2023-02-21,17.877,70.03758051521908,70.04,70.04,0.0,62.35,60.7,7.687580515219075,7.690000000000005,7.690000000000005,0.10979440319817253,0.10979440319817253,False,81,-93570.88,True,70.22888659885135
600809.SH,2023-06-20,2,218.2097,2023-05-23,6.233,223.17766687188418,223.18,223.18,0.0,215.3,209.0,7.877666871884173,7.8799999999999955,7.8799999999999955,0.03530782328165604,0.03530782328165604,False,20,-16577.38,True,223.19651941158247
300014.SZ,2023-06-21,5,67.0654,2023-02-21,17.877,69.17447305249236,69.18,69.18,0.0,61.09,58.99,8.084473052492356,8.090000000000003,8.090000000000003,0.11694131251806884,0.11694131251806884,False,82,-118707.88,True,69.36032245180122
600809.SH,2023-06-21,2,218.2097,2023-05-23,6.233,222.78634744120376,222.79,222.79,0.0,208.88,203.6,13.906347441203764,13.909999999999997,13.909999999999997,0.06243547735535705,0.06243547735535705,False,21,-26297.38,True,222.80219132629108
300014.SZ,2023-06-26,5,67.0654,2023-02-21,17.877,68.0573232852746,68.06,68.06,0.0,59.8,58.76,8.257323285274609,8.260000000000005,8.260000000000005,0.12136350279165449,0.12136350279165449,False,83,-122088.88,True,68.24285062907633
600809.SH,2023-06-26,2,218.2097,2023-05-23,6.336,219.09183489729503,219.1,219.1,0.0,199.7,195.6,19.39183489729504,19.400000000000006,19.400000000000006,0.08854404381560933,0.08854404381560933,False,22,-40697.38,True,222.72500005400224
300014.SZ,2023-06-27,5,67.0654,2023-02-21,17.877,67.28284848227676,67.29,67.29,0.0,59.72,58.92,7.562848482276763,7.570000000000007,7.570000000000007,0.11249814236885133,0.11249814236885133,False,84,-119736.88,True,67.46695186065475
600809.SH,2023-06-27,3,210.1835,2023-05-23,6.336,219.24529673452727,219.25,219.25,0.0,195.8,191.89,23.44529673452726,23.44999999999999,23.44999999999999,0.10695553021664761,0.10695553021664761,False,23,-51221.75,True,223.64062962462623
300014.SZ,2023-06-28,5,67.0654,2023-02-21,17.877,66.72043602332965,66.73,66.73,0.0,59.43,58.15,7.290436023329654,7.300000000000004,7.300000000000004,0.1093960737299566,0.1093960737299566,False,85,-131055.88,True,66.89994292617256
600809.SH,2023-06-28,3,210.1835,2023-05-23,6.336,220.29468867958374,220.3,220.3,0.0,195.65,191.54,24.644688679583737,24.650000000000006,24.650000000000006,0.11189287335451659,0.11189287335451659,False,24,-52201.75,True,225.26106603902926
300418.SZ,2023-06-28,1,44.5561,2023-06-27,4.042,67.89948986214752,67.9,67.9,0.0,43.43,40.82,24.46948986214752,24.470000000000006,24.470000000000006,0.3603829160530192,0.3603829160530192,False,1,-16438.76,True,67.90074026314876
300014.SZ,2023-06-29,5,67.0654,2023-02-21,17.877,65.93894945386195,65.94,65.94,0.0,58.64,57.24,7.298949453861951,7.299999999999997,7.299999999999997,0.11070670306339092,0.11070670306339092,False,86,-144432.88,True,66.11289245838258
600809.SH,2023-06-29,3,210.1835,2023-05-23,6.336,221.2535580368792,221.26,221.26,0.0,191.44,185.59,29.813558036879215,29.819999999999993,29.819999999999993,0.13477356955617822,0.13477356955617822,False,25,-68861.75,True,226.56887277749564
300418.SZ,2023-06-29,1,44.5561,2023-06-27,4.042,69.32077624947084,69.33,69.33,0.0,41.44,40.5,27.88077624947084,27.89,27.89,0.40227895571902494,0.40227895571902494,False,2,-17846.76,True,69.3215338763802
300014.SZ,2023-06-30,5,67.0654,2023-02-21,17.877,65.41943591119629,65.42,65.42,0.0,61.3,60.5,4.119435911196291,4.1200000000000045,4.1200000000000045,0.06297768266585149,0.06297768266585149,False,87,-96510.88,True,65.58905892664794
600809.SH,2023-06-30,3,210.1835,2023-05-23,6.336,223.06468761253961,223.07,223.07,0.0,188.4,185.07,34.66468761253961,34.66999999999999,34.66999999999999,0.15542206482270135,0.15542206482270135,False,26,-70317.75,True,228.62278787208422
300418.SZ,2023-06-30,1,44.5561,2023-06-27,4.042,70.18347053794761,70.19,70.19,0.0,40.98,40.28,29.203470537947616,29.21,29.21,0.41615614759937314,0.41615614759937314,False,3,-18814.76,False,70.18347053794761
300014.SZ,2023-07-03,5,67.0654,2023-02-21,17.877,64.94075442467648,64.95,64.95,0.0,61.45,60.45,3.4907544246764814,3.5,3.5,0.053887605850654344,0.053887605850654344,False,88,-97245.88,True,65.08806766080777
600809.SH,2023-07-03,3,210.1835,2023-05-23,6.336,223.95782645027575,223.96,223.96,0.0,196.17,196.17,27.78782645027576,27.79000000000002,27.79000000000002,0.12408465797463841,0.12408465797463841,False,27,-39237.75,True,229.63844483044787
300418.SZ,2023-07-03,1,44.5561,2023-06-27,4.042,70.65446419723386,70.66,70.66,0.0,41.12,40.71,29.534464197233866,29.54,29.54,0.4180583073874894,0.4180583073874894,False,4,-16922.76,False,70.65446419723386
300014.SZ,2023-07-04,5,67.0654,2023-02-21,17.877,63.58866336978669,63.59,63.59,0.0,60.58,60.03,3.0086633697866887,3.010000000000005,3.010000000000005,0.047334486554489776,0.047334486554489776,False,89,-103419.88,True,63.699884215132734
600809.SH,2023-07-04,3,210.1835,2023-05-23,6.336,222.5523525359547,222.56,222.56,0.0,201.8,201.28,20.752352535954685,20.75999999999999,20.75999999999999,0.09327821710999278,0.09327821710999278,False,28,-24929.75,True,228.18384726455977
