ts_code,date,entry_date,level,avg_cost,pstar_raw,threshold,high_raw,gap_yuan,gap_pct,hold_days,float_pnl_day,early_exit_proceeds_per_share,trigger_1d,trigger_3d,trigger_5d,trigger_10d,trigger_20d,first_trigger_day,first_trigger_n,trigger_close_ret,max_high_fwd20,min_low_fwd20,max_high_ret_fwd20,min_low_ret_fwd20,close_ret_5d,close_ret_10d,close_ret_20d,drop5_5d,drop5_10d,drop10_20d,final_trade_ret,final_exit_date
002340.SZ,2021-07-05,2021-06-08,3,9.476,9.9377,9.94,9.86,0.08,0.008048,18,21703.39,9.9301,1,1,1,1,1,2021-07-06,1,0.03,10.0,9.52,0.0553,0.0046,,,,0,0,0,5.29,2021-07-06
600031.SH,2021-08-02,2021-06-15,3,26.7508,27.5822,27.59,27.3,0.29,0.010511,34,12247.15,27.5624,1,1,1,1,1,2021-08-03,1,0.0751,29.73,27.61,0.1114,0.0321,,,,0,0,0,4.43,2021-08-03
002460.SZ,2021-08-24,2021-08-17,1,163.1053,201.3735,201.38,198.68,2.7,0.013407,5,34193.64,201.1786,0,0,1,1,1,2021-08-30,4,0.3242,215.99,181.15,0.3242,0.1106,,,,0,0,0,24.03,2021-08-30
002460.SZ,2021-08-27,2021-08-17,1,163.1053,201.0013,201.01,200.2,0.81,0.00403,8,39893.64,200.809,1,1,1,1,1,2021-08-30,1,0.3242,215.99,198.0,0.3242,0.2139,,,,0,0,0,24.03,2021-08-30
002466.SZ,2021-11-08,2021-09-23,2,102.469,106.4887,106.49,104.48,2.01,0.018875,27,7641.89,106.3835,0,0,0,1,1,2021-11-18,8,0.0614,111.71,92.04,0.0902,-0.1018,-0.0661,,,1,0,0,5.28,2021-11-09
601919.SH,2021-11-29,2021-09-29,2,16.1033,16.4837,16.49,16.39,0.1,0.006064,38,7082.36,16.4735,1,1,1,1,1,2021-11-30,1,0.0787,17.77,16.04,0.1035,-0.0039,,,,0,0,0,3.04,2021-11-30
000651.SZ,2021-12-07,2021-10-28,2,35.5956,36.788,36.79,36.64,0.15,0.004077,28,11481.68,36.7532,0,1,1,1,1,2021-12-09,2,0.0358,37.42,36.03,0.0513,0.0122,,,,0,0,0,3.77,2021-12-09
000651.SZ,2021-12-08,2021-10-28,2,35.5956,36.9389,36.94,36.78,0.16,0.004331,29,10149.68,36.9031,1,1,1,1,1,2021-12-09,1,0.0358,37.42,36.46,0.0513,0.0243,,,,0,0,0,3.77,2021-12-09
300750.SZ,2022-01-28,2021-12-21,2,590.8437,612.2991,612.3,604.0,8.3,0.013555,27,1053.79,611.6877,0,0,0,0,0,,,,609.98,485.06,0.0324,-0.179,-0.1707,-0.1072,-0.1676,1,1,1,-18.13,2022-06-02
300750.SZ,2022-02-07,2021-12-21,2,590.8437,613.236,613.24,609.98,3.26,0.005316,28,-6842.21,612.6268,0,0,0,0,0,,,,579.44,454.01,-0.0193,-0.2316,-0.1402,-0.1368,-0.2301,1,1,1,-18.13,2022-06-02
