ts_code,name,entry_date,exit_date,levels,pnl_old,pnl_correct,diff,ret_old,ret_correct,cross_ca,multi_level_cross_ca,sign_flip,adj_entry
002415.SZ,海康威视,2022-05-09,2022-06-06,3,21141.42,38760.76,17619.34,3.55,6.5,True,False,False,21.307
002241.SZ,歌尔股份,2022-06-24,2022-08-05,1,5669.92,5672.08,2.17,2.84,2.84,False,False,False,23.227
600036.SH,招商银行,2022-07-14,2022-08-31,3,-9253.68,-1076.92,8176.77,-1.57,-0.18,True,True,False,5.189
601888.SH,中国中免,2022-08-09,2022-09-26,2,25997.86,25998.26,0.4,7.03,7.03,False,False,False,2.2018
300274.SZ,阳光电源,2022-09-01,2022-10-12,1,21345.72,21345.93,0.2,11.19,11.19,False,False,False,6.7919
601899.SH,紫金矿业,2022-09-27,2022-10-28,2,27486.36,27482.21,-4.15,6.91,6.91,False,False,False,2.0468
002594.SZ,比亚迪,2022-07-13,2022-11-04,5,-6528.04,-6472.98,55.06,-0.69,-0.68,True,True,False,1.02
600519.SH,贵州茅台,2022-10-13,2022-12-01,1,-6637.77,-6637.73,0.05,-3.85,-3.85,False,False,False,7.5546
300750.SZ,宁德时代,2022-10-31,2022-12-07,1,22683.79,22683.66,-0.13,12.59,12.59,False,False,False,1.0055
300274.SZ,阳光电源,2022-12-07,2023-01-03,2,48201.52,48200.25,-1.27,12.35,12.35,False,False,False,6.7919
002241.SZ,歌尔股份,2022-11-14,2023-01-05,2,34076.42,34078.3,1.88,8.55,8.55,False,False,False,23.227
601012.SH,隆基绿能,2022-12-23,2023-01-18,1,22382.59,22383.18,0.59,11.35,11.35,False,False,False,19.2267
300014.SZ,亿纬锂能,2023-01-12,2023-02-01,1,13742.55,13743.08,0.53,6.98,6.98,False,False,False,17.8294
300750.SZ,宁德时代,2023-02-20,2023-03-31,3,18777.1,18776.58,-0.52,3.63,3.63,False,False,False,1.0055
300059.SZ,东方财富,2023-03-08,2023-04-03,2,26668.56,26661.28,-7.27,6.7,6.7,False,False,False,67.242
000858.SZ,五粮液,2023-04-11,2023-05-22,2,-10014.01,-10014.77,-0.76,-2.65,-2.65,False,False,False,17.9972
600519.SH,贵州茅台,2023-04-13,2023-06-16,1,7184.68,7189.29,4.61,4.25,4.25,True,False,False,7.6508
600809.SH,山西汾酒,2023-05-23,2023-07-25,3,36083.21,43233.03,7149.83,6.34,7.56,True,True,False,6.2321
300418.SZ,昆仑万维,2023-06-27,2023-08-14,1,-1466.45,-1466.37,0.08,-10.97,-10.97,False,False,False,4.042
600276.SH,恒瑞医药,2023-08-01,2023-08-28,3,13381.67,13384.92,3.25,2.24,2.25,False,False,False,64.656
002230.SZ,科大讯飞,2023-08-17,2023-10-10,1,-1200.79,-1200.99,-0.2,-6.94,-6.94,False,False,False,13.57
002475.SZ,立讯精密,2023-09-08,2023-10-11,1,13314.68,13315.22,0.54,6.73,6.73,False,False,False,34.078
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,5,-281648.94,-279768.4,1880.54,-28.57,-28.38,True,False,False,17.8294
600519.SH,贵州茅台,2023-10-16,2023-12-29,3,2568.91,8572.1,6003.19,0.5,1.66,True,False,False,7.768
601318.SH,中国平安,2023-11-10,2024-01-25,3,-17632.11,-17638.07,-5.95,-3.89,-3.89,False,False,False,2.8438
300750.SZ,宁德时代,2023-10-17,2024-02-08,3,-9141.91,-9141.68,0.23,-1.63,-1.63,False,False,False,1.822
002230.SZ,科大讯飞,2024-01-04,2024-02-08,2,14136.11,14130.73,-5.37,3.59,3.58,False,False,False,13.57
601012.SH,隆基绿能,2024-01-30,2024-03-12,2,49915.92,49926.8,10.88,13.32,13.32,False,False,False,19.49
601318.SH,中国平安,2024-03-25,2024-04-29,2,32025.78,32030.58,4.8,8.1,8.11,False,False,False,2.8438
000628.SZ,高新发展,2024-04-01,2024-05-21,3,-131429.8,-131429.51,0.29,-22.19,-22.19,False,False,False,3.179
000977.SZ,浪潮信息,2024-05-29,2024-07-09,1,8939.03,9660.39,721.36,4.48,4.84,True,False,False,6.633
000625.SZ,长安汽车,2024-05-07,2024-07-10,2,7022.0,11944.54,4922.54,1.76,2.97,True,True,False,14.773
603019.SH,中科曙光,2024-03-28,2024-07-17,2,-12591.67,-10970.56,1621.11,-3.17,-2.76,True,False,False,4.045
601919.SH,中远海控,2024-07-15,2024-09-20,2,-320.17,-307.52,12.66,-0.08,-0.08,False,False,False,2.083
601138.SH,工业富联,2024-07-19,2024-09-24,3,-53626.78,-43966.12,9660.65,-10.89,-8.88,True,True,False,1.13
601899.SH,紫金矿业,2024-07-24,2024-09-25,3,23685.02,26479.39,2794.37,5.92,6.62,True,True,False,2.115
600150.SH,中国船舶,2024-09-23,2024-12-18,2,25549.93,25547.37,-2.56,6.49,6.49,False,False,False,3.3292
600418.SH,江淮汽车,2024-11-28,2025-01-22,1,38096.99,38096.54,-0.46,19.32,19.31,False,False,False,6.353
600030.SH,中信证券,2025-01-02,2025-02-07,2,-115.76,-118.51,-2.75,-0.03,-0.03,False,False,False,6.5115
300059.SZ,东方财富,2025-01-03,2025-02-07,2,22168.29,22157.79,-10.5,5.57,5.57,False,False,False,81.227
000063.SZ,中兴通讯,2025-03-04,2025-05-07,2,-14283.11,-10617.82,3665.29,-7.12,-5.29,True,False,False,16.7756
300308.SZ,中际旭创,2025-02-06,2025-05-08,4,44170.9,44171.95,1.06,5.7,5.7,False,False,False,6.563
300502.SZ,新易盛,2025-03-03,2025-05-08,2,101583.82,101581.44,-2.38,27.52,27.52,False,False,False,8.4973
688981.SH,中芯国际,2025-05-12,2025-06-23,2,-951.45,-950.94,0.51,-0.24,-0.24,False,False,False,1.0
688256.SH,寒武纪,2025-05-28,2025-06-26,1,4541.46,4541.23,-0.23,2.45,2.45,False,False,False,1.0
600519.SH,贵州茅台,2025-06-16,2025-07-10,1,2204.28,4996.39,2792.12,1.57,3.56,True,False,False,8.1454
300308.SZ,中际旭创,2025-10-15,2025-10-24,1,64444.64,64444.72,0.08,37.31,37.31,False,False,False,6.5961
002460.SZ,赣锋锂业,2025-11-25,2025-12-22,1,18748.83,18748.53,-0.3,9.61,9.61,False,False,False,14.1356
601138.SH,工业富联,2025-11-25,2025-12-25,1,38151.09,38153.92,2.83,19.32,19.32,False,False,False,1.1843
300502.SZ,新易盛,2026-01-13,2026-02-02,1,35345.04,35345.29,0.25,18.33,18.33,False,False,False,11.9444
300750.SZ,宁德时代,2025-11-24,2026-02-06,4,12846.74,12846.61,-0.13,1.78,1.78,False,False,False,1.9194
300308.SZ,中际旭创,2026-02-09,2026-03-18,1,5792.71,5792.73,0.01,3.44,3.44,False,False,False,6.5961
002475.SZ,立讯精密,2026-01-09,2026-04-08,5,15158.68,17057.56,1898.88,1.54,1.73,True,True,False,34.5218
688256.SH,寒武纪,2026-02-04,2026-04-08,3,51051.06,51051.05,-0.01,12.4,12.4,False,False,False,1.0
601899.SH,紫金矿业,2026-03-20,2026-04-15,2,30163.91,30163.61,-0.31,11.49,11.49,False,False,False,2.1767
300274.SZ,阳光电源,2026-07-02,2026-08-11,2,-31658.44,-31658.45,-0.01,-8.36,-8.36,False,False,False,9.8706
600487.SH,亨通光电,2026-07-07,2026-08-18,2,-69151.9,-69152.04,-0.13,-17.71,-17.71,False,False,False,11.0337
688525.SH,佰维存储,2026-07-16,2026-08-25,2,-71016.53,-71016.53,0.0,-19.37,-19.37,False,False,False,1.0006
600276.SH,恒瑞医药,2026-08-21,2026-08-25,2,-9625.77,-9625.77,0.0,-2.44,-2.44,False,False,False,65.4769
688256.SH,寒武纪,2026-08-25,2026-08-25,1,7495.97,7495.97,0.0,3.86,3.86,False,False,False,1.4912
