date,equity,cash,stock_val,etf_val
2020-04-29,966525.8438660001,755895.8438660001,210630.0,0.0
2020-04-30,977735.8438660001,755895.8438660001,221840.0,0.0
2020-05-06,981275.8438660001,755895.8438660001,225380.0,0.0
2020-05-07,978325.8438660001,755895.8438660001,222430.0,0.0
2020-05-08,983635.8438660001,755895.8438660001,227740.0,0.0
2020-05-11,991952.037826,991952.037826,0.0,0.0
2020-05-12,992606.435996,795355.435996,197251.0,0.0
2020-05-13,991365.435996,795355.435996,196010.0,0.0
2020-05-14,987166.435996,795355.435996,191811.0,0.0
2020-05-15,989155.435996,795355.435996,193800.0,0.0
2020-05-18,998165.435996,795355.435996,202810.0,0.0
2020-05-19,994102.435996,795355.435996,198747.0,0.0
2020-05-20,987965.435996,795355.435996,192610.0,0.0
2020-05-21,990175.435996,795355.435996,194820.0,0.0
2020-05-22,993524.435996,795355.435996,198169.0,0.0
2020-05-25,998607.435996,795355.435996,203252.0,0.0
2020-05-26,998026.3136819999,398243.313682,599783.0,0.0
2020-05-27,990813.3136819999,398243.313682,592570.0,0.0
2020-05-28,988354.3136819999,398243.313682,590111.0,0.0
2020-05-29,993595.7222615168,398243.313682,595352.4085795169,0.0
2020-06-01,1015459.3524964207,398243.313682,617216.0388144207,0.0
2020-06-02,1018176.002562443,398243.313682,619932.6888804431,0.0
2020-06-03,1015745.2401119601,398243.313682,617501.9264299601,0.0
2020-06-04,1017430.3167856035,398243.313682,619187.0031036036,0.0
2020-06-05,1010806.0311537653,398243.313682,612562.7174717654,0.0
2020-06-08,1020135.6981801076,398243.313682,621892.3844981076,0.0
2020-06-09,1018012.8053303726,398243.313682,619769.4916483727,0.0
2020-06-10,1017756.8611283568,398243.313682,619513.5474463569,0.0
2020-06-11,1002156.4121683817,398243.313682,603913.0984863818,0.0
2020-06-12,1004129.3955879498,398243.313682,605886.0819059497,0.0
2020-06-15,1004528.6723453817,398243.313682,606285.3586633818,0.0
2020-06-16,1019423.8629713207,398243.313682,621180.5492893207,0.0
2020-06-17,1026874.4886178954,398243.313682,628631.1749358955,0.0
2020-06-18,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-06-19,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-06-22,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-06-23,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-06-24,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-06-29,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-06-30,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-01,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-02,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-03,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-06,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-07,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-08,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-09,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-10,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-13,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-14,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-15,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-16,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-17,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-20,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-21,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-22,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-23,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-24,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-27,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-28,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-29,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-30,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-07-31,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-03,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-04,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-05,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-06,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-07,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-10,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-11,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-12,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-13,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-14,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-17,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-18,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-19,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-20,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-21,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-24,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-25,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-26,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-27,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-28,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-08-31,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-09-01,1041880.1235861749,1041880.1235861749,0.0,0.0
2020-09-02,1036130.5491321749,843080.5491321749,193050.0,0.0
2020-09-03,1037651.5491321749,843080.5491321749,194571.0,0.0
2020-09-04,1035257.9543241749,643817.9543241749,391439.99999999994,0.0
2020-09-07,1019657.9543241749,643817.9543241749,375840.0,0.0
2020-09-08,1008458.3813921749,246126.38139217487,762332.0,0.0
2020-09-09,975716.3670161748,98340.36701617486,877376.0,0.0
2020-09-10,959916.8225111748,93884.82251117486,866032.0,0.0
2020-09-11,984294.8225111748,93884.82251117486,890410.0,0.0
2020-09-14,991634.8225111748,93884.82251117486,897750.0,0.0
2020-09-15,992084.8225111748,93884.82251117486,898200.0,0.0
2020-09-16,982496.8225111748,93884.82251117486,888612.0,0.0
