date,leg,action,gross,fee,net,shares,px
2021-06-17,etf,sell,199563.43680000002,49.89085920000001,199513.54594080002,78400,2.548
2021-06-17,stock,buy,199407.20799999998,51.84587408,-199459.05387407998,7400,26.94692
2021-07-06,etf,sell,61118.82,15.279705,61103.540295,23000,2.66
2021-07-06,stock,buy,35835.799999999996,9.317308,-35845.11730799999,100,358.35799999999995
2021-07-06,stock,sell,630369.0,794.26494,629574.73506,63100,9.99
2021-07-07,etf,buy,653949.296,163.487324,-654112.783324,245600,2.66
2021-07-09,etf,sell,198780.2208,49.695055200000006,198730.52574480002,75600,2.632
2021-07-09,stock,buy,198962.76399999997,51.73031863999999,-199014.49431863998,7900,25.185159999999996
2021-07-09,etf,sell,199043.15760000004,49.76078940000001,198993.39681060004,75700,2.632
2021-07-09,stock,buy,188803.61499999996,49.08893989999999,-188852.70393989995,700,269.71944999999994
2021-07-09,etf,buy,9829.619799999999,5.0,-9834.619799999999,3700,2.654
2021-07-19,stock,sell,370321.308,466.60484808000007,369854.70315192,900,411.46812
2021-07-19,etf,buy,369750.98159999994,92.43774539999998,-369843.41934539995,139600,2.646
2021-07-23,etf,sell,198790.5105,49.697627625,198740.812872375,74500,2.671
2021-07-23,stock,buy,199671.47199999998,51.91458272,-199723.38658271998,5200,38.39836
2021-07-27,etf,sell,199748.052,49.937013,199698.114987,74000,2.702
2021-07-27,stock,buy,197797.59999999998,51.427375999999995,-197849.02737599998,800,247.24699999999999
2021-07-27,etf,buy,812.6117999999999,5.0,-817.6117999999999,300,2.706
2021-07-29,etf,sell,198668.33279999997,49.66708319999999,198618.66571679997,73600,2.702
2021-07-29,stock,buy,196548.35199999998,51.10257152,-196599.45457151998,800,245.68543999999997
2021-07-29,etf,buy,1889.7878999999998,5.0,-1894.7878999999998,700,2.697
2021-08-02,etf,sell,44423.0325,11.105758125000001,44411.926741875,16500,2.695
2021-08-02,stock,buy,43117.07399999999,11.21043924,-43128.28443923999,200,215.58536999999998
2021-08-02,etf,buy,1353.3519999999999,5.0,-1358.3519999999999,500,2.704
2021-08-03,stock,sell,623775.6,785.9572559999999,622989.642744,22300,27.972
2021-08-04,etf,buy,622972.35,155.7430875,-623128.0930875,230500,2.7
2021-08-05,stock,sell,220519.26,277.85426759999996,220241.40573240002,5200,42.40755
2021-08-05,etf,buy,220050.23039999997,55.012557599999994,-220105.24295759998,81600,2.694
2021-08-17,etf,sell,198690.7104,49.67267760000001,198641.0377224,72800,2.732
2021-08-17,stock,buy,194193.99999999997,50.49044,-194244.49043999997,400,485.48499999999996
2021-08-17,etf,sell,194323.88160000002,48.580970400000005,194275.3006296,71200,2.732
2021-08-17,stock,buy,195675.47999999998,50.8756248,-195726.3556248,1200,163.06289999999998
2021-08-17,etf,buy,3007.1040999999996,5.0,-3012.1040999999996,1100,2.731
2021-08-23,etf,sell,198852.2487,49.713062175,198802.535637825,73100,2.723
2021-08-23,stock,buy,185936.75099999996,48.34355525999999,-185985.09455525997,900,206.59638999999996
2021-08-23,etf,buy,12881.468599999998,5.0,-12886.468599999998,4700,2.738
2021-08-30,stock,sell,243056.69999999998,306.251442,242750.44855799997,1200,202.54725
2021-08-30,etf,buy,242670.62819999998,60.667657049999995,-242731.29585705,87900,2.758
2021-09-14,stock,sell,213662.12400000004,269.21427624000006,213392.90972376004,400,534.1553100000001
2021-09-14,etf,buy,213269.85679999998,53.317464199999996,-213323.17426419997,78100,2.728
2021-09-23,etf,sell,198815.3856,49.7038464,198765.68175360002,73600,2.704
2021-09-23,stock,buy,195026.832,50.70697632,-195077.53897632,1800,108.34823999999999
2021-09-23,etf,buy,3785.1813999999995,5.0,-3790.1813999999995,1400,2.701
2021-09-27,stock,sell,738828.432,930.9238243200001,737897.5081756801,3400,217.30248
2021-09-27,etf,buy,537691.154,134.4227885,-537825.5767885,196400,2.735
