date,round,ts_code,action,level,open,high,low,close,bb_lower,bb_upper,price,shares,amount,avg_cost,hold_days,ret_pct,tp_price
2021-04-13,16,002352.SZ,INITIAL_ENTRY,1,66.0,66.35,64.04,64.8,67.327,96.547,66.066,2800,184984.8,66.083,0,,
2021-04-14,16,300750.SZ,TAKE_PROFIT_DYN,2,331.26,347.49,328.68,346.0,290.314,346.639,346.523,1100,381175.44,337.061,46,2.68,
2021-04-15,17,002352.SZ,ADD_POSITION,2,64.71,65.29,63.74,64.59,63.1,95.082,64.775,3000,194324.13,65.415,2,,
2021-04-16,17,601166.SH,INITIAL_ENTRY,1,20.95,20.96,20.56,20.89,21.166,24.735,20.971,9000,188738.55,20.976,0,,
2021-04-19,17,002475.SZ,TAKE_PROFIT_DYN,3,33.41,36.61,33.35,36.56,32.091,36.268,36.124,12700,458772.77,46.201,50,-21.91,
2021-05-06,18,002594.SZ,INITIAL_ENTRY,1,157.0,157.0,150.0,150.0,155.178,178.502,157.157,1200,188588.4,157.198,0,,
2021-05-10,18,002594.SZ,ADD_POSITION,2,143.95,148.35,141.44,147.0,147.469,180.598,144.094,1300,187322.13,150.403,2,,
2021-05-12,18,601166.SH,TAKE_PROFIT_DYN,1,22.31,23.35,22.25,22.54,20.703,23.018,23.137,9000,208231.56,20.976,15,10.16,
2021-05-14,19,600031.SH,INITIAL_ENTRY,1,27.65,29.2,27.41,29.08,28.026,33.845,27.678,7200,199279.08,27.685,0,,
2021-05-18,19,002352.SZ,TAKE_PROFIT_DYN,2,65.22,69.7,64.73,68.9,60.658,67.425,66.703,5800,386878.73,65.415,22,1.84,
2021-05-25,20,000661.SZ,INITIAL_ENTRY,1,424.22,435.4,416.99,433.54,436.116,534.37,424.644,400,169857.69,424.755,0,,
2021-05-28,20,000661.SZ,ADD_POSITION,2,416.54,417.9,396.17,400.0,403.152,545.773,416.957,400,166782.62,420.91,3,,
2021-06-01,20,600031.SH,TAKE_PROFIT_DYN,1,30.12,31.62,29.94,31.62,28.04,31.614,31.588,7200,227436.34,27.685,12,13.96,
2021-06-08,21,002340.SZ,INITIAL_ENTRY,1,9.75,9.99,9.62,9.7,9.766,11.349,9.76,20400,199098.9,9.762,0,,
2021-06-08,21,002594.SZ,TAKE_PROFIT_DYN,2,194.0,205.6,193.25,202.81,146.693,203.313,203.287,2500,508216.28,150.403,23,34.99,
2021-06-10,22,002340.SZ,ADD_POSITION,2,9.48,9.82,9.48,9.75,9.557,11.447,9.489,21000,199279.08,9.625,2,,
2021-06-15,22,600031.SH,INITIAL_ENTRY,1,28.26,28.26,27.4,28.1,28.21,31.78,28.288,7000,198017.82,28.296,0,,
2021-06-16,22,002340.SZ,ADD_POSITION,3,9.18,9.23,8.88,8.93,8.94,11.66,9.189,21700,199405.21,9.476,5,,
2021-06-17,22,600031.SH,ADD_POSITION,2,26.92,27.38,26.65,27.08,26.879,31.426,26.947,2900,78146.07,27.903,2,,
2021-07-06,22,002340.SZ,TAKE_PROFIT_DYN,3,10.0,10.0,9.52,9.76,8.841,9.896,9.99,63100,630369.0,9.476,19,5.29,
2021-07-07,23,000661.SZ,ADD_POSITION,3,357.01,367.64,355.0,364.54,357.534,422.341,357.367,500,178683.5,396.506,30,,
2021-07-09,23,600031.SH,ADD_POSITION,3,25.16,25.85,24.86,25.7,25.198,29.601,25.185,7900,198962.76,26.699,18,,
2021-07-09,23,000858.SZ,INITIAL_ENTRY,1,269.45,270.58,262.0,267.28,268.196,309.077,269.719,700,188803.61,269.79,0,,
2021-07-19,23,000661.SZ,TAKE_PROFIT_DYN,3,391.87,413.99,391.87,411.9,356.716,411.879,411.468,1300,534908.56,396.506,38,3.64,
2021-07-23,24,002241.SZ,INITIAL_ENTRY,1,38.36,39.68,37.8,39.28,37.977,44.461,38.398,5200,199671.47,38.408,0,,
2021-07-27,24,000858.SZ,ADD_POSITION,2,247.0,248.8,231.0,231.15,246.503,303.514,247.247,800,197797.6,257.801,12,,
2021-07-29,24,000858.SZ,ADD_POSITION,3,245.44,245.79,233.68,235.05,235.34,302.809,245.685,800,196548.35,253.609,14,,
2021-08-03,24,600031.SH,TAKE_PROFIT_DYN,3,28.0,29.73,27.61,28.76,23.937,28.084,27.972,17800,497901.6,26.699,35,4.63,
2021-08-05,25,002241.SZ,TAKE_PROFIT_DYN,1,40.88,43.0,40.59,41.68,36.955,42.262,42.408,5200,220519.26,38.408,9,10.27,
2021-08-17,26,300750.SZ,INITIAL_ENTRY,1,485.0,494.8,477.24,480.0,473.607,584.851,485.485,400,194194.0,485.611,0,,
2021-08-17,26,002460.SZ,INITIAL_ENTRY,1,162.9,167.49,159.51,161.1,162.801,203.128,163.063,1200,195675.48,163.105,0,,
2021-08-23,26,000858.SZ,ADD_POSITION,4,206.39,211.77,204.9,206.04,208.773,253.662,206.596,900,185936.75,240.402,31,,
2021-08-30,26,002460.SZ,TAKE_PROFIT_DYN,1,198.01,215.99,198.0,215.99,158.136,206.763,202.547,1200,243056.7,163.105,9,24.03,
2021-09-14,27,300750.SZ,TAKE_PROFIT_DYN,1,507.12,541.0,502.92,529.9,480.46,533.508,534.155,400,213662.12,485.611,20,9.86,
2021-09-17,28,000858.SZ,ADD_POSITION,5,196.0,205.0,194.07,201.95,196.676,216.63,196.196,1000,196196.0,229.889,50,,
2021-09-23,28,002466.SZ,INITIAL_ENTRY,1,108.24,109.98,105.16,105.73,103.436,139.476,108.348,1800,195026.83,108.376,0,,
2021-09-27,28,000858.SZ,TAKE_PROFIT_DYN,5,207.62,220.57,207.62,220.57,191.813,218.366,217.302,4200,912670.42,229.889,54,-5.59,
2021-09-28,29,002466.SZ,ADD_POSITION,2,97.03,97.95,94.3,94.95,93.352,141.545,97.127,2000,194254.06,102.469,3,,
2021-09-29,29,601919.SH,INITIAL_ENTRY,1,17.9,18.07,16.51,16.54,17.713,23.504,17.918,11100,198888.69,17.923,0,,
2021-09-30,29,600111.SH,INITIAL_ENTRY,1,42.67,44.65,41.92,44.27,41.128,63.479,42.713,4600,196478.28,42.724,0,,
2021-10-25,29,600111.SH,TAKE_PROFIT_DYN,1,48.56,52.5,47.21,52.06,40.139,52.282,52.308,4600,240615.14,42.724,12,22.28,
2021-10-28,30,000651.SZ,INITIAL_ENTRY,1,36.47,36.75,35.91,36.5,36.828,40.882,36.506,5400,197134.94,36.516,0,,
2021-11-09,30,002466.SZ,TAKE_PROFIT_DYN,2,108.12,109.45,105.55,108.44,86.897,107.908,108.012,3800,410445.14,102.469,28,5.28,
2021-11-16,31,601919.SH,ADD_POSITION,2,14.6,15.36,14.6,15.31,14.88,16.774,14.615,13600,198758.56,16.103,29,,
2021-11-17,31,600030.SH,INITIAL_ENTRY,1,23.91,24.14,23.86,24.04,24.186,26.308,23.934,8300,198651.45,23.94,0,,
2021-11-30,31,000651.SZ,ADD_POSITION,2,34.68,35.08,34.46,34.56,34.539,36.895,34.715,5700,197873.68,35.596,23,,
2021-11-30,31,601919.SH,TAKE_PROFIT_DYN,2,16.63,17.77,16.04,17.37,14.226,16.814,16.613,24700,410350.24,16.103,39,3.04,
2021-12-02,32,601012.SH,INITIAL_ENTRY,1,83.3,84.3,82.76,83.13,83.637,97.211,83.383,2300,191781.59,83.405,0,,
2021-12-06,32,601012.SH,ADD_POSITION,2,82.0,83.49,81.55,81.89,81.068,98.023,82.082,2400,196996.8,82.74,2,,
2021-12-06,32,600030.SH,TAKE_PROFIT_DYN,1,25.01,26.5,25.01,25.91,23.19,25.902,25.874,8300,214755.03,23.94,13,7.94,
2021-12-09,33,000651.SZ,TAKE_PROFIT_DYN,2,36.46,37.42,36.46,36.87,34.373,36.982,36.983,11100,410511.08,35.596,30,3.77,
2021-12-17,34,002594.SZ,INITIAL_ENTRY,1,284.0,285.88,278.61,278.98,284.207,315.504,284.284,700,198998.8,284.358,0,,
2021-12-21,34,002594.SZ,ADD_POSITION,2,270.5,276.78,269.41,276.21,275.088,317.346,270.77,700,189539.35,277.599,2,,
2021-12-21,34,300750.SZ,INITIAL_ENTRY,1,606.0,614.69,594.08,604.07,607.219,698.334,606.606,300,181981.8,606.764,0,,
2021-12-27,34,300750.SZ,ADD_POSITION,2,574.2,587.99,573.5,578.6,575.339,703.925,574.774,300,172432.26,590.844,4,,
2022-02-07,34,601012.SH,ADD_POSITION,3,71.6,74.33,70.91,73.22,71.493,84.789,71.672,2700,193513.32,78.709,41,,
2022-02-07,34,002594.SZ,ADD_POSITION,3,240.79,249.28,238.01,244.4,230.32,270.81,241.031,400,96412.32,269.487,30,,
2022-03-01,34,601012.SH,TAKE_PROFIT_DYN,3,80.5,81.86,79.32,80.05,63.292,79.358,80.42,7400,595104.3,78.709,57,2.05,
2022-03-04,35,000858.SZ,INITIAL_ENTRY,1,179.98,181.39,175.88,176.37,181.036,205.101,180.16,1100,198175.98,180.207,0,,
2022-03-08,35,002594.SZ,ADD_POSITION,4,221.08,225.49,210.0,216.19,221.623,259.135,221.301,900,199170.97,253.444,51,,
2022-03-08,35,300750.SZ,ADD_POSITION,3,463.98,466.46,443.01,455.45,463.485,561.674,464.444,400,185777.59,540.332,49,,
2022-05-05,35,002594.SZ,TAKE_PROFIT_DYN,4,246.2,252.39,241.77,248.8,227.58,248.497,248.142,2700,669982.35,253.444,88,-2.22,
2022-05-09,36,002415.SZ,INITIAL_ENTRY,1,34.0,35.28,33.8,34.88,35.382,43.783,34.034,5800,197397.2,34.043,0,,
2022-05-11,36,002415.SZ,ADD_POSITION,2,34.4,36.1,33.8,35.43,34.023,44.17,34.434,5800,199719.52,34.243,2,,
2022-05-16,36,002415.SZ,ADD_POSITION,3,32.08,33.15,32.08,32.66,31.496,45.154,32.112,6200,199094.9,33.504,5,,
2022-05-30,36,000858.SZ,TAKE_PROFIT_DYN,1,160.01,167.75,160.0,166.18,151.125,165.467,165.045,1100,181549.27,180.207,56,-8.53,
2022-06-02,37,300750.SZ,TAKE_PROFIT_DYN,3,422.78,443.78,421.01,436.8,370.23,441.765,442.947,1000,442946.61,540.332,106,-18.13,
2022-06-06,38,002415.SZ,TAKE_PROFIT_DYN,3,32.9,35.09,32.8,34.86,30.597,34.793,34.735,17800,618287.09,33.504,19,3.55,
2022-06-24,39,002241.SZ,INITIAL_ENTRY,1,32.16,33.64,31.84,33.47,32.975,42.594,32.192,6200,199591.39,32.201,0,,
2022-07-13,39,002594.SZ,INITIAL_ENTRY,1,309.0,313.84,296.77,309.88,312.12,361.401,309.309,600,185585.4,309.389,0,,
2022-07-14,39,600036.SH,INITIAL_ENTRY,1,37.17,37.19,35.5,36.48,37.484,42.632,37.207,5300,197198.0,37.217,0,,
2022-07-18,39,600036.SH,ADD_POSITION,2,35.15,35.84,35.01,35.63,34.954,41.251,35.185,5600,197036.84,36.178,2,,
2022-08-04,39,600036.SH,ADD_POSITION,3,33.33,33.7,33.23,33.66,32.996,38.227,33.363,5900,196843.65,35.192,15,,
2022-08-05,39,002241.SZ,TAKE_PROFIT_DYN,1,32.05,33.28,31.56,33.28,30.56,33.213,33.157,6200,205572.22,32.201,30,2.84,
2022-08-09,40,601888.SH,INITIAL_ENTRY,1,190.52,198.0,190.0,197.46,191.736,224.095,190.711,1000,190710.52,190.76,0,,
2022-08-11,40,002594.SZ,ADD_POSITION,2,311.43,315.89,305.6,315.02,311.48,339.084,311.741,600,187044.86,310.606,21,,
2022-08-31,40,600036.SH,TAKE_PROFIT_DYN,3,33.54,35.24,33.47,35.05,32.778,34.809,34.685,16800,582712.7,35.192,34,-1.57,
2022-09-01,41,002594.SZ,ADD_POSITION,3,285.0,294.6,284.03,286.7,292.626,336.068,285.285,700,199699.5,301.305,36,,
2022-09-01,41,300274.SZ,INITIAL_ENTRY,1,112.07,114.43,110.11,111.8,110.583,147.838,112.182,1700,190709.52,112.211,0,,
2022-09-05,41,002594.SZ,ADD_POSITION,4,269.0,270.88,261.1,268.76,277.931,341.255,269.269,700,188488.3,292.698,38,,
2022-09-05,41,601888.SH,ADD_POSITION,2,179.0,180.1,175.2,180.1,181.236,201.916,179.179,1000,179179.0,184.993,19,,
2022-09-26,41,601888.SH,TAKE_PROFIT_DYN,2,185.33,198.46,185.3,194.51,179.275,197.549,198.242,2000,396483.12,184.993,33,7.03,
2022-09-27,42,601899.SH,INITIAL_ENTRY,1,7.71,7.88,7.61,7.85,7.978,9.451,7.718,25900,199888.69,7.72,0,,
2022-09-29,42,601899.SH,ADD_POSITION,2,7.65,7.82,7.65,7.7,7.586,9.591,7.658,25800,197567.37,7.69,2,,
2022-10-12,42,300274.SZ,TAKE_PROFIT_DYN,1,116.65,126.0,113.9,126.0,105.927,125.302,124.925,1700,212372.41,112.211,23,11.19,
2022-10-13,43,600519.SH,INITIAL_ENTRY,1,1720.46,1735.0,1697.0,1699.99,1740.354,1940.896,1722.18,100,172218.05,1722.628,0,,
2022-10-28,43,601899.SH,TAKE_PROFIT_DYN,2,8.16,8.29,8.07,8.1,7.592,8.207,8.232,51700,425581.99,7.69,18,6.91,
2022-10-31,44,002594.SZ,ADD_POSITION,5,237.5,251.0,237.11,246.67,242.61,276.588,237.737,800,190190.0,279.781,72,,
2022-10-31,44,300750.SZ,INITIAL_ENTRY,1,360.0,380.22,356.58,372.88,370.726,452.787,360.36,500,180180.0,360.454,0,,
2022-11-04,44,002594.SZ,TAKE_PROFIT_DYN,5,268.98,283.02,268.0,280.2,242.395,278.943,278.212,3400,945919.13,279.781,76,-0.69,
2022-11-14,45,002241.SZ,INITIAL_ENTRY,1,16.86,18.69,16.76,18.03,17.861,28.058,16.877,11800,199146.95,16.881,0,,
2022-12-01,45,600519.SH,TAKE_PROFIT_DYN,1,1660.0,1680.0,1630.79,1630.8,1449.892,1630.268,1658.34,100,165834.0,1722.628,35,-3.85,
2022-12-07,46,300274.SZ,INITIAL_ENTRY,1,104.1,107.57,104.1,106.13,105.822,124.734,104.204,1900,197987.79,104.231,0,,
2022-12-07,46,300750.SZ,TAKE_PROFIT_DYN,1,400.0,421.68,399.0,418.31,362.591,410.193,406.333,500,203166.63,360.454,27,12.59,
2022-12-14,47,300274.SZ,ADD_POSITION,2,100.99,101.8,97.16,98.41,98.976,123.734,101.091,1900,192072.88,102.674,5,,
2022-12-23,47,601012.SH,INITIAL_ENTRY,1,40.2,41.09,39.88,40.54,41.448,48.603,40.24,4900,197176.98,40.251,0,,
2022-12-26,47,002241.SZ,ADD_POSITION,2,16.72,17.57,16.53,17.35,16.978,18.502,16.737,11900,199166.97,16.811,30,,
2023-01-03,47,300274.SZ,TAKE_PROFIT_DYN,2,110.01,117.47,109.95,115.61,90.158,115.615,115.504,3800,438916.64,102.674,18,12.35,
2023-01-05,48,002241.SZ,TAKE_PROFIT_DYN,2,16.93,18.61,16.93,18.61,16.573,18.379,18.272,23700,433039.53,16.811,37,8.55,
2023-01-12,49,300014.SZ,INITIAL_ENTRY,1,85.47,86.95,84.03,84.85,83.146,93.872,85.555,2300,196777.58,85.578,0,,
2023-01-18,49,601012.SH,TAKE_PROFIT_DYN,1,44.7,45.5,44.23,44.73,40.19,44.864,44.875,4900,219887.89,40.251,17,11.35,
2023-02-01,50,300014.SZ,TAKE_PROFIT_DYN,1,88.7,92.0,88.4,90.05,81.585,91.355,91.668,2300,210836.95,85.578,9,6.98,
2023-02-20,51,300750.SZ,INITIAL_ENTRY,1,416.0,421.88,406.33,420.47,423.115,478.504,416.416,400,166566.4,416.524,0,,
2023-02-21,51,300014.SZ,INITIAL_ENTRY,1,74.4,76.12,74.16,75.03,76.169,92.414,74.474,2600,193633.44,74.494,0,,
2023-02-22,51,300750.SZ,ADD_POSITION,2,409.0,414.1,406.67,409.47,410.739,483.917,409.409,400,163763.6,413.02,2,,
2023-02-23,51,300014.SZ,ADD_POSITION,2,74.0,75.1,73.68,74.44,72.979,93.602,74.074,2700,199999.8,74.29,2,,
2023-03-08,51,300059.SZ,INITIAL_ENTRY,1,20.05,20.19,19.91,20.14,20.058,22.7,20.07,9900,198693.5,20.075,0,,
2023-03-20,51,300750.SZ,ADD_POSITION,3,374.54,384.6,368.0,379.95,376.831,421.412,374.915,500,187457.27,398.401,20,,
2023-03-20,51,300014.SZ,ADD_POSITION,3,62.14,65.5,61.38,64.2,62.153,77.541,62.202,3200,199046.85,69.745,19,,
2023-03-23,51,300059.SZ,ADD_POSITION,2,18.75,19.58,18.72,19.55,19.066,21.535,18.769,10600,198948.75,19.402,11,,
2023-03-31,51,300750.SZ,TAKE_PROFIT_DYN,3,404.5,414.98,404.5,406.05,377.946,412.034,413.366,1300,537376.09,398.401,29,3.63,
2023-04-03,52,300059.SZ,TAKE_PROFIT_DYN,2,20.05,23.05,20.03,22.89,18.686,21.576,20.729,20500,424949.62,19.402,18,6.7,
2023-04-11,53,000858.SZ,INITIAL_ENTRY,1,183.97,184.15,180.01,180.53,182.895,200.556,184.154,1000,184153.97,184.202,0,,
2023-04-13,53,000858.SZ,ADD_POSITION,2,176.0,179.9,175.55,177.88,177.51,202.551,176.176,1100,193793.6,180.022,2,,
2023-04-13,53,600519.SH,INITIAL_ENTRY,1,1690.0,1723.59,1684.01,1723.0,1707.046,1835.346,1691.69,100,169169.0,1692.13,0,,
2023-04-21,53,300014.SZ,ADD_POSITION,4,64.7,66.36,62.73,62.78,64.257,71.168,64.765,3000,194294.1,68.45,42,,
2023-04-25,53,300014.SZ,ADD_POSITION,5,62.01,62.35,59.42,60.38,61.729,72.285,62.072,3200,198630.43,67.065,44,,
2023-05-22,53,000858.SZ,TAKE_PROFIT_DYN,2,170.89,179.06,169.08,177.61,166.131,176.22,175.474,2100,368496.14,180.022,26,-2.65,
2023-05-23,54,600809.SH,INITIAL_ENTRY,1,221.0,223.0,211.6,213.78,220.382,250.477,221.221,900,199098.9,221.279,0,,
2023-05-25,54,600809.SH,ADD_POSITION,2,214.87,219.13,211.36,215.65,213.986,252.468,215.085,900,193576.38,218.21,2,,
2023-06-16,54,600519.SH,TAKE_PROFIT_DYN,1,1757.0,1800.0,1750.1,1797.69,1609.148,1776.534,1766.202,100,176620.2,1692.13,43,4.25,
2023-06-27,55,600809.SH,ADD_POSITION,3,195.49,195.8,186.3,191.89,193.488,218.371,195.685,900,176116.94,210.719,23,,
2023-06-27,55,300418.SZ,INITIAL_ENTRY,1,44.5,44.89,42.91,43.1,44.699,65.907,44.544,300,13363.35,44.562,0,,
2023-07-25,55,600809.SH,TAKE_PROFIT_DYN,3,222.0,226.8,219.13,225.0,183.539,224.694,224.365,2700,605786.61,210.719,43,6.34,
2023-08-01,56,600276.SH,INITIAL_ENTRY,1,44.31,44.31,42.3,43.38,44.455,50.152,44.354,4500,199594.4,44.366,0,,
2023-08-03,56,600276.SH,ADD_POSITION,2,41.85,42.89,41.18,42.27,42.646,50.686,41.892,4700,196891.69,43.108,2,,
2023-08-07,56,600276.SH,ADD_POSITION,3,40.66,40.66,38.56,39.13,40.284,51.468,40.701,4900,199433.23,42.275,4,,
2023-08-14,56,300418.SZ,TAKE_PROFIT_DYN,1,36.02,40.07,35.7,39.86,34.498,39.79,39.73,300,11919.07,44.562,34,-10.97,
2023-08-17,57,002230.SZ,INITIAL_ENTRY,1,57.58,59.22,56.74,58.83,59.321,65.94,57.638,300,17291.27,57.655,0,,
2023-08-28,57,600276.SH,TAKE_PROFIT_DYN,3,42.99,43.35,41.52,41.92,37.999,42.997,43.257,14100,609919.47,42.275,19,2.24,
2023-09-08,58,002475.SZ,INITIAL_ENTRY,1,29.5,29.8,28.89,29.35,29.6,33.742,29.529,6700,197847.65,29.537,0,,
2023-10-10,58,002230.SZ,TAKE_PROFIT_DYN,1,51.27,53.78,50.59,51.65,46.17,53.3,53.696,300,16108.88,57.655,32,-6.94,
2023-10-11,59,002475.SZ,TAKE_PROFIT_DYN,1,31.0,31.9,31.0,31.82,28.048,31.645,31.548,6700,211374.41,29.537,17,6.73,
2023-10-16,60,600519.SH,INITIAL_ENTRY,1,1750.98,1756.0,1722.45,1729.9,1741.781,1862.577,1752.731,100,175273.1,1753.187,0,,
