ts_code,date,adj_changed,pstar_old,pstar_correct,old_trigger,corr_trigger
000725.SZ,2020-03-24,False,5.785861596980315,5.785861596980315,False,False
601318.SH,2020-03-25,False,87.26766166626899,87.26766166626899,False,False
300750.SZ,2020-03-25,False,162.4362099706915,162.4362099706915,False,False
000725.SZ,2020-03-25,False,5.722044258031419,5.722044258031419,False,False
601318.SH,2020-03-26,False,86.80647423532469,86.80647423532469,False,False
300750.SZ,2020-03-26,False,159.5487240177003,159.5487240177003,False,False
000725.SZ,2020-03-26,False,5.638379360963423,5.638379360963423,False,False
601318.SH,2020-03-27,False,86.56498256859048,86.56498256859048,False,False
300750.SZ,2020-03-27,False,158.92988501085068,158.92988501085068,False,False
000725.SZ,2020-03-27,False,5.624177544554801,5.624177544554801,False,False
601318.SH,2020-03-30,False,85.96313040906037,85.96313040906037,False,False
300750.SZ,2020-03-30,False,157.54184434877334,157.54184434877334,False,False
000725.SZ,2020-03-30,False,5.561591027489285,5.561591027489285,False,False
601318.SH,2020-03-31,False,85.27839171156525,85.27839171156525,False,False
300750.SZ,2020-03-31,False,154.5973716726325,154.5973716726325,False,False
000725.SZ,2020-03-31,False,5.497176759212771,5.497176759212771,False,False
601318.SH,2020-04-01,False,84.1839098438778,84.1839098438778,False,False
300750.SZ,2020-04-01,False,151.72061576835088,151.72061576835088,False,False
000725.SZ,2020-04-01,False,5.43030893810698,5.43030893810698,False,False
601318.SH,2020-04-02,False,82.26745737852534,82.26745737852534,False,False
300750.SZ,2020-04-02,False,147.92441118126453,147.92441118126453,False,False
000725.SZ,2020-04-02,False,5.3078877907578,5.3078877907578,False,False
601318.SH,2020-04-03,False,80.47569889217182,80.47569889217182,False,False
300750.SZ,2020-04-03,False,144.14969910390712,144.14969910390712,False,False
000725.SZ,2020-04-03,False,5.128187561201823,5.128187561201823,False,False
601318.SH,2020-04-07,False,79.29499321952994,79.29499321952994,False,False
300750.SZ,2020-04-07,False,142.6120004765115,142.6120004765115,False,False
000725.SZ,2020-04-07,False,5.003607230041323,5.003607230041323,False,False
601318.SH,2020-04-08,False,77.45253236380222,77.45253236380222,False,False
300750.SZ,2020-04-08,False,139.04854859591384,139.04854859591384,False,False
000725.SZ,2020-04-08,False,4.792083160874524,4.792083160874524,False,False
601318.SH,2020-04-09,False,75.54562023510317,75.54562023510317,False,False
300750.SZ,2020-04-09,False,134.37861982044814,134.37861982044814,False,False
000725.SZ,2020-04-09,False,4.586451948661503,4.586451948661503,False,False
601318.SH,2020-04-10,False,73.75768576912542,73.75768576912542,False,False
300750.SZ,2020-04-10,False,131.25070166611403,131.25070166611403,False,False
000725.SZ,2020-04-10,False,4.448215083273208,4.448215083273208,False,False
601318.SH,2020-04-13,False,72.54521168245671,72.54521168245671,False,False
300750.SZ,2020-04-13,False,128.13678885198834,128.13678885198834,False,False
000725.SZ,2020-04-13,False,4.329489945471303,4.329489945471303,False,False
601318.SH,2020-04-14,False,72.14584676005798,72.14584676005798,False,False
300750.SZ,2020-04-14,False,128.13632691854525,128.13632691854525,False,False
000725.SZ,2020-04-14,False,4.311092982261619,4.311092982261619,False,False
601318.SH,2020-04-15,False,71.8048880112466,71.8048880112466,False,False
300750.SZ,2020-04-15,False,129.3956939448741,129.3956939448741,True,True
000725.SZ,2020-04-15,False,4.249886564065295,4.249886564065295,False,False
601318.SH,2020-04-16,False,71.96262918969698,71.96262918969698,False,False
000725.SZ,2020-04-16,False,4.215357950870861,4.215357950870861,False,False
601318.SH,2020-04-17,False,71.93599086658821,71.93599086658821,True,True
000725.SZ,2020-04-17,False,4.158426462484917,4.158426462484917,False,False
000725.SZ,2020-04-20,False,4.077615815834055,4.077615815834055,False,False
000725.SZ,2020-04-21,False,4.069413807001997,4.069413807001997,False,False
