date,K1,K2,K3
2021-04-06,1.3943116216840188,1.2342179753247693,1.392425353082039
2021-04-07,1.3872936216840188,1.2150319753247691,1.3748741530820388
2021-04-08,1.3915786216840187,1.206168975324769,1.368537153082039
2021-04-09,1.3902161216840188,1.1892724753247692,1.3542636530820387
2021-04-12,1.3951076216840188,1.172349975324769,1.3414475979820388
2021-04-13,1.3951781216840187,1.203482475324769,1.364484420332039
2021-04-14,1.4078721216840187,1.212136475324769,1.3701844562820389
2021-04-15,1.4000246216840189,1.190926975324769,1.353259456282039
2021-04-16,1.4089351216840187,1.188475475324769,1.341969456282039
2021-04-19,1.4182466216840188,1.2650211118947141,1.4174673167877956
2021-04-20,1.4038466216840189,1.2518071118947143,1.4020673167877957
2021-04-21,1.3930451216840187,1.2420137118947143,1.3911553167877957
2021-04-22,1.4003576216840188,1.248436711894714,1.3911003167877956
2021-04-23,1.3898691216840187,1.2393121118947141,1.4054973167877955
2021-04-26,1.4001066216840188,1.2480671118947142,1.4151573167877955
2021-04-27,1.4037801216840187,1.2509697118947143,1.4056853167877956
2021-04-28,1.4024221216840187,1.2498489118947143,1.4103663167877956
2021-04-29,1.4051466216840187,1.2519211118947142,1.3988423167877957
2021-04-30,1.4006624183440188,1.2474368440547143,1.3966530489477957
2021-05-06,1.3760232020940186,1.2235295398047144,1.3648745446977957
2021-05-07,1.3590308722940188,1.1990756521047141,1.3235138492227956
2021-05-10,1.3751090250440188,1.2091403792297142,1.3412304492227958
2021-05-11,1.3652841250440186,1.222596279229714,1.3502460492227957
2021-05-12,1.4055422250440186,1.2677121792297141,1.3791086492227955
2021-05-13,1.3680225250440188,1.238578879229714,1.3661674492227958
2021-05-14,1.4026743250440188,1.271745079229714,1.3868832492227958
2021-05-17,1.4444613250440186,1.3164050792297142,1.4377612492227958
2021-05-18,1.4391550250440186,1.310640379229714,1.4517004924703807
2021-05-19,1.5175359250440188,1.3873484792297142,1.5005558924703808
2021-05-20,1.517962625044019,1.3902147792297141,1.5015390924703804
2021-05-21,1.5254078250440188,1.388375579229714,1.5081722924703806
2021-05-24,1.5277872250440188,1.3957331792297143,1.5130265419153806
2021-05-25,1.548955625044019,1.4327036778953304,1.5397054019756888
