ts_code,signal_date,entry_date,exit_date,entry_adj_factor,min_adj_factor,max_adj_factor,factor_changed,old_raw_trig,new_adj_trig,old_raw_trig_date,new_adj_trig_date
603020.SH,2020-03-16,2020-03-17,2020-03-25,2.130199909210205,2.130199909210205,2.130199909210205,0,0,0,2020-03-25,2020-03-25
603038.SH,2020-03-16,2020-03-17,2020-03-25,2.026900053024292,2.026900053024292,2.026900053024292,0,0,0,2020-03-25,2020-03-25
002731.SZ,2020-03-17,2020-03-18,2020-03-25,1.7229000329971313,1.7229000329971313,1.7229000329971313,0,0,0,2020-03-25,2020-03-25
300158.SZ,2020-03-17,2020-03-18,2020-03-25,4.333000183105469,4.333000183105469,4.333000183105469,0,0,0,2020-03-25,2020-03-25
000678.SZ,2020-03-18,2020-03-19,2020-03-25,4.95989990234375,4.95989990234375,4.95989990234375,0,0,0,2020-03-25,2020-03-25
000889.SZ,2020-03-18,2020-03-19,2020-03-25,3.608099937438965,3.608099937438965,3.608099937438965,0,0,0,2020-03-25,2020-03-25
002349.SZ,2020-03-18,2020-03-19,2020-03-25,7.83050012588501,7.83050012588501,7.83050012588501,0,0,0,2020-03-25,2020-03-25
600824.SH,2020-03-23,2020-03-24,2020-03-25,26.16390037536621,26.16390037536621,26.16390037536621,0,0,0,2020-03-25,2020-03-25
603288.SH,2020-02-28,2020-03-02,2020-03-26,3.9086999893188477,3.9086999893188477,3.9086999893188477,0,0,0,2020-03-26,2020-03-26
600420.SH,2020-03-13,2020-03-16,2020-03-26,9.055100440979004,9.055100440979004,9.055100440979004,0,0,0,2020-03-26,2020-03-26
601339.SH,2020-03-13,2020-03-16,2020-03-26,2.326900005340576,2.326900005340576,2.326900005340576,0,0,0,2020-03-26,2020-03-26
002863.SZ,2020-03-16,2020-03-17,2020-03-26,1.7137000560760498,1.7137000560760498,1.7137000560760498,0,0,0,2020-03-26,2020-03-26
600303.SH,2020-03-16,2020-03-17,2020-03-26,6.533199787139893,6.533199787139893,6.533199787139893,0,0,0,2020-03-26,2020-03-26
600983.SH,2020-03-16,2020-03-17,2020-03-26,2.459399938583374,2.459399938583374,2.459399938583374,0,0,0,2020-03-26,2020-03-26
601018.SH,2020-03-16,2020-03-17,2020-03-26,1.197700023651123,1.197700023651123,1.197700023651123,0,0,0,2020-03-26,2020-03-26
603855.SH,2020-03-16,2020-03-17,2020-03-26,1.093000054359436,1.093000054359436,1.093000054359436,0,0,0,2020-03-26,2020-03-26
603222.SH,2020-03-17,2020-03-18,2020-03-26,2.0280001163482666,2.0280001163482666,2.0280001163482666,0,0,0,2020-03-26,2020-03-26
000505.SZ,2020-03-18,2020-03-19,2020-03-26,3.3117001056671143,3.3117001056671143,3.3117001056671143,0,0,0,2020-03-26,2020-03-26
300233.SZ,2020-03-18,2020-03-19,2020-03-26,2.161600112915039,2.161600112915039,2.161600112915039,0,0,0,2020-03-26,2020-03-26
600880.SH,2020-03-18,2020-03-19,2020-03-26,29.147899627685547,29.147899627685547,29.147899627685547,0,0,0,2020-03-26,2020-03-26
