ts_code,entry_date,exit_date,pnl,return_pct,D1_ret_vs_exitclose,D3_ret_vs_exitclose,D5_ret_vs_exitclose,D10_ret_vs_exitclose,D20_ret_vs_exitclose,post20_high_ret
000568.SZ,2023-12-11,2024-02-22,-33546.676139999996,-9.89,2.1765417170495738,2.732769044740002,6.257557436517525,1.124546553808936,15.054413542926248,17.472793228536876
000063.SZ,2023-07-20,2024-02-28,10654.578959999955,2.54,9.057706355003647,10.555149744338932,7.998539079620159,6.501095690284875,-4.492330168005843,13.951789627465306
601318.SH,2024-03-22,2024-05-20,47387.58023999998,12.71,-0.13198416190057793,-1.495820501539813,-2.991641003079626,-5.1253849538055345,-8.205015398152227,1.2978442586889516
601012.SH,2024-01-29,2024-05-23,-26931.47900000005,-3.33,-0.8980454305335339,-2.324352879028002,-0.15847860538827918,-9.2445853143159,-18.33069202324352,2.4300052826201846
601138.SH,2024-05-31,2024-06-17,35961.19073999999,18.04,4.0348964013086075,3.9985459832788006,0.1454016721192275,1.781170483460559,-1.9992729916394114,7.124681933842236
000977.SZ,2024-05-28,2024-07-10,23338.866960000014,5.9,-0.6377551020408156,-3.316326530612257,-2.5510204081632626,-3.571428571428581,-14.158163265306134,2.0153061224489788
000725.SZ,2024-05-28,2024-07-11,29382.223140000133,4.9,-0.23201856148491462,-4.640371229698359,-6.264501160092795,-12.296983758700698,-13.225058004640356,0.23201856148493682
300059.SZ,2024-06-28,2024-08-01,10441.234259999997,4.23,-1.821493624772319,-2.0947176684881663,-2.823315118397085,-2.823315118397085,-5.373406193078322,0.9107468123861429
002594.SZ,2024-08-02,2024-09-02,17028.928799999994,6.07,2.4802986312733477,4.873496474491912,3.683119037743676,7.1878888428038135,26.78971381169639,40.207382828701796
601919.SH,2024-07-12,2024-09-23,-15512.855359999987,-3.84,4.226415094339631,9.660377358490567,18.56603773584906,12.15094339622642,10.716981132075464,30.41509433962264
601138.SH,2024-07-18,2024-09-25,-63781.931040000054,-9.21,2.8001898433792194,19.553868058851442,23.398196487897494,11.675367821547233,17.89273849074513,34.3141907925961
600150.SH,2024-09-02,2024-10-09,92725.707,23.44,4.93150684931507,1.3200498132005078,-1.8181818181818077,-2.241594022415938,-6.251556662515567,9.838107098381087
600030.SH,2024-12-31,2025-02-10,9330.376080000075,1.4,-0.6394316163410241,-0.1065719360568318,0.497335701598578,0.7104795737122638,-3.232682060390768,1.8827708703374801
300059.SZ,2025-01-02,2025-05-13,-26122.11433999997,-6.53,5.034965034965033,0.37296037296037365,0.3263403263403353,-3.5431235431235386,0.18648018648017572,8.531468531468533
600418.SH,2024-11-27,2025-05-22,126259.22622000007,14.87,1.6185258964143578,0.6474103585657476,-2.0667330677290763,-12.749003984063744,2.9631474103585687,11.827689243027883
000063.SZ,2025-03-03,2025-07-18,-8446.475399999996,-4.25,0.08766803039159665,-0.9643483343074188,0.4967855055523218,-0.9351256575102274,2.8930450029222676,4.55873758036236
600519.SH,2025-06-13,2025-07-21,857.6880599999859,0.6,1.5232155232155264,3.3610533610533677,-0.3007623007622917,-1.6632016632016633,-1.004851004851004,3.8808038808038736
688256.SH,2025-05-27,2025-07-28,74374.67897999997,14.01,4.680412371134013,4.491899852724601,1.4815905743740698,4.182621502209138,103.9661266568483,104.86008836524299
300308.SZ,2025-10-14,2025-10-27,153395.94660000002,43.8,0.7977364718827262,1.139623531261047,-5.686328447361177,-3.7214602900145444,-10.244822572405388,6.497818996345339
002460.SZ,2025-11-24,2025-12-23,22287.495720000006,11.17,0.6479807112718561,3.3303194695599725,-3.3303194695599614,-2.019288728149493,5.259192284508729,12.266425557564808
300750.SZ,2025-11-21,2026-02-09,30788.473499999964,3.44,-1.0438696383059387,1.9115015454693296,-1.862697250691392,-6.710590531966809,9.809663250366029,13.8766878151944
601138.SH,2025-11-24,2026-04-09,3255.12360000005,0.55,2.72628135223556,7.088331515812429,7.815339876408567,23.446019629225724,17.048346055979646,25.590694292984352
002475.SZ,2026-01-08,2026-04-09,-24693.46776000003,-2.56,5.609003448901784,7.3516064621528265,9.729533490651665,23.016881466690855,40.11617353421673,43.00235977491378
601899.SH,2026-03-16,2026-07-23,2367.3502800001297,0.26,-4.688445251058681,-4.143980641258316,-1.0889292196007205,4.355716878402904,3.599516031457939,8.287961282516608
600487.SH,2026-07-06,2026-08-25,-116500.58136000007,-20.04,,,,,,
688256.SH,2026-07-16,2026-08-25,-40318.69098000007,-7.4,,,,,,
300502.SZ,2026-07-29,2026-08-25,-8297.669280000002,-4.92,,,,,,
