ts_code,signal_date,old_report_period,new_report_period,old_ann_date,new_ann_date,changed
300357.SZ,2020-02-28,20190930,20190930,20191022,20191022,0
601919.SH,2020-02-28,20190930,20190930,20191031,20191031,0
300434.SZ,2020-02-28,20190930,20190930,20191025,20191025,0
600167.SH,2020-02-28,20190930,20190930,20191031,20191031,0
000681.SZ,2020-02-28,20190930,20190930,20191030,20191030,0
603318.SH,2020-02-28,20190930,20190930,20191031,20191031,0
002038.SZ,2020-02-28,20190930,20190930,20191028,20191028,0
002304.SZ,2020-02-28,20190930,20190930,20191030,20191030,0
300009.SZ,2020-02-28,20190930,20190930,20191025,20191025,0
002174.SZ,2020-03-02,20190930,20190930,20191023,20191023,0
688012.SH,2020-03-02,20190930,20190930,20191029,20191029,0
002812.SZ,2020-03-02,20190930,20190930,20191023,20191023,0
002635.SZ,2020-03-02,20190930,20190930,20191030,20191030,0
300718.SZ,2020-03-02,20190930,20190930,20191029,20191029,0
600530.SH,2020-03-03,20190930,20190930,20191029,20191029,0
300418.SZ,2020-03-03,20190930,20190930,20191028,20191028,0
300315.SZ,2020-03-04,20190930,20190930,20191029,20191029,0
002261.SZ,2020-03-04,20190930,20190930,20191012,20191012,0
603377.SH,2020-03-04,20190930,20190930,20191018,20191018,0
002597.SZ,2020-03-09,20191231,20191231,20200306,20200306,0
688369.SH,2020-03-09,20190930,20190930,20191030,20191030,0
300559.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
300771.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
300393.SZ,2020-03-09,20190930,20190930,20191028,20191028,0
002624.SZ,2020-03-09,20190930,20190930,20191028,20191028,0
600346.SH,2020-03-09,20190930,20190930,20191024,20191024,0
601012.SH,2020-03-09,20190930,20190930,20191031,20191031,0
600733.SH,2020-03-09,20190930,20190930,20191030,20191030,0
600201.SH,2020-03-09,20190930,20190930,20191019,20191019,0
600699.SH,2020-03-09,20190930,20190930,20191029,20191029,0
002439.SZ,2020-03-09,20190930,20190930,20191025,20191025,0
600176.SH,2020-03-09,20190930,20190930,20191023,20191023,0
603516.SH,2020-03-09,20190930,20190930,20191026,20191026,0
603960.SH,2020-03-09,20190930,20190930,20191030,20191030,0
300282.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
300799.SZ,2020-03-09,20190930,20190930,20191028,20191028,0
300303.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
300451.SZ,2020-03-09,20190930,20190930,20191022,20191022,0
300687.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
603727.SH,2020-03-09,20190930,20190930,20191026,20191026,0
002354.SZ,2020-03-09,20190930,20190930,20191031,20191031,0
601225.SH,2020-03-09,20190930,20190930,20191031,20191031,0
601997.SH,2020-03-09,20190930,20190930,20191029,20191029,0
300207.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
000155.SZ,2020-03-09,20190930,20190930,20191022,20191022,0
688116.SH,2020-03-09,20190930,20190930,20191030,20191030,0
300433.SZ,2020-03-09,20190930,20190930,20191022,20191022,0
600177.SH,2020-03-09,20190930,20190930,20191031,20191031,0
688023.SH,2020-03-09,20190930,20190930,20191104,20191104,0
002850.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
000429.SZ,2020-03-09,20190930,20190930,20191031,20191031,0
300338.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
603203.SH,2020-03-09,20190930,20190930,20191031,20191031,0
300012.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
002315.SZ,2020-03-09,20191231,20191231,20200208,20200208,0
002008.SZ,2020-03-09,20190930,20190930,20191024,20191024,0
600529.SH,2020-03-09,20190930,20190930,20191022,20191022,0
300496.SZ,2020-03-09,20191231,20191231,20200227,20200227,0
300300.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
688299.SH,2020-03-09,20190930,20190930,20191105,20191105,0
603496.SH,2020-03-09,20190930,20190930,20191030,20191030,0
002579.SZ,2020-03-09,20190930,20190930,20191024,20191024,0
300751.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
300465.SZ,2020-03-09,20190930,20190930,20191025,20191025,0
002555.SZ,2020-03-09,20190930,20190930,20191031,20191031,0
002666.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
600673.SH,2020-03-09,20190930,20190930,20191030,20191030,0
603583.SH,2020-03-09,20190930,20190930,20191031,20191031,0
002091.SZ,2020-03-09,20190930,20190930,20191031,20191031,0
002756.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
600507.SH,2020-03-09,20191231,20191231,20200228,20200228,0
603589.SH,2020-03-09,20190930,20190930,20191029,20191029,0
002235.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
603888.SH,2020-03-09,20190930,20190930,20191030,20191030,0
300148.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
300651.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
300234.SZ,2020-03-09,20190930,20190930,20191018,20191018,0
600570.SH,2020-03-09,20190930,20190930,20191026,20191026,0
601128.SH,2020-03-09,20190930,20190930,20191026,20191026,0
300369.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
600563.SH,2020-03-09,20190930,20190930,20191031,20191031,0
688399.SH,2020-03-09,20190930,20190930,20191115,20191115,0
002664.SZ,2020-03-09,20190930,20190930,20191022,20191022,0
600328.SH,2020-03-09,20190930,20190930,20191025,20191025,0
600007.SH,2020-03-09,20190930,20190930,20191031,20191031,0
600633.SH,2020-03-09,20190930,20190930,20191030,20191030,0
601628.SH,2020-03-09,20190930,20190930,20191030,20191030,0
603039.SH,2020-03-09,20190930,20190930,20191029,20191029,0
300191.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
601838.SH,2020-03-09,20190930,20190930,20191031,20191031,0
300113.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
300177.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
603019.SH,2020-03-09,20190930,20190930,20191026,20191026,0
300251.SZ,2020-03-09,20190930,20190930,20191025,20191025,0
002241.SZ,2020-03-09,20190930,20190930,20191024,20191024,0
300224.SZ,2020-03-09,20190930,20190930,20191015,20191015,0
002027.SZ,2020-03-09,20190930,20190930,20191031,20191031,0
000883.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
688006.SH,2020-03-09,20190930,20190930,20191029,20191029,0
002074.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
300770.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
601858.SH,2020-03-09,20190930,20190930,20191030,20191030,0
600373.SH,2020-03-09,20190930,20190930,20191030,20191030,0
300288.SZ,2020-03-09,20190930,20190930,20191025,20191025,0
002371.SZ,2020-03-09,20190930,20190930,20191031,20191031,0
300468.SZ,2020-03-09,20190930,20190930,20191028,20191028,0
002415.SZ,2020-03-09,20190930,20190930,20191019,20191019,0
300079.SZ,2020-03-09,20190930,20190930,20191019,20191019,0
300362.SZ,2020-03-09,20190930,20190930,20191026,20191026,0
002247.SZ,2020-03-09,20190930,20190930,20191031,20191031,0
603501.SH,2020-03-09,20190930,20190930,20191031,20191031,0
002781.SZ,2020-03-09,20190930,20190930,20191030,20191030,0
002019.SZ,2020-03-09,20190930,20190930,20191025,20191025,0
603232.SH,2020-03-09,20190930,20190930,20191026,20191026,0
600850.SH,2020-03-09,20190930,20190930,20191019,20191019,0
600535.SH,2020-03-09,20190930,20190930,20191029,20191029,0
601966.SH,2020-03-09,20190930,20190930,20191026,20191026,0
603786.SH,2020-03-09,20190930,20190930,20191031,20191031,0
002460.SZ,2020-03-09,20190930,20190930,20191029,20191029,0
688118.SH,2020-03-09,20190930,20190930,20191114,20191114,0
300188.SZ,2020-03-09,20190930,20190930,20191028,20191028,0
002506.SZ,2020-03-10,20190930,20190930,20191026,20191026,0
002603.SZ,2020-03-10,20190930,20190930,20191030,20191030,0
300196.SZ,2020-03-11,20190930,20190930,20191026,20191026,0
002605.SZ,2020-03-11,20190930,20190930,20191029,20191029,0
600636.SH,2020-03-11,20190930,20190930,20191030,20191030,0
000999.SZ,2020-03-11,20190930,20190930,20191030,20191030,0
300343.SZ,2020-03-11,20190930,20190930,20191030,20191030,0
603338.SH,2020-03-11,20190930,20190930,20191030,20191030,0
603444.SH,2020-03-11,20190930,20190930,20191023,20191023,0
600062.SH,2020-03-12,20190930,20190930,20191030,20191030,0
002595.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
300267.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
603259.SH,2020-03-12,20190930,20190930,20191031,20191031,0
603968.SH,2020-03-12,20190930,20190930,20191030,20191030,0
002198.SZ,2020-03-12,20190930,20190930,20191025,20191025,0
300347.SZ,2020-03-12,20190930,20190930,20191028,20191028,0
300464.SZ,2020-03-12,20190930,20190930,20191029,20191029,0
