ts_code,signal_date,ann_le_signal,strict_income_ok,strict_cashflow_ok,fina_ambiguous
300379.SZ,2020-09-10,True,True,True,1
300379.SZ,2021-01-26,True,True,True,1
300379.SZ,2021-04-22,True,True,True,1
300379.SZ,2022-07-05,True,True,True,1
300379.SZ,2022-12-20,True,True,True,1
300379.SZ,2023-05-29,True,True,True,1
300379.SZ,2023-08-18,True,True,True,1
300398.SZ,2021-08-30,True,True,True,1
300398.SZ,2022-04-01,True,True,True,1
300398.SZ,2022-07-12,True,True,True,1
300398.SZ,2022-08-26,True,True,True,1
300398.SZ,2022-11-28,True,True,True,1
300398.SZ,2023-03-07,True,True,True,1
300398.SZ,2023-04-21,True,True,True,1
300398.SZ,2023-08-22,True,True,True,1
300398.SZ,2023-10-20,True,True,True,1
300427.SZ,2020-03-18,True,True,True,1
300437.SZ,2020-03-16,True,True,True,1
300437.SZ,2020-11-25,True,True,True,1
300437.SZ,2021-03-29,True,True,True,1
300437.SZ,2022-01-20,True,True,True,1
300437.SZ,2022-08-02,True,True,True,1
300437.SZ,2022-12-19,True,True,True,1
300437.SZ,2023-03-16,True,True,True,1
300460.SZ,2022-08-31,True,True,True,1
300460.SZ,2022-11-28,True,True,True,1
300460.SZ,2023-04-18,True,True,True,1
300462.SZ,2020-09-11,True,True,True,1
300472.SZ,2023-07-19,True,True,True,1
300500.SZ,2021-10-12,True,True,True,1
300500.SZ,2022-03-29,True,True,True,1
300500.SZ,2022-08-03,True,True,True,1
300500.SZ,2022-12-08,True,True,True,1
300500.SZ,2023-04-20,True,True,True,1
300500.SZ,2024-12-23,True,True,True,1
300503.SZ,2022-08-22,True,True,True,1
300503.SZ,2022-11-23,True,True,True,1
300503.SZ,2023-04-21,True,True,True,1
300511.SZ,2021-04-27,True,True,True,1
300511.SZ,2021-06-11,True,True,True,1
300511.SZ,2021-07-28,True,True,True,1
300511.SZ,2022-01-25,True,True,True,1
300511.SZ,2022-04-22,True,True,True,1
300518.SZ,2023-08-16,True,True,True,1
300518.SZ,2023-12-18,True,True,True,1
300521.SZ,2023-06-14,True,True,True,1
300521.SZ,2023-08-23,True,True,True,1
300528.SZ,2020-12-09,True,True,True,1
300528.SZ,2021-05-31,True,True,True,1
300528.SZ,2021-07-28,True,True,True,1
300528.SZ,2022-01-27,True,True,True,1
300528.SZ,2022-03-15,True,True,True,1
300528.SZ,2022-04-25,True,True,True,1
300528.SZ,2022-08-02,True,True,True,1
300528.SZ,2022-09-23,True,True,True,1
300528.SZ,2023-01-12,True,True,True,1
300528.SZ,2023-12-26,True,True,True,1
300528.SZ,2024-04-15,True,True,True,1
300600.SZ,2021-07-13,True,True,True,1
300600.SZ,2021-09-29,True,True,True,1
300600.SZ,2022-01-07,True,True,True,1
300600.SZ,2022-03-08,True,True,True,1
300600.SZ,2022-04-26,True,True,True,1
300600.SZ,2022-08-23,True,True,True,1
300600.SZ,2023-03-16,True,True,True,1
300600.SZ,2023-08-02,True,True,True,1
300617.SZ,2021-10-13,True,True,True,1
300617.SZ,2022-08-12,True,True,True,1
300617.SZ,2022-10-28,True,True,True,1
300617.SZ,2022-12-19,True,True,True,1
300617.SZ,2023-03-14,True,True,True,1
300617.SZ,2023-08-21,True,True,True,1
300624.SZ,2023-06-28,True,True,True,1
300630.SZ,2022-09-15,True,True,True,1
300630.SZ,2023-04-17,True,True,True,1
300630.SZ,2023-08-23,True,True,True,1
300635.SZ,2023-06-26,True,True,True,1
300730.SZ,2023-06-26,True,True,True,1
300730.SZ,2023-07-26,True,True,True,1
300732.SZ,2021-04-30,True,True,True,1
300732.SZ,2021-07-19,True,True,True,1
300732.SZ,2021-07-28,True,True,True,1
300732.SZ,2021-10-28,True,True,True,1
300732.SZ,2022-04-21,True,True,True,1
300732.SZ,2022-08-02,True,True,True,1
300732.SZ,2022-09-16,True,True,True,1
300732.SZ,2022-12-19,True,True,True,1
300732.SZ,2023-04-21,True,True,True,1
300773.SZ,2023-11-30,True,True,True,1
300816.SZ,2022-01-05,True,True,True,1
300816.SZ,2022-02-11,True,True,True,1
300816.SZ,2022-07-12,True,True,True,1
300816.SZ,2022-08-24,True,True,True,1
300816.SZ,2022-12-21,True,True,True,1
300816.SZ,2023-03-23,True,True,True,1
300816.SZ,2023-07-20,True,True,True,1
300956.SZ,2023-04-14,True,True,True,1
300959.SZ,2022-06-09,True,True,True,1
300959.SZ,2023-04-25,True,True,True,1
300959.SZ,2023-06-26,True,True,True,1
300967.SZ,2024-12-25,True,True,True,1
300982.SZ,2023-06-27,True,True,True,1
301123.SZ,2024-09-13,True,True,True,1
