kind,ts_code,end_date,ann_date,n_rows,n_update_flag_vals,n_f_ann_vals,n_value_vals
income,000021.SZ,20201231,20210430,2,2,1,1
income,000021.SZ,20211231,20220421,2,2,1,1
income,000021.SZ,20240930,20241030,2,2,1,1
income,000023.SZ,20180930,20181030,2,2,1,1
income,000023.SZ,20181231,20190418,2,2,1,1
income,000023.SZ,20190930,20191029,2,2,1,1
income,000023.SZ,20191231,20200429,2,2,1,1
income,000023.SZ,20200331,20200429,2,2,1,1
income,000023.SZ,20200630,20200828,2,2,1,1
income,000023.SZ,20200930,20201028,2,2,1,1
income,000023.SZ,20201231,20210430,2,2,1,1
income,000023.SZ,20210930,20211030,2,2,1,1
income,000023.SZ,20211231,20220429,2,2,1,1
income,000023.SZ,20221231,20230429,2,2,1,1
income,000023.SZ,20230331,20230429,2,2,1,1
income,000023.SZ,20230630,20230830,2,2,1,1
income,000023.SZ,20231231,20240430,2,2,1,1
income,000023.SZ,20240331,20240430,2,2,1,1
income,000023.SZ,20240630,20240830,2,2,1,1
income,000025.SZ,20180930,20181030,2,2,1,1
income,000025.SZ,20181231,20190402,2,2,1,1
income,000025.SZ,20190630,20190830,2,2,1,1
income,000025.SZ,20191231,20200403,2,2,1,1
income,000025.SZ,20200331,20200428,2,2,1,1
income,000025.SZ,20200630,20200827,2,2,1,1
income,000025.SZ,20200930,20201030,2,2,1,1
income,000025.SZ,20201231,20210416,2,2,1,1
income,000025.SZ,20211231,20220408,2,2,1,1
income,000026.SZ,20180930,20181020,2,2,1,1
income,000026.SZ,20181231,20190315,2,2,1,1
income,000026.SZ,20190630,20190815,2,2,1,1
income,000026.SZ,20190930,20191018,2,2,1,1
income,000026.SZ,20191231,20200320,2,2,1,1
income,000026.SZ,20200331,20200410,2,2,1,1
income,000026.SZ,20200630,20200730,2,2,1,1
income,000026.SZ,20200930,20201022,2,2,1,1
income,000026.SZ,20201231,20210310,2,2,1,1
income,000026.SZ,20211231,20220310,2,2,1,1
income,000026.SZ,20220331,20220423,2,2,1,1
income,000026.SZ,20221231,20230318,2,2,1,1
income,000026.SZ,20240331,20240425,2,2,1,1
income,000027.SZ,20180930,20181031,2,2,1,1
income,000027.SZ,20181231,20190404,2,2,1,1
income,000027.SZ,20191231,20200430,2,2,1,1
income,000027.SZ,20200331,20200430,2,2,1,1
income,000027.SZ,20200630,20200826,2,2,1,1
income,000027.SZ,20200930,20201029,2,2,1,1
income,000027.SZ,20201231,20210420,2,2,1,1
income,000027.SZ,20210930,20211029,2,2,1,1
income,000027.SZ,20221231,20230420,2,2,1,1
income,000028.SZ,20180930,20181027,2,2,1,1
income,000028.SZ,20181231,20190425,2,2,1,1
income,000028.SZ,20190630,20190824,2,2,1,1
income,000028.SZ,20190930,20191024,2,2,1,1
income,000028.SZ,20191231,20200422,2,2,1,1
income,000028.SZ,20200331,20200425,2,2,1,1
income,000028.SZ,20200630,20200829,2,2,1,1
income,000028.SZ,20200930,20201022,2,2,1,1
income,000028.SZ,20201231,20210402,2,2,1,1
income,000028.SZ,20211231,20220330,2,2,1,1
income,000028.SZ,20220331,20220428,2,2,1,1
income,000028.SZ,20221231,20230413,2,2,1,1
income,000029.SZ,20180930,20181031,2,2,1,1
income,000029.SZ,20181231,20190329,2,2,1,1
income,000029.SZ,20190630,20190821,2,2,1,1
income,000029.SZ,20190930,20191030,2,2,1,1
income,000029.SZ,20191231,20200314,2,2,1,1
income,000029.SZ,20200331,20200430,2,2,1,1
income,000029.SZ,20200630,20200819,2,2,1,1
income,000029.SZ,20200930,20201030,2,2,1,1
income,000029.SZ,20201231,20210320,2,2,1,1
income,000029.SZ,20211231,20220318,2,2,1,1
income,000029.SZ,20220331,20220430,2,2,1,1
income,000029.SZ,20221231,20230318,2,2,1,1
income,000030.SZ,20180930,20181030,2,2,1,1
income,000030.SZ,20181231,20190430,2,2,1,1
income,000030.SZ,20190630,20190828,2,2,1,1
income,000030.SZ,20190930,20191030,2,2,1,1
income,000030.SZ,20191231,20200423,2,2,1,1
income,000030.SZ,20200331,20200423,2,2,1,1
income,000030.SZ,20200630,20200827,2,2,1,1
income,000030.SZ,20200930,20201029,2,2,1,1
income,000030.SZ,20201231,20210429,2,2,1,1
income,000030.SZ,20210930,20211029,2,2,1,1
income,000030.SZ,20211231,20220420,2,2,1,1
income,000030.SZ,20220331,20220430,2,2,1,1
