stop_pct,sample,year,n,mean,median,win_rate,pf,p5,trig_rate,net_stop_value
-15.0,PRIMARY,2023,45,-0.20293823306918043,-0.6278320762058595,48.888888888888886,0.4360957802016295,-11.45546532364917,42.22222222222222,-573762.8493908556
-15.0,PRIMARY,2024,50,2.889017626750152,4.475015953574765,62.0,1.1902371345374088,-13.535585331120638,32.0,-846215.0387596153
-15.0,PRIMARY,2025,34,4.5918594280224045,2.898180558892374,64.70588235294117,1.859246885467056,-12.486622305029977,26.47058823529412,-489560.961958192
-15.0,PRIMARY,2026,20,0.11437170732270727,-2.7834767684412367,45.0,0.6520707932405573,-12.231703813779282,40.0,-184816.10621963543
-15.0,SECONDARY,2020,8963,2.9638828534804063,3.7143373155962354,66.03815686712038,0.9390685934500818,-11.235206372640192,28.104429320539996,-74570280.1095263
-15.0,SECONDARY,2021,10532,4.485743344168451,5.016566574977225,72.46486897075579,1.567524935537813,-10.53818262285809,21.353968856817318,-72955144.67382339
-15.0,SECONDARY,2022,15514,3.51987486667269,4.515063910010477,65.96622405569164,1.0787099965337108,-11.780890766602372,31.152507412659535,-204735555.77170026
-15.0,SECONDARY,2023,15487,2.0878960915361704,3.8491261095002094,65.51946794085362,0.7692464226835048,-11.379997185685308,28.966229741073157,-125674021.32112212
-15.0,SECONDARY,2024,13576,1.524515405197422,1.6198959865926121,53.91131408367708,0.630019235565745,-13.33476775358361,39.93812610489098,-373933521.26215076
-15.0,SECONDARY,2025,14728,6.381600962117619,5.887892523667575,79.56952743074416,2.8486574200675454,-9.26139765055213,13.8647474198805,-127959627.25825088
-15.0,SECONDARY,2026,10246,0.5687086459908629,-0.2268936615619343,49.60960374780402,0.5531766089548958,-15.171590788411626,45.58852235018544,-83566627.46990186
-17.5,PRIMARY,2020,33,5.400308644939883,5.218510332201447,81.81818181818183,2.2183459602054887,-11.56366247388885,15.151515151515152,-243495.52284944413
-17.5,PRIMARY,2021,58,2.701102271129138,3.654921869451263,58.620689655172406,0.7449689344095456,-13.055548072367433,39.6551724137931,-309566.2442947355
-17.5,PRIMARY,2022,59,1.6487760653065187,2.226213115920718,57.6271186440678,0.5977865921696668,-12.020778476313364,37.28813559322034,-1351100.6268521913
-17.5,PRIMARY,2023,45,-0.2602971837019442,2.244966610480217,53.333333333333336,0.45203856990223157,-13.529835123294273,37.77777777777778,-637357.257436776
-17.5,PRIMARY,2024,50,3.0893715460432536,4.739719712092905,66.0,1.2517151568372376,-14.821454213756015,28.000000000000004,-782417.747795877
-17.5,PRIMARY,2025,34,5.243489399070638,4.147989315858742,70.58823529411765,1.808057678223288,-11.89134866087603,20.588235294117645,-470998.81501628354
-17.5,PRIMARY,2026,20,-0.10180802606019919,-0.5759167490468613,50.0,0.7507084016657134,-15.455888202401962,35.0,-140488.78104715078
-17.5,SECONDARY,2020,8963,3.1080043885726143,4.030581358875051,69.02822715608613,0.9397347732786062,-12.604150998844041,23.106102867343523,-74976739.34483625
-17.5,SECONDARY,2021,10532,4.803470726514109,5.2934907250684695,75.72161033042157,1.6852657914121292,-11.64302755985695,16.445119635396885,-58467209.290964074
-17.5,SECONDARY,2022,15514,3.853132650191526,5.067762031284157,69.9110480856001,1.1205362999273523,-13.228990774911654,25.686476730694856,-190503965.78425863
-17.5,SECONDARY,2023,15487,2.082451192863369,4.0259478935022,67.93439659068896,0.7499116500964143,-13.359918696572938,24.40756763737328,-139429782.5329357
-17.5,SECONDARY,2024,13576,1.9408142643462707,2.7418231801182107,58.10989982321745,0.6720960589967915,-14.479637444486684,32.86682380671774,-363221180.7950265
-17.5,SECONDARY,2025,14728,6.539532243440123,6.047124581457856,81.15833785985878,2.973290152434799,-10.285466293665984,11.01303639326453,-117770939.99701196
-17.5,SECONDARY,2026,10246,0.6332331075184605,1.034723397167112,53.32812804997072,0.555237960079282,-16.655710186499036,39.186023814171385,-93429487.76035345
-20.0,PRIMARY,2020,33,5.094644576373414,5.218510332201447,81.81818181818183,1.8911570458221445,-14.35062652959269,15.151515151515152,-302808.0299696333
-20.0,PRIMARY,2021,58,3.0914738764577567,4.566813476511519,65.51724137931035,0.8039205383108826,-15.405136373666286,32.758620689655174,-229985.41546125396
-20.0,PRIMARY,2022,59,1.6123219995551956,2.8400230023871615,61.016949152542374,0.5617153382666275,-13.79045115841273,33.89830508474576,-1502086.3632654569
-20.0,PRIMARY,2023,45,0.25752314689785,2.808164916171326,57.77777777777777,0.5684753682893554,-12.967348903572102,31.11111111111111,-470812.622575775
-20.0,PRIMARY,2024,50,4.205539087391834,5.260772159891224,72.0,1.6040823678717933,-15.378340743726007,20.0,-538527.7206010628
-20.0,PRIMARY,2025,34,5.386435809583617,4.860867341853121,73.52941176470588,1.9142787709911946,-11.640332290370395,17.647058823529413,-442603.3867074315
-20.0,PRIMARY,2026,20,-0.08084217201524266,1.4133863710598358,55.00000000000001,0.9354101384448624,-17.394544765909924,30.0,-57296.711643523086
-20.0,SECONDARY,2020,8963,3.282034432965458,4.227979642699016,71.34887872364163,0.9655004003916693,-13.99119307547368,18.87760794376883,-70712769.53711565
-20.0,SECONDARY,2021,10532,5.055502235573153,5.459520968639618,77.86745157614888,1.8126457763548771,-12.44603175766822,12.628180782377516,-45121857.857229725
-20.0,SECONDARY,2022,15514,4.06544634419185,5.392438065329679,72.58605130849554,1.1422275360462102,-14.692173466188784,21.43225473765631,-182057649.76118517
-20.0,SECONDARY,2023,15487,1.9803027939763505,4.137580372472783,69.36785691224898,0.7148291031767113,-15.444916916966626,21.230709627429455,-162173467.6282278
