n,mean,median,win_rate,pf,total_pnl,std,p1,p5,p10,worst,hold_med,hold_mean,hold_p90,mae_med,trig_rate,exec_rate,pending_rate,coll_rate,gap_rate,sample,stop_pct,bound,base_mean,base_median,base_pf,base_p5,base_p10,base_hold_med,base_win,d_mean,d_median,d_pf,d_p5,d_p10,d_hold,d_win
89046,3.7058541120428976,4.831299461818542,72.2435595085686,1.0208152473743752,39013571.61104858,11.10738144261081,-22.656450424728245,-16.442256172596608,-13.462841619079063,-57.23152826129612,23.0,27.200357118792535,52.0,-8.36337422791873,16.67003571187925,16.66891269680839,0.07299597960604631,0.02358331648810727,53.53004580975478,SECONDARY,-22.5,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.5760038540102728,-0.6209570691874946,-0.7955520599886343,-4.600020719347063,-7.685185101929656,-2.0,-5.414055656626914
89046,3.706856624439685,4.831299461818542,72.2435595085686,1.0210012652339855,39355049.42851937,11.105276874797447,-22.656450424728245,-16.43893792148731,-13.460273245140613,-57.23152826129612,23.0,27.200357118792535,52.0,-8.36337422791873,16.67003571187925,16.645329380320284,0.07299597960604631,0.02358331648810727,53.428994880086236,SECONDARY,-22.5,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.5750013416134854,-0.6209570691874946,-0.7953660421290241,-4.596702468237764,-7.682616727991206,-2.0,-5.414055656626914
89046,3.869780470189568,4.981233317033896,73.55074905105226,1.0467183107283997,88114767.18650508,11.264810205560428,-23.900272583269857,-17.893916511592696,-14.097313969014147,-57.23152826129612,23.0,27.830739168519642,54.0,-8.36337422791873,13.736720346787054,13.735597331716193,0.055027738472250294,0.02246030141724502,50.71124918247221,SECONDARY,-25.0,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.4120774958636022,-0.4710232139721411,-0.7696489966346098,-6.051681058343151,-8.31965745186474,-2.0,-4.106866114143244
89046,3.870401255800376,4.981233317033896,73.55074905105226,1.0468590592085842,88368348.39401454,11.263308991639333,-23.871187720986192,-17.89038805179123,-14.095329549136657,-57.23152826129612,23.0,27.830739168519642,54.0,-8.36337422791873,13.736720346787054,13.713137030298947,0.055027738472250294,0.02246030141724502,50.580444735121,SECONDARY,-25.0,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.4114567102527942,-0.4710232139721411,-0.7695082481544253,-6.0481525985416855,-8.317673031987251,-2.0,-4.106866114143244
89046,3.9945139822993045,5.073392682066954,74.44579206252948,1.0667222075276381,126062545.34649247,11.385462100649995,-25.343453581051346,-19.35000815246307,-13.811641041947972,-59.310387333442684,24.0,28.387608651708106,55.0,-8.36337422791873,11.363789502055118,11.363789502055118,0.06288884396828605,0.01459919592120926,47.554106136970056,SECONDARY,-27.5,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.2873439837538658,-0.37886384893908254,-0.7496450998353714,-7.507772699213524,-8.033984524798566,-1.0,-3.211823102666031
89046,3.9949498348346797,5.073392682066954,74.44579206252948,1.0668450932865523,126280173.89070827,11.384383037262786,-25.343043463986742,-19.347424369156368,-13.809699557662334,-59.310387333442684,24.0,28.387608651708106,55.0,-8.36337422791873,11.363789502055118,11.349190306133908,0.06288884396828605,0.01459919592120926,47.484929340843955,SECONDARY,-27.5,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.2869081312184907,-0.37886384893908254,-0.7495222140764572,-7.505188915906823,-8.032043040512928,-1.0,-3.211823102666031
89046,4.130281789828125,5.161094159766606,75.21393437099925,1.0978348597985632,183294886.63068652,11.483499270882993,-27.26130268461128,-20.65224199668839,-11.520966427161023,-59.310387333442684,24.0,28.830480875053343,56.0,-8.36337422791873,9.355838555353413,9.355838555353413,0.04716663297621454,0.006738090425173506,44.856559836754286,SECONDARY,-30.0,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.1515761762250456,-0.2911623712394311,-0.7185324475644463,-8.810006543438844,-5.743309910011616,-1.0,-2.443680794196254
89046,4.1305692824071825,5.161094159766606,75.21393437099925,1.0979415062322206,183476866.71260983,11.482745039707051,-27.25459622201037,-20.649093570833166,-11.520966427161023,-59.310387333442684,24.0,28.830480875053343,56.0,-8.36337422791873,9.355838555353413,9.34910046492824,0.04716663297621454,0.006738090425173506,44.79654303204897,SECONDARY,-30.0,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.151288683645988,-0.2911623712394311,-0.7184258011307889,-8.806858117583621,-5.743309910011616,-1.0,-2.443680794196254
89046,4.382972952841657,5.278628460108738,76.20443366349976,1.181453331574636,325633880.46827173,11.551719686373646,-30.985771927357426,-21.3694373449419,-8.128341272076808,-63.50930862355797,24.0,29.551265637984862,58.0,-8.36337422791873,6.197920176088763,6.197920176088763,0.017968241133796015,0.005615075354311255,40.55082442471462,SECONDARY,-35.0,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-0.8988850132115136,-0.1736280708972986,-0.6349139757883735,-9.527201891692355,-2.3506847549274017,-1.0,-1.4531815016957523
89046,4.383108240549853,5.278628460108738,76.20443366349976,1.1815033842687925,325709905.59051275,11.55128874700266,-30.9788627062962,-21.3694373449419,-8.128341272076808,-63.50930862355797,24.0,29.551265637984862,58.0,-8.36337422791873,6.197920176088763,6.192305100734452,0.017968241133796015,0.005615075354311255,40.478347526725855,SECONDARY,-35.0,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-0.8987497255033174,-0.1736280708972986,-0.634863923094217,-9.527201891692355,-2.3506847549274017,-1.0,-1.4531815016957523
89046,4.628028255270449,5.352923086781759,76.822091952474,1.291425422236102,489824930.0692294,11.476073181749562,-34.535420649741575,-16.615919177766006,-6.865048471627492,-63.50930862355797,24.0,30.0935134649507,59.0,-8.36337422791873,3.951890034364261,3.951890034364261,0.007861105496035756,0.002246030141724502,35.23728331912475,SECONDARY,-40.0,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-0.6538297107827216,-0.09933344422427748,-0.5249418851269076,-4.773683724516461,-1.0873919544780861,-1.0,-0.8355232127215118
89046,4.628065333165602,5.352923086781759,76.822091952474,1.2914399818324482,489843879.1679244,11.475941425819647,-34.52876269896963,-16.615919177766006,-6.865048471627492,-63.50930862355797,24.0,30.0935134649507,59.0,-8.36337422791873,3.951890034364261,3.949644004222537,0.007861105496035756,0.002246030141724502,35.18044899119068,SECONDARY,-40.0,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-0.6537926328875683,-0.09933344422427748,-0.5249273255305613,-4.773683724516461,-1.0873919544780861,-1.0,-0.8355232127215118
