sample,signal_date,mean_return,median_return,win_rate,loss_rate,n_episodes,mean_mae,mean_hold
SECONDARY,2020-07-24,8.39077681663039,8.630500628392706,89.24731182795699,10.75268817204301,93,-8.13703790746423,33.946236559139784
SECONDARY,2020-07-27,6.123294809593838,9.77506133164346,81.57894736842105,18.421052631578945,38,-9.367377592479208,35.05263157894737
SECONDARY,2020-07-28,5.741319182226527,5.741319182226527,50.0,50.0,2,-6.276820018418206,18.5
SECONDARY,2020-07-30,1.5812414080215547,1.5812414080215547,50.0,50.0,2,-11.586527796899638,36.5
SECONDARY,2020-07-31,-6.517403109864269,-6.517403109864269,0.0,100.0,1,-29.08026552886366,46.0
SECONDARY,2020-08-04,-4.72805005221069,-4.72805005221069,0.0,100.0,1,-19.12197391649445,24.0
SECONDARY,2020-08-07,4.9904399773370605,9.48844606901351,66.66666666666666,33.33333333333333,9,-12.127165301183204,22.22222222222222
SECONDARY,2020-08-10,6.303545713245998,5.747157282075685,100.0,0.0,5,-7.429617977781153,20.6
SECONDARY,2020-08-11,4.808299098184311,8.446905823022897,85.0,15.0,20,-12.26024946930836,38.55
SECONDARY,2020-08-12,4.799457647502301,5.707313805197373,72.82608695652173,27.173913043478258,92,-10.729048994143238,30.67391304347826
SECONDARY,2020-08-13,8.522631045324895,8.156040180646393,85.71428571428571,14.285714285714285,14,-13.837910536343234,36.785714285714285
SECONDARY,2020-08-14,11.760194008084298,19.302407795302756,66.66666666666666,33.33333333333333,3,-14.645386091002875,21.333333333333332
SECONDARY,2020-08-17,9.535197690816467,9.535197690816467,100.0,0.0,1,-0.8278716798896135,12.0
SECONDARY,2020-08-18,41.47703495028481,41.47703495028481,100.0,0.0,1,-3.544731130938017,13.0
SECONDARY,2020-08-19,3.8384394040961545,2.84694273565938,61.53846153846154,38.46153846153847,13,-13.803414265239095,43.07692307692308
SECONDARY,2020-08-20,3.1645319703442087,4.837988008703398,64.0,36.0,25,-13.596392706329192,34.8
SECONDARY,2020-08-21,-2.4785328253561234,-1.039641334080988,50.0,50.0,10,-17.454928325379196,51.1
SECONDARY,2020-08-24,6.42941199130495,7.3961621515836695,75.0,25.0,8,-10.581950623687732,36.25
SECONDARY,2020-08-25,1.996981148659171,0.6704123746833027,61.904761904761905,38.095238095238095,21,-17.117314502865774,36.904761904761905
SECONDARY,2020-08-26,2.2525867144352683,2.789341987054767,65.625,34.375,224,-13.242636970151008,41.964285714285715
SECONDARY,2020-08-27,-3.3530078673894317,-0.602367659027879,42.857142857142854,57.14285714285714,28,-17.407881680502893,49.82142857142857
SECONDARY,2020-08-28,-3.32526343503547,-0.9453187408181098,50.0,50.0,12,-19.31739869723393,49.916666666666664
