date,mode,equity,cash,invested,stock_val,n_pos
2022-09-28,A2,958809.5217226623,34291.52172266223,1062857.9777966,924518.0,5
2022-09-29,A2,958619.9577666622,3652.9577666622354,1093496.5417525999,954967.0,6
2022-09-30,A2,931269.9577666622,3652.9577666622354,1093496.5417525999,927617.0,6
2022-10-10,A2,910627.9577666622,3652.9577666622354,1093496.5417525999,906975.0,6
2022-10-11,A2,919537.9577666622,3652.9577666622354,1093496.5417525999,915885.0,6
2022-10-12,A2,944597.8353467123,16127.835346712234,1082273.22257053,928470.0,5
2022-10-13,A2,927543.8353467123,16127.835346712234,1082273.22257053,911416.0,5
2022-10-14,A2,951502.8353467123,16127.835346712234,1082273.22257053,935375.0,5
2022-10-17,A2,942680.8353467123,16127.835346712234,1082273.22257053,926553.0,5
2022-10-18,A2,957722.8353467123,16127.835346712234,1082273.22257053,941595.0,5
2022-10-19,A2,935440.8353467123,16127.835346712234,1082273.22257053,919313.0,5
2022-10-20,A2,927505.8353467123,16127.835346712234,1082273.22257053,911378.0,5
2022-10-21,A2,927587.8353467123,16127.835346712234,1082273.22257053,911460.0,5
2022-10-24,A2,889447.8353467123,16127.835346712234,1082273.22257053,873320.0,5
2022-10-25,A2,879644.8353467123,16127.835346712234,1082273.22257053,863517.0,5
2022-10-26,A2,879325.0690906122,497.0690906122363,1097903.9888266297,878828.0,5
2022-10-27,A2,870737.0690906122,497.0690906122363,1097903.9888266297,870240.0,5
2022-10-28,A2,827050.0690906122,497.0690906122363,1097903.9888266297,826553.0,5
2022-10-31,A2,839548.0690906122,497.0690906122363,1097903.9888266297,839051.0,5
2022-11-01,A2,885885.2054120522,33566.20541205224,1067265.4248706298,852319.0,4
2022-11-02,A2,904893.2054120522,33566.20541205224,1067265.4248706298,871327.0,4
2022-11-03,A2,898533.2054120522,33566.20541205224,1067265.4248706298,864967.0,4
2022-11-04,A2,939875.6506581523,450357.6506581523,608930.5307735499,489518.0,3
2022-11-07,A2,939229.6506581523,450357.6506581523,608930.5307735499,488872.0,3
2022-11-08,A2,933856.6506581523,450357.6506581523,608930.5307735499,483499.0,3
2022-11-09,A2,928039.6506581523,450357.6506581523,608930.5307735499,477682.0,3
2022-11-10,A2,926801.6506581523,450357.6506581523,608930.5307735499,476444.0,3
2022-11-11,A2,944138.6506581523,450357.6506581523,608930.5307735499,493781.0,3
2022-11-14,A2,942699.6506581523,450357.6506581523,608930.5307735499,492342.0,3
2022-11-15,A2,960741.7942014923,637143.7942014923,385898.72058738,323598.0,2
2022-11-16,A2,957060.7942014923,637143.7942014923,385898.72058738,319917.0,2
2022-11-17,A2,951567.7942014923,637143.7942014923,385898.72058738,314424.0,2
2022-11-18,A2,948829.7942014923,637143.7942014923,385898.72058738,311686.0,2
2022-11-21,A2,947127.7942014923,637143.7942014923,385898.72058738,309984.0,2
2022-11-22,A2,947552.7942014923,637143.7942014923,385898.72058738,310409.0,2
2022-11-23,A2,948195.7942014923,637143.7942014923,385898.72058738,311052.0,2
2022-11-24,A2,953003.5122855923,440681.5122855923,582361.0025032801,512322.0,3
2022-11-25,A2,940478.5122855923,440681.5122855923,582361.0025032801,499797.0,3
2022-11-28,A2,942684.3231455924,251443.32314559232,771599.19164328,691241.0,3
2022-11-29,A2,946460.4038197923,6805.403819792351,1016237.1109690799,939655.0,5
2022-11-30,A2,963375.3321876724,176459.33218767235,816472.6727156999,786916.0,4
2022-12-01,A2,987798.3813476723,342084.3813476723,630338.3903816999,645714.0,3
2022-12-02,A2,999084.3813476723,342084.3813476723,630338.3903816999,657000.0,3
2022-12-05,A2,988048.3813476723,342084.3813476723,630338.3903816999,645964.0,3
2022-12-06,A2,997510.3813476723,342084.3813476723,630338.3903816999,655426.0,3
2022-12-07,A2,1005928.3813476723,342084.3813476723,630338.3903816999,663844.0,3
2022-12-08,A2,1009012.3813476723,342084.3813476723,630338.3903816999,666928.0,3
2022-12-09,A2,1005854.3813476723,342084.3813476723,630338.3903816999,663770.0,3
2022-12-12,A2,1005288.3813476723,342084.3813476723,630338.3903816999,663204.0,3
2022-12-13,A2,991324.3813476723,342084.3813476723,630338.3903816999,649240.0,3
2022-12-14,A2,979380.5613986123,149961.56139861234,822461.2103307599,829419.0,4
2022-12-15,A2,995628.5613986123,149961.56139861234,822461.2103307599,845667.0,4
2022-12-16,A2,977113.5613986123,149961.56139861234,822461.2103307599,827152.0,4
2022-12-19,A2,988744.3398379723,506.33983797236215,971916.4318913998,988238.0,6
2022-12-20,A2,980905.3398379723,506.33983797236215,971916.4318913998,980399.0,6
2022-12-21,A2,970606.3398379723,506.33983797236215,971916.4318913998,970100.0,6
2022-12-22,A2,949064.3398379723,506.33983797236215,971916.4318913998,948558.0,6
2022-12-23,A2,936394.3398379723,506.33983797236215,971916.4318913998,935888.0,6
2022-12-26,A2,992800.3398379723,506.33983797236215,971916.4318913998,992294.0,6
2022-12-27,A2,1009084.3398379723,506.33983797236215,971916.4318913998,1008578.0,6
2022-12-28,A2,1004402.3398379723,506.33983797236215,971916.4318913998,1003896.0,6
2022-12-29,A2,999698.7519275724,49355.751927572375,925928.5481495998,950343.0,5
2022-12-30,A2,997139.7519275724,49355.751927572375,925928.5481495998,947784.0,5
2023-01-03,A2,1013597.2148874523,477624.21488745237,535155.6926165399,535973.0,3
2023-01-04,A2,989690.5795175524,283264.5795175524,729515.3279864398,706426.0,3
2023-01-05,A2,1051030.5795175524,283264.5795175524,729515.3279864398,767766.0,3
2023-01-06,A2,1084896.2434510523,934515.2434510525,149455.22156063997,150381.0,2
2023-01-09,A2,1086277.2434510523,934515.2434510525,149455.22156063997,151762.0,2
2023-01-10,A2,1087934.2434510523,934515.2434510525,149455.22156063997,153419.0,2
2023-01-11,A2,1085014.2434510523,934515.2434510525,149455.22156063997,150499.0,2
2023-01-12,A2,1085096.5002799924,737686.5002799925,346283.9647316999,347410.0,3
2023-01-13,A2,1083828.5002799924,737686.5002799925,346283.9647316999,346142.0,3
2023-01-16,A2,1085052.5002799924,737686.5002799925,346283.9647316999,347366.0,3
2023-01-17,A2,1085169.5002799924,737686.5002799925,346283.9647316999,347483.0,3
2023-01-18,A2,1089922.8203640324,896078.8203640325,196828.74317105996,193844.0,1
2023-01-19,A2,1088703.8203640324,896078.8203640325,196828.74317105996,192625.0,1
2023-01-20,A2,1091279.8203640324,896078.8203640325,196828.74317105996,195201.0,1
2023-01-30,A2,1097719.8203640324,896078.8203640325,196828.74317105996,201641.0,1
2023-01-31,A2,1098593.8203640324,896078.8203640325,196828.74317105996,202515.0,1
2023-02-01,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-02,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-03,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-06,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-07,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-08,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
2023-02-09,A2,1106650.1178045126,1106650.1178045126,0.0,0.0,0
