ts_code,pm,n_days,recomputed_month_open,recomputed_high,recomputed_low,recomputed_close,recomputed_bb_lower,recomputed_bb_z,table_close_adj,table_bb_lower,close_match,lower_match,signal_match,sample_type
600462.SH,2024-05,20,5.378,7.004,5.378,6.146,6.208,-2.039,6.146,6.208,True,True,True,worst20
002477.SZ,2018-10,18,41.487,43.122,27.999,31.473,45.022,-2.733,31.473,45.022,True,True,True,worst20
002260.SZ,2018-06,18,26.242,26.242,10.949,10.949,16.515,-2.274,10.949,16.515,True,True,True,worst20
000996.SZ,2023-05,19,24.598,24.598,12.948,13.598,18.457,-3.116,13.598,18.457,True,True,True,worst20
002604.SZ,2018-05,22,12.257,12.257,6.977,7.059,13.714,-3.024,7.059,13.714,True,True,True,worst20
000622.SZ,2024-05,20,6.161,6.161,3.131,3.333,5.511,-2.934,3.333,5.511,True,True,True,worst20
600074.SH,2017-12,1,94.545,94.545,94.545,94.545,94.964,-2.024,94.545,94.964,True,True,True,worst20
002604.SZ,2018-06,20,6.949,7.36,5.39,5.609,9.546,-2.493,5.609,9.546,True,True,True,worst20
600074.SH,2017-07,16,122.803,128.933,99.526,99.526,100.45,-2.055,99.526,100.45,True,True,True,worst20
000016.SZ,2022-04,19,121.946,122.389,88.91,99.774,108.725,-2.655,99.774,108.725,True,True,True,index
000016.SZ,2024-01,22,97.331,97.331,70.258,70.258,78.466,-2.611,70.258,78.466,True,True,True,index
000016.SZ,2024-02,15,68.468,77.194,53.924,73.39,75.665,-2.171,73.39,75.665,True,True,True,index
000016.SZ,2024-04,20,76.299,78.536,63.098,68.691,68.762,-2.005,68.691,68.762,True,True,True,index
000016.SZ,2024-05,20,69.362,70.705,58.399,60.86,62.589,-2.107,60.86,62.589,True,True,True,index
000016.SZ,2024-06,19,61.084,61.084,45.645,47.659,53.972,-2.333,47.659,53.972,True,True,True,index
000688.SZ,2023-09,20,62.633,67.0,52.211,52.558,59.486,-2.66,52.558,59.486,True,True,True,index
000688.SZ,2023-10,17,52.509,54.394,48.141,52.112,54.503,-2.198,52.112,54.503,True,True,True,index
000852.SZ,2024-06,19,32.107,32.545,28.655,29.367,29.705,-2.106,29.367,29.705,True,True,True,index
000905.SZ,2011-12,21,15.216,15.316,12.676,13.204,13.714,-2.223,13.204,13.714,True,True,True,index
000905.SZ,2013-06,17,14.359,14.716,11.202,11.813,12.394,-2.483,11.813,12.394,True,True,True,index
000905.SZ,2024-01,22,19.123,19.734,16.255,16.786,17.466,-2.615,16.786,17.466,True,True,True,index
000905.SZ,2024-02,15,16.733,17.45,14.422,16.972,17.035,-2.051,16.972,17.035,True,True,True,index
000905.SZ,2024-06,19,16.759,16.839,14.937,15.261,15.587,-2.204,15.261,15.587,True,True,True,index
002633.SZ,2024-02,15,12.214,12.55,7.387,11.087,12.117,-2.64,11.087,12.117,True,True,True,corp_action
002633.SZ,2021-01,20,10.981,13.25,8.879,8.97,9.996,-2.812,8.97,9.996,True,True,True,corp_action
689009.SH,2024-01,22,29.8,29.95,23.33,23.34,23.54,-2.035,23.34,23.54,True,True,True,corp_action
000627.SZ,2024-04,20,71.717,74.898,63.33,68.825,70.14,-2.156,68.825,70.14,True,True,True,corp_action
000627.SZ,2021-01,20,135.507,135.507,109.297,110.692,114.933,-2.179,110.692,114.933,True,True,True,corp_action
000001.SZ,2012-10,18,471.805,488.697,463.187,476.037,476.445,-2.008,476.037,476.445,True,True,True,corp_action
000001.SZ,2012-09,20,510.583,517.046,452.057,471.446,492.777,-2.496,471.446,492.777,True,True,True,corp_action
000001.SZ,2012-08,23,541.462,549.362,503.761,509.506,511.391,-2.053,509.506,511.391,True,True,True,corp_action
002633.SZ,2024-04,20,12.489,12.991,8.574,9.976,10.744,-2.368,9.976,10.744,True,True,True,corp_action
000627.SZ,2024-06,19,62.463,62.463,50.028,50.606,58.894,-2.649,50.606,58.894,True,True,True,corp_action
300240.SZ,2018-06,20,25.864,26.785,19.451,21.471,24.466,-2.52,21.471,24.466,True,True,True,repeat_signal
002607.SZ,2024-05,20,22.261,23.416,19.376,19.376,19.423,-2.006,19.376,19.423,True,True,True,repeat_signal
000521.SZ,2018-01,22,25.203,26.495,23.165,23.364,24.184,-2.243,23.364,24.184,True,True,True,repeat_signal
601006.SH,2012-08,23,7.306,7.478,7.159,7.368,7.423,-2.081,7.368,7.423,True,True,True,repeat_signal
000540.SZ,2022-09,21,126.196,139.948,110.826,114.062,115.678,-2.042,114.062,115.678,True,True,True,repeat_signal
002442.SZ,2018-12,20,21.836,22.563,18.803,18.953,20.65,-2.392,18.953,20.65,True,True,True,repeat_signal
002072.SZ,2024-02,15,5.081,5.369,3.111,4.328,4.986,-2.582,4.328,4.986,True,True,True,repeat_signal
601515.SH,2024-08,22,11.845,12.018,9.381,9.986,12.01,-2.835,9.986,12.01,True,True,True,repeat_signal
000422.SZ,2018-02,15,51.163,51.163,42.143,45.544,49.262,-2.186,45.544,49.262,True,True,True,repeat_signal
002842.SZ,2024-02,15,17.752,18.116,10.808,16.408,18.118,-2.631,16.408,18.118,True,True,True,repeat_signal
