pm,open,high,low,close,month_end_date,n_days,ts_code,bb_mid,bb_sd,bb_lower,bb_upper,bb_z,signal,prev_signal,NEW_EPISODE,next_open,f_close_1,f_maxhigh_1,f_minlow_1,ret_cc_1m,ret_ec_1m,mfe_1m,mae_1m,censored_1m,f_close_3,f_maxhigh_3,f_minlow_3,ret_cc_3m,ret_ec_3m,mfe_3m,mae_3m,censored_3m,f_close_6,f_maxhigh_6,f_minlow_6,ret_cc_6m,ret_ec_6m,mfe_6m,mae_6m,censored_6m,f_close_12,f_maxhigh_12,f_minlow_12,ret_cc_12m,ret_ec_12m,mfe_12m,mae_12m,censored_12m
2018-09,4808.3791,4905.016,4584.4336,4800.7287,2018-09-28,19,000905,5971.906015,552.7981924682304,4866.309630063539,7077.50239993646,-2.118634487154746,1,1.0,0,4722.4176,4272.5518,4737.2892,3948.5593,-0.11002015173238167,-0.0952617574523692,-0.013214556365161667,-0.17750834368124158,0,4168.0363,5233.5012,3948.5593,-0.13179090915926994,-0.11739353588721169,0.0901472520203026,-0.17750834368124158,0,5547.6561,6092.9069,3948.5593,0.15558625506165358,0.17474915814306646,0.26916292936945174,-0.17750834368124158,0,4940.903,6673.7496,3948.5593,0.029198546462331887,0.046265582272944306,0.39015345732825946,-0.17750834368124158,0
2018-10,4722.4176,4737.2892,3948.5593,4272.5518,2018-10-31,18,000905,5862.9851,658.0336748037711,4546.9177503924575,7179.052449607542,-2.416948191100212,1,1.0,0,4299.4595,4376.6511,4691.5609,4291.8111,0.02436466656764691,0.017953791633576355,0.09806998712104553,0.004507680866502328,0,4176.4739,4905.016,3948.5593,-0.022487240529184493,-0.028604897894723758,0.1480296154630587,-0.07583114615485764,0,5307.56,5798.3297,3948.5593,0.24224591027778763,0.23447144926007568,0.35711162120960127,-0.07583114615485764,0,4917.4174,6449.0346,3948.5593,0.15093218998538527,0.14372920596181915,0.5094105120036228,-0.07583114615485764,0
2022-04,6289.39,6373.2603,5158.476,5627.9021,2022-04-29,19,000905,6606.35539,448.754374808349,5708.846640383302,7503.864139616698,-2.180376047404264,1,0.0,1,5612.4964,6026.2373,6033.4732,5519.4721,0.07077862992677142,0.07371780229560598,0.0720643488094792,-0.019266504298289133,0,6294.1144,6907.4088,5158.476,0.11837666827928661,0.12144649215276115,0.22735056105542406,-0.0834104950048794,0,5807.1063,7392.1023,5158.476,0.031842096187138846,0.034674391951503125,0.313473860890366,-0.0834104950048794,0,6241.2441,7688.6036,5158.476,0.1089823506347063,0.1120263881149215,0.36615802183197177,-0.0834104950048794,0
2024-01,5431.4784,5439.4778,4690.9429,4696.9796,2024-01-31,22,000905,5921.89539,421.06152361980975,5079.7723427603805,6764.018437239619,-2.9091135648528565,1,0.0,1,4667.9126,5346.7929,5383.3193,4281.2399,0.13834705605278774,0.14543552079359867,0.14612362804386048,-0.08851213660795976,0,5441.1411,5590.8353,4281.2399,0.15843404983066134,0.16564759588686395,0.19030436070022527,-0.08851213660795976,0,4886.4136,5829.784,4281.2399,0.040331024644007396,0.046809145484000725,0.24117720247284025,-0.08851213660795976,0,5589.3432,6476.2165,4281.2399,0.18998668846677558,0.1973967121835145,0.37880447681740015,-0.08851213660795976,0
2008-10,1879.289,1890.756,1398.283,1406.758,2008-10-31,20,000852,3471.5508999999997,938.0500847998687,1595.4507304002623,5347.651069599737,-2.2011542170912115,1,0.0,1,1397.764,1719.43,1850.926,1343.009,0.22226424161085268,0.230128977423943,0.31573874113386946,-0.04531625197795219,0,2122.348,2093.352,1343.009,0.5086802420885468,0.5183879395949531,0.48806831025663255,-0.04531625197795219,0,2971.896,3559.916,1343.009,1.1125851070333348,1.126178668215808,1.5305816636550138,-0.04531625197795219,0,3665.991,5009.837,1343.009,1.6059855355363184,1.6227539126776769,2.561264268623317,-0.04531625197795219,0
2011-12,4278.108,4319.825,3300.802,3456.287,2011-12-30,22,000852,4665.12885,534.7533310529606,3595.6221878940787,5734.635512105921,-2.260559738112748,1,0.0,1,3478.343,3406.675,3559.306,3126.579,-0.014354132049797852,-0.02060406348655086,0.029806263195157223,-0.09539369849783874,0,3560.485,4587.389,3126.579,0.03014738070073464,0.023615267384498928,0.32725928141962757,-0.09539369849783874,0,3610.25,5035.782,3126.579,0.04454577990774489,0.03792236705810792,0.4569918528177783,-0.09539369849783874,0,3406.804,5523.902,3126.579,-0.014316808760383548,-0.020566976862258723,0.5982185507164193,-0.09539369849783874,0
2012-01,3478.343,3559.306,3126.579,3406.675,2012-01-31,15,000852,4627.9644,594.8882566190036,3438.1878867619926,5817.740913238007,-2.0529727833948064,1,1.0,0,3399.934,3858.542,4003.721,3375.295,0.13264165205075318,0.1348873242833537,0.1752576926181686,-0.009211327760939914,0,3837.878,4319.825,3126.579,0.1265759134640081,0.12880955924438542,0.268047289512501,-0.08221975973639983,0,3272.056,4833.45,3126.579,-0.03951624384480468,-0.03761190658406899,0.4188174686461137,-0.08221975973639983,0,3639.191,5523.902,3126.579,0.06825306200327286,0.0703710719090429,0.6214936851915724,-0.08221975973639983,0
2018-06,6285.0457,6340.6805,5384.0538,5608.5358,2018-06-29,20,000852,7422.176799999999,855.8365899515658,5710.503620096868,9133.84997990313,-2.1191440297062303,1,0.0,1,5601.7357,5542.5434,5702.279,5251.5017,-0.011766422173858704,-0.010566778436190916,0.01671438024876304,-0.06365905696813057,0,4987.2727,6724.7368,5251.5017,-0.11077099659415546,-0.10969153721408165,0.19901825356985325,-0.06365905696813057,0,4430.0238,6963.8492,5251.5017,-0.21012828339261025,-0.2091694365373219,0.24165191207302272,-0.06365905696813057,0,5321.4331,7997.9851,5251.5017,-0.05119031245195926,-0.05003852645172102,0.42603798659892655,-0.06365905696813057,0
2018-08,5553.759,5578.327,4994.3214,5057.9848,2018-08-31,23,000852,7076.914505000001,945.2395645584908,5186.435375883019,8967.393634116983,-2.1358920856672103,1,0.0,1,5049.73,4987.2727,5123.2584,4812.9338,-0.013980291123057542,-0.012368443461333367,0.012905060529244672,-0.04844834646399099,0,4648.1837,5702.279,4812.9338,-0.0810206270291679,-0.07951837028910458,0.1273816006722679,-0.04844834646399099,0,5330.3392,6875.6377,4812.9338,0.05384642516126181,0.0555691492416428,0.35936306095660875,-0.04844834646399099,0,5182.9555,7997.9851,4812.9338,0.024707606871416488,0.026382697688787315,0.5812592200751572,-0.04844834646399099,0
2018-10,4906.1008,4916.8738,4066.2674,4400.6132,2018-10-31,18,000852,6710.6109750000005,1088.1880510367237,4534.234872926553,8886.987077073449,-2.1227928139803147,1,0.0,1,4428.8588,4648.1837,4946.7918,4425.1536,0.05625818238240066,0.04952176393611807,0.12411420299334641,0.005576586462995525,0,4355.7359,5123.2584,4066.2674,-0.010197965138131204,-0.01651055120565148,0.16421465990239725,-0.0759770933741688,0,5682.2357,6340.6805,4066.2674,0.29123725302646464,0.28300222621683035,0.44086294610032994,-0.0759770933741688,0,5253.8811,7221.0019,4066.2674,0.19389750046652576,0.18628327008302903,0.6409081125330445,-0.0759770933741688,0
2024-01,5891.1741,5891.2271,4775.6227,4785.032,2024-01-31,22,000852,6404.90047,531.2672421299301,5342.36598574014,7467.434954259859,-3.04906521905191,1,0.0,1,4753.6393,5344.6052,5478.0858,4177.9428,0.11694241543212236,0.12431862467983223,0.144837861063416,-0.12687254756081057,0,5497.4303,6147.0526,4177.9428,0.14888057174957248,0.15646769833798713,0.28464189999147327,-0.12687254756081057,0,4889.0807,6267.2204,4177.9428,0.021744619471719462,0.028492149162432368,0.3097551698713823,-0.12687254756081057,0,5846.0686,7052.7405,4177.9428,0.22174075324888087,0.2298090433575808,0.473917102330768,-0.12687254756081057,0
2012-01,734.738,737.906,612.279,648.681,2012-01-31,15,399006,933.83405,135.2563755568913,663.3212988862174,1204.3468011137827,-2.108241100102963,1,0.0,1,647.492,735.336,771.295,644.582,0.133586462375189,0.13566808547441522,0.18902048926976422,-0.006318976507713403,0,685.131,872.335,612.279,0.05619094747649456,0.05813044794375832,0.34478272062847526,-0.056116951167060614,0,676.96,930.194,612.279,0.04359461738512449,0.04551098700833389,0.4339775637023435,-0.056116951167060614,0,776.005,1113.012,612.279,0.1962813771329821,0.198478127915094,0.7158079240797863,-0.056116951167060614,0
2018-07,1605.2105,1645.445,1517.0606,1561.2576,2018-07-31,22,399006,1803.3598200000001,102.18010130451442,1598.9996173909713,2007.720022609029,-2.3693675863414305,1,0.0,1,1568.1229,1435.2005,1580.8351,1404.1888,-0.08074074387211949,-0.0847652948630494,0.01253957066405964,-0.10060402588272432,0,1275.5743,1751.97,1404.1888,-0.18298280821819535,-0.18655973967346573,0.12215306429893458,-0.10060402588272432,0,1227.9878,1918.218,1404.1888,-0.21346240364178204,-0.21690589430203455,0.22863645307475222,-0.10060402588272432,0,1570.3934,1927.0194,1404.1888,0.00585156478982074,0.0014479094718913288,0.23427383155732917,-0.10060402588272432,0
