anchor_day,n,n_failure,n_recovery,failure_component,recovery_component
269,7,3,4,-5.036953868786339,-11.828363912369742
270,1,1,0,-7.429757667805743,0.0
275,2,1,1,-1.0651584182917606,-5.743779719821682
277,3,2,1,-3.365967040037359,-3.929726325634427
283,15,11,4,-3.819655287891248,-3.8685607939739968
284,35,19,16,-1.3294178695767445,-5.507063628295365
285,6,4,2,-2.927710905557081,-5.565460433062667
286,3,3,0,5.3440545817951675,0.0
287,3,2,1,-2.58661473474282,-5.056355617253058
288,14,11,3,-5.8052288650076145,-2.823965100757815
289,6,4,2,-3.3674912639588936,-3.535899543597307
290,1,1,0,-6.000040933360604,0.0
291,1,1,0,-0.1920943733722939,0.0
292,2,1,1,-4.061671649055331,-9.54573109862375
293,4,3,1,-1.7795199580149075,-2.3286149855639877
294,2,1,1,-3.4508915341038158,-7.463892930746722
295,7,3,4,-3.577903129589021,-7.002100779796321
296,7,2,5,1.7617962077932858,-13.833588809549283
300,3,2,1,-4.870171935729566,0.279308117106942
306,1,1,0,2.310532240495924,0.0
307,5,3,2,-5.6356438881065145,-1.9663361720515815
308,8,8,0,-5.850184540622489,0.0
309,3,2,1,1.3411074020187375,-4.875972372481595
310,10,5,5,-2.978081810165701,-3.6179734612989507
311,2,1,1,-2.4096233727234955,-10.687856287070005
313,2,2,0,-0.05339541788471891,0.0
314,1,0,1,0.0,-11.626623968923123
316,2,2,0,-1.3440353355622658,0.0
317,1,1,0,-5.537414874336463,0.0
318,1,1,0,-1.6827169434359437,0.0
319,4,1,3,-2.386186221342171,-10.729546304275509
320,3,3,0,-3.099800811808972,0.0
321,9,3,6,-1.6862009802696822,-18.657237513205075
322,6,5,1,-5.611937525629217,-1.1876395915056943
323,8,3,5,-4.608836464622572,-11.67677538747191
324,13,9,4,-3.5276962062976094,-4.53541149838677
325,4,2,2,-3.3407966236170172,-7.734142305886239
326,5,3,2,1.6959222148418127,-3.9227203417202885
328,1,0,1,0.0,-28.15907408680083
329,1,1,0,-0.3897340863578655,0.0
331,3,3,0,9.849338371329333,0.0
332,3,2,1,4.596763213043029,-2.533592864708405
335,1,1,0,15.456546274265593,0.0
339,2,2,0,6.4249651434802075,0.0
343,1,1,0,17.787078117067985,0.0
348,1,1,0,-1.352144433173061,0.0
349,4,4,0,14.546927036961675,0.0
350,4,4,0,6.550986883267779,0.0
351,2,2,0,-13.527278473316375,0.0
352,1,1,0,-2.599691467526382,0.0
353,2,2,0,8.901061507650631,0.0
356,1,1,0,1.2803929526601632,0.0
357,2,2,0,-0.07994419412725051,0.0
360,4,2,2,-4.783141356851238,-3.8912843047098704
361,1,0,1,0.0,-10.818363323715928
362,4,4,0,1.7008675321252946,0.0
363,6,5,1,-1.1024760478100941,-1.7349887045780372
364,5,5,0,8.22462543333969,0.0
365,1,1,0,11.05748965018316,0.0
366,3,3,0,6.6138703628144375,0.0
367,6,6,0,3.6000518593477864,0.0
368,2,2,0,10.675171278402667,0.0
371,8,8,0,-1.1365299278791885,0.0
372,4,4,0,-7.259464779329418,0.0
373,10,9,1,0.597586701746349,-1.1486072195278436
374,3,2,1,11.939499522589676,1.4176354898596284
375,2,2,0,11.74297362875786,0.0
376,4,4,0,7.144719254366445,0.0
377,8,7,1,-1.706653354783517,-1.962777798031832
378,42,37,5,-1.217413022694674,-1.620197735745307
379,27,19,8,0.9126215174463971,-4.573906788284167
380,47,30,17,-1.8473268278093493,-5.416735443481209
381,1,1,0,-10.519866830723773,0.0
382,8,5,3,-1.160333225239976,-4.7657146805139075
383,11,3,8,-1.5001557138506227,-9.714006674726818
384,2,1,1,-2.089045438322888,-1.8195548639139063
386,3,3,0,-3.352846161141651,0.0
387,8,5,3,-4.324181866307246,-4.224123820727049
388,2,0,2,0.0,-15.032483856318443
390,1,0,1,0.0,-6.052596138841935
392,1,1,0,-7.152255245290555,0.0
394,5,5,0,-4.476013754995206,0.0
