horizon_day,threshold,n,hit_rate
17,-0.08,157469,0.3777822936577993
17,-0.1,157469,0.27689259473293154
17,-0.15,157469,0.1379636626891642
17,-0.2,157469,0.08007925369437795
18,-0.01,157469,0.9102553518470302
18,-0.02,157469,0.8316748058347992
18,-0.03,157469,0.7531450634728105
18,-0.05,157469,0.5951520616756314
18,-0.08,157469,0.3932520051565705
18,-0.1,157469,0.2916129523906293
18,-0.15,157469,0.1465240777549867
18,-0.2,157469,0.08409274206351726
19,-0.01,157469,0.9123700537883647
19,-0.02,157469,0.8360248683867936
19,-0.03,157469,0.7595209215782154
19,-0.05,157469,0.6052048339673205
19,-0.08,157469,0.40569254900964635
19,-0.1,157469,0.3035645111101233
19,-0.15,157469,0.15422718122297088
19,-0.2,157469,0.08785856263772553
20,-0.01,157469,0.9138624110142314
20,-0.02,157469,0.8389016250817621
20,-0.03,157469,0.7644869783893973
20,-0.05,157469,0.6136890435577796
20,-0.08,157469,0.4171233703141571
20,-0.1,157469,0.3159606017692371
20,-0.15,157469,0.16324482914097377
20,-0.2,157469,0.09222132610228045
