horizon_day,variable,bucket,count,pct
4,close_ret,-2~-1%,14008,8.904201018313108
4,close_ret,-1~0%,15639,9.94094801009414
4,close_ret,0~+1%,15156,9.633928514674006
4,close_ret,+1~+2%,13552,8.614344103382301
4,close_ret,+2~+3%,11007,6.996611979481182
4,close_ret,+3~+5%,15762,10.01913309898995
4,close_ret,+5~+8%,12997,8.261557726657301
4,close_ret,+8~+10%,4303,2.735206809094896
4,close_ret,+10~+15%,4851,3.083543627915255
4,close_ret,+15~+20%,1692,1.075521710664319
4,close_ret,>=+20%,1129,0.7176501249054469
5,high_ret,<-20%,715,0.45723128868880136
5,high_ret,-20~-15%,731,0.46746303780631304
5,high_ret,-15~-10%,1753,1.121016012687369
5,high_ret,-10~-8%,1805,1.1542691973192818
5,high_ret,-8~-5%,6679,4.271115772241265
5,high_ret,-5~-3%,10380,6.637847239985676
5,high_ret,-3~-2%,8590,5.493170307464061
5,high_ret,-2~-1%,10963,7.010666598455007
5,high_ret,-1~0%,13523,8.647746457256869
5,high_ret,0~+1%,14351,9.177239474088095
5,high_ret,+1~+2%,13998,8.951501509182995
5,high_ret,+2~+3%,12533,8.014656980610834
5,high_ret,+3~+5%,19868,12.705274466670078
5,high_ret,+5~+8%,18550,11.862434133115055
5,high_ret,+8~+10%,7116,4.550570420013302
5,high_ret,+10~+15%,8792,5.622346140072645
5,high_ret,+15~+20%,3218,2.0578605412595286
5,high_ret,>=+20%,2811,1.7975904230828261
5,low_ret,<-20%,1768,1.1306082774850361
5,low_ret,-20~-15%,1556,0.9950376016780069
5,low_ret,-15~-10%,6365,4.070317695810099
5,low_ret,-10~-8%,6062,3.8765539468972223
5,low_ret,-8~-5%,17455,11.162198802885353
5,low_ret,-5~-3%,21258,13.594157671253901
5,low_ret,-3~-2%,12997,8.311377705018673
5,low_ret,-2~-1%,13907,8.893308436077147
5,low_ret,-1~0%,14466,9.25078017087021
5,low_ret,0~+1%,12948,8.280042973346294
5,low_ret,+1~+2%,10608,6.783649664910217
5,low_ret,+2~+3%,8378,5.357599631657032
5,low_ret,+3~+5%,11662,7.457666138026296
5,low_ret,+5~+8%,9022,5.769427533636875
5,low_ret,+8~+10%,2903,1.8564229805085182
5,low_ret,+10~+15%,3173,2.029083746866527
5,low_ret,+15~+20%,1139,0.7283726403028598
5,low_ret,>=+20%,709,0.4533943827697345
5,close_ret,<-20%,1207,0.7718575740522843
5,close_ret,-20~-15%,998,0.6382053512047885
5,close_ret,-15~-10%,3771,2.4114953701335247
5,close_ret,-10~-8%,3917,2.5048600808308183
5,close_ret,-8~-5%,12371,7.91106052079603
5,close_ret,-5~-3%,16209,10.365401340359135
5,close_ret,-3~-2%,10909,6.976134445183405
5,close_ret,-2~-1%,12483,7.9826827646186125
5,close_ret,-1~0%,13572,8.679081188929247
5,close_ret,0~+1%,13213,8.44950631810508
5,close_ret,+1~+2%,12349,7.8969918657594524
5,close_ret,+2~+3%,10511,6.721619685885302
5,close_ret,+3~+5%,15932,10.188264183762215
5,close_ret,+5~+8%,13794,8.821046707934721
5,close_ret,+8~+10%,5140,3.2869494040006138
5,close_ret,+10~+15%,6109,3.9066097099299126
5,close_ret,+15~+20%,2150,1.3748912876656265
5,close_ret,>=+20%,1741,1.113342200849235
