ts_code,stock_name,n_episodes,total_pnl,mean_ret_pct,best_ret_pct,worst_ret_pct,mean_pnl_per_ep
000402.SZ,金融街,14,20051.152668720795,1.7212673082649619,15.308969892123631,-10.914689207670548,1432.225190622914
000403.SZ,双林生物,15,595911.4607730613,7.058410141399793,26.513639839259096,-1.7889124897610305,39727.43071820409
000404.SZ,长虹华意,14,541291.082820841,8.140856136945377,24.46246958894821,-2.0745269107397832,38663.648772917215
000407.SZ,胜利股份,15,98767.27543212133,2.750532350569003,19.010306449432388,-9.704821187573932,6584.485028808089
000408.SZ,藏格控股,11,177742.9162891807,3.838025878268256,14.512374104191842,-7.875798861739845,16158.446935380063
000409.SZ,云鼎科技,12,216308.49707286057,7.359485283841722,21.59539261013012,-8.459849432871174,18025.70808940505
000410.SZ,沈阳机床,5,201275.20283706032,6.55693305633407,11.262006142545143,0.6228300774007964,40255.04056741206
000411.SZ,英特集团,16,147118.8565958407,4.258934906259209,20.31487318531167,-14.399379564210038,9194.928537240045
000413.SZ,东旭光电,8,-26867.89768211922,1.2111557189916424,7.271928725006668,-12.734807603691086,-3358.4872102649024
000415.SZ,渤海租赁,10,-45545.63239781854,2.1335987017405467,16.012718611243017,-10.49514919588705,-4554.563239781854
000416.SZ,民生控股,9,-287304.3733537791,-0.29829974623471617,16.07181640532778,-23.91764758100308,-31922.708150419898
000417.SZ,合百集团,13,331878.9590614814,5.546534655120736,19.89744529473393,-6.491272918148239,25529.150697037032
000419.SZ,通程控股,12,169328.96498898082,4.786358394743838,14.427877383922311,-1.5203665738174137,14110.747082415068
000420.SZ,吉林化纤,11,169851.34207242055,9.171155669588726,60.52598041529384,-14.560639441573327,15441.031097492778
000421.SZ,南京公用,16,446567.60399904096,6.90162187342336,19.069462870174014,-4.503983161297644,27910.47524994006
000422.SZ,湖北宜化,10,114563.86928928088,5.73698787897177,33.89668292366024,-16.918781751928815,11456.386928928088
000423.SZ,东阿阿胶,14,334021.09872474114,6.262263633326886,18.570746497369953,-16.720971340490905,23858.64990891008
000425.SZ,徐工机械,13,80621.07670296083,4.266192254665031,14.106674931817253,-4.8959906804909235,6201.6212848431405
000426.SZ,兴业矿业,18,351359.88097464084,6.792537057657269,21.885952414584803,-9.752680228306726,19519.993387480048
000428.SZ,华天酒店,13,281516.90264010045,6.7266469981264265,25.506709129941775,-8.5026671281116,21655.146356930803
000429.SZ,粤高速A,15,170270.04117546082,3.9727231954785456,12.618308145139888,-5.136601089114685,11351.336078364055
000430.SZ,张家界,15,359985.7839708007,5.867403534432473,20.34344102213784,-5.194744424765447,23999.052264720045
000488.SZ,ST晨鸣,14,-162290.98189385934,0.979354713225593,12.743084456457682,-20.62641420585752,-11592.212992418525
000498.SZ,山东路桥,16,173723.8891024812,3.2536196425696025,16.838239696848998,-4.779013995971168,10857.743068905074
000501.SZ,武商集团,12,-187863.9729496191,0.42463023345517087,9.182817096259614,-15.85444204072214,-15655.331079134927
000502.SZ,绿景控股,4,62113.51888902008,5.268277280016275,5.716451495258082,4.915558836490802,15528.37972225502
000503.SZ,国新健康,15,-136956.40578863886,0.8380457637565014,18.11788493536589,-14.778880583375669,-9130.427052575924
000504.SZ,南华生物,16,800958.9064725009,11.491314210656167,25.565483009673223,-2.634185709734432,50059.931654531305
000505.SZ,京粮控股,15,123924.58345278073,4.084675161178478,21.119775933723204,-6.994568225672783,8261.63889685205
000506.SZ,中润资源,13,328778.9222157006,6.247530341473928,18.884495834140832,-3.5637286763290517,25290.686324284663
000507.SZ,珠海港,20,422756.21917170123,6.169852989543389,21.35229754213592,-3.986867039500767,21137.81095858506
000509.SZ,华塑控股,8,-23352.62231519964,2.5806425830995403,15.149427382646758,-12.24549488940865,-2919.077789399955
000510.SZ,新金路,13,108707.82646446058,3.4986997930616757,14.106536782591522,-8.759708621780193,8362.140497266199
000513.SZ,丽珠集团,16,189815.92832304086,4.998098944003647,26.82583028852169,-7.806424512070318,11863.495520190054
000514.SZ,渝开发,17,507346.87601790053,7.17321622821357,19.638116067844372,-3.358361431045525,29843.933883405913
000516.SZ,国际医学,12,-251960.39924417913,-0.3299908174966089,28.689394951462592,-15.463765649386287,-20996.699937014928
000517.SZ,荣安地产,16,447218.2880674208,8.670471618547673,32.49971092529831,-1.050622632318623,27951.1430042138
000518.SZ,四环生物,13,-91465.00004897958,2.179233072417319,20.00736951249816,-15.480354266408296,-7035.7692345368905
000519.SZ,中兵红箭,12,199383.94731780057,3.018171558157389,25.823706738677465,-12.878387128060917,16615.32894315005
000520.SZ,长航凤凰,17,224954.8725672016,3.3016995073508872,9.507683356660008,-17.478078492529324,13232.639562776563
000521.SZ,长虹美菱,11,222638.9751036006,7.680165977576828,16.14503238703138,-1.442835980385777,20239.906827600054
000523.SZ,红棉股份,11,289927.63985724084,6.261462734310538,17.04164990940377,-6.164326788174236,26357.058168840074
000524.SZ,岭南控股,15,265536.26492958097,5.354325911324915,16.279926669713443,-12.042318438166944,17702.417661972064
000525.SZ,红太阳,5,76718.61673506032,8.671939300855104,16.821269551337014,-3.5606221137535496,15343.723347012065
000526.SZ,紫光学大,18,346754.8864875609,7.445083997002153,20.581489505433748,-10.651008637262684,19264.16036042005
000528.SZ,柳工,13,92354.35327902061,3.343090465631974,9.90378116468642,-8.795449315777466,7104.181021463124
