con_code,industry_code,industry_name,in_date,out_date,in_dt,out_dt
000930.SZ,801010.SI,农林牧渔,20040102,,2004-01-02,
000972.SZ,801010.SI,农林牧渔,20000926,,2000-09-26,
000998.SZ,801010.SI,农林牧渔,20001211,,2000-12-11,
001201.SZ,801010.SI,农林牧渔,20210510,,2021-05-10,
001313.SZ,801010.SI,农林牧渔,20220223,,2022-02-23,
001338.SZ,801010.SI,农林牧渔,20221123,,2022-11-23,
001366.SZ,801010.SI,农林牧渔,20230314,,2023-03-14,
002041.SZ,801010.SI,农林牧渔,20050418,,2005-04-18,
002069.SZ,801010.SI,农林牧渔,20061013,,2006-10-13,
002086.SZ,801010.SI,农林牧渔,20061206,20220729,2006-12-06,2022-07-29
002086.SZ,801010.SI,农林牧渔,20260702,,2026-07-02,
002100.SZ,801010.SI,农林牧渔,20111010,,2011-10-10,
002124.SZ,801010.SI,农林牧渔,20070411,,2007-04-11,
002141.SZ,801010.SI,农林牧渔,20240731,20260701,2024-07-31,2026-07-01
002143.SZ,801010.SI,农林牧渔,20070730,20150630,2007-07-30,2015-06-30
002143.SZ,801010.SI,农林牧渔,20151103,20160128,2015-11-03,2016-01-28
002157.SZ,801010.SI,农林牧渔,20070827,20231207,2007-08-27,2023-12-07
002157.SZ,801010.SI,农林牧渔,20231211,,2023-12-11,
002173.SZ,801010.SI,农林牧渔,20071010,20180713,2007-10-10,2018-07-13
002200.SZ,801010.SI,农林牧渔,20080102,20130628,2008-01-02,2013-06-28
002215.SZ,801010.SI,农林牧渔,20250513,,2025-05-13,
002220.SZ,801010.SI,农林牧渔,20080307,20090601,2008-03-07,2009-06-01
002220.SZ,801010.SI,农林牧渔,20111010,20200629,2011-10-10,2020-06-29
002234.SZ,801010.SI,农林牧渔,20080526,20111114,2008-05-26,2011-11-14
002234.SZ,801010.SI,农林牧渔,20111116,,2011-11-16,
002286.SZ,801010.SI,农林牧渔,20111010,,2011-10-10,
002299.SZ,801010.SI,农林牧渔,20091029,,2009-10-29,
002310.SZ,801010.SI,农林牧渔,20091207,20100601,2009-12-07,2010-06-01
002311.SZ,801010.SI,农林牧渔,20091207,,2009-12-07,
002321.SZ,801010.SI,农林牧渔,20091224,20211231,2009-12-24,2021-12-31
002321.SZ,801010.SI,农林牧渔,20220105,,2022-01-05,
002385.SZ,801010.SI,农林牧渔,20100419,,2010-04-19,
002447.SZ,801010.SI,农林牧渔,20100721,20180713,2010-07-21,2018-07-13
002458.SZ,801010.SI,农林牧渔,20100818,,2010-08-18,
002477.SZ,801010.SI,农林牧渔,20100928,20190819,2010-09-28,2019-08-19
002481.SZ,801010.SI,农林牧渔,20211213,,2021-12-13,
002505.SZ,801010.SI,农林牧渔,20101126,20190705,2010-11-26,2019-07-05
002505.SZ,801010.SI,农林牧渔,20211213,20240829,2021-12-13,2024-08-29
002548.SZ,801010.SI,农林牧渔,20110228,,2011-02-28,
002556.SZ,801010.SI,农林牧渔,20211213,,2021-12-13,
002567.SZ,801010.SI,农林牧渔,20110406,,2011-04-06,
002604.SZ,801010.SI,农林牧渔,20111010,20190510,2011-10-10,2019-05-10
002661.SZ,801010.SI,农林牧渔,20211213,20230403,2021-12-13,2023-04-03
002679.SZ,801010.SI,农林牧渔,20120612,,2012-06-12,
002688.SZ,801010.SI,农林牧渔,20120720,,2012-07-20,
002696.SZ,801010.SI,农林牧渔,20120912,,2012-09-12,
002714.SZ,801010.SI,农林牧渔,20140211,,2014-02-11,
002746.SZ,801010.SI,农林牧渔,20150302,,2015-03-02,
002772.SZ,801010.SI,农林牧渔,20150703,,2015-07-03,
002852.SZ,801010.SI,农林牧渔,20170317,,2017-03-17,
002868.SZ,801010.SI,农林牧渔,20170510,,2017-05-10,
002891.SZ,801010.SI,农林牧渔,20180412,,2018-04-12,
002982.SZ,801010.SI,农林牧渔,20200506,,2020-05-06,
003030.SZ,801010.SI,农林牧渔,20211213,,2021-12-13,
300021.SZ,801010.SI,农林牧渔,20091109,,2009-11-09,
300087.SZ,801010.SI,农林牧渔,20100603,,2010-06-03,
300094.SZ,801010.SI,农林牧渔,20100716,,2010-07-16,
300106.SZ,801010.SI,农林牧渔,20100830,20211210,2010-08-30,2021-12-10
300119.SZ,801010.SI,农林牧渔,20111010,,2011-10-10,
300138.SZ,801010.SI,农林牧渔,20111010,,2011-10-10,
300143.SZ,801010.SI,农林牧渔,20101217,20180713,2010-12-17,2018-07-13
300149.SZ,801010.SI,农林牧渔,20111010,20190515,2011-10-10,2019-05-15
300175.SZ,801010.SI,农林牧渔,20110223,,2011-02-23,
300186.SZ,801010.SI,农林牧渔,20111010,20151029,2011-10-10,2015-10-29
300189.SZ,801010.SI,农林牧渔,20110324,,2011-03-24,
300268.SZ,801010.SI,农林牧渔,20111011,,2011-10-11,
300313.SZ,801010.SI,农林牧渔,20120504,,2012-05-04,
300498.SZ,801010.SI,农林牧渔,20151109,,2015-11-09,
300511.SZ,801010.SI,农林牧渔,20160511,,2016-05-11,
300673.SZ,801010.SI,农林牧渔,20170718,,2017-07-18,
300761.SZ,801010.SI,农林牧渔,20190225,,2019-02-25,
300829.SZ,801010.SI,农林牧渔,20200429,20211210,2020-04-29,2021-12-10
300871.SZ,801010.SI,农林牧渔,20200831,,2020-08-31,
300967.SZ,801010.SI,农林牧渔,20210420,,2021-04-20,
300970.SZ,801010.SI,农林牧渔,20210419,,2021-04-19,
300972.SZ,801010.SI,农林牧渔,20210426,20240730,2021-04-26,2024-07-30
300999.SZ,801010.SI,农林牧渔,20201022,,2020-10-22,
301116.SZ,801010.SI,农林牧渔,20220125,,2022-01-25,
301498.SZ,801010.SI,农林牧渔,20230823,,2023-08-23,
600093.SH,801010.SI,农林牧渔,19970626,20110930,1997-06-26,2011-09-30
600097.SH,801010.SI,农林牧渔,20100602,,2010-06-02,
600108.SH,801010.SI,农林牧渔,19970818,,1997-08-18,
600127.SH,801010.SI,农林牧渔,19980506,,1998-05-06,
600180.SH,801010.SI,农林牧渔,19980703,20130628,1998-07-03,2013-06-28
600189.SH,801010.SI,农林牧渔,19981007,20190705,1998-10-07,2019-07-05
600191.SH,801010.SI,农林牧渔,20111010,,2011-10-10,
600195.SH,801010.SI,农林牧渔,20111010,,2011-10-10,
600201.SH,801010.SI,农林牧渔,20111010,,2011-10-10,
600225.SH,801010.SI,农林牧渔,20000127,20070525,2000-01-27,2007-05-25
600225.SH,801010.SI,农林牧渔,20091030,20100601,2009-10-30,2010-06-01
600226.SH,801010.SI,农林牧渔,20111010,20190705,2011-10-10,2019-07-05
600242.SH,801010.SI,农林牧渔,20001207,20070525,2000-12-07,2007-05-25
600242.SH,801010.SI,农林牧渔,20090623,20110930,2009-06-23,2011-09-30
600248.SH,801010.SI,农林牧渔,20000622,20070215,2000-06-22,2007-02-15
600248.SH,801010.SI,农林牧渔,20070226,20070525,2007-02-26,2007-05-25
600248.SH,801010.SI,农林牧渔,20081230,20100601,2008-12-30,2010-06-01
600251.SH,801010.SI,农林牧渔,20030609,20080602,2003-06-09,2008-06-02
600251.SH,801010.SI,农林牧渔,20150701,20151102,2015-07-01,2015-11-02
600251.SH,801010.SI,农林牧渔,20160701,,2016-07-01,
600257.SH,801010.SI,农林牧渔,20000612,,2000-06-12,
600265.SH,801010.SI,农林牧渔,20000825,,2000-08-25,
600275.SH,801010.SI,农林牧渔,20000810,20110930,2000-08-10,2011-09-30
600275.SH,801010.SI,农林牧渔,20180716,20220524,2018-07-16,2022-05-24
600298.SH,801010.SI,农林牧渔,20111010,20211210,2011-10-10,2021-12-10
600311.SH,801010.SI,农林牧渔,20010626,20110930,2001-06-26,2011-09-30
600313.SH,801010.SI,农林牧渔,20010119,20100525,2001-01-19,2010-05-25
600313.SH,801010.SI,农林牧渔,20111020,,2011-10-20,
600354.SH,801010.SI,农林牧渔,20040115,,2004-01-15,
600359.SH,801010.SI,农林牧渔,19990429,,1999-04-29,
600371.SH,801010.SI,农林牧渔,20020916,,2002-09-16,
600438.SH,801010.SI,农林牧渔,20040302,20190513,2004-03-02,2019-05-13
600467.SH,801010.SI,农林牧渔,20040405,,2004-04-05,
600506.SH,801010.SI,农林牧渔,20011226,20220729,2001-12-26,2022-07-29
600537.SH,801010.SI,农林牧渔,20030123,20100601,2003-01-23,2010-06-01
600538.SH,801010.SI,农林牧渔,20111010,20120629,2011-10-10,2012-06-29
600540.SH,801010.SI,农林牧渔,20040107,,2004-01-07,
600543.SH,801010.SI,农林牧渔,20040324,20070702,2004-03-24,2007-07-02
600559.SH,801010.SI,农林牧渔,20021029,20090601,2002-10-29,2009-06-01
600598.SH,801010.SI,农林牧渔,20020329,,2002-03-29,
600672.SH,801010.SI,农林牧渔,19930917,20050516,1993-09-17,2005-05-16
600695.SH,801010.SI,农林牧渔,19931122,20180713,1993-11-22,2018-07-13
600703.SH,801010.SI,农林牧渔,19960528,20070525,1996-05-28,2007-05-25
600703.SH,801010.SI,农林牧渔,20080710,20090601,2008-07-10,2009-06-01
600737.SH,801010.SI,农林牧渔,20070703,,2007-07-03,
600762.SH,801010.SI,农林牧渔,19961025,20060724,1996-10-25,2006-07-24
600844.SH,801010.SI,农林牧渔,20070703,20091009,2007-07-03,2009-10-09
600873.SH,801010.SI,农林牧渔,20170703,20211210,2017-07-03,2021-12-10
600883.SH,801010.SI,农林牧渔,20220801,,2022-08-01,
600893.SH,801010.SI,农林牧渔,19960408,20070702,1996-04-08,2007-07-02
600962.SH,801010.SI,农林牧渔,20111010,,2011-10-10,
600965.SH,801010.SI,农林牧渔,20040713,20190705,2004-07-13,2019-07-05
600965.SH,801010.SI,农林牧渔,20211213,,2021-12-13,
600975.SH,801010.SI,农林牧渔,20040609,,2004-06-09,
601118.SH,801010.SI,农林牧渔,20110117,,2011-01-17,
601952.SH,801010.SI,农林牧渔,20170522,,2017-05-22,
603151.SH,801010.SI,农林牧渔,20221026,,2022-10-26,
603182.SH,801010.SI,农林牧渔,20220919,,2022-09-19,
603231.SH,801010.SI,农林牧渔,20231222,,2023-12-22,
603336.SH,801010.SI,农林牧渔,20161201,,2016-12-01,
603363.SH,801010.SI,农林牧渔,20171010,20241225,2017-10-10,2024-12-25
603363.SH,801010.SI,农林牧渔,20241227,,2024-12-27,
603477.SH,801010.SI,农林牧渔,20220125,,2022-01-25,
603566.SH,801010.SI,农林牧渔,20150525,,2015-05-25,
603609.SH,801010.SI,农林牧渔,20140815,,2014-08-15,
603668.SH,801010.SI,农林牧渔,20170124,,2017-01-24,
603717.SH,801010.SI,农林牧渔,20250813,,2025-08-13,
603718.SH,801010.SI,农林牧渔,20150522,20260202,2015-05-22,2026-02-02
603739.SH,801010.SI,农林牧渔,20190123,20220729,2019-01-23,2022-07-29
605016.SH,801010.SI,农林牧渔,20210428,20211210,2021-04-28,2021-12-10
605198.SH,801010.SI,农林牧渔,20200925,,2020-09-25,
605296.SH,801010.SI,农林牧渔,20210604,,2021-06-04,
688098.SH,801010.SI,农林牧渔,20230925,,2023-09-25,
688156.SH,801010.SI,农林牧渔,20250513,,2025-05-13,
688526.SH,801010.SI,农林牧渔,20230925,,2023-09-25,
000013.SZ,801030.SI,基础化工,20030512,20040517,2003-05-12,2004-05-17
000036.SZ,801030.SI,基础化工,20050701,20101008,2005-07-01,2010-10-08
000049.SZ,801030.SI,基础化工,20070703,20110930,2007-07-03,2011-09-30
000059.SZ,801030.SI,基础化工,19970130,20211210,1997-01-30,2021-12-10
000096.SZ,801030.SI,基础化工,20000724,20211210,2000-07-24,2021-12-10
000155.SZ,801030.SI,基础化工,20000926,20160506,2000-09-26,2016-05-06
000156.SZ,801030.SI,基础化工,20000906,20060412,2000-09-06,2006-04-12
000159.SZ,801030.SI,基础化工,20160701,20211210,2016-07-01,2021-12-10
000301.SZ,801030.SI,基础化工,20190708,20211210,2019-07-08,2021-12-10
000407.SZ,801030.SI,基础化工,19960703,20160630,1996-07-03,2016-06-30
000408.SZ,801030.SI,基础化工,20180716,20230705,2018-07-16,2023-07-05
000408.SZ,801030.SI,基础化工,20260702,,2026-07-02,
000420.SZ,801030.SI,基础化工,19960802,,1996-08-02,
000422.SZ,801030.SI,基础化工,19960815,,1996-08-15,
000498.SZ,801030.SI,基础化工,19970609,20080516,1997-06-09,2008-05-16
000498.SZ,801030.SI,基础化工,20130218,20130628,2013-02-18,2013-06-28
000510.SZ,801030.SI,基础化工,19930507,,1993-05-07,
000515.SZ,801030.SI,基础化工,19930712,20090506,1993-07-12,2009-05-06
000520.SZ,801030.SI,基础化工,19931025,20061009,1993-10-25,2006-10-09
000523.SZ,801030.SI,基础化工,19931108,20211207,1993-11-08,2021-12-07
000523.SZ,801030.SI,基础化工,20211210,20211210,2021-12-10,2021-12-10
000525.SZ,801030.SI,基础化工,19931028,20241115,1993-10-28,2024-11-15
000525.SZ,801030.SI,基础化工,20241119,,2024-11-19,
000545.SZ,801030.SI,基础化工,20140702,,2014-07-02,
000553.SZ,801030.SI,基础化工,19931203,,1993-12-03,
000554.SZ,801030.SI,基础化工,19931215,20211210,1993-12-15,2021-12-10
000565.SZ,801030.SI,基础化工,19940408,,1994-04-08,
000578.SZ,801030.SI,基础化工,20090602,20110322,2009-06-02,2011-03-22
000584.SZ,801030.SI,基础化工,20070703,20180713,2007-07-03,2018-07-13
000589.SZ,801030.SI,基础化工,19960308,20211210,1996-03-08,2021-12-10
000598.SZ,801030.SI,基础化工,19960529,20090601,1996-05-29,2009-06-01
000599.SZ,801030.SI,基础化工,20030512,20211210,2003-05-12,2021-12-10
000606.SZ,801030.SI,基础化工,19961004,20110930,1996-10-04,2011-09-30
000609.SZ,801030.SI,基础化工,19961010,20070702,1996-10-10,2007-07-02
000615.SZ,801030.SI,基础化工,19961016,20160630,1996-10-16,2016-06-30
000618.SZ,801030.SI,基础化工,19961015,20060220,1996-10-15,2006-02-20
000620.SZ,801030.SI,基础化工,19961029,20060331,1996-10-29,2006-03-31
000627.SZ,801030.SI,基础化工,20111010,20170630,2011-10-10,2017-06-30
000635.SZ,801030.SI,基础化工,20070703,,2007-07-03,
000637.SZ,801030.SI,基础化工,19961114,20211210,1996-11-14,2021-12-10
000650.SZ,801030.SI,基础化工,19961210,20060512,1996-12-10,2006-05-12
000650.SZ,801030.SI,基础化工,20070525,20070611,2007-05-25,2007-06-11
000652.SZ,801030.SI,基础化工,19961128,20061009,1996-11-28,2006-10-09
000662.SZ,801030.SI,基础化工,20020508,20170630,2002-05-08,2017-06-30
000665.SZ,801030.SI,基础化工,19961210,20100601,1996-12-10,2010-06-01
000668.SZ,801030.SI,基础化工,19961210,20070702,1996-12-10,2007-07-02
000668.SZ,801030.SI,基础化工,20090602,20110930,2009-06-02,2011-09-30
000670.SZ,801030.SI,基础化工,20030103,20070525,2003-01-03,2007-05-25
000677.SZ,801030.SI,基础化工,19961226,,1996-12-26,
000683.SZ,801030.SI,基础化工,19970131,20110930,1997-01-31,2011-09-30
000683.SZ,801030.SI,基础化工,20150701,,2015-07-01,
000686.SZ,801030.SI,基础化工,20030103,20070702,2003-01-03,2007-07-02
000687.SZ,801030.SI,基础化工,19970221,20160630,1997-02-21,2016-06-30
000691.SZ,801030.SI,基础化工,20220801,20251231,2022-08-01,2025-12-31
000691.SZ,801030.SI,基础化工,20260106,,2026-01-06,
000695.SZ,801030.SI,基础化工,19970218,20061009,1997-02-18,2006-10-09
000698.SZ,801030.SI,基础化工,19970220,20211210,1997-02-20,2021-12-10
000703.SZ,801030.SI,基础化工,20111010,20211210,2011-10-10,2021-12-10
000707.SZ,801030.SI,基础化工,19970415,,1997-04-15,
000719.SZ,801030.SI,基础化工,19970331,20080122,1997-03-31,2008-01-22
000728.SZ,801030.SI,基础化工,19970616,20070702,1997-06-16,2007-07-02
000731.SZ,801030.SI,基础化工,19970617,,1997-06-17,
000732.SZ,801030.SI,基础化工,19970704,20070511,1997-07-04,2007-05-11
000732.SZ,801030.SI,基础化工,20101011,20110930,2010-10-11,2011-09-30
000737.SZ,801030.SI,基础化工,19970428,20060427,1997-04-28,2006-04-27
000737.SZ,801030.SI,基础化工,20060508,20220729,2006-05-08,2022-07-29
000755.SZ,801030.SI,基础化工,19970627,20181119,1997-06-27,2018-11-19
000763.SZ,801030.SI,基础化工,19970915,20060104,1997-09-15,2006-01-04
000782.SZ,801030.SI,基础化工,19970619,,1997-06-19,
000783.SZ,801030.SI,基础化工,19970731,20070702,1997-07-31,2007-07-02
000791.SZ,801030.SI,基础化工,19971014,20130628,1997-10-14,2013-06-28
000792.SZ,801030.SI,基础化工,19970904,20200330,1997-09-04,2020-03-30
000792.SZ,801030.SI,基础化工,20200401,20200521,2020-04-01,2020-05-21
000792.SZ,801030.SI,基础化工,20210811,,2021-08-11,
000818.SZ,801030.SI,基础化工,19971017,,1997-10-17,
000819.SZ,801030.SI,基础化工,19970625,20211210,1997-06-25,2021-12-10
000822.SZ,801030.SI,基础化工,19980703,,1998-07-03,
000830.SZ,801030.SI,基础化工,19980807,,1998-08-07,
000832.SZ,801030.SI,基础化工,19980825,20050518,1998-08-25,2005-05-18
000838.SZ,801030.SI,基础化工,20070703,20090601,2007-07-03,2009-06-01
000839.SZ,801030.SI,基础化工,20090602,20120629,2009-06-02,2012-06-29
000859.SZ,801030.SI,基础化工,19981119,,1998-11-19,
000861.SZ,801030.SI,基础化工,20070703,20120629,2007-07-03,2012-06-29
000866.SZ,801030.SI,基础化工,19980512,20060421,1998-05-12,2006-04-21
000881.SZ,801030.SI,基础化工,20190708,,2019-07-08,
000893.SZ,801030.SI,基础化工,20190708,,2019-07-08,
000902.SZ,801030.SI,基础化工,20150604,,2015-06-04,
000912.SZ,801030.SI,基础化工,19990603,,1999-06-03,
000920.SZ,801030.SI,基础化工,20220801,,2022-08-01,
000936.SZ,801030.SI,基础化工,20070703,,2007-07-03,
000949.SZ,801030.SI,基础化工,19991021,20240528,1999-10-21,2024-05-28
000949.SZ,801030.SI,基础化工,20240530,,2024-05-30,
000950.SZ,801030.SI,基础化工,19990916,20170508,1999-09-16,2017-05-08
000950.SZ,801030.SI,基础化工,20180829,20190705,2018-08-29,2019-07-05
000953.SZ,801030.SI,基础化工,19991202,20220729,1999-12-02,2022-07-29
000973.SZ,801030.SI,基础化工,20000525,,2000-05-25,
000976.SZ,801030.SI,基础化工,20000601,20170630,2000-06-01,2017-06-30
000979.SZ,801030.SI,基础化工,20000616,20100317,2000-06-16,2010-03-17
000985.SZ,801030.SI,基础化工,20000726,20211210,2000-07-26,2021-12-10
000990.SZ,801030.SI,基础化工,20000706,20070702,2000-07-06,2007-07-02
000990.SZ,801030.SI,基础化工,20170703,,2017-07-03,
001207.SZ,801030.SI,基础化工,20210630,,2021-06-30,
001217.SZ,801030.SI,基础化工,20211013,,2021-10-13,
001218.SZ,801030.SI,基础化工,20211022,,2021-10-22,
001231.SZ,801030.SI,基础化工,20220826,,2022-08-26,
001255.SZ,801030.SI,基础化工,20221014,,2022-10-14,
001296.SZ,801030.SI,基础化工,20211231,,2021-12-31,
001325.SZ,801030.SI,基础化工,20251225,,2025-12-25,
001333.SZ,801030.SI,基础化工,20221215,,2022-12-15,
001335.SZ,801030.SI,基础化工,20250422,,2025-04-22,
001358.SZ,801030.SI,基础化工,20231228,,2023-12-28,
001359.SZ,801030.SI,基础化工,20240408,,2024-04-08,
001369.SZ,801030.SI,基础化工,20260108,,2026-01-08,
001378.SZ,801030.SI,基础化工,20231106,,2023-11-06,
002001.SZ,801030.SI,基础化工,20240809,,2024-08-09,
002002.SZ,801030.SI,基础化工,20040625,20240315,2004-06-25,2024-03-15
002004.SZ,801030.SI,基础化工,20120702,20211210,2012-07-02,2021-12-10
002010.SZ,801030.SI,基础化工,20040629,20180713,2004-06-29,2018-07-13
002015.SZ,801030.SI,基础化工,20040708,20200723,2004-07-08,2020-07-23
002018.SZ,801030.SI,基础化工,20040713,20170630,2004-07-13,2017-06-30
002019.SZ,801030.SI,基础化工,20040713,20070702,2004-07-13,2007-07-02
002037.SZ,801030.SI,基础化工,20040908,,2004-09-08,
002053.SZ,801030.SI,基础化工,20060704,20241206,2006-07-04,2024-12-06
002054.SZ,801030.SI,基础化工,20060809,,2006-08-09,
002061.SZ,801030.SI,基础化工,20060831,20180713,2006-08-31,2018-07-13
002064.SZ,801030.SI,基础化工,20060831,,2006-08-31,
002068.SZ,801030.SI,基础化工,20060925,,2006-09-25,
002080.SZ,801030.SI,基础化工,20061128,20211210,2006-11-28,2021-12-10
002088.SZ,801030.SI,基础化工,20061208,20110930,2006-12-08,2011-09-30
002092.SZ,801030.SI,基础化工,20061218,,2006-12-18,
002094.SZ,801030.SI,基础化工,20180716,20211210,2018-07-16,2021-12-10
002096.SZ,801030.SI,基础化工,20070104,,2007-01-04,
002108.SZ,801030.SI,基础化工,20070201,,2007-02-01,
002109.SZ,801030.SI,基础化工,20070205,,2007-02-05,
002113.SZ,801030.SI,基础化工,20070216,20130628,2007-02-16,2013-06-28
002125.SZ,801030.SI,基础化工,20070411,20220729,2007-04-11,2022-07-29
002127.SZ,801030.SI,基础化工,20111010,20170630,2011-10-10,2017-06-30
002130.SZ,801030.SI,基础化工,20070430,20110930,2007-04-30,2011-09-30
002136.SZ,801030.SI,基础化工,20080603,,2008-06-03,
002145.SZ,801030.SI,基础化工,20070813,,2007-08-13,
002165.SZ,801030.SI,基础化工,20070921,,2007-09-21,
002166.SZ,801030.SI,基础化工,20220801,,2022-08-01,
002167.SZ,801030.SI,基础化工,20070921,20110930,2007-09-21,2011-09-30
002170.SZ,801030.SI,基础化工,20070927,,2007-09-27,
002172.SZ,801030.SI,基础化工,20071008,20220729,2007-10-08,2022-07-29
002192.SZ,801030.SI,基础化工,20071213,20160630,2007-12-13,2016-06-30
002201.SZ,801030.SI,基础化工,20080107,20211210,2008-01-07,2021-12-10
002206.SZ,801030.SI,基础化工,20080131,,2008-01-31,
002211.SZ,801030.SI,基础化工,20080218,,2008-02-18,
002215.SZ,801030.SI,基础化工,20080226,20250512,2008-02-26,2025-05-12
002217.SZ,801030.SI,基础化工,20080228,20150630,2008-02-28,2015-06-30
002221.SZ,801030.SI,基础化工,20080314,20211210,2008-03-14,2021-12-10
002224.SZ,801030.SI,基础化工,20080508,,2008-05-08,
002226.SZ,801030.SI,基础化工,20080514,,2008-05-14,
002243.SZ,801030.SI,基础化工,20080605,20110930,2008-06-05,2011-09-30
002246.SZ,801030.SI,基础化工,20080616,,2008-06-16,
002250.SZ,801030.SI,基础化工,20080627,,2008-06-27,
002254.SZ,801030.SI,基础化工,20080703,,2008-07-03,
002256.SZ,801030.SI,基础化工,20080703,20190705,2008-07-03,2019-07-05
002258.SZ,801030.SI,基础化工,20080716,,2008-07-16,
002263.SZ,801030.SI,基础化工,20080805,20110930,2008-08-05,2011-09-30
002263.SZ,801030.SI,基础化工,20150701,20151102,2015-07-01,2015-11-02
002263.SZ,801030.SI,基础化工,20160219,,2016-02-19,
002274.SZ,801030.SI,基础化工,20081010,,2008-10-10,
002312.SZ,801030.SI,基础化工,20211213,,2021-12-13,
002319.SZ,801030.SI,基础化工,20091221,,2009-12-21,
002324.SZ,801030.SI,基础化工,20091228,,2009-12-28,
002326.SZ,801030.SI,基础化工,20091230,,2009-12-30,
002341.SZ,801030.SI,基础化工,20190708,20240822,2019-07-08,2024-08-22
002343.SZ,801030.SI,基础化工,20100203,20160630,2010-02-03,2016-06-30
002360.SZ,801030.SI,基础化工,20100311,,2010-03-11,
002361.SZ,801030.SI,基础化工,20100311,,2010-03-11,
002377.SZ,801030.SI,基础化工,20100331,20180713,2010-03-31,2018-07-13
002381.SZ,801030.SI,基础化工,20100413,,2010-04-13,
002382.SZ,801030.SI,基础化工,20100413,20190121,2010-04-13,2019-01-21
002386.SZ,801030.SI,基础化工,20100419,,2010-04-19,
002391.SZ,801030.SI,基础化工,20100426,,2010-04-26,
002395.SZ,801030.SI,基础化工,20100510,,2010-05-10,
002407.SZ,801030.SI,基础化工,20100526,,2010-05-26,
002408.SZ,801030.SI,基础化工,20100526,20211210,2010-05-26,2021-12-10
002409.SZ,801030.SI,基础化工,20100602,20200608,2010-06-02,2020-06-08
002411.SZ,801030.SI,基础化工,20100602,20160630,2010-06-02,2016-06-30
002427.SZ,801030.SI,基础化工,20100621,20221209,2010-06-21,2022-12-09
002427.SZ,801030.SI,基础化工,20221213,,2022-12-13,
002430.SZ,801030.SI,基础化工,20240731,,2024-07-31,
002440.SZ,801030.SI,基础化工,20100714,,2010-07-14,
002442.SZ,801030.SI,基础化工,20100714,,2010-07-14,
002450.SZ,801030.SI,基础化工,20100726,20200709,2010-07-26,2020-07-09
002453.SZ,801030.SI,基础化工,20100728,,2010-07-28,
002455.SZ,801030.SI,基础化工,20100811,,2010-08-11,
002464.SZ,801030.SI,基础化工,20100908,20170630,2010-09-08,2017-06-30
002470.SZ,801030.SI,基础化工,20100916,,2010-09-16,
002476.SZ,801030.SI,基础化工,20100928,20211210,2010-09-28,2021-12-10
002493.SZ,801030.SI,基础化工,20101110,20211210,2010-11-10,2021-12-10
002496.SZ,801030.SI,基础化工,20101117,,2010-11-17,
002497.SZ,801030.SI,基础化工,20101117,20220729,2010-11-17,2022-07-29
002497.SZ,801030.SI,基础化工,20240731,,2024-07-31,
002513.SZ,801030.SI,基础化工,20101213,,2010-12-13,
002522.SZ,801030.SI,基础化工,20211213,,2021-12-13,
002538.SZ,801030.SI,基础化工,20110215,,2011-02-15,
