ts_code,report_period,ann_date,update_flag,revenue,n_income_attr_p
000006.SZ,20221231,20230428,1,3699813551.41,419619088.67
000006.SZ,20230331,20230429,1,265640113.06,-12085882.25
000006.SZ,20230630,20230825,0,576147577.61,8488151.84
000006.SZ,20230630,20230825,1,576147577.61,8488151.84
000006.SZ,20230930,20231027,1,829287912.0,-1225715.98
000006.SZ,20231231,20240427,1,2810603447.85,-802652783.79
000006.SZ,20240331,20240427,1,252712272.21,-26597661.42
000006.SZ,20240630,20240830,1,3236614275.8,-345992320.73
000006.SZ,20240930,20241031,1,4827628216.97,-523537572.78
000007.SZ,20171231,20180424,0,39644011.95,16453651.05
000007.SZ,20180331,20180428,0,10698817.44,-7734862.81
000007.SZ,20180630,20180831,0,22392532.27,-11067350.98
000007.SZ,20180930,20181031,0,32261555.36,-8660637.69
000007.SZ,20181231,20190430,0,42443842.1,-196212068.92
000007.SZ,20181231,20190430,1,42443842.1,-196212068.92
000007.SZ,20190331,20190430,0,9239141.41,8888205.5
000007.SZ,20190630,20190831,0,21023439.33,-4105103.17
000007.SZ,20190630,20190831,1,21023439.33,-4105103.17
000007.SZ,20190930,20191031,1,31074355.83,-9310041.3
000007.SZ,20191231,20200429,0,42020841.81,22287512.19
000007.SZ,20191231,20200429,1,42020841.81,22287512.19
000007.SZ,20200331,20200430,0,8764876.04,-22803450.18
000007.SZ,20200331,20200430,1,8764876.04,-22803450.18
000007.SZ,20200630,20200828,0,21309843.24,-29809621.17
000007.SZ,20200630,20200828,1,21309843.24,-29809621.17
000007.SZ,20200930,20201031,0,33608786.41,-45516937.06
000007.SZ,20200930,20201031,1,33608786.41,-45516937.06
000007.SZ,20201231,20210429,0,45146397.44,-122912266.31
000007.SZ,20201231,20210429,1,45146397.44,-122912266.31
000007.SZ,20210331,20210429,1,13155105.2,-1289465.67
000007.SZ,20210630,20210827,1,54952028.83,-2284058.28
000007.SZ,20210930,20211029,0,127846672.38,-2311959.04
000007.SZ,20210930,20211029,1,127846672.38,-2311959.04
000007.SZ,20211231,20220430,0,178349915.25,39970569.46
000007.SZ,20211231,20220430,1,202545808.35,39970569.46
000007.SZ,20220331,20220430,0,60011228.81,-4443902.93
000007.SZ,20220331,20220430,1,60011228.81,-4443902.93
000007.SZ,20220630,20220830,1,119206368.63,-9989822.79
000007.SZ,20220930,20221026,1,193908164.8,-8933380.24
000007.SZ,20221231,20230429,1,220838034.89,-5356486.52
000007.SZ,20230331,20230429,1,49531240.17,-232199.04
000007.SZ,20230630,20230830,1,103851971.66,12136746.88
000007.SZ,20230930,20231031,1,153301309.11,10847119.51
000007.SZ,20231231,20240429,1,216387969.48,35969277.16
000007.SZ,20240331,20240429,1,43283050.18,640801.15
000007.SZ,20240630,20240831,1,78530287.39,3096026.42
000007.SZ,20240930,20241031,1,154225694.46,3176090.93
000008.SZ,20171231,20180426,0,2330932161.16,873780534.16
000008.SZ,20180331,20180428,0,209019068.23,10524203.55
000008.SZ,20180630,20180825,0,730004256.89,61380173.14
000008.SZ,20180930,20181020,0,1289516557.14,123560913.21
000008.SZ,20180930,20181020,1,1289516557.14,123560913.21
000008.SZ,20181231,20190425,0,2564901269.62,325051555.98
000008.SZ,20181231,20190425,1,2564901269.62,325051555.98
000008.SZ,20190331,20190427,0,308747049.47,11740265.79
000008.SZ,20190630,20190829,0,932616832.9,66213204.77
000008.SZ,20190930,20191022,0,1560005014.9,148428830.38
000008.SZ,20190930,20191022,1,1560005014.9,148428830.38
000008.SZ,20191231,20200424,0,3220142984.66,434380320.18
000008.SZ,20191231,20200424,1,3220142984.66,434380320.18
000008.SZ,20200331,20200430,0,119323422.89,-108210287.27
000008.SZ,20200331,20200430,1,119323422.89,-108210287.27
000008.SZ,20200630,20200829,0,425814017.8,-291997588.3
000008.SZ,20200630,20200829,1,425814017.8,-291997588.3
000008.SZ,20200930,20201031,0,953006652.14,-241726611.36
000008.SZ,20200930,20201031,1,953006652.14,-241726611.36
000008.SZ,20201231,20210420,0,1917519166.43,-894441536.86
000008.SZ,20201231,20210420,1,1917519166.43,-894441536.86
000008.SZ,20210331,20210427,1,149288551.64,-86010317.61
000008.SZ,20210630,20210828,1,527986916.51,-148797139.24
000008.SZ,20210930,20211029,0,1042818140.68,-98556630.09
000008.SZ,20210930,20211029,1,1042818140.68,-98556630.09
000008.SZ,20211231,20220429,0,2214804536.96,-1394367506.68
000008.SZ,20211231,20220429,1,2214804536.96,-1394367506.68
000008.SZ,20220331,20220430,0,215585239.29,-51340179.91
000008.SZ,20220331,20220430,1,215585239.29,-51340179.91
000008.SZ,20220630,20220831,1,581033998.15,-84238757.26
000008.SZ,20220930,20221029,1,947116269.21,-175140095.63
000008.SZ,20221231,20230422,0,1772952858.32,-846257790.47
000008.SZ,20221231,20230422,1,1772952858.32,-846257790.47
000008.SZ,20230331,20230428,1,431343230.64,-32949016.59
000008.SZ,20230630,20230826,0,823755869.63,-83604239.18
000008.SZ,20230630,20230826,1,823755869.63,-83604239.18
000008.SZ,20230930,20231028,1,1308227162.47,-145407060.9
000008.SZ,20231231,20240416,1,2511647824.07,-828273298.53
000008.SZ,20240331,20240430,1,180319566.65,-48618413.77
000008.SZ,20240630,20240830,1,526983437.67,-174561452.26
000008.SZ,20240930,20241031,1,1089637827.6,-179856296.77
000009.SZ,20171231,20180428,0,7023511217.26,133203837.23
000009.SZ,20180331,20180428,0,2020831898.66,35233598.66
000009.SZ,20180630,20180830,0,4337867219.49,114909762.37
000009.SZ,20180630,20180830,1,4337867219.49,114909762.37
000009.SZ,20180930,20181030,0,6649258486.63,98609086.18
000009.SZ,20180930,20181030,1,6649258486.63,98609086.18
000009.SZ,20181231,20190430,0,11715547130.35,213780584.63
000009.SZ,20181231,20190430,1,11715547130.35,213780584.63
000009.SZ,20190331,20190430,0,2239608579.29,66088064.54
000009.SZ,20190630,20190831,0,5891655023.5,138075594.7
000009.SZ,20190630,20190831,1,5891655023.5,138075594.7
000009.SZ,20190930,20191026,0,8755575592.59,200688169.57
000009.SZ,20190930,20191026,1,8755575592.59,200688169.57
000009.SZ,20191231,20200429,0,11948727206.58,301136296.48
000009.SZ,20191231,20200429,1,11948727206.58,301136296.48
000009.SZ,20200331,20200429,0,1613873154.09,40189518.93
000009.SZ,20200331,20200429,1,1613873154.09,40189518.93
000009.SZ,20200630,20200828,0,3975994699.66,135287660.25
000009.SZ,20200630,20200828,1,3975994699.66,135287660.25
000009.SZ,20200930,20201029,0,6937768614.43,521577260.58
000009.SZ,20200930,20201029,1,6937768614.43,521577260.58
000009.SZ,20201231,20210327,0,10593850771.9,661761423.4
000009.SZ,20201231,20210327,1,10593850771.9,661761423.4
000009.SZ,20210331,20210424,1,3701038124.21,190270285.88
000009.SZ,20210630,20210825,1,8020873381.63,680433180.54
000009.SZ,20210930,20211026,1,12166549241.53,892569119.1
000009.SZ,20211231,20220331,0,17553419112.71,1035599088.75
000009.SZ,20211231,20220331,1,17553419112.71,1035599088.75
000009.SZ,20220331,20220428,0,5683423572.87,165134224.14
000009.SZ,20220331,20220428,1,5683423572.87,165134224.14
000009.SZ,20220630,20220823,1,13511408089.55,423195842.67
000009.SZ,20220930,20221027,1,22479591306.31,575535984.92
000009.SZ,20221231,20230415,0,31998720906.66,1156580360.59
000009.SZ,20221231,20230415,1,31998720906.66,1156580360.59
000009.SZ,20230331,20230429,1,8228499170.23,239346190.45
000009.SZ,20230630,20230829,0,16282917663.35,491669061.64
000009.SZ,20230630,20230829,1,16282917663.35,491669061.64
000009.SZ,20230930,20231031,0,24508351268.84,678521085.66
000009.SZ,20230930,20231031,1,24508351268.84,678521085.66
000009.SZ,20231231,20240416,1,30697118102.02,756459343.67
000009.SZ,20240331,20240430,0,4999751793.71,70773244.88
000009.SZ,20240331,20240430,1,4999751793.71,70773244.88
000009.SZ,20240630,20240830,1,10029771698.37,195791762.24
000009.SZ,20240930,20241031,1,14635780070.1,385380060.3
000010.SZ,20171231,20180427,0,757885725.53,-1048953904.98
000010.SZ,20180331,20180427,0,80987934.76,-46564465.41
000010.SZ,20180630,20180831,0,107530306.34,-84986047.32
000010.SZ,20180930,20181030,0,187352342.15,-191965392.3
000010.SZ,20180930,20181030,1,187352342.15,-191965392.3
000010.SZ,20181231,20190425,0,345410350.35,-731500477.92
000010.SZ,20181231,20190425,1,345410350.35,-731500477.92
000010.SZ,20190331,20190430,0,199628684.48,2881506.68
000010.SZ,20190630,20190802,0,472836173.15,10231761.73
000010.SZ,20190930,20191031,1,1083492664.74,43662970.67
000010.SZ,20191231,20200430,0,1893071131.21,46474799.71
000010.SZ,20191231,20200430,1,1893071131.21,46474799.71
000010.SZ,20200331,20200430,0,70267945.69,-11690209.16
000010.SZ,20200331,20200430,1,70267945.69,-11690209.16
000010.SZ,20200630,20200825,0,553311773.68,8817289.7
000010.SZ,20200630,20200825,1,553311773.68,8817289.7
000010.SZ,20200930,20201030,0,774949543.77,26021625.87
000010.SZ,20200930,20201030,1,774949543.77,26021625.87
000010.SZ,20201231,20210421,0,1408542234.95,39839573.38
000010.SZ,20201231,20210421,1,1408542234.95,39839573.38
000010.SZ,20210331,20210430,1,228063060.96,1581357.59
000010.SZ,20210630,20210831,1,562996275.2,7977797.48
000010.SZ,20210930,20211027,0,1056524608.19,21647193.73
000010.SZ,20210930,20211027,1,1056524608.19,21647193.73
000010.SZ,20211231,20220428,0,1756906765.34,23458663.0
000010.SZ,20211231,20220428,1,1756906765.34,23458663.0
000010.SZ,20220331,20220428,0,183922738.76,1975493.39
000010.SZ,20220331,20220428,1,183922738.76,1975493.39
000010.SZ,20220630,20220829,1,434695932.34,9420879.69
000010.SZ,20220930,20221029,1,559391155.94,-3011357.42
000010.SZ,20221231,20230428,1,613053300.78,-535790918.99
000010.SZ,20230331,20230428,1,123962806.8,-27469373.14
000010.SZ,20230630,20230830,1,194096730.47,-115430765.69
000010.SZ,20230930,20231028,1,245519342.45,-161352258.76
000010.SZ,20231231,20240427,0,302915567.26,-498883121.73
000010.SZ,20240331,20240427,0,53061522.48,-24628615.85
000010.SZ,20240331,20240427,1,53061522.48,-24628615.85
000010.SZ,20240630,20240831,1,120126553.78,-98921173.23
000010.SZ,20240930,20241031,1,353804130.74,-59430761.15
000011.SZ,20171231,20180330,0,2904690690.53,622962734.37
000011.SZ,20180331,20180427,0,544366414.09,53456824.88
000011.SZ,20180630,20180822,0,825013984.97,82972527.59
000011.SZ,20180930,20181031,0,1199003679.43,144188691.4
000011.SZ,20180930,20181031,1,1199003679.43,144188691.4
000011.SZ,20181231,20190330,0,2787240632.53,592723852.71
000011.SZ,20181231,20190330,1,2787240632.53,592723852.71
000011.SZ,20190331,20190430,0,385944107.52,78431920.59
000011.SZ,20190630,20190820,0,755390079.96,103749398.16
000011.SZ,20190630,20190820,1,755390079.96,103749398.16
000011.SZ,20190930,20191031,1,1001952666.88,103059587.95
000011.SZ,20191231,20200318,0,3961669942.44,817805780.12
000011.SZ,20191231,20200318,1,3961669942.44,817805780.12
000011.SZ,20200331,20200430,0,861546080.08,152014318.1
000011.SZ,20200331,20200430,1,861546080.08,152014318.1
000011.SZ,20200630,20200820,0,1421077767.83,211967734.76
000011.SZ,20200630,20200820,1,1421077767.83,211967734.76
000011.SZ,20200930,20201026,0,1753697717.3,192412552.18
000011.SZ,20200930,20201026,1,1753697717.3,192412552.18
000011.SZ,20201231,20210331,0,4104374646.02,798572121.74
000011.SZ,20201231,20210331,1,4104374646.02,798572121.74
000011.SZ,20210331,20210429,1,891026732.66,214420219.16
000011.SZ,20210630,20210830,1,2540865139.25,676375523.75
000011.SZ,20210930,20211030,0,3181490688.19,774666320.42
000011.SZ,20210930,20211030,1,3181490688.19,774666320.42
000011.SZ,20211231,20220330,0,4491965643.71,1003969842.33
000011.SZ,20211231,20220330,1,4491965643.71,1003969842.33
000011.SZ,20220331,20220427,0,1255811600.03,219440470.15
000011.SZ,20220331,20220427,1,1255811600.03,219440470.15
000011.SZ,20220630,20220829,1,1988299840.24,250802157.71
000011.SZ,20220930,20221031,1,3140295994.52,455745222.66
000011.SZ,20221231,20230325,0,3708669046.85,537664698.69
000011.SZ,20221231,20230325,1,3708669046.85,537664698.69
000011.SZ,20230331,20230428,1,411469619.15,13216750.95
000011.SZ,20230630,20230828,1,1905464632.85,220903444.63
000011.SZ,20230930,20231030,1,2427326213.7,231351500.28
000011.SZ,20231231,20240330,1,2965117025.04,464014492.11
000011.SZ,20240331,20240427,0,406582462.31,463582.22
000011.SZ,20240331,20240427,1,406582462.31,463582.22
000011.SZ,20240630,20240828,1,856028445.25,9212457.81
000011.SZ,20240930,20241031,1,1317806652.07,3581016.97
000012.SZ,20171231,20180423,0,10879400746.0,825388312.0
000012.SZ,20180331,20180428,0,2629471994.0,159382821.0
000012.SZ,20180630,20180828,0,5471169598.0,352837153.0
000012.SZ,20180930,20181030,0,8151251436.0,469116338.0
000012.SZ,20180930,20181030,1,8151251436.0,469116338.0
000012.SZ,20181231,20190417,0,10609963011.0,452965935.0
000012.SZ,20181231,20190417,1,10609963011.0,452965935.0
000012.SZ,20190331,20190426,0,2222721514.0,132188324.0
000012.SZ,20190630,20190823,0,4888237578.0,377342401.0
000012.SZ,20190930,20191028,0,7661655487.0,544313118.0
000012.SZ,20190930,20191028,1,7661655487.0,544313118.0
000012.SZ,20191231,20200430,0,10472028099.0,536430818.0
000012.SZ,20191231,20200430,1,10472028099.0,536430818.0
000012.SZ,20200331,20200430,0,1733965637.0,111278288.0
000012.SZ,20200331,20200430,1,1733965637.0,111278288.0
000012.SZ,20200630,20200824,0,4424221349.0,391466723.0
000012.SZ,20200630,20200824,1,4424221349.0,391466723.0
000012.SZ,20200930,20201026,0,7468278057.0,726820239.0
000012.SZ,20200930,20201026,1,7468278057.0,726820239.0
000012.SZ,20201231,20210415,0,10671253445.0,779325592.0
000012.SZ,20201231,20210415,1,10671253445.0,779325592.0
000012.SZ,20210331,20210424,1,3006832539.0,573268793.0
000012.SZ,20210630,20210827,1,6614802538.0,1352517465.0
000012.SZ,20210930,20211030,0,10246839119.0,1509830801.0
000012.SZ,20210930,20211030,1,10246839119.0,1509830801.0
000012.SZ,20211231,20220425,1,13629033650.0,1529329304.0
000012.SZ,20220331,20220429,0,2785709687.0,383682831.0
000012.SZ,20220331,20220429,1,2785709687.0,383682831.0
000012.SZ,20220630,20220831,1,6519216676.0,1001174398.0
000012.SZ,20220930,20221025,1,10803775346.0,1650528056.0
000012.SZ,20221231,20230426,0,15198706998.0,2037202500.0
000012.SZ,20221231,20230426,1,15198706998.0,2037202500.0
000012.SZ,20230331,20230426,1,4070673784.0,396406087.0
000012.SZ,20230630,20230829,0,8389340245.0,889478780.0
000012.SZ,20230630,20230829,1,8389340245.0,889478780.0
000012.SZ,20230930,20231031,0,13479933172.0,1466672010.0
000012.SZ,20230930,20231031,1,13479933172.0,1466672010.0
000012.SZ,20231231,20240426,1,18194864366.0,1655614446.0
000012.SZ,20240331,20240429,0,3947220433.0,325377538.0
000012.SZ,20240331,20240429,1,3947220433.0,325377538.0
000012.SZ,20240630,20240826,1,8078970651.0,733111562.0
000012.SZ,20240930,20241030,0,11836882741.0,786449734.0
000012.SZ,20240930,20241030,1,11836882741.0,786449734.0
000014.SZ,20171231,20180329,0,513141023.37,7630332.76
000014.SZ,20180331,20180427,0,67735965.8,3141992.36
000014.SZ,20180630,20180829,0,121746845.57,3083374.91
000014.SZ,20180930,20181027,0,185997529.28,2264616.5
000014.SZ,20180930,20181027,1,185997529.28,2264616.5
000014.SZ,20181231,20190330,0,357929318.71,146000417.81
000014.SZ,20181231,20190330,1,357929318.71,146000417.81
000014.SZ,20190331,20190426,0,7226647.51,-6760975.64
000014.SZ,20190630,20190829,0,82599406.14,-3819428.29
000014.SZ,20190630,20190829,1,82599406.14,-3819428.29
000014.SZ,20190930,20191026,0,90766160.6,-11226668.5
