ts_code,report_period,n_versions,ann_dates
000017.SZ,20240630,2,20240827;20240827
000017.SZ,20240930,2,20241030;20241030
000019.SZ,20180930,2,20181030;20181030
000019.SZ,20181231,2,20190427;20190427
000019.SZ,20190930,2,20191029;20191029
000019.SZ,20191231,2,20200428;20200428
000019.SZ,20200331,2,20200428;20200428
000019.SZ,20200630,2,20200825;20200825
000019.SZ,20200930,2,20201029;20201029
000019.SZ,20201231,2,20210427;20210427
000019.SZ,20211231,2,20220426;20220426
000019.SZ,20220331,2,20220426;20220426
000020.SZ,20180930,2,20181030;20181030
000020.SZ,20181231,2,20190430;20190430
000020.SZ,20190930,2,20191029;20191029
000020.SZ,20191231,2,20200430;20200430
000020.SZ,20200331,2,20200430;20200430
000020.SZ,20200630,2,20200825;20200825
000020.SZ,20200930,2,20201027;20201027
000020.SZ,20201231,2,20210427;20210427
000020.SZ,20211231,2,20220426;20220426
000020.SZ,20221231,2,20230425;20230425
000020.SZ,20230630,2,20230822;20230822
000020.SZ,20240331,2,20240423;20240423
000021.SZ,20180930,2,20181031;20181031
000021.SZ,20181231,2,20190420;20190420
000021.SZ,20191231,2,20200424;20200424
000021.SZ,20200331,2,20200430;20200430
000021.SZ,20200630,2,20200831;20200831
000021.SZ,20200930,2,20201030;20201030
000021.SZ,20201231,2,20210430;20210430
000021.SZ,20211231,2,20220421;20220421
000021.SZ,20240930,2,20241030;20241030
000023.SZ,20180930,2,20181030;20181030
000023.SZ,20181231,2,20190418;20190418
000023.SZ,20190930,2,20191029;20191029
000023.SZ,20191231,2,20200429;20200429
000023.SZ,20200331,2,20200429;20200429
000023.SZ,20200630,2,20200828;20200828
000023.SZ,20200930,2,20201028;20201028
000023.SZ,20201231,2,20210430;20210430
000023.SZ,20210930,2,20211030;20211030
000023.SZ,20211231,2,20220429;20220429
000023.SZ,20221231,2,20230429;20230429
000023.SZ,20230331,2,20230429;20230429
000023.SZ,20230630,2,20230830;20230830
000023.SZ,20231231,2,20240430;20240430
000023.SZ,20240331,2,20240430;20240430
000023.SZ,20240630,2,20240830;20240830
000025.SZ,20180930,2,20181030;20181030
000025.SZ,20181231,2,20190402;20190402
000025.SZ,20190630,2,20190830;20190830
000025.SZ,20191231,2,20200403;20200403
000025.SZ,20200331,2,20200428;20200428
000025.SZ,20200630,2,20200827;20200827
000025.SZ,20200930,2,20201030;20201030
000025.SZ,20201231,2,20210416;20210416
000025.SZ,20211231,2,20220408;20220408
000026.SZ,20180930,2,20181020;20181020
000026.SZ,20181231,2,20190315;20190315
000026.SZ,20190630,2,20190815;20190815
000026.SZ,20190930,2,20191018;20191018
000026.SZ,20191231,2,20200320;20200320
000026.SZ,20200331,2,20200410;20200410
000026.SZ,20200630,2,20200730;20200730
000026.SZ,20200930,2,20201022;20201022
000026.SZ,20201231,2,20210310;20210310
000026.SZ,20211231,2,20220310;20220310
000026.SZ,20220331,2,20220423;20220423
000026.SZ,20221231,2,20230318;20230318
000026.SZ,20240331,2,20240425;20240425
000027.SZ,20180930,2,20181031;20181031
000027.SZ,20181231,2,20190404;20190404
000027.SZ,20191231,2,20200430;20200430
000027.SZ,20200331,2,20200430;20200430
000027.SZ,20200630,2,20200826;20200826
000027.SZ,20200930,2,20201029;20201029
000027.SZ,20201231,2,20210420;20210420
000027.SZ,20210930,2,20211029;20211029
000027.SZ,20221231,2,20230420;20230420
000027.SZ,20230630,2,20230726;20230826
000028.SZ,20180930,2,20181027;20181027
000028.SZ,20181231,2,20190425;20190425
000028.SZ,20190630,2,20190824;20190824
000028.SZ,20190930,2,20191024;20191024
000028.SZ,20191231,2,20200422;20200422
000028.SZ,20200331,2,20200425;20200425
000028.SZ,20200630,2,20200829;20200829
000028.SZ,20200930,2,20201022;20201022
000028.SZ,20201231,2,20210402;20210402
000028.SZ,20211231,2,20220330;20220330
000028.SZ,20220331,2,20220428;20220428
000028.SZ,20221231,2,20230413;20230413
000029.SZ,20180930,2,20181031;20181031
000029.SZ,20181231,2,20190329;20190329
000029.SZ,20190630,2,20190821;20190821
000029.SZ,20190930,2,20191030;20191030
000029.SZ,20191231,2,20200314;20200314
000029.SZ,20200331,2,20200430;20200430
000029.SZ,20200630,2,20200819;20200819
000029.SZ,20200930,2,20201030;20201030
000029.SZ,20201231,2,20210320;20210320
000029.SZ,20211231,2,20220318;20220318
000029.SZ,20220331,2,20220430;20220430
000029.SZ,20221231,2,20230318;20230318
000030.SZ,20180930,2,20181030;20181030
000030.SZ,20181231,2,20190430;20190430
000030.SZ,20190630,2,20190828;20190828
000030.SZ,20190930,2,20191030;20191030
000030.SZ,20191231,2,20200423;20200423
000030.SZ,20200331,2,20200423;20200423
000030.SZ,20200630,2,20200827;20200827
000030.SZ,20200930,2,20201029;20201029
000030.SZ,20201231,2,20210429;20210429
000030.SZ,20210930,2,20211029;20211029
000030.SZ,20211231,2,20220420;20220420
000030.SZ,20220331,2,20220430;20220430
000030.SZ,20221231,2,20230420;20230420
000030.SZ,20240930,2,20241030;20241030
000031.SZ,20180930,2,20181031;20181031
000031.SZ,20181231,2,20190404;20190404
000031.SZ,20190630,2,20190829;20190829
000031.SZ,20191231,2,20200331;20200331
000031.SZ,20200331,2,20200430;20200430
000031.SZ,20200630,2,20200829;20200829
000031.SZ,20200930,2,20201030;20201030
000031.SZ,20201231,2,20210327;20210327
000031.SZ,20210930,2,20211030;20211030
000031.SZ,20211231,2,20220412;20220412
000031.SZ,20220331,2,20220428;20220428
000031.SZ,20230630,2,20230830;20230830
000031.SZ,20240331,2,20240430;20240430
000032.SZ,20180930,2,20181027;20181027
000032.SZ,20181231,2,20190425;20190425
000032.SZ,20190630,2,20190824;20190824
000032.SZ,20190930,2,20191026;20191026
000032.SZ,20191231,2,20200424;20200424
000032.SZ,20200331,2,20200424;20200424
000032.SZ,20200630,2,20200829;20200829
000032.SZ,20200930,2,20201029;20201029
000032.SZ,20201231,2,20210423;20210423
000032.SZ,20220331,2,20220422;20220422
000032.SZ,20221231,2,20230426;20230426
000034.SZ,20180930,2,20181029;20181029
000034.SZ,20181231,2,20190327;20190327
000034.SZ,20190630,2,20190831;20190831
000034.SZ,20190930,2,20191023;20191023
000034.SZ,20191231,2,20200331;20200331
000034.SZ,20200331,2,20200430;20200430
000034.SZ,20200630,2,20200831;20200831
000034.SZ,20200930,2,20201031;20201031
000034.SZ,20201231,2,20210331;20210331
000034.SZ,20211231,2,20220329;20220329
000034.SZ,20220331,2,20220428;20220428
000034.SZ,20221231,2,20230331;20230331
000034.SZ,20230630,2,20230831;20230831
000034.SZ,20231231,2,20240329;20240329
000035.SZ,20180930,2,20181023;20181023
000035.SZ,20181231,2,20190429;20190429
000035.SZ,20190630,2,20190831;20190831
000035.SZ,20191231,2,20200430;20200430
000035.SZ,20200331,2,20200430;20200430
000035.SZ,20200630,2,20200831;20200831
000035.SZ,20200930,2,20201031;20201031
000035.SZ,20201231,2,20210430;20210430
000035.SZ,20210930,2,20211027;20211027
000035.SZ,20211231,2,20220331;20220331
000035.SZ,20220331,2,20220430;20220430
000035.SZ,20230630,2,20230831;20230831
000035.SZ,20240331,2,20240430;20240430
000036.SZ,20180930,2,20181031;20181031
000036.SZ,20181231,2,20190430;20190430
000036.SZ,20191231,2,20200428;20200428
000036.SZ,20200331,2,20200430;20200430
000036.SZ,20200630,2,20200831;20200831
