date,leg_A,action,gross_A,fee_A,net_A,shares_A,px_A,amt_A,leg_B,gross_B,fee_B,net_B,shares_B,px_B,amt_B,_merge,diff_type
2021-04-20,etf,buy,1537.5359999999998,5.0,-1542.5359999999998,600.0,2.56,-1542.5359999999998,etf,2050.048,5.0,-2055.048,800.0,2.56,-2055.048,both,SAME_DAY_DIR_DIFF_SHARES
2021-05-06,etf,buy,10017.407399999998,5.0,-10022.407399999998,3900.0,2.566,-10022.407399999998,etf,10017.407399999998,5.0,-10022.407399999998,3900.0,2.566,-10022.407399999998,both,IDENTICAL
2021-05-06,etf,sell,198820.98,49.705245000000005,198771.274755,77500.0,2.568,198771.274755,etf,198820.98,49.705245000000005,198771.274755,77500.0,2.568,198771.274755,both,IDENTICAL
2021-05-10,etf,buy,11126.615499999998,5.0,-11131.615499999998,4300.0,2.585,-11131.615499999998,etf,11126.615499999998,5.0,-11131.615499999998,4300.0,2.585,-11131.615499999998,both,IDENTICAL
2021-05-10,etf,sell,198607.5936,49.6518984,198557.9417016,76700.0,2.592,198557.9417016,etf,198607.5936,49.6518984,198557.9417016,76700.0,2.592,198557.9417016,both,IDENTICAL
2021-05-12,etf,buy,219562.94359999997,54.8907359,-219617.83433589997,86800.0,2.527,-219617.83433589997,etf,219562.94359999997,54.8907359,-219617.83433589997,86800.0,2.527,-219617.83433589997,both,IDENTICAL
2021-05-14,etf,sell,198710.09099999996,49.67752274999999,198660.41347724997,79500.0,2.502,198660.41347724997,etf,198710.09099999996,49.67752274999999,198660.41347724997,79500.0,2.502,198660.41347724997,both,IDENTICAL
2021-05-18,etf,buy,398945.547,99.73638675,-399045.28338675,156600.0,2.545,-399045.28338675,etf,398690.7925,99.672698125,-398790.465198125,156500.0,2.545,-398790.465198125,both,SAME_DAY_DIR_DIFF_SHARES
2021-05-25,etf,buy,28855.1263,7.213781575,-28862.340081575,11300.0,2.551,-28862.340081575,etf,28855.1263,7.213781575,-28862.340081575,11300.0,2.551,-28862.340081575,both,IDENTICAL
2021-05-25,etf,sell,198757.64339999997,49.689410849999994,198707.95398914997,77900.0,2.554,198707.95398914997,etf,198757.64339999997,49.689410849999994,198707.95398914997,77900.0,2.554,198707.95398914997,both,IDENTICAL
2021-05-28,etf,buy,31744.2125,7.936053125,-31752.148553124996,12500.0,2.537,-31752.148553124996,etf,31744.2125,7.936053125,-31752.148553124996,12500.0,2.537,-31752.148553124996,both,IDENTICAL
2021-05-28,etf,sell,198659.14199999996,49.664785499999994,198609.47721449996,78600.0,2.53,198609.47721449996,etf,198659.14199999996,49.664785499999994,198609.47721449996,78600.0,2.53,198609.47721449996,both,IDENTICAL
2021-06-01,,buy,,,,,,,etf,227019.79299999995,56.75494824999999,-227076.5479482499,89500.0,2.534,-227076.5479482499,right_only,ONLY_NEW
2021-06-02,etf,buy,227183.75679999997,56.79593919999999,-227240.5527392,89600.0,2.533,-227240.5527392,,,,,,,,left_only,ONLY_OLD
2021-06-08,,buy,,,,,,,etf,507048.2417,126.762060425,-507175.00376042497,198100.0,2.557,-507175.00376042497,right_only,ONLY_NEW
2021-06-08,etf,sell,198735.6654,49.68391635,198685.98148365,77800.0,2.557,198685.98148365,etf,198735.6654,49.68391635,198685.98148365,77800.0,2.557,198685.98148365,both,IDENTICAL
2021-06-09,etf,buy,307010.90419999993,76.75272604999998,-307087.6569260499,119900.0,2.558,-307087.6569260499,,,,,,,,left_only,ONLY_OLD
2021-06-10,etf,buy,510.30979999999994,5.0,-515.3098,200.0,2.549,-515.3098,,,,,,,,left_only,ONLY_OLD
2021-06-10,,sell,,,,,,,etf,198813.3876,49.7033469,198763.6842531,77800.0,2.558,198763.6842531,right_only,ONLY_NEW
2021-06-15,etf,sell,198616.7844,49.6541961,198567.1302039,77300.0,2.572,198567.1302039,etf,199387.6128,49.8469032,199337.7658968,77600.0,2.572,199337.7658968,both,SAME_DAY_DIR_DIFF_SHARES
2021-06-16,etf,sell,194640.4647,48.660116175000006,194591.80458382503,75900.0,2.567,194591.80458382503,etf,193614.6915,48.403672875,193566.287827125,75500.0,2.567,193566.287827125,both,SAME_DAY_DIR_DIFF_SHARES
2021-06-17,etf,sell,199563.4368,49.89085920000001,199513.5459408,78400.0,2.548,199513.5459408,etf,199817.982,49.9544955,199768.0275045,78500.0,2.548,199768.0275045,both,SAME_DAY_DIR_DIFF_SHARES
