date,ts_code,name,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2021-06-02,ETF,ETF,ETF_BUY,0,0,0,232278.34,-227240.55,5037.78,2.533,56.8,rebalance
2021-06-08,ETF,ETF,ETF_SELL,0,0,0,5037.78,198685.98,203723.77,2.557,49.68,ensure_cash
2021-06-08,002340.SZ,,BUY,0,20400,20400,203723.77,-199150.67,4573.1,9.759749999999999,51.77,initial entry
2021-06-08,002594.SZ,,SELL,2500,-2500,0,4573.1,507575.92,512149.02,203.28651000000002,640.35,TAKE_PROFIT_DYN
2021-06-09,ETF,ETF,ETF_BUY,0,0,0,512149.02,-307087.66,205061.37,2.558,76.75,rebalance
2021-06-10,002340.SZ,,BUY_ADD,20400,21000,41400,205061.37,-199330.89,5730.47,9.489479999999999,51.81,level 2
2021-06-10,ETF,ETF,ETF_BUY,0,0,0,5730.47,-515.31,5215.16,2.549,5.0,rebalance
2021-06-15,ETF,ETF,ETF_SELL,0,0,0,5215.16,198567.13,203782.29,2.572,49.65,ensure_cash
2021-06-15,600031.SH,,BUY,0,7000,7000,203782.29,-198069.3,5712.99,28.288259999999998,51.48,initial entry
2021-06-16,600031.SH,,DIVIDEND,7000,0,7000,5712.99,3360.0,9072.99,,0.0,cash_div=6.0/10 pretax=4200.0
2021-06-16,ETF,ETF,ETF_SELL,0,0,0,9072.99,194591.8,203664.79,2.567,48.66,ensure_cash
2021-06-16,002340.SZ,,BUY_ADD,41400,21700,63100,203664.79,-199457.05,4207.74,9.189179999999999,51.85,level 3
2021-06-17,ETF,ETF,ETF_SELL,0,0,0,4207.74,199513.55,203721.29,2.548,49.89,ensure_cash
2021-06-17,600031.SH,,BUY_ADD,7000,7400,14400,203721.29,-199459.05,4262.23,26.94692,51.85,level 2
2021-06-18,002340.SZ,,DIVIDEND,63100,0,63100,4262.23,757.2,5019.43,,0.0,cash_div=0.15/10 pretax=946.5
2021-07-06,ETF,ETF,ETF_SELL,0,0,0,5019.43,167104.9,172124.33,2.66,41.79,ensure_cash
2021-07-06,000661.SZ,,BUY_ADD,800,400,1200,172124.33,-143380.47,28743.86,358.35799999999995,37.27,level 3
2021-07-06,002340.SZ,,SELL,63100,-63100,0,28743.86,629574.74,658318.6,9.99,794.26,TAKE_PROFIT_DYN
2021-07-06,ETF,ETF,ETF_BUY,0,0,0,658318.6,-653229.28,5089.32,2.664,163.27,rebalance
2021-07-09,ETF,ETF,ETF_SELL,0,0,0,5089.32,198730.53,203819.85,2.632,49.7,ensure_cash
2021-07-09,600031.SH,,BUY_ADD,14400,7900,22300,203819.85,-199014.49,4805.35,25.185159999999996,51.73,level 3
2021-07-09,ETF,ETF,ETF_SELL,0,0,0,4805.35,198993.4,203798.75,2.632,49.76,ensure_cash
2021-07-09,000858.SZ,,BUY,0,700,700,203798.75,-188852.7,14946.04,269.71944999999994,49.09,initial entry
2021-07-09,ETF,ETF,ETF_BUY,0,0,0,14946.04,-9834.62,5111.42,2.654,5.0,rebalance
2021-07-19,000661.SZ,,SELL,1200,-1200,0,5111.42,493139.6,498251.03,411.46812,622.14,TAKE_PROFIT_DYN
2021-07-21,ETF,ETF,ETF_BUY,0,0,0,498251.03,-493118.25,5132.78,2.655,123.25,rebalance
2021-07-23,ETF,ETF,ETF_SELL,0,0,0,5132.78,198740.81,203873.59,2.671,49.7,ensure_cash
2021-07-23,002241.SZ,,BUY,0,5200,5200,203873.59,-199723.39,4150.2,38.39836,51.91,initial entry
2021-07-27,ETF,ETF,ETF_SELL,0,0,0,4150.2,199698.11,203848.32,2.702,49.94,ensure_cash
2021-07-27,000858.SZ,,BUY_ADD,700,800,1500,203848.32,-197849.03,5999.29,247.24699999999999,51.43,level 2
2021-07-27,ETF,ETF,ETF_BUY,0,0,0,5999.29,-817.61,5181.68,2.706,5.0,rebalance
2021-07-29,ETF,ETF,ETF_SELL,0,0,0,5181.68,198618.67,203800.35,2.702,49.67,ensure_cash
2021-07-29,000858.SZ,,BUY_ADD,1500,800,2300,203800.35,-196599.45,7200.89,245.68543999999997,51.1,level 3
2021-07-29,ETF,ETF,ETF_BUY,0,0,0,7200.89,-2164.76,5036.13,2.697,5.0,rebalance
2021-08-02,ETF,ETF,ETF_SELL,0,0,0,5036.13,166342.85,171378.99,2.695,41.6,ensure_cash
2021-08-02,000858.SZ,,BUY_ADD,2300,700,3000,171378.99,-150949.0,20429.99,215.58536999999998,39.24,level 4
2021-08-03,600031.SH,,SELL,22300,-22300,0,20429.99,622989.64,643419.63,27.972,785.96,TAKE_PROFIT_DYN
2021-08-05,002241.SZ,,SELL,5200,-5200,0,643419.63,220241.41,863661.04,42.40755,277.85,TAKE_PROFIT_DYN
2021-08-10,ETF,ETF,ETF_BUY,0,0,0,863661.04,-858606.53,5054.51,2.712,214.6,rebalance
2021-08-17,ETF,ETF,ETF_SELL,0,0,0,5054.51,198641.04,203695.54,2.732,49.67,ensure_cash
2021-08-17,300750.SZ,,BUY,0,400,400,203695.54,-194244.49,9451.05,485.48499999999996,50.49,initial entry
2021-08-17,ETF,ETF,ETF_SELL,0,0,0,9451.05,194275.3,203726.35,2.732,48.58,ensure_cash
2021-08-17,002460.SZ,,BUY,0,1200,1200,203726.35,-195726.36,8000.0,163.06289999999998,50.88,initial entry
2021-08-17,ETF,ETF,ETF_BUY,0,0,0,8000.0,-2738.73,5261.27,2.731,5.0,rebalance
2021-08-23,ETF,ETF,ETF_SELL,0,0,0,5261.27,198530.58,203791.84,2.723,49.65,ensure_cash
2021-08-23,000858.SZ,,BUY_ADD,3000,900,3900,203791.84,-185985.09,17806.75,206.59638999999996,48.34,level 5
2021-08-23,ETF,ETF,ETF_BUY,0,0,0,17806.75,-12612.39,5194.35,2.738,5.0,rebalance
2021-08-30,002460.SZ,,SELL,1200,-1200,0,5194.35,242750.45,247944.8,202.54725,306.25,TAKE_PROFIT_DYN
2021-08-30,ETF,ETF,ETF_BUY,0,0,0,247944.8,-242731.3,5213.51,2.758,60.67,rebalance
2021-09-14,300750.SZ,,SELL,400,-400,0,5213.51,213392.91,218606.42,534.1553100000001,269.21,TAKE_PROFIT_DYN
2021-09-14,ETF,ETF,ETF_BUY,0,0,0,218606.42,-213596.32,5010.1,2.728,53.39,rebalance
2021-09-23,ETF,ETF,ETF_SELL,0,0,0,5010.1,198765.68,203775.78,2.704,49.7,ensure_cash
2021-09-23,002466.SZ,,BUY,0,1800,1800,203775.78,-195077.54,8698.24,108.34823999999999,50.71,initial entry
2021-09-23,ETF,ETF,ETF_BUY,0,0,0,8698.24,-3519.81,5178.43,2.701,5.0,rebalance
2021-09-27,000858.SZ,,SELL,3900,-3900,0,5178.43,846411.85,851590.28,217.30248,1067.82,TAKE_PROFIT_DYN
2021-09-27,ETF,ETF,ETF_BUY,0,0,0,851590.28,-646540.83,205049.45,2.735,161.59,rebalance
2021-09-28,002466.SZ,,BUY_ADD,1800,2000,3800,205049.45,-194304.57,10744.89,97.12702999999999,50.51,level 2
2021-09-29,ETF,ETF,ETF_SELL,0,0,0,10744.89,192874.65,203619.54,2.66,48.23,ensure_cash
2021-09-29,601919.SH,,BUY,0,11100,11100,203619.54,-198940.4,4679.14,17.917899999999996,51.71,initial entry
2021-09-30,ETF,ETF,ETF_SELL,0,0,0,4679.14,199050.53,203729.66,2.668,49.78,ensure_cash
2021-09-30,600111.SH,,BUY,0,4600,4600,203729.66,-196529.37,7200.3,42.712669999999996,51.08,initial entry
2021-09-30,ETF,ETF,ETF_BUY,0,0,0,7200.3,-2153.55,5046.75,2.683,5.0,rebalance
2021-10-25,600111.SH,,SELL,4600,-4600,0,5046.75,240311.97,245358.72,52.30764,303.18,TAKE_PROFIT_DYN
2021-10-27,ETF,ETF,ETF_BUY,0,0,0,245358.72,-40128.11,205230.61,2.764,10.03,rebalance
2021-10-28,000651.SZ,,BUY,0,5400,5400,205230.61,-197186.19,8044.42,36.50646999999999,51.26,initial entry
2021-10-28,ETF,ETF,ETF_BUY,0,0,0,8044.42,-3036.33,5008.09,2.753,5.0,rebalance
2021-11-09,002466.SZ,,SELL,3800,-3800,0,5008.09,409927.98,414936.07,108.01188,517.16,TAKE_PROFIT_DYN
2021-11-11,ETF,ETF,ETF_BUY,0,0,0,414936.07,-409812.73,5123.35,2.815,102.43,rebalance
2021-11-16,ETF,ETF,ETF_SELL,0,0,0,5123.35,198557.94,203681.29,2.832,49.65,ensure_cash
2021-11-16,601919.SH,,BUY_ADD,11100,13600,24700,203681.29,-198810.24,4871.05,14.614599999999998,51.68,level 2
2021-11-17,ETF,ETF,ETF_SELL,0,0,0,4871.05,198835.19,203706.24,2.84,49.72,ensure_cash
2021-11-17,600030.SH,,BUY,0,8300,8300,203706.24,-198703.1,5003.14,23.933909999999997,51.65,initial entry
2021-11-30,ETF,ETF,ETF_SELL,0,0,0,5003.14,198843.18,203846.33,2.82,49.72,ensure_cash
2021-11-30,000651.SZ,,BUY_ADD,5400,5700,11100,203846.33,-197925.12,5921.2,34.714679999999994,51.45,level 2
2021-11-30,601919.SH,,SELL,24700,-24700,0,5921.2,409833.2,415754.4,16.61337,517.04,TAKE_PROFIT_DYN
2021-12-01,ETF,ETF,ETF_BUY,0,0,0,415754.4,-210557.52,205196.88,2.778,52.63,rebalance
2021-12-02,601012.SH,,BUY,0,2300,2300,205196.88,-191831.45,13365.43,83.38329999999999,49.86,initial entry
2021-12-02,ETF,ETF,ETF_BUY,0,0,0,13365.43,-8233.22,5132.21,2.74,5.0,rebalance
2021-12-06,ETF,ETF,ETF_SELL,0,0,0,5132.21,198518.19,203650.4,2.753,49.64,ensure_cash
2021-12-06,601012.SH,,BUY_ADD,2300,2400,4700,203650.4,-197048.02,6602.38,82.082,51.22,level 2
2021-12-06,600030.SH,,SELL,8300,-8300,0,6602.38,214484.44,221086.82,25.874100000000002,270.59,TAKE_PROFIT_DYN
2021-12-06,ETF,ETF,ETF_BUY,0,0,0,221086.82,-215869.55,5217.26,2.75,53.95,rebalance
2021-12-09,000651.SZ,,SELL,11100,-11100,0,5217.26,409993.83,415211.1,36.982980000000005,517.24,TAKE_PROFIT_DYN
2021-12-10,ETF,ETF,ETF_BUY,0,0,0,415211.1,-410084.87,5126.23,2.813,102.5,rebalance
2021-12-17,ETF,ETF,ETF_SELL,0,0,0,5126.23,198557.94,203684.17,2.832,49.65,ensure_cash
2021-12-17,002594.SZ,,BUY,0,700,700,203684.17,-199050.54,4633.63,284.284,51.74,initial entry
2021-12-21,ETF,ETF,ETF_SELL,0,0,0,4633.63,199095.07,203728.7,2.761,49.79,ensure_cash
2021-12-21,002594.SZ,,BUY_ADD,700,700,1400,203728.7,-189588.63,14140.07,270.77049999999997,49.28,level 2
2021-12-21,ETF,ETF,ETF_SELL,0,0,0,14140.07,189443.65,203583.72,2.761,47.37,ensure_cash
2021-12-21,300750.SZ,,BUY,0,300,300,203583.72,-182029.12,21554.6,606.6059999999999,47.32,initial entry
2021-12-21,ETF,ETF,ETF_BUY,0,0,0,21554.6,-16405.68,5148.92,2.777,5.0,rebalance
2021-12-27,ETF,ETF,ETF_SELL,0,0,0,5148.92,198756.59,203905.51,2.847,49.7,ensure_cash
2021-12-27,300750.SZ,,BUY_ADD,300,300,600,203905.51,-172477.09,31428.42,574.7742,44.83,level 2
2021-12-27,ETF,ETF,ETF_BUY,0,0,0,31428.42,-26261.99,5166.43,2.851,6.56,rebalance
2022-02-07,ETF,ETF,ETF_SELL,0,0,0,5166.43,198504.11,203670.54,2.675,49.64,ensure_cash
2022-02-07,601012.SH,,BUY_ADD,4700,2700,7400,203670.54,-193563.63,10106.9,71.67159999999998,50.31,level 3
2022-02-07,ETF,ETF,ETF_SELL,0,0,0,10106.9,193695.13,203802.03,2.675,48.44,ensure_cash
